Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
90000,-1.8493208,4.453422,1326.0,-52.70174665749073,-52.70174665749073,0.058226246,0.024932412,0.00029562585,1.0
100000,-2.0424464,4.439801,None,None,None,0.038969316,0.024333814,0.00029508825,1.0
110000,-2.2560513,4.4323683,None,None,None,0.032680437,0.024548363,0.00029453787,1.0
120000,-2.5020318,4.408441,None,None,None,None,None,None,1.0
130000,-2.081173,4.410113,999.5,-36.34739738470525,-36.34739738470525,0.028529702,0.02118484,0.00029398745,1.0
140000,-2.2557452,4.4028897,None,None,None,0.051360197,0.018224215,0.0002934628,1.0
150000,-2.504143,4.379446,None,None,None,0.02491883,0.028514896,0.00029291242,1.0
160000,-2.6796129,4.3609314,None,None,None,0.01695334,0.029724758,0.0002923748,1.0
170000,-2.775512,4.3422365,None,None,None,0.01912362,0.02589619,0.0002918244,1.0
180000,-2.8925915,4.3347697,None,None,None,0.0209563,0.03145789,0.000291274,1.0
190000,-3.067342,4.3224816,None,None,None,0.018950824,0.026044862,0.00029073644,1.0
200000,-3.1270165,4.2997355,None,None,None,0.01231468,0.025531536,0.00029018603,1.0
210000,-3.387146,4.255684,None,None,None,0.023002958,0.022894137,0.00028963565,1.0
220000,-3.4693124,4.241474,1999.0,-74.29260551929474,-74.29260551929474,0.022984643,0.028810015,0.00028909478,1.0
230000,-3.5084584,4.205653,None,None,None,0.015140704,0.026137024,0.00028854437,1.0
240000,-3.7122912,4.1798244,None,None,None,None,None,None,1.0
250000,-3.743291,4.138286,None,None,None,0.013969176,0.023057008,0.00028799396,1.0
260000,-3.43375,4.2003455,1999.0,-70.50640752514204,-70.50640752514204,0.021280596,0.023036322,0.0002874564,1.0
270000,-2.8471446,4.1864877,None,None,None,0.062256046,0.030166356,0.00028692198,1.0
280000,-3.0783393,4.1495433,None,None,None,0.025375972,0.01992512,0.00028638443,1.0
290000,-3.2631755,4.112727,None,None,None,0.02048976,0.019253615,0.00028583402,1.0
300000,-3.394179,4.102297,None,None,None,0.019033229,0.029525178,0.0002852836,1.0
310000,-3.4300215,4.0569863,None,None,None,0.020847049,0.02592958,0.000284746,1.0
320000,-3.49683,3.9857836,None,None,None,0.016132198,0.02284827,0.0002841956,1.0
330000,-3.4705787,3.9310691,None,None,None,0.026343592,0.025519872,0.00028364517,1.0
340000,-3.653403,3.9161987,1664.0,-54.79717106372118,-54.79717106372118,0.016172498,0.02589635,0.00028310757,1.0
350000,-3.4344006,3.860496,1449.0,-45.35025408864021,-45.35025408864021,0.15542027,0.019679086,0.00028253882,1.0
