Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,-1.2723585,4.479007,0.075651854,0.026425434,0.0002972736,916.0,-38.17341935634613,-38.17341935634613,1.0
70000,-1.4699148,4.475817,0.06875941,0.027774043,0.0002967318,None,None,None,1.0
80000,-1.7010177,4.470682,0.044892255,0.02434823,0.0002961814,None,None,None,1.0
90000,-1.9024397,4.4624476,0.042571303,0.020970175,0.00029563098,1420.0,-60.552764251828194,-60.552764251828194,1.0
100000,-2.0776198,4.453743,0.058429644,0.021777624,0.0002951036,None,None,None,1.0
110000,-2.285558,4.450104,0.032827817,0.033260148,0.00029454043,None,None,None,1.0
120000,-2.5203059,4.435991,None,None,None,None,None,None,1.0
130000,-2.171704,4.446933,0.028391214,0.029144337,0.00029399,999.5,-37.325001020535375,-37.325001020535375,1.0
140000,-2.2855232,4.4528985,0.045863498,0.027617358,0.00029345602,None,None,None,1.0
150000,-2.5814574,4.438226,0.030703396,0.023031903,0.0002929056,None,None,None,1.0
160000,-2.757191,4.422928,0.010838872,0.022512935,0.0002923681,None,None,None,1.0
170000,-2.9594185,4.410519,0.025774853,0.020000843,0.00029181768,None,None,None,1.0
180000,-3.093991,4.38118,0.020638991,0.01906289,0.00029126726,None,None,None,1.0
190000,-3.1551065,4.3653274,0.016182575,0.020430097,0.00029072966,1999.0,-65.48690302670002,-65.48690302670002,1.0
200000,-3.3778107,4.360888,0.016795801,0.031675663,0.000290176,None,None,None,1.0
210000,-3.4200199,4.3307047,0.008810436,0.025041832,0.0002896256,None,None,None,1.0
220000,-3.5427008,4.303942,0.011411001,0.025801713,0.00028910083,1999.0,-80.97707648575306,-80.97707648575306,1.0
230000,-3.6184716,4.2664804,0.032366905,0.026062429,0.00028854716,None,None,None,1.0
240000,-3.7422588,4.2704206,None,None,None,None,None,None,1.0
250000,-3.9194903,4.2562966,0.016978161,0.021662006,0.00028799675,1910.0,-73.91271468251944,-73.91271468251944,1.0
260000,-3.3659925,4.2884374,0.10542657,0.025865452,0.00028744998,1999.0,-70.69216541573405,-70.69216541573405,1.0
270000,-2.7524211,4.2465887,0.04859414,0.023403443,0.0002868996,None,None,None,1.0
280000,-3.0622957,4.1640463,0.028568221,0.024296788,0.00028637482,None,None,None,1.0
290000,-3.3020568,4.112302,0.03102848,0.022237327,0.0002858116,None,None,None,1.0
300000,-3.4846623,4.097173,0.024447732,0.01415657,0.00028526125,None,None,None,1.0
310000,-3.7592485,4.1151943,0.021579098,0.024536354,0.00028473642,None,None,None,1.0
320000,-3.891885,4.121829,0.07061251,0.01893584,0.0002842232,1474.0,-50.47394289821386,-50.47394289821386,1.0
330000,-3.6684458,4.1509814,0.09231855,0.02548745,0.0002837066,1098.5,-31.410544915590435,-31.410544915590435,1.0
340000,-3.6310916,4.152403,0.065975435,0.026589418,0.00028319267,1225.0,-31.50365338474512,-31.50365338474512,1.0
350000,-3.7336755,4.1280923,0.026590206,0.019271145,0.00028266464,1999.0,-70.41280829906464,-70.41280829906464,1.0
360000,-3.8125172,4.1118755,0.08322714,0.025027918,0.00028211426,1535.0,-52.64664348959923,-52.64664348959923,1.0
370000,-3.6101947,4.0909247,0.19149679,0.02680444,0.00028157714,1478.0,-55.025066159665585,-55.025066159665585,1.0
380000,-3.5017061,4.059547,0.15139794,0.025087792,0.000281021,1961.0,-64.97858755663037,-64.97858755663037,1.0
390000,-3.2283676,4.071624,None,None,None,1999.0,-75.67846282819907,-75.67846282819907,1.0
400000,-3.337428,4.043177,0.033404246,0.025807874,0.00028048657,1076.0,-29.033843107521534,-29.033843107521534,1.0
