Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,4.430501,-2.3682609,1866.0,-66.58602360635996,-66.58602360635996,1.0
130000,4.4290695,-1.9442811,999.5,-35.67530709395602,-35.67530709395602,1.0
140000,4.424315,-2.1100686,None,None,None,1.0
150000,4.4051094,-2.3844695,None,None,None,1.0
160000,4.379614,-2.5876126,None,None,None,1.0
170000,4.3785386,-2.7799397,836.0,-24.98426565900445,-24.98426565900445,1.0
180000,4.38778,-2.8562977,None,None,None,1.0
190000,4.363273,-3.014068,None,None,None,1.0
200000,4.3225923,-3.202992,None,None,None,1.0
210000,4.325623,-3.3438165,None,None,None,1.0
220000,4.3260036,-3.3820012,1469.0,-44.00798384845257,-44.00798384845257,1.0
230000,4.3113894,-3.5065787,1585.0,-54.0888020247221,-54.0888020247221,1.0
240000,4.305562,-3.469482,1694.0,-57.70249938033521,-57.70249938033521,1.0
250000,4.3121486,-3.5539165,None,None,None,1.0
260000,4.2792034,-3.3362489,1999.0,-71.20281006599015,-71.20281006599015,1.0
270000,4.227207,-2.9968653,None,None,None,1.0
280000,4.157665,-3.151744,None,None,None,1.0
290000,4.0987673,-3.3436694,None,None,None,1.0
300000,4.080966,-3.4525692,1999.0,-63.488464049994946,-63.488464049994946,1.0
310000,4.1188903,-3.5147133,1419.0,None,None,1.0
320000,4.0754833,-3.5228894,1295.0,-39.993347737938166,-39.993347737938166,1.0
330000,4.0649047,-3.5613968,1515.5,-49.596381448209286,-49.596381448209286,1.0
340000,4.1200023,-3.4596038,1244.0,-40.23280758410692,-40.23280758410692,1.0
350000,4.143015,-3.5226552,1455.0,-48.57630206644535,-48.57630206644535,1.0
360000,4.1003575,-3.6297991,None,None,None,1.0
370000,4.027759,-3.8449733,None,None,None,1.0
380000,4.103243,-3.7653608,1875.5,-71.20211490057409,-71.20211490057409,1.0
390000,4.103644,-3.3637457,1822.7142857142858,-63.79555770861251,-63.79555770861251,1.0
400000,3.9988456,-3.2431152,966.0,-26.05998035520315,-26.05998035520315,1.0
410000,3.9674277,-3.5458794,1712.0,-62.19500885531306,-62.19500885531306,1.0
420000,3.9982674,-3.4857368,None,None,None,1.0
430000,3.963527,-3.6715207,1044.6666666666667,-41.09429466884051,-41.09429466884051,1.0
440000,3.9126894,-3.4611795,1881.0,-53.71724403363008,-53.71724403363008,1.0
450000,3.860951,-3.345836,1328.5,-27.15797320008278,-27.15797320008278,1.0
460000,3.7939959,-3.3039644,1252.0,-48.985450121806934,-48.985450121806934,1.0
470000,3.7992275,-3.5414639,1332.0,-36.06986936926842,-36.06986936926842,1.0
480000,3.8058255,-3.472993,1275.5,-43.277526777237654,-43.277526777237654,1.0
490000,3.8447714,-3.4519463,None,None,None,1.0
500000,3.7741654,-3.5489187,1399.0,-56.21941813826561,-56.21941813826561,1.0
510000,3.838787,-3.332087,1763.5,-42.98013413449129,-42.98013413449129,1.0
520000,3.7865689,-3.1882446,None,-68.94690583149593,-68.94690583149593,1.0
530000,3.7301593,-3.2882905,373.0,-6.751204840838909,-6.751204840838909,1.0
540000,3.5564175,-3.1816945,1131.0,-39.63128903583856,-39.63128903583856,1.0
550000,3.454718,-3.344718,1999.0,None,None,1.0
560000,3.3760335,-3.3835595,1318.8333333333333,-40.86895916362604,-40.86895916362604,1.0
570000,3.3183188,-3.1165252,1999.0,-63.8221324197948,-63.8221324197948,1.0
580000,3.1758752,-3.2324984,1082.0,-29.497936464846134,-29.497936464846134,1.0
590000,3.252658,-3.192102,1070.5,-31.486051738262177,-31.486051738262177,1.0
600000,3.3596444,-3.390257,726.0,-20.49928244948387,-20.49928244948387,1.0
610000,3.3717866,-3.352748,1306.25,-32.56386600807309,-32.56386600807309,1.0
620000,3.4297626,-3.232809,567.5,-26.596820823848248,-26.596820823848248,1.0
630000,3.3301759,-3.271548,1495.5,-44.86965389177203,-44.86965389177203,1.0
640000,3.3558567,-3.3078456,1246.6666666666667,-36.349977794103324,-36.349977794103324,1.0
650000,3.2498298,-3.2340178,422.5,-10.603396181948483,-10.603396181948483,1.0
660000,3.1801176,-3.2743149,1185.5,-52.571277014911175,-52.571277014911175,1.0
670000,3.1474233,-3.2687175,1756.0,-65.38180397450924,-65.38180397450924,1.0
680000,3.2350864,-3.305249,730.5,-17.125081855803728,-17.125081855803728,1.0
690000,3.2001247,-3.4218342,1417.6666666666667,-47.76090890914202,-47.76090890914202,1.0
700000,3.154714,-3.3575456,None,None,None,1.0
