Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.19231209,4.4655976,1.2022946,0.019477077,0.00029618564,1226.0,40.51834855857305,40.51834855857305,1.0
90000,-0.15409264,4.4711394,1.8799438,0.025440706,0.0002956198,1376.0,36.542876582127064,36.542876582127064,1.0
100000,-0.07577323,4.473887,1.5433133,0.019397754,0.0002950822,None,None,None,1.0
110000,-0.109697625,4.4665546,0.43082896,0.023845771,0.0002945244,1681.5,34.591101031110156,34.591101031110156,1.0
120000,-0.02346291,4.465924,None,None,None,1816.0,38.560207513161004,38.560207513161004,1.0
130000,0.16994111,4.4545527,1.6545063,0.021406682,0.00029396903,999.5,14.271180646072754,14.271180646072754,1.0
140000,0.3541303,4.447349,4.812396,0.026518596,0.00029343582,None,None,None,1.0
150000,0.15404388,4.433451,4.883822,0.025474714,0.0002928982,None,None,None,1.0
160000,0.11700212,4.4271297,4.8359623,0.026141873,0.00029237344,None,None,None,1.0
170000,0.040512364,4.4239078,0.91560185,0.027337706,0.00029179742,None,None,None,1.0
180000,0.042670712,4.433355,0.25512454,0.02132112,0.00029124698,None,None,None,1.0
190000,-0.014249984,4.4392123,0.4237792,0.028936764,0.00029072224,1005.0,36.42042706621578,36.42042706621578,1.0
200000,0.016295983,4.435567,1.2839869,0.024973184,0.00029014982,None,None,None,1.0
210000,0.011763842,4.4249496,1.2589351,0.024665954,0.00028960902,1999.0,33.83126774523407,33.83126774523407,1.0
220000,0.09035911,4.40732,4.4212556,0.019160839,0.00028909062,1999.0,19.476356267303345,19.476356267303345,1.0
230000,0.054007825,4.4020114,3.7218235,0.020230042,0.00028852743,None,None,None,1.0
240000,0.10457739,4.431023,None,None,None,1999.0,18.634523449203698,18.634523449203698,1.0
250000,0.20825642,4.4340825,2.0328429,0.027851911,0.0002879706,1930.5,18.41973157672328,18.41973157672328,1.0
260000,0.45896298,4.424469,2.9105513,0.02806796,0.00028744122,1999.0,26.77498917570665,26.77498917570665,1.0
270000,0.5395518,4.4264627,9.342093,0.025355248,0.00028687803,1019.0,47.2291151615791,47.2291151615791,1.0
280000,0.37447765,4.4285493,8.731232,0.025656167,0.00028635404,None,None,None,1.0
290000,0.25600952,4.418556,3.3831015,0.025552534,0.00028579083,None,None,None,1.0
300000,0.16894816,4.429611,3.5332148,0.026680393,0.00028524044,None,None,None,1.0
310000,0.108827524,4.430042,0.16665342,0.023893032,0.0002847156,1169.0,44.99539832537994,44.99539832537994,1.0
320000,0.11337857,4.434706,1.5835537,0.02189467,0.0002841452,1999.0,30.697831935904105,30.697831935904105,1.0
330000,0.19646804,4.4395885,1.3853499,0.02395162,0.00028362442,1115.0,43.260354778612964,43.260354778612964,1.0
340000,0.20948811,4.431927,4.9636307,0.020062663,0.0002830868,None,None,None,1.0
350000,0.17619745,4.43038,1.6541773,0.023759145,0.00028254607,1999.0,43.50277704838663,43.50277704838663,1.0
360000,0.1223482,4.441987,0.41742697,0.030858994,0.00028200838,None,None,None,1.0
370000,0.15180852,4.4164834,None,None,None,1973.6666666666667,29.956799749973772,29.956799749973772,1.0
380000,0.21018228,4.424409,5.615438,0.022167798,0.00028147642,1999.0,28.33236209685856,28.33236209685856,1.0
390000,0.37476113,4.3964763,2.5230403,0.023374343,0.00028093564,1999.0,28.684881184446567,28.684881184446567,1.0
400000,0.3028647,4.4035993,8.862832,0.027964503,0.00028040443,1999.0,25.238534176955,25.238534176955,1.0
410000,0.23375237,4.3773513,2.5470614,0.027707543,0.00027985085,1213.0,48.54884539160412,48.54884539160412,1.0
420000,0.15335976,4.3865137,2.580478,0.024030978,0.00027930082,None,None,None,1.0
430000,0.1147622,4.4025006,1.0636368,0.027002903,0.0002787504,None,None,None,1.0
440000,0.044425495,4.394947,0.94499767,0.024478257,0.0002781744,1944.6666666666667,27.462057334526133,27.462057334526133,1.0
450000,0.2965752,4.407394,6.9684467,0.029492427,0.00027762502,1005.0,41.17778441682458,41.17778441682458,1.0
460000,0.06864078,4.427822,2.4980195,0.024925282,0.00027709,1522.0,46.50000289268792,46.50000289268792,1.0
470000,0.19301192,4.3996263,1.3191015,0.026309531,0.0002765312,1652.0,33.781825433943595,33.781825433943595,1.0
480000,0.26717776,4.3955173,None,None,None,1107.0,44.48767590528587,44.48767590528587,1.0
490000,0.31049407,4.382352,3.673444,0.022238696,0.00027598563,1999.0,None,None,1.0
500000,0.26036835,4.3481393,3.6922455,0.027288007,0.00027547037,1585.3333333333333,33.83468224891112,33.83468224891112,1.0
510000,0.31798422,4.374896,7.367191,0.022895966,0.0002749154,1809.5714285714287,None,None,1.0
520000,0.36271223,4.3832483,9.514016,0.028259447,0.0002743742,673.0,33.88720802576427,33.88720802576427,1.0
530000,0.23757699,4.372171,8.109866,0.025890972,0.0002738494,1552.5,26.099495847243816,26.099495847243816,1.0
540000,0.41238585,4.368367,8.4512205,0.031342164,0.0002732888,1999.0,26.375923086889088,26.375923086889088,1.0
550000,0.14542173,4.3722153,3.8387332,0.02618414,0.00027272562,622.0,49.75043448852375,49.75043448852375,1.0
560000,0.13883816,4.324987,5.0125117,0.021949818,0.00027217861,None,None,None,1.0
570000,0.061427213,4.3997626,1.6553162,0.02433088,0.0002716506,1999.0,42.53721801750362,42.53721801750362,1.0
580000,0.11010562,4.371529,1.8286917,0.025280876,0.00027111603,1348.6666666666667,33.559645250245616,33.559645250245616,1.0
590000,0.3875445,4.354296,8.013384,0.024579313,0.00027056964,1317.0,41.92456663434132,41.92456663434132,1.0
600000,0.47761437,4.3222604,10.081404,0.020710178,0.00027002202,1391.4,44.48651640164026,44.48651640164026,1.0
610000,0.5249744,4.333756,None,None,None,1357.0,40.85231330431998,40.85231330431998,1.0
620000,0.48019448,4.290582,6.323739,0.030510584,0.00026945322,None,None,None,1.0
630000,0.33497366,4.3329797,2.3305705,0.021595726,0.0002689156,1999.0,37.93072935100645,37.93072935100645,1.0
640000,0.2927445,4.3476033,4.4791446,0.022234764,0.00026839724,1349.0,26.46015255432576,26.46015255432576,1.0
650000,0.37791708,4.36528,3.7422404,0.025095114,0.00026784447,727.5,45.317546766678184,45.317546766678184,1.0
660000,0.24385415,4.356451,6.2472186,0.022114707,0.00026728417,1662.0,39.772214154014364,39.772214154014364,1.0
670000,0.43284437,4.3081374,4.788785,0.02181089,0.000266736,1243.6666666666667,47.03065309091471,47.03065309091471,1.0
680000,0.5151818,4.3207374,9.201041,0.025731495,0.00026621763,1485.0,44.64684842290202,44.64684842290202,1.0
690000,0.43222046,4.3590255,3.444735,0.027783128,0.00026567728,None,None,None,1.0
700000,0.3542202,4.3210998,2.9513958,0.022684326,0.000265123,1318.0,46.0780088758911,46.0780088758911,1.0
710000,0.5255924,4.3303504,9.585809,0.022310287,0.00026454963,1173.7142857142858,46.16265762131661,46.16265762131661,1.0
720000,0.49610925,4.34261,7.716314,0.020907488,0.00026401164,1398.6666666666667,43.15169120889914,43.15169120889914,1.0
730000,0.5486798,4.3344536,None,None,None,None,None,None,1.0
740000,0.4877963,4.32189,4.20674,0.020176373,0.00026348684,939.0,44.50408094950641,44.50408094950641,1.0
750000,0.45526707,4.289968,6.3463583,0.026490387,0.00026293562,1249.5,48.475370455067605,48.475370455067605,1.0
760000,0.8921649,4.2638116,4.713765,0.028755788,0.0002624226,1413.4285714285713,43.60398436303616,43.60398436303616,1.0
770000,1.2842097,4.2680345,18.872005,0.02239745,0.00026187598,997.5,48.895176746266465,48.895176746266465,1.0
780000,0.750922,4.2793136,12.470359,0.024526892,0.0002613614,815.6666666666666,46.64878400456655,46.64878400456655,1.0
790000,0.5597099,4.2603016,7.9420986,0.021415379,0.00026084582,None,46.40761119220406,46.40761119220406,1.0
800000,0.4690719,4.265557,5.1491885,0.027577007,0.00026030827,847.0,47.46773555618711,47.46773555618711,1.0
810000,0.600006,4.2334776,3.9119697,0.026445119,0.0002597832,559.5,53.45513337175362,53.45513337175362,1.0
820000,0.50731325,4.2620807,7.130251,0.020971155,0.0002592598,1019.0,48.36634401814081,48.36634401814081,1.0
830000,0.7399096,4.205849,5.361423,0.022286203,0.00025874242,935.0,49.12774346649115,49.12774346649115,1.0
840000,1.2826266,4.2292404,19.992903,0.026169907,0.0002582256,263.0,53.186956723220646,53.186956723220646,1.0
850000,0.23422708,4.25509,7.673194,0.023166409,0.00025768805,1044.4,49.01344855986535,49.01344855986535,1.0
860000,1.1032596,4.180835,9.218563,0.025459522,0.00025713458,505.6666666666667,53.541726210620254,53.541726210620254,1.0
870000,1.3048012,4.1819572,10.587255,0.018911453,0.00025660096,615.5,55.50172481142605,55.50172481142605,1.0
880000,1.6094135,4.161576,22.676674,0.02213931,0.00025606342,894.7142857142857,48.43542831939703,48.43542831939703,1.0
