Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,-0.44923532,0.001704402,0.026586305,0.00028799367,4.148025,999.5,-7.170860775885558,-7.170860775885558,1.0
140000,-0.24329711,0.0035667266,0.023858765,0.00028693763,4.1716065,None,None,None,1.0
150000,-0.3693381,0.013199671,0.023871068,0.0002858368,4.1424685,None,None,None,1.0
160000,-0.4281088,0.0074807904,0.025798364,0.0002847616,4.108983,None,None,None,1.0
170000,-0.48333555,0.007937406,0.029136421,0.0002836608,4.1059246,None,None,None,1.0
180000,-0.51910216,0.002366291,0.015933815,0.00028255998,4.0753927,None,None,None,1.0
190000,-0.5308148,0.0015650113,0.026052812,0.00028148483,4.0272727,None,None,None,1.0
200000,-0.59585786,0.011875278,0.030514073,0.00028038403,3.996347,None,None,None,1.0
210000,-0.5981855,0.0062270258,0.024665587,0.0002792832,3.966059,None,None,None,1.0
220000,-0.64703923,0.0015377181,0.024748623,0.00027820803,3.9338555,None,None,None,1.0
230000,-0.60700786,0.0017327837,0.02323374,0.00027710723,3.853345,None,None,None,1.0
240000,-0.6713564,0.009936516,0.023809472,0.00027600644,3.805536,None,None,None,1.0
250000,-0.60731566,None,None,None,3.7748659,None,None,None,1.0
260000,-0.48292086,0.0012032547,0.027978528,0.0002749312,3.9017086,1999.0,-10.201622894499451,-10.201622894499451,1.0
270000,-0.33766556,0.012504545,0.025455507,0.000273856,3.9779174,None,None,None,1.0
280000,-0.45617354,0.018266208,0.022664895,0.0002727808,3.9547567,None,None,None,1.0
290000,-0.5175901,0.0031618127,0.028398508,0.00027167998,3.9109712,None,None,None,1.0
300000,-0.52504194,0.0019867562,0.02146598,0.00027057916,3.8573802,None,None,None,1.0
310000,-0.5401725,0.0018587041,0.024250166,0.0002695041,3.8106573,None,None,None,1.0
320000,-0.55810636,0.0016622746,0.027320968,0.0002684033,3.7543187,None,None,None,1.0
330000,-0.5596515,0.0012169466,0.023824254,0.00026730247,3.715501,None,None,None,1.0
340000,-0.5499313,0.0021368868,0.024443911,0.00026622726,3.6838014,None,None,None,1.0
350000,-0.53515077,0.00065789866,0.02896134,0.00026512647,3.6377797,None,None,None,1.0
360000,-0.5200243,0.00057563785,0.019754361,0.00026402564,3.5710785,None,None,None,1.0
370000,-0.51472336,None,None,None,3.5234048,None,None,None,1.0
380000,-0.47689882,0.0008923402,0.022801569,0.00026295046,3.4445236,None,None,None,1.0
390000,-0.36283305,0.0004877387,0.025353335,0.00026184967,3.7394109,1999.0,-8.293387801386416,-8.293387801386416,1.0
400000,-0.3018955,0.017169002,0.023810888,0.00026080007,3.6334698,None,None,None,1.0
410000,-0.361424,0.0036077148,0.023764048,0.00025969924,3.527935,None,None,None,1.0
420000,-0.41420004,0.00937654,0.027076874,0.00025859842,3.457579,None,None,None,1.0
430000,-0.42060935,0.002756958,0.029253023,0.00025752324,3.4345384,None,None,None,1.0
440000,-0.44286248,0.0012974201,0.02140246,0.0002564224,3.4013057,None,None,None,1.0
450000,-0.4510216,0.0012534006,0.02018619,0.00025532162,3.3811824,None,None,None,1.0
460000,-0.4562102,0.0005866514,0.021725483,0.00025424644,3.3647013,None,None,None,1.0
470000,-0.45150343,0.0005128396,0.02427089,0.0002531456,3.3132281,None,None,None,1.0
480000,-0.4349202,0.0010250994,0.023254927,0.00025204482,3.273312,None,None,None,1.0
490000,-0.4513824,None,None,None,3.2733922,None,None,None,1.0
500000,-0.43249038,0.0007626766,0.023482941,0.0002509696,3.246315,None,None,None,1.0
510000,-0.43511248,0.00044561594,0.021202173,0.00024986878,3.2086887,None,None,None,1.0
