Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,4.4179897,-2.5078294,1750.0,-76.77698512934148,-76.77698512934148,1.0
130000,4.4147005,-2.1093185,1032.7241379310344,-41.403564174636465,-41.403564174636465,1.0
140000,4.410411,-2.3210406,None,None,None,1.0
150000,4.407782,-2.5771973,None,None,None,1.0
160000,4.402808,-2.7525332,None,None,None,1.0
170000,4.403244,-2.9458005,None,None,None,1.0
180000,4.3963194,-3.0472226,None,None,None,1.0
190000,4.3949914,-3.1479225,None,None,None,1.0
200000,4.3941965,-3.3108935,None,None,None,1.0
210000,4.382974,-3.3651154,None,None,None,1.0
220000,4.388258,-3.6005342,None,None,None,1.0
230000,4.3742805,-3.661864,None,None,None,1.0
240000,4.3838353,-3.851238,1999.0,-67.8348015844822,-67.8348015844822,1.0
250000,4.3880825,-3.9621532,None,None,None,1.0
260000,4.393834,-3.7277784,1999.0,-90.52805900077026,-90.52805900077026,1.0
270000,4.398906,-3.3681397,None,None,None,1.0
280000,4.37669,-3.533606,None,None,None,1.0
290000,4.3618245,-3.6444519,None,None,None,1.0
300000,4.349865,-3.7002106,None,None,None,1.0
310000,4.3331056,-3.8599446,None,None,None,1.0
320000,4.3192444,-3.8556502,None,None,None,1.0
330000,4.2928886,-4.047573,None,None,None,1.0
340000,4.2753835,-4.0577636,None,None,None,1.0
350000,4.2523494,-4.2203965,None,None,None,1.0
360000,4.24451,-4.1777077,None,None,None,1.0
370000,4.217659,-4.232684,1884.0,-72.35767090693116,-72.35767090693116,1.0
380000,4.2327056,-4.0667157,1999.0,-76.53483980894089,-76.53483980894089,1.0
390000,4.2595344,-3.7369616,1999.0,-79.96823817950029,-79.96823817950029,1.0
400000,4.225351,-3.5485456,None,None,None,1.0
410000,4.2152667,-3.7159808,None,None,None,1.0
420000,4.2043233,-3.8080308,None,None,None,1.0
430000,4.203118,-3.9273176,None,None,None,1.0
440000,4.2193327,-3.978905,None,None,None,1.0
450000,4.197364,-4.1537576,None,None,None,1.0
460000,4.1766214,-4.333866,None,None,None,1.0
470000,4.1457953,-4.3882546,None,None,None,1.0
480000,4.1472383,-4.536117,None,None,None,1.0
490000,4.1106806,-4.4809923,None,None,None,1.0
500000,4.0999026,-4.722761,1999.0,-119.30206360295415,-119.30206360295415,1.0
510000,4.0975833,-4.3799696,1999.0,-64.89937437325716,-64.89937437325716,1.0
520000,4.0660305,-3.8042512,1999.0,-86.60949148237705,-86.60949148237705,1.0
530000,4.0543737,-3.653698,None,None,None,1.0
540000,4.044344,-3.7945282,None,None,None,1.0
550000,4.045366,-3.8850324,None,None,None,1.0
560000,4.0244455,-3.908846,None,None,None,1.0
570000,4.0243797,-4.028484,None,None,None,1.0
580000,3.9853113,-4.1138554,None,None,None,1.0
590000,3.907874,-4.185504,None,None,None,1.0
600000,3.9312418,-4.2163954,None,None,None,1.0
610000,3.8462481,-4.2217155,None,None,None,1.0
620000,3.7931874,-4.1761,None,None,None,1.0
630000,3.7270443,-4.1239614,1999.0,-78.28664028644562,-78.28664028644562,1.0
640000,3.74766,-4.0820656,1999.0,-75.52059649702694,-75.52059649702694,1.0
650000,3.9066606,-3.1375964,None,None,None,1.0
660000,3.8890648,-3.622121,None,None,None,1.0
670000,3.8960042,-3.6652493,None,None,None,1.0
680000,3.8916993,-3.770298,None,None,None,1.0
690000,3.8837833,-3.8779314,None,None,None,1.0
700000,3.8872092,-3.9014156,None,None,None,1.0
710000,3.870588,-4.011646,None,None,None,1.0
720000,3.853829,-4.057012,None,None,None,1.0
730000,3.7989156,-4.134341,None,None,None,1.0
740000,3.7550519,-4.1660204,None,None,None,1.0
750000,3.7529368,-4.352175,1999.0,None,None,1.0
760000,3.7689798,-4.227355,1999.0,-63.75139120966196,-63.75139120966196,1.0
770000,3.81824,-4.194219,1999.0,-85.22868739387819,-85.22868739387819,1.0
780000,3.8013544,-3.3955,None,None,None,1.0
790000,3.8234062,-3.7156322,None,None,None,1.0
800000,3.8029351,-3.8280115,None,None,None,1.0
810000,3.7814074,-3.903789,None,None,None,1.0
820000,3.7748144,-4.0699844,None,None,None,1.0
830000,3.7819607,-4.0560775,None,None,None,1.0
840000,3.7731793,-4.1163545,None,None,None,1.0
850000,3.7566433,-4.183186,None,None,None,1.0
860000,3.78269,-4.2585826,None,None,None,1.0
870000,3.7911654,-4.2502565,1869.0,None,None,1.0
880000,3.7800024,-4.321324,1999.0,-74.29835241660476,-74.29835241660476,1.0
890000,3.7883587,-4.247839,None,None,None,1.0
900000,3.8770216,-3.9194717,1999.0,-79.82094771042466,-79.82094771042466,1.0
910000,3.813023,-3.534556,None,None,None,1.0
920000,3.7539425,-3.717617,None,None,None,1.0
930000,3.7462513,-3.8248377,None,None,None,1.0
940000,3.7820337,-3.9145765,None,None,None,1.0
950000,3.7193575,-4.0099473,None,None,None,1.0
960000,3.7254097,-4.0327597,None,None,None,1.0
970000,3.667571,-4.045192,None,None,None,1.0
980000,3.602273,-4.280796,None,None,None,1.0
990000,3.6588686,-4.2246737,None,None,None,1.0
1000000,3.6489236,-4.3973804,1999.0,-71.44889438897371,-71.44889438897371,1.0
1010000,3.7341108,-4.3233027,1999.0,-69.01836786419153,-69.01836786419153,1.0
1020000,3.7648327,-4.5599694,1999.0,-59.94038759171963,-59.94038759171963,1.0
1030000,3.987866,-3.8629346,1999.0,-86.36143850793059,-86.36143850793059,1.0
1040000,3.9676006,-3.5487437,None,None,None,1.0
1050000,3.9040496,-3.686003,None,None,None,1.0
1060000,3.8103135,-3.7054033,None,None,None,1.0
1070000,3.7699327,-3.8953972,1049.0,-43.5676244366914,-43.5676244366914,1.0
1080000,3.766589,-3.9281116,None,None,None,1.0
1090000,3.7270787,-4.2174153,None,None,None,1.0
1100000,3.6734993,-4.1223574,None,None,None,1.0
1110000,3.645216,-4.3793216,None,None,None,1.0
1120000,3.626822,-4.533597,None,None,None,1.0
1130000,3.5869823,-4.582565,None,None,None,1.0
1140000,3.514273,-4.65816,1999.0,-70.56297965347767,-70.56297965347767,1.0
1150000,3.5098994,-4.798913,1999.0,-203.6272316724062,-203.6272316724062,1.0
1160000,3.8480945,-3.756648,1999.0,-78.1966782149214,-78.1966782149214,1.0
1170000,3.6870203,-3.5327234,None,None,None,1.0
