Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,-0.54768384,4.447963,1053.0,0.012832498,0.022151893,0.00029673605,-14.438499920070171,-14.438499920070171,1.0
80000,-0.6225488,4.4325657,None,0.015393567,0.021409325,0.00029617958,None,None,1.0
90000,-0.6946513,4.409049,None,0.0086630145,0.02701343,0.00029562917,None,None,1.0
100000,-0.79718536,4.3903065,None,0.010204832,0.028260669,0.00029509157,None,None,1.0
110000,-0.8748361,4.351917,None,0.006736974,0.024145573,0.00029454115,None,None,1.0
120000,-0.92073107,4.316067,None,None,None,None,None,None,1.0
130000,-0.680084,4.3212767,999.5,0.0073531615,0.025994606,0.00029399074,-10.165249966995422,-10.165249966995422,1.0
140000,-0.39163035,4.331294,None,0.0073941913,0.020215837,0.0002934662,None,None,1.0
150000,-0.5689717,4.3122087,None,0.014688656,0.021718638,0.00029291582,None,None,1.0
160000,-0.592943,4.3090925,None,0.0060750903,0.028037747,0.00029237822,None,None,1.0
170000,-0.65111184,4.293787,None,0.003907813,0.026078112,0.0002918278,None,None,1.0
180000,-0.6625612,4.256629,None,0.0063677337,0.023794858,0.00029127748,None,None,1.0
190000,-0.7063533,4.224294,None,0.008232471,0.030238798,0.00029073984,None,None,1.0
200000,-0.763348,4.195529,1999.0,0.009549745,0.026019888,0.0002901862,-23.549750097095966,-23.549750097095966,1.0
210000,-0.74887407,4.1732492,None,0.007714258,0.020567285,0.0002896358,None,None,1.0
220000,-0.828496,4.133182,None,0.0027397855,0.019706998,0.00028909824,None,None,1.0
230000,-0.8325301,4.0652056,None,0.0031405773,0.025439234,0.00028854786,None,None,1.0
240000,-0.88388836,4.015947,None,None,None,None,None,None,1.0
250000,-0.86274064,3.9174552,None,0.0024474903,0.0233126,0.00028799745,None,None,1.0
260000,-0.6321791,3.9751058,1999.0,0.0047726408,0.024548832,0.0002874598,-12.249833460773031,-12.249833460773031,1.0
270000,-0.3758219,4.0000453,None,0.007505,0.022730576,0.00028692544,None,None,1.0
280000,-0.5490666,4.000423,None,0.014156779,0.022282353,0.00028638783,None,None,1.0
290000,-0.63206357,4.026522,None,0.008277711,0.025032261,0.00028583742,None,None,1.0
300000,-0.7733667,4.0095387,None,0.014050361,0.033509433,0.000285287,None,None,1.0
310000,-0.85129803,3.9881938,None,0.005708788,0.02610054,0.00028474943,None,None,1.0
320000,-0.9144703,3.9723558,None,0.0070769666,0.021019958,0.00028419902,None,None,1.0
330000,-0.97241765,3.9920695,1999.0,0.007281658,0.025420906,0.0002836454,-8.673500373959541,-8.673500373959541,1.0
340000,-1.0107611,3.9780862,None,0.00759381,0.026975986,0.0002831078,None,None,1.0
350000,-1.0609424,3.8806024,None,0.004156789,0.026742173,0.0002825574,None,None,1.0
360000,-1.0569676,3.8394456,None,0.0023398397,0.024456771,0.00028200698,None,None,1.0
370000,-1.062326,3.7550793,None,None,None,None,None,None,1.0
380000,-1.0696636,3.664005,None,0.004547726,0.030389091,0.00028146946,None,None,1.0
390000,-0.66906804,3.934083,1999.0,0.0030279788,0.023927458,0.000280919,-15.55058340455095,-15.55058340455095,1.0
400000,-0.38702327,3.8900707,None,0.022218745,0.028736476,0.0002803974,None,None,1.0
410000,-0.5294423,3.8585608,None,0.011722921,0.02393039,0.00027984698,None,None,1.0
420000,-0.58613056,3.8854082,None,0.0066468054,0.024984768,0.0002792966,None,None,1.0
430000,-0.6475009,3.8941898,None,0.012995502,0.03583068,0.00027875896,None,None,1.0
440000,-0.66301244,3.8762732,None,0.003955671,0.03168718,0.00027820858,None,None,1.0
450000,-0.72704476,3.8485699,1999.0,0.0036727353,0.023348076,0.00027765817,-7.976000340655446,-7.976000340655446,1.0
460000,-0.73798496,3.8504758,None,0.004948644,0.02309247,0.00027711742,None,None,1.0
470000,-0.7367676,3.7691967,None,0.0036092328,0.025460219,0.00027656704,None,None,1.0
