Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,-0.14693615,0.00081059296,0.022603812,0.00029399683,1.4151288,1066.1333333333334,-2.208566853563146,-2.208566853563146,1.0
140000,-0.1548693,0.0067925644,0.024029575,0.00029344362,1.4150077,None,None,None,1.0
150000,-0.17322613,0.0123966,0.036060497,0.0002928932,1.4124494,None,None,None,1.0
160000,-0.19315541,0.001985086,0.02469114,0.00029236838,1.411102,None,None,None,1.0
170000,-0.19861288,0.0010804903,0.023904255,0.00029180522,1.4114639,None,None,None,1.0
180000,-0.21048088,0.001128807,0.022350112,0.00029125475,1.4117786,None,None,None,1.0
190000,-0.21811856,0.0010787542,0.023153258,0.00029073,1.4104805,None,None,None,1.0
200000,-0.22319633,0.0010511877,0.023350911,0.00029016682,1.409127,None,None,None,1.0
210000,-0.22962922,0.0008912442,0.02271536,0.00028961635,1.4108769,None,None,None,1.0
220000,-0.23247024,0.0006589025,0.031209346,0.00028909167,1.4112668,None,None,None,1.0
230000,-0.2314994,0.0007148518,0.023515984,0.00028852842,1.4097713,None,None,None,1.0
240000,-0.2358983,None,None,None,1.4086424,None,None,None,1.0
250000,-0.23711395,0.00041652814,0.024095323,0.000287978,1.4068953,None,None,None,1.0
260000,-0.21018155,0.0003958301,0.02416371,0.00028745324,1.4062628,1881.4117647058824,-4.1895591686171585,-4.1895591686171585,1.0
270000,-0.21194649,0.011204658,0.031679664,0.0002869154,1.4068336,None,None,None,1.0
280000,-0.24326189,0.007869471,0.018980658,0.00028637785,1.4077932,None,None,None,1.0
290000,-0.25130397,0.0014888332,0.018908637,0.00028582744,1.4090538,None,None,None,1.0
300000,-0.25478476,0.0005833902,0.021881334,0.00028527706,1.4085337,None,None,None,1.0
310000,-0.25318864,0.0005013079,0.026036361,0.00028473942,1.4066359,None,None,None,1.0
320000,-0.24728456,0.00273574,0.020390596,0.000284189,1.4053798,None,None,None,1.0
330000,-0.24208637,0.00028180124,0.030306004,0.00028363863,1.4028381,None,None,None,1.0
340000,-0.23924392,0.0002280898,0.025881382,0.00028310102,1.4025023,None,None,None,1.0
350000,-0.23324738,0.00020998168,0.01911496,0.0002825506,1.4023644,None,None,None,1.0
360000,-0.22799027,0.0002094533,0.030227784,0.0002820002,1.4022377,None,None,None,1.0
370000,-0.23111182,None,None,None,1.4019425,None,None,None,1.0
380000,-0.22688372,0.000786922,0.024428152,0.0002814626,1.4018598,None,None,None,1.0
390000,-0.2093456,0.00016036423,0.026854811,0.00028091218,1.4015877,1881.4117647058824,-4.101206216902938,-4.101206216902938,1.0
400000,-0.21779907,0.013203912,0.021962889,0.00028039995,1.40134,None,None,None,1.0
410000,-0.22160655,0.0029695397,0.022835428,0.00027984957,1.400056,None,None,None,1.0
420000,-0.22074005,0.005273475,0.020761035,0.00027929916,1.3986245,None,None,None,1.0
430000,-0.21997993,0.001974864,0.025588177,0.00027876164,1.3976631,None,None,None,1.0
440000,-0.22412243,0.0006805294,0.023860747,0.00027821123,1.3977368,None,None,None,1.0
450000,-0.22525556,0.0003977582,0.023800176,0.00027766082,1.3980001,None,None,None,1.0
460000,-0.22781384,0.00028056832,0.022545924,0.00027712327,1.3981133,None,None,None,1.0
470000,-0.23299935,0.0013901189,0.03208129,0.00027657286,1.3982542,None,None,None,1.0
480000,-0.23291352,0.00033692358,0.02970496,0.00027602245,1.399206,None,None,None,1.0
490000,-0.2314452,None,None,None,1.400175,None,None,None,1.0
500000,-0.23488037,0.00018832333,0.0279414,0.00027548484,1.3992854,None,None,None,1.0
510000,-0.23542492,0.00020245448,0.026091693,0.00027493443,1.397597,None,None,None,1.0
520000,-0.21738358,0.0009253716,0.027727285,0.00027441923,1.3966147,1999.0,-4.357375346822664,-4.357375346822664,1.0
530000,-0.22796397,0.016372696,0.029742993,0.0002738592,1.3967073,None,None,None,1.0
540000,-0.22771503,0.002247681,0.021662658,0.0002733088,1.398018,None,None,None,1.0
550000,-0.23313,0.00078310684,0.025064398,0.00027277126,1.3992378,None,None,None,1.0
560000,-0.23501508,0.00022363754,0.01836443,0.00027222084,1.3981594,None,None,None,1.0
570000,-0.23695107,0.00021821294,0.02231283,0.00027167046,1.3965651,None,None,None,1.0
580000,-0.2376674,0.00017031241,0.02623182,0.00027113283,1.3954682,None,None,None,1.0
590000,-0.23842567,0.00016461284,0.025471482,0.00027058242,1.3925616,None,None,None,1.0
600000,-0.23881084,0.0009903444,0.03248548,0.000270032,1.3916246,None,None,None,1.0
610000,-0.238894,None,None,None,1.3922107,None,None,None,1.0
620000,-0.24052513,0.00016227187,0.019077392,0.00026949443,1.3923026,None,None,None,1.0
630000,-0.24219574,0.0002066095,0.02469838,0.00026894402,1.3916003,None,None,None,1.0
640000,-0.24289739,0.00011240761,0.021755043,0.00026839363,1.3910685,1999.0,-4.353932556712021,-4.353932556712021,1.0
650000,-0.21258695,0.008997645,0.024335854,0.00026786883,1.3902171,None,-4.798000356554985,-4.798000356554985,1.0
660000,-0.23549703,0.009726298,0.024683468,0.00026731842,1.3893962,None,None,None,1.0
670000,-0.23447262,0.006970735,0.017957259,0.00026678076,1.3888777,None,None,None,1.0
680000,-0.23474072,0.00044607784,0.026275445,0.0002662305,1.3890821,None,None,None,1.0
690000,-0.22944835,0.0022465144,0.021614742,0.00026568008,1.3895526,None,None,None,1.0
700000,-0.2314256,0.0014635029,0.017697213,0.00026514241,1.3900564,None,None,None,1.0
710000,-0.22934464,0.00030043538,0.0225318,0.00026459203,1.3890442,None,None,None,1.0
720000,-0.23328175,0.0003024186,0.022148002,0.00026404162,1.3874719,None,None,None,1.0
730000,-0.23399396,0.00024399054,0.018919172,0.00026350407,1.3869543,None,None,None,1.0
740000,-0.23535636,None,None,None,1.3870372,None,None,None,1.0
750000,-0.23878734,0.003015249,0.028100504,0.00026295366,1.3861816,None,None,None,1.0
760000,-0.2366143,0.0016917174,0.021586651,0.00026240325,1.3856399,None,None,None,1.0
770000,-0.22629534,0.00038431637,0.027981557,0.0002618656,1.3857187,1999.0,-4.201125353574753,-4.201125353574753,1.0
780000,-0.17766237,0.019012129,0.026190715,0.00026132807,1.3856373,None,None,None,1.0
790000,-0.21060169,0.0109710125,0.027717812,0.0002607904,1.3847748,None,None,None,1.0
800000,-0.2123367,0.0015840327,0.028566986,0.00026024,1.3842067,None,None,None,1.0
810000,-0.215632,0.0008644921,0.024287913,0.0002596896,1.3848653,None,None,None,1.0
820000,-0.21575752,0.0003034386,0.027081944,0.00025915206,1.3857063,None,None,None,1.0
830000,-0.2175901,0.0015799607,0.02321368,0.00025859202,1.3866943,None,None,None,1.0
840000,-0.21429837,0.0009071773,0.028191812,0.00025805127,1.3874162,None,None,None,1.0
850000,-0.21930155,0.0012150896,0.02745417,0.0002575136,1.3863443,None,None,None,1.0
860000,-0.21605992,None,None,None,1.3857688,None,None,None,1.0
870000,-0.22027916,0.0024953184,0.025735108,0.0002569632,1.3858832,None,None,None,1.0
880000,-0.224277,0.00088544283,0.024045326,0.0002564128,1.3855686,None,None,None,1.0
890000,-0.2264425,0.0008421543,0.021842618,0.00025587523,1.3847448,None,None,None,1.0
900000,-0.1963554,0.00081700983,0.030587694,0.00025532482,1.3844637,1999.0,-4.06050037080422,-4.06050037080422,1.0
910000,-0.18502387,0.018308578,0.029433273,0.00025480002,1.3846883,None,None,None,1.0
920000,-0.20294487,0.0025155623,0.023233194,0.0002542496,1.3840668,None,None,None,1.0
930000,-0.21504608,0.002695872,0.026891122,0.00025369923,1.3832158,None,None,None,1.0
940000,-0.21675892,0.00052942376,0.024062444,0.00025316156,1.382673,None,None,None,1.0
950000,-0.21961667,0.0036661946,0.028857237,0.00025261115,1.3830043,None,None,None,1.0
960000,-0.2189326,0.0004865415,0.019127125,0.00025206077,1.383452,None,None,None,1.0
970000,-0.22410049,0.0012001973,0.026411468,0.00025152322,1.3823118,None,None,None,1.0
980000,-0.22695294,None,None,None,1.38141,None,None,None,1.0
990000,-0.23134705,0.000927149,0.023936462,0.0002509728,1.381059,None,None,None,1.0
1000000,-0.231911,0.0016696664,0.026311351,0.00025042242,1.3807411,None,None,None,1.0
1010000,-0.23517308,0.00022995098,0.024119047,0.00024988488,1.380634,None,None,None,1.0
1020000,-0.23457251,0.0026317127,0.024803739,0.00024933447,1.3810647,None,None,None,1.0
1030000,-0.18056291,0.00026654967,0.024943205,0.00024881918,1.3813168,1999.0,-4.123000368708745,-4.123000368708745,1.0
1040000,-0.17139329,0.017941253,0.020459874,0.00024825925,1.3802774,None,None,None,1.0
1050000,-0.18530284,0.009184417,0.018272424,0.00024770884,1.3793292,None,None,None,1.0
1060000,-0.19703928,0.0028418598,0.019919623,0.0002471617,1.3789932,None,None,None,1.0
1070000,-0.20379014,0.0013351125,0.025264403,0.0002466208,1.3761811,None,None,None,1.0
1080000,-0.21243535,0.0022262498,0.028136462,0.00024607038,1.375405,None,None,None,1.0
1090000,-0.2103981,0.0008436393,0.026930025,0.00024553286,1.3741951,None,None,None,1.0
1100000,-0.2124612,None,None,None,1.3730271,None,None,None,1.0
1110000,-0.21214515,0.0035227502,0.02577498,0.00024498245,1.3725646,None,None,None,1.0
1120000,-0.21581249,0.0020515,0.022229461,0.00024443204,1.3727242,None,None,None,1.0
1130000,-0.22148618,0.00077261246,0.026370833,0.00024389442,1.3726277,None,None,None,1.0
1140000,-0.22919972,0.00065272587,0.02311813,0.00024334401,1.3727885,None,None,None,1.0
1150000,-0.22566384,0.0012924573,0.030880453,0.00024279361,1.3731401,None,None,None,1.0
1160000,-0.1580547,0.012572166,0.025541656,0.00024226881,1.372649,1999.0,-3.8417503640521318,-3.8417503640521318,1.0
1170000,-0.17979243,0.017686805,0.02262247,0.00024171842,1.3719192,None,None,None,1.0
1180000,-0.21056424,0.0061412654,0.02701858,0.00024118085,1.3719596,None,None,None,1.0
1190000,-0.22121254,0.0025017986,0.024037369,0.00024063044,1.3728651,None,None,None,1.0
1200000,-0.22868866,0.0025533463,0.024954898,0.00024008004,1.3723927,None,None,None,1.0
1210000,-0.22865465,0.0017006458,0.02773741,0.0002395424,1.372529,None,None,None,1.0
1220000,-0.23257354,None,None,None,1.3713404,None,None,None,1.0
1230000,-0.22470905,0.0011133465,0.019232392,0.00023899208,1.3694121,None,None,None,1.0
1240000,-0.2316734,0.001845925,0.026252726,0.00023844169,1.3681413,None,None,None,1.0
1250000,-0.23419982,0.0017915827,0.022467095,0.00023790404,1.3678033,None,None,None,1.0
1260000,-0.23975383,0.0006208038,0.02369747,0.00023735364,1.3677286,None,None,None,1.0
1270000,-0.23555884,0.00032500384,0.032971084,0.00023680323,1.367366,1799.0,-1.9980003233067691,-1.9980003233067691,1.0
1280000,-0.2296051,0.0048702825,0.022020586,0.00023626402,1.3669478,1999.0,-3.717298615658492,-3.717298615658492,1.0
1290000,-0.11067463,0.01985761,0.020989334,0.00023571684,1.3669657,None,-2.9980004131793976,-2.9980004131793976,1.0
1300000,-0.18175443,0.017289223,0.022708049,0.00023517928,1.3673853,None,None,None,1.0
1310000,-0.21158817,0.004490809,0.028525079,0.00023462847,1.3675615,385.0,1.5354998386465013,1.5354998386465013,1.0
1320000,-0.22013317,0.0063340394,0.026021788,0.00023407806,1.3675203,None,None,None,1.0
1330000,-0.21805257,0.00589014,0.024758229,0.00023354041,1.365863,None,None,None,1.0
1340000,-0.21801841,None,None,None,1.36611,None,None,None,1.0
1350000,-0.22218858,0.0013946969,0.023660759,0.00023299003,1.3678079,None,None,None,1.0
1360000,-0.22100906,0.0021760634,0.026876895,0.00023243962,1.3685799,None,None,None,1.0
1370000,-0.22070274,0.0027014771,0.021697635,0.00023190206,1.3681163,None,None,None,1.0
1380000,-0.17713873,0.0007329134,0.023098385,0.00023135166,1.368104,1370.5,-0.9277503029443324,-0.9277503029443324,1.0
1390000,-0.11698561,0.008614127,0.026473844,0.00023079025,1.3683727,None,None,None,1.0
1400000,-0.11114177,0.0065198834,0.02745148,0.00023027507,1.368277,1912.0,-3.0312503073364496,-3.0312503073364496,1.0
1410000,-0.037293468,0.017032305,0.021849396,0.00022970505,1.3688428,1998.1666666666667,-3.2042503794461177,-3.2042503794461177,1.0
1420000,-0.07354538,0.030428268,0.023096854,0.00022918225,1.3694241,None,None,None,1.0
1430000,-0.16320845,0.009747368,0.024880646,0.0002286195,1.3690351,509.0,1.2269998751580715,1.2269998751580715,1.0
1440000,-0.1886935,0.005674491,0.028389145,0.0002280691,1.367752,None,None,None,1.0
1450000,-0.19616504,0.0034977235,0.025304785,0.0002275443,1.3679157,None,None,None,1.0
1460000,-0.18648036,None,None,None,1.3674972,None,None,None,1.0
1470000,-0.1952316,0.0042451937,0.02124752,0.00022698105,1.3668715,None,None,None,1.0
1480000,-0.19324559,0.0018035342,0.026978055,0.00022643064,1.3663238,None,None,None,1.0
1490000,-0.19366783,0.0017478433,0.031437628,0.00022590584,1.3674365,None,None,None,1.0
1500000,-0.1930294,0.0030360105,0.026984345,0.00022534265,1.3686161,1452.0,-1.1310004256665707,-1.1310004256665707,1.0
