Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,-0.08064564,0.0011019789,0.022747757,0.00029399683,1.4336797,999.5,-1.953375172422966,-1.953375172422966,1.0
140000,-0.0806973,0.0053594466,0.026319038,0.00029346888,1.4342334,None,None,None,1.0
150000,-0.10949045,0.011949415,0.025930699,0.00029291847,1.4341377,None,None,None,1.0
160000,-0.1316867,0.0062810117,0.027774317,0.00029238084,1.4339834,None,None,None,1.0
170000,-0.14516345,0.005398982,0.031430073,0.00029183048,1.4344771,None,None,None,1.0
180000,-0.14839742,0.0014976966,0.021714905,0.00029128007,1.4345152,None,None,None,1.0
190000,-0.16132733,0.0020438924,0.020842642,0.0002907424,1.4337311,None,None,None,1.0
200000,-0.17229618,0.0016796502,0.027117128,0.00029019202,1.4321203,None,None,None,1.0
210000,-0.17636065,0.0026161158,0.030014668,0.0002896416,1.43143,None,None,None,1.0
220000,-0.18859196,0.002691634,0.023516277,0.000289104,1.4311574,None,None,None,1.0
230000,-0.18025354,0.004658978,0.019082496,0.0002885536,1.4302398,None,None,None,1.0
240000,-0.17954578,0.009727109,0.025223304,0.00028800318,1.4291614,None,None,None,1.0
250000,-0.17786135,None,None,None,1.4320368,None,None,None,1.0
260000,-0.14945897,0.0062919045,0.027635071,0.00028746566,1.4321978,1999.0,-3.68550034891814,-3.68550034891814,1.0
270000,-0.11610325,0.012850911,0.023639582,0.00028692803,1.4325376,None,None,None,1.0
280000,-0.15267467,0.010934429,0.021946331,0.00028639042,1.4326555,None,None,None,1.0
290000,-0.15889443,0.006552942,0.023879098,0.00028584,1.4330431,None,None,None,1.0
300000,-0.17377408,0.003104652,0.021590112,0.00028528963,1.4331163,None,None,None,1.0
310000,-0.1845619,0.0018203619,0.025269974,0.000284752,1.4331902,None,None,None,1.0
320000,-0.18596046,0.0016861174,0.0175453,0.00028420158,1.4327927,None,None,None,1.0
330000,-0.18798415,0.0012533186,0.023321008,0.0002836512,1.4323059,None,None,None,1.0
340000,-0.20200059,0.005147582,0.027481625,0.00028311362,1.4325237,None,None,None,1.0
350000,-0.21198112,0.0030600897,0.027929278,0.0002825632,1.4315995,None,None,None,1.0
360000,-0.20652665,0.0024071755,0.023598148,0.00028201283,1.4324151,None,None,None,1.0
370000,-0.20602895,None,None,None,1.4322375,None,None,None,1.0
380000,-0.20542556,0.0031314609,0.024376608,0.0002814752,1.4312191,None,None,None,1.0
390000,-0.11987098,0.0035162913,0.024925781,0.0002809249,1.4318205,1999.0,-3.4042503575328737,-3.4042503575328737,1.0
400000,-0.09386946,0.026625741,0.023811242,0.00028039995,1.4315351,None,None,None,1.0
