Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,0.018307818,1.4164639,0.024949985,0.022290308,0.000293472,874.2,2.3020997459301724,2.3020997459301724,1.0
80000,0.022941137,1.4158924,0.0065080384,0.02331416,0.00029236884,None,None,None,1.0
90000,0.02310787,1.4163061,0.010794259,0.029951597,0.00029126805,None,None,None,1.0
100000,0.010680912,1.4183054,0.005500186,0.02054057,0.00029019278,None,None,None,1.0
110000,0.022511825,1.4187977,0.0033329711,0.025002846,0.0002890892,1335.8,2.650199685478583,2.650199685478583,1.0
120000,-0.02358516,1.4193718,None,None,None,None,None,None,1.0
130000,0.009338665,1.420328,0.0030703703,0.02618432,0.00028798837,999.5,1.0565712892660355,1.0565712892660355,1.0
140000,0.09703928,1.4214,0.013391128,0.028298963,0.00028689482,None,None,None,1.0
150000,0.073446825,1.4219512,0.01465633,0.023815893,0.00028579403,None,None,None,1.0
160000,0.0767135,1.4245235,0.011401804,0.030084087,0.00028474443,None,None,None,1.0
170000,0.07753706,1.4275244,0.008845969,0.02657219,0.00028361802,None,None,None,1.0
180000,0.08272858,1.4279343,0.0055025737,0.02427688,0.00028251726,None,None,None,1.0
190000,0.07309525,1.4266814,0.0072676702,0.026438886,0.00028146766,None,None,None,1.0
200000,0.070160545,1.4258682,0.003256141,0.023167066,0.00028034122,1999.0,1.8394998202857096,1.8394998202857096,1.0
210000,0.08938885,1.4261261,0.0056186486,0.020541297,0.0002792597,None,None,None,1.0
220000,0.0847193,1.42696,0.0029784376,0.026793875,0.00027818437,None,None,None,1.0
230000,0.08552287,1.4264768,0.005701893,0.028708778,0.00027708366,None,None,None,1.0
240000,0.09327899,1.4261628,None,None,None,1671.4444444444443,2.2613886201935305,2.2613886201935305,1.0
250000,0.09082101,1.4244269,0.004690843,0.022662783,0.00027598804,1497.4,2.573699778923765,2.573699778923765,1.0
260000,0.14059666,1.4245398,0.0038005179,0.024652805,0.00027493163,1999.0,2.405041385194636,2.405041385194636,1.0
270000,0.19096339,1.424901,0.012280364,0.023577603,0.00027380523,None,None,None,1.0
280000,0.15515949,1.4243147,0.013204575,0.023653034,0.0002727556,None,None,None,1.0
290000,0.1279907,1.4237145,0.007550214,0.021147588,0.00027162922,457.4,2.2023996101459486,2.2023996101459486,1.0
300000,0.12072231,1.4234686,0.008213814,0.024659159,0.00027050398,None,None,None,1.0
310000,0.10485947,1.4229367,0.007749136,0.028192319,0.00026945438,None,None,None,1.0
320000,0.09875865,1.421951,0.0101500815,0.030006249,0.000268328,None,None,None,1.0
330000,0.10240291,1.4216458,0.0036967369,0.021979494,0.0002672464,1999.0,2.660499649879057,2.660499649879057,1.0
340000,0.14764598,1.4194564,0.0055166846,0.026463011,0.00026621908,1007.0,2.4279496786999517,2.4279496786999517,1.0
350000,0.1633656,1.4173334,0.007425244,0.02150214,0.00026516564,1171.8,2.503299730271101,2.503299730271101,1.0
360000,0.16891132,1.4181482,0.011805745,0.024812974,0.00026411968,1476.6,2.31159959215438,2.31159959215438,1.0
370000,0.15677588,1.4194914,None,None,None,1593.2857142857142,2.54257110130441,2.54257110130441,1.0
380000,0.1609194,1.4191692,0.008316157,0.024876922,0.0002629884,None,None,None,1.0
390000,0.20202495,1.4167694,0.008338335,0.022329874,0.0002618876,1851.875,2.7351871907303575,2.7351871907303575,1.0
400000,0.20803809,1.416179,0.021890335,0.023051394,0.00026082242,None,None,None,1.0
410000,0.17168811,1.416182,0.00953658,0.028414307,0.000259696,653.9333333333333,2.2167331070367555,2.2167331070367555,1.0
420000,0.19239323,1.4172276,0.009714088,0.032125127,0.00025858486,859.8571428571429,2.410392564446998,2.410392564446998,1.0
430000,0.20106843,1.4169868,0.0149775315,0.018160729,0.00025755962,703.0,2.5149997392087244,2.5149997392087244,1.0
440000,0.1552514,1.4155315,0.012087934,0.030326637,0.00025642043,None,2.2702997644082643,2.2702997644082643,1.0
450000,0.13842815,1.4142702,0.007087357,0.024413604,0.0002553212,763.8,2.2478996924590318,2.2478996924590318,1.0
460000,0.15124682,1.4132534,0.009709613,0.028127812,0.0002542908,1599.0,2.5463330161874183,2.5463330161874183,1.0
470000,0.20655794,1.410841,0.014172133,0.022884095,0.0002531936,809.0,2.5006455381929604,2.5006455381929604,1.0
480000,0.1548022,1.4093764,0.010842466,0.02148006,0.00025215882,None,None,None,1.0
490000,0.14108486,1.4076335,0.0054546697,0.0178997,0.00025103326,601.0,2.705624700989574,2.705624700989574,1.0
500000,0.17747131,1.4061774,None,None,None,None,2.128949698799988,2.128949698799988,1.0
510000,0.11016102,1.4061427,0.014030663,0.031377643,0.0002499592,1999.0,None,None,1.0
520000,0.15117593,1.4066485,0.0036839165,0.018305963,0.00024892244,1564.6,2.7014996812437087,2.7014996812437087,1.0
530000,0.14212993,1.4056039,0.012691314,0.019883394,0.00024785803,529.6666666666666,2.1974997639423237,2.1974997639423237,1.0
540000,0.18603495,1.4041777,0.012456497,0.019984389,0.0002467916,970.1428571428571,2.4951663386503546,2.4951663386503546,1.0
550000,0.1742888,1.4028485,0.014407379,0.026176454,0.00024568802,1038.7894736842106,2.497356829104579,2.497356829104579,1.0
560000,0.21086809,1.4019159,0.01259637,0.024774114,0.0002445668,1519.0,2.6396662998692286,2.6396662998692286,1.0
570000,0.24462561,1.4008347,0.015511633,0.03158343,0.00024347004,913.2857142857143,2.2008329483098352,2.2008329483098352,1.0
580000,0.20888896,1.3992735,0.014601087,0.026099797,0.00024243568,1404.6,2.6234997382012404,2.6234997382012404,1.0
590000,0.18209441,1.3981769,0.012286652,0.023444299,0.00024137447,391.0,3.201499817892909,3.201499817892909,1.0
600000,0.17443214,1.3981553,0.009178126,0.023843544,0.00024025844,546.4666666666667,2.1358568082048026,2.1358568082048026,1.0
610000,0.17937037,1.3980603,0.012086609,0.022233639,0.00023915888,824.6,2.322233084232236,2.322233084232236,1.0
620000,0.18073083,1.3972309,0.012624937,0.022298567,0.00023810129,632.6,2.274933018822533,2.274933018822533,1.0
630000,0.1989296,1.3971875,0.011603371,0.02427434,0.00023705003,736.6,2.598333127806351,2.598333127806351,1.0
640000,0.2100691,1.3985465,None,None,None,748.0434782608696,2.284999768754157,2.284999768754157,1.0
650000,0.25698358,1.40024,0.017166138,0.020754926,0.00023599288,1006.3333333333334,2.8968745036108885,2.8968745036108885,1.0
660000,0.25906226,1.3994809,0.017196376,0.028242415,0.00023493767,287.0,2.245978898218406,2.245978898218406,1.0
670000,0.29681763,1.3983898,0.020231824,0.026540501,0.00023387521,1177.1052631578948,2.641657628299742,2.641657628299742,1.0
680000,0.3106878,1.3963931,0.0164032,0.022357808,0.00023276084,556.0,2.4407605453996677,2.4407605453996677,1.0
690000,0.31097785,1.3949012,0.021786664,0.019485181,0.00023165964,360.8666666666667,1.973174738875241,1.973174738875241,1.0
700000,0.29615888,1.3942187,0.025752312,0.02345563,0.00023061686,225.2,2.0519997230381706,2.0519997230381706,1.0
710000,0.31118792,1.3943279,0.020276358,0.026064431,0.00022958643,693.4,2.271379628800787,2.271379628800787,1.0
720000,0.3135769,1.3936694,0.023899168,0.023229154,0.000228462,273.0,2.098499621095834,2.098499621095834,1.0
730000,0.22444469,1.3923388,0.01128989,0.023401242,0.00022736129,754.8333333333334,2.284999641927425,2.284999641927425,1.0
740000,0.28236556,1.3912129,0.014907237,0.02831411,0.00022633004,359.5416666666667,2.153374649572652,2.153374649572652,1.0
750000,0.29825616,1.3903061,0.015186543,0.025342885,0.00022525244,576.1666666666666,2.31841638230253,2.31841638230253,1.0
760000,0.33362025,1.3892908,0.022501117,0.021933453,0.00022415085,294.0,2.2951838618487512,2.2951838618487512,1.0
770000,0.27794772,1.3891702,0.022291642,0.021701822,0.00022308047,1052.125,2.36243713752386,2.36243713752386,1.0
780000,0.25684085,1.3890553,None,None,None,440.06666666666666,2.038099661277374,2.038099661277374,1.0
790000,0.2985223,1.3871837,0.012284195,0.019141909,0.00022195124,345.6666666666667,2.332173543934123,2.332173543934123,1.0
800000,0.36622053,1.3867358,0.016964698,0.022806592,0.00022082165,683.8888888888889,2.3765274217423413,2.3765274217423413,1.0
810000,0.34150675,1.387168,0.02434826,0.028389303,0.00021973204,627.7777777777778,2.451756774725592,2.451756774725592,1.0
820000,0.34268448,1.3874576,0.020861883,0.029948775,0.00021868326,246.6,2.1512196804443375,2.1512196804443375,1.0
830000,0.26956722,1.385484,0.024938958,0.021733439,0.00021765046,682.5555555555555,2.5289227736245197,2.5289227736245197,1.0
840000,0.26330674,1.3839252,0.019084033,0.028149866,0.00021657362,323.57142857142856,2.1132642555817522,2.1132642555817522,1.0
850000,0.24666297,1.3828763,0.01355062,0.025811262,0.00021546047,671.0,2.314541338380271,2.314541338380271,1.0
860000,0.25457036,1.3815436,0.015822504,0.02268349,0.00021436888,784.0666666666667,2.3623996279551647,2.3623996279551647,1.0
870000,0.23151325,1.3804383,0.01265205,0.023753243,0.00021328364,410.46666666666664,2.1868996658362447,2.1868996658362447,1.0
880000,0.21173671,1.3792219,0.011654422,0.020652708,0.0002121677,1081.4,2.3865996050299145,2.3865996050299145,1.0
890000,0.1728964,1.3767868,0.00787364,0.02632882,0.00021104688,492.6,2.1593997252755797,2.1593997252755797,1.0
900000,0.19578506,1.3764393,None,None,None,346.4,2.0798329939406055,2.0798329939406055,1.0
910000,0.24477877,1.3750517,0.012756346,0.021718567,0.00020997076,801.4,2.2259496696526186,2.2259496696526186,1.0
920000,0.17828475,1.3737493,0.012609934,0.024110578,0.00020885005,None,None,None,1.0
930000,0.2180297,1.3733296,0.007686972,0.031574238,0.00020779896,671.2105263157895,2.3312627965137116,2.3312627965137116,1.0
940000,0.19111925,1.3727709,0.021858023,0.022523923,0.00020675366,1999.0,2.7134996266686358,2.7134996266686358,1.0
