Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.14190796,1.4144441,0.0062677464,0.029012468,0.00029237117,1011.4,-0.7606998140690848,-0.7606998140690848,1.0
90000,-0.14183252,1.4152728,0.013999488,0.029655464,0.00029123083,None,None,None,1.0
100000,-0.18093088,1.4151549,0.006731971,0.022426425,0.00029018123,None,None,None,1.0
110000,-0.19164254,1.4133465,0.007830249,0.019264853,0.00028905482,1393.0,None,None,1.0
120000,-0.17760833,1.4131315,None,None,None,None,-2.1270998523395974,-2.1270998523395974,1.0
130000,-0.12961844,1.4136878,0.017356355,0.022027126,0.00028794244,999.5,-2.445020744441839,-2.445020744441839,1.0
140000,-0.13489121,1.414031,0.020399878,0.025460126,0.000286888,None,None,None,1.0
150000,-0.1733606,1.4143949,0.021484328,0.022498513,0.00028578722,None,None,None,1.0
160000,-0.16194445,1.4140533,0.018903403,0.023876254,0.00028473762,None,None,None,1.0
170000,-0.19353999,1.4128796,0.016053101,0.027249662,0.0002836112,None,None,None,1.0
180000,-0.21522324,1.4107344,0.014416565,0.031345256,0.00028251036,None,None,None,1.0
190000,-0.24049519,1.40948,0.018328948,0.02280745,0.00028146076,None,None,None,1.0
200000,-0.22437379,1.4095376,0.008972374,0.022779059,0.0002803344,None,None,None,1.0
210000,-0.21832009,1.4115725,0.009011898,0.021535201,0.0002792208,1999.0,-5.165999865159392,-5.165999865159392,1.0
220000,-0.22357689,1.4135922,0.022356275,0.024195787,0.0002781712,None,None,None,1.0
230000,-0.25796983,1.4172542,0.013759832,0.023778198,0.0002770448,None,None,None,1.0
240000,-0.27887818,1.4202977,None,None,None,1897.6666666666667,-4.020708266335229,-4.020708266335229,1.0
250000,-0.2362542,1.4192941,0.014719144,0.026012529,0.000275944,None,None,None,1.0
260000,-0.16462582,1.4178854,0.0192082,0.02107742,0.0002748944,1999.0,-5.028772609223696,-5.028772609223696,1.0
270000,-0.10794102,1.4156369,0.031217497,0.0251169,0.00027380005,None,None,None,1.0
280000,-0.20619644,1.4140893,0.037446856,0.029111095,0.0002727248,None,None,None,1.0
290000,-0.25482622,1.4132125,0.030734636,0.024391655,0.000271624,None,None,None,1.0
300000,-0.30727324,1.4141523,0.012048778,0.024369063,0.0002705232,None,None,None,1.0
310000,-0.30379194,1.4153311,0.0060750535,0.025939297,0.0002694736,None,None,None,1.0
320000,-0.31838775,1.4158696,0.0039914777,0.025469957,0.0002683472,None,None,None,1.0
330000,-0.29462433,1.4146007,0.0062592127,0.019664902,0.00026722762,1060.6,-1.0564999832771718,-1.0564999832771718,1.0
340000,-0.30144653,1.4136108,0.01741522,0.02311887,0.00026618445,1764.3333333333333,-3.7529998207464814,-3.7529998207464814,1.0
350000,-0.27728358,1.4160664,0.021785254,0.026834141,0.00026503243,None,None,None,1.0
360000,-0.28725344,1.4146105,None,None,None,1283.8,-1.9273998921737074,-1.9273998921737074,1.0
370000,-0.2881606,1.41431,0.007983561,0.0265753,0.00026392925,1897.6666666666667,-4.431000063816707,-4.431000063816707,1.0
380000,-0.29875168,1.4166088,0.012507229,0.018286254,0.00026282846,1559.0,-2.9241998105309905,-2.9241998105309905,1.0
390000,-0.19733489,1.4169137,0.017867675,0.02162463,0.00026179006,1928.655172413793,-4.3967413274763985,-4.3967413274763985,1.0
400000,-0.18442588,1.4164288,0.05312757,0.023939265,0.0002607276,None,None,None,1.0
410000,-0.24144427,1.4157548,0.026162898,0.029212203,0.00025962284,467.8,1.6314000254496932,1.6314000254496932,1.0
420000,-0.23283151,1.4159034,0.01732218,0.027634682,0.0002584964,None,None,None,1.0
430000,-0.28634754,1.4168469,0.017717717,0.022744928,0.0002574548,805.8,-0.07654991028830409,-0.07654991028830409,1.0
440000,-0.26569048,1.4171371,0.022815175,0.01971428,0.00025641598,735.0,0.5022778505938024,0.5022778505938024,1.0
450000,-0.31796175,1.4166541,0.019319998,0.025060803,0.00025528643,1999.0,None,None,1.0
460000,-0.28870103,1.4167595,0.015991287,0.029790582,0.00025425045,1549.0,-3.6982498299330473,-3.6982498299330473,1.0
470000,-0.21958968,1.4180931,0.0108689135,0.02577752,0.0002531112,1999.0,-4.7477498897351325,-4.7477498897351325,1.0
480000,-0.20735264,1.4170914,0.013809296,0.021827823,0.00025207602,687.0,0.44070016463520006,0.44070016463520006,1.0
490000,-0.24220756,1.4142035,0.017443916,0.029991984,0.0002510008,1619.0,-2.2660998983192258,-2.2660998983192258,1.0
500000,-0.18229803,1.4139365,None,None,None,828.6,-2.6102776363905935,-2.6102776363905935,1.0
510000,-0.17758825,1.4144014,0.031649098,0.021912714,0.00024997402,1781.8235294117646,-2.9453887836490242,-2.9453887836490242,1.0
520000,-0.16005483,1.4142338,0.020710029,0.020470876,0.00024886325,None,-4.451249750331044,-4.451249750331044,1.0
530000,-0.20060904,1.4127893,0.01939446,0.026961897,0.00024778806,484.6,1.2954999927664175,1.2954999927664175,1.0
540000,-0.22041726,1.4122515,0.01539697,0.022460023,0.00024670042,None,None,None,1.0
550000,-0.25933573,1.4131205,0.016413763,0.024573557,0.00024567207,481.4,1.176500252680853,1.176500252680853,1.0
560000,-0.27202693,1.4134283,0.008242993,0.030467328,0.00024456484,855.0,-0.3621999247930944,-0.3621999247930944,1.0
570000,-0.23839264,1.4129473,0.011013319,0.027951874,0.00024353525,1999.0,-4.106749691069126,-4.106749691069126,1.0
580000,-0.2784972,1.4122212,0.017709125,0.020946655,0.00024240885,1999.0,-5.069499678909779,-5.069499678909779,1.0
590000,-0.20846201,1.4110024,0.014051706,0.027943356,0.00024133768,1669.7692307692307,-2.7359443455417125,-2.7359443455417125,1.0
600000,-0.1652836,1.4100505,0.023588132,0.022914987,0.00024027523,1454.0,-4.034749753773212,-4.034749753773212,1.0
610000,-0.18409206,1.4085907,0.030002723,0.024357842,0.00023924407,1999.0,-2.4272220624649585,-2.4272220624649585,1.0
620000,-0.28592685,1.4073249,0.01568213,0.022933947,0.00023821366,1999.0,-4.208249694667757,-4.208249694667757,1.0
630000,-0.18974504,1.4078053,0.019108806,0.024534715,0.00023713162,812.2,0.0017501257767435162,0.0017501257767435162,1.0
640000,-0.1438566,1.4081484,0.027061237,0.019749813,0.00023609081,1025.7692307692307,-0.6928075494316335,-0.6928075494316335,1.0
650000,-0.13218586,1.4057089,0.02640718,0.020184202,0.00023501561,None,None,None,1.0
660000,-0.19964968,1.4038346,None,None,None,1101.9333333333334,-1.9038180777358569,-1.9038180777358569,1.0
670000,-0.17459792,1.4021392,0.02044586,0.019393446,0.00023390526,1999.0,1.3152500877622515,1.3152500877622515,1.0
680000,-0.18874222,1.4001467,0.014438333,0.021359347,0.00023284281,546.2,-1.4384998951831625,-1.4384998951831625,1.0
690000,-0.23794293,1.3987644,0.021539258,0.026667394,0.00023169884,420.6,1.34560010060668,1.34560010060668,1.0
700000,-0.18487176,1.3974512,0.012903985,0.023191817,0.00023057601,1436.7142857142858,-2.3750355083861256,-2.3750355083861256,1.0
710000,-0.24640293,1.3963703,0.019447774,0.02515636,0.00022952644,589.0,1.637750182300806,1.637750182300806,1.0
720000,-0.25736916,1.3963393,0.010928722,0.02158972,0.00022847122,1999.0,-4.157999809831381,-4.157999809831381,1.0
730000,-0.23589325,1.3966872,0.01045411,0.026548114,0.00022733845,1999.0,-4.313999876379967,-4.313999876379967,1.0
740000,-0.14482716,1.3960943,0.013909047,0.023299944,0.00022630567,1007.2,-0.8087998391245492,-0.8087998391245492,1.0
750000,-0.16347292,1.3957828,0.028363053,0.026211675,0.00022520601,627.8,0.627400215016678,0.627400215016678,1.0
760000,-0.19715321,1.3966801,0.011911856,0.025387257,0.00022407444,1039.2105263157894,-1.3860789387376586,-1.3860789387376586,1.0
770000,-0.14691438,1.3992583,0.022987574,0.022287913,0.00022300564,1999.0,-4.624166448911031,-4.624166448911031,1.0
780000,-0.1331543,1.3995687,None,None,None,576.0,1.132625123107573,1.132625123107573,1.0
790000,-0.17543586,1.4006643,0.01996535,0.0259044,0.00022198123,1999.0,-4.8795000445097685,-4.8795000445097685,1.0
800000,-0.23736882,1.4026989,0.01878044,0.025302347,0.00022084845,1999.0,None,None,1.0
810000,-0.2408076,1.4021344,0.017047277,0.024719408,0.00021981807,495.0,-1.509444242498527,-1.509444242498527,1.0
820000,-0.21748734,1.4023225,0.019514782,0.026769908,0.00021869966,1059.0,-0.9201997970230877,-0.9201997970230877,1.0
830000,-0.27393958,1.4035231,0.027148873,0.020584563,0.00021766529,None,None,None,1.0
840000,-0.26707125,1.4032341,0.026101528,0.026556939,0.00021659165,849.4,-0.167999815242365,-0.167999815242365,1.0
850000,-0.32329062,1.4013088,0.018902803,0.022759447,0.00021550286,1606.111111111111,-2.9587776188790382,-2.9587776188790382,1.0
860000,-0.23112217,1.4002666,0.017591871,0.022477673,0.00021447244,996.6,-0.721799835562706,-0.721799835562706,1.0
870000,-0.29059508,1.400516,0.021033619,0.019637328,0.00021338128,1237.962962962963,-2.899045296595432,-2.899045296595432,1.0
880000,-0.25710282,1.4007002,0.04033425,0.01966679,0.00021232846,1160.7777777777778,-0.08974971329111472,-0.08974971329111472,1.0
890000,-0.10959,1.4015354,0.048395775,0.021198023,0.00021118764,818.2592592592592,0.059018650182729795,0.059018650182729795,1.0
900000,-0.04190406,1.401601,0.048064265,0.028074972,0.000210134,463.0,1.2078001165762544,1.2078001165762544,1.0
910000,-0.018164719,1.4004169,0.032093752,0.025584377,0.00020908088,736.5,0.39812517591296154,0.39812517591296154,1.0
920000,-0.0070683816,1.3993838,0.03933468,0.025533454,0.00020803482,693.88,0.3192200736934319,0.3192200736934319,1.0
930000,-0.00814847,1.3970587,None,None,None,675.8,1.6848000910133123,1.6848000910133123,1.0
940000,-0.02669333,1.3965629,0.04074646,0.022551626,0.00020699849,763.8,-1.2217998174834066,-1.2217998174834066,1.0
950000,-0.024826987,1.3961006,0.036107853,0.021019489,0.00020587568,559.6666666666666,0.7180209789585206,0.7180209789585206,1.0
960000,-0.049248565,1.396027,0.041333977,0.024488768,0.00020483727,599.6666666666666,1.3410436182343604,1.3410436182343604,1.0
970000,-0.059107512,1.3961965,0.043403413,0.019403066,0.00020372405,None,None,None,1.0
980000,-0.07775671,1.3958483,0.02138171,0.029263314,0.00020263683,520.4,1.0744751780468504,1.0744751780468504,1.0
990000,-0.08893971,1.3945429,0.03408406,0.026889352,0.00020156286,290.2,1.8863001303863711,1.8863001303863711,1.0
1000000,-0.06872726,1.392605,0.015026288,0.024534961,0.00020045883,566.4285714285714,1.3141786568199418,1.3141786568199418,1.0
1010000,-0.12715885,1.3913264,0.022543835,0.03129554,0.00019933483,1599.0,-1.9933744668960571,-1.9933744668960571,1.0
1020000,-0.06170827,1.3908494,0.02946505,0.022264708,0.00019829847,450.42857142857144,1.5567143916019373,1.5567143916019373,1.0
1030000,-0.059656847,1.3911372,0.026429083,0.02418964,0.00019721086,646.68,0.2957620240215744,0.2957620240215744,1.0
1040000,-0.03643548,1.3903205,0.03444597,0.021430496,0.00019607565,810.4285714285714,0.6232223271767402,0.6232223271767402,1.0
1050000,-0.05800467,1.3894304,0.032237403,0.02105561,0.00019500445,351.3333333333333,2.101600045710802,2.101600045710802,1.0
1060000,-0.09100063,1.3893757,None,None,None,739.8888888888889,0.9562144297565932,0.9562144297565932,1.0
1070000,-0.15328613,1.3885666,0.023822183,0.025612667,0.00019386286,1999.0,-4.100499738007784,-4.100499738007784,1.0
1080000,-0.11143926,1.3892736,0.014761705,0.020755103,0.00019273006,1135.888888888889,-1.0965739134311054,-1.0965739134311054,1.0
