Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
110000,-0.16136572,1.4242547,1351.8,-1.7701494213193656,-1.7701494213193656,0.008445993,0.021530535,0.0002890836,1.0
120000,-0.16107869,1.4237669,None,None,None,None,None,None,1.0
130000,-0.10673385,1.4242762,999.5,-2.125699712493224,-2.125699712493224,0.010915598,0.01914554,0.00028798278,1.0
140000,-0.04096332,1.4241666,None,None,None,0.034265317,0.026899053,0.00028693362,1.0
150000,-0.10787084,1.4220846,None,None,None,0.03311031,0.026238734,0.00028583282,1.0
160000,-0.1391636,1.4197456,None,None,None,0.024098063,0.025734616,0.00028475758,1.0
170000,-0.15598556,1.4180932,None,None,None,0.016143143,0.031173011,0.0002836568,1.0
180000,-0.19623159,1.4174836,725.0,1.294250326231122,1.294250326231122,0.017518912,0.026003452,0.0002825473,1.0
190000,-0.1893065,1.4170321,None,None,None,0.011102529,0.016682424,0.0002814977,1.0
200000,-0.20393495,1.4169264,None,None,None,0.009361168,0.023956398,0.00028037123,1.0
210000,-0.2356701,1.4171592,1595.0,-1.835624672472477,-1.835624672472477,0.010273694,0.024120858,0.00027927043,1.0
220000,-0.24604465,1.4169676,None,None,None,0.009814873,0.024344193,0.00027819682,1.0
230000,-0.26914635,1.4164039,None,None,None,0.015264493,0.030378195,0.00027709603,1.0
240000,-0.27359754,1.4126232,1401.4,-1.6350494464859366,-1.6350494464859366,None,None,None,1.0
250000,-0.2451407,1.410837,1447.0,-2.1297995422035454,-2.1297995422035454,0.0078530675,0.027064867,0.00027598525,1.0
260000,-0.17652768,1.4095294,1999.0,-4.174061929341406,-4.174061929341406,0.009369195,0.023350962,0.000274954,1.0
270000,-0.09998896,1.4085251,None,None,None,0.02813012,0.025968453,0.0002738276,1.0
280000,-0.19738469,1.4088082,None,None,None,0.0319187,0.023657896,0.0002727524,1.0
290000,-0.22018944,1.4095533,None,None,None,0.017753439,0.026745113,0.0002716516,1.0
300000,-0.2206642,1.4092623,None,None,None,0.016849922,0.025791714,0.00027055078,1.0
310000,-0.2347191,1.4082894,1999.0,-3.636374618858099,-3.636374618858099,0.019673683,0.02525419,0.00026949486,1.0
320000,-0.2560638,1.40747,None,None,None,0.018173479,0.019145116,0.00026836843,1.0
330000,-0.24460137,1.4067625,None,None,None,0.00961596,0.021843046,0.00026726763,1.0
340000,-0.21188948,1.4062331,1480.3333333333333,-2.187527274919881,-2.187527274919881,0.0054111225,0.017077655,0.00026621163,1.0
350000,-0.19232795,1.4047838,None,None,None,0.017520875,0.021413151,0.00026508965,1.0
360000,-0.21127082,1.4029624,1284.2,-1.4631496305926703,-1.4631496305926703,None,None,None,1.0
370000,-0.19612639,1.4023498,1681.1818181818182,-2.5838290706927762,-2.5838290706927762,0.01596286,0.022456165,0.00026398356,1.0
380000,-0.06186857,1.4028528,None,None,None,0.035759635,0.022360455,0.00026289406,1.0
390000,-0.11608656,1.4046806,1780.857142857143,-3.3702495422746455,-3.3702495422746455,0.0322561,0.02481166,0.00026174204,1.0
400000,-0.10298538,1.4046696,401.4,1.579050398664549,1.579050398664549,0.033588093,0.022282304,0.00026069526,1.0
410000,-0.13045661,1.4043788,850.2,0.14365028422325848,0.14365028422325848,0.027267285,0.022759756,0.0002595725,1.0
420000,-0.13033739,1.404452,None,None,None,0.017905055,0.020051647,0.0002584812,1.0
430000,-0.1651496,1.4049531,1999.0,-3.243374325335026,-3.243374325335026,0.027814647,0.026998186,0.0002574316,1.0
440000,-0.16587709,1.4053736,831.0,0.5267505271360278,0.5267505271360278,0.0145298885,0.021223318,0.00025634366,1.0
450000,-0.17272353,1.405909,855.0,None,None,0.016847733,0.02545949,0.00025519164,1.0
460000,-0.15511315,1.4062103,929.4,0.025400366832036524,0.025400366832036524,0.01982839,0.029862145,0.00025406803,1.0
470000,-0.11867607,1.4072012,1459.4444444444443,-2.109055195391799,-2.109055195391799,None,None,None,1.0
480000,-0.11637407,1.406344,None,None,None,0.024102695,0.02732072,0.00025295842,1.0
490000,-0.09040753,1.4056724,1698.5555555555557,-2.84341615697162,-2.84341615697162,0.023339953,0.02535212,0.00025190882,1.0
500000,-0.13095121,1.4046574,1999.0,-3.9494993835687637,-3.9494993835687637,0.026758235,0.021701343,0.00025081442,1.0
510000,-0.12334223,1.4033151,1999.0,None,None,0.028011894,0.029777454,0.0002497776,1.0
520000,-0.13767247,1.404187,1999.0,-3.7639681017026305,-3.7639681017026305,0.018128788,0.036595296,0.00024873443,1.0
530000,-0.18272711,1.4051577,1383.888888888889,-1.8733051293012168,-1.8733051293012168,0.022162627,0.024021713,0.00024759042,1.0
540000,-0.15736312,1.4048454,1268.3333333333333,-1.034860527737894,-1.034860527737894,0.020766743,0.02515537,0.00024652804,1.0
550000,-0.15171471,1.4039221,None,None,None,0.030055765,0.027872356,0.0002454432,1.0
560000,-0.16164343,1.4031745,1387.6666666666667,-1.199321028493744,-1.199321028493744,0.017555986,0.025881195,0.00024439007,1.0
570000,-0.15187314,1.4028082,None,-3.8696243949234486,-3.8696243949234486,0.02114502,0.021553347,0.00024325085,1.0
580000,-0.16590934,1.4010013,564.6,1.0188503379002214,1.0188503379002214,0.026325617,0.025321018,0.00024220008,1.0
590000,-0.20030625,1.4003092,1533.6666666666667,-2.218193947441048,-2.218193947441048,0.011025658,0.023719419,0.00024114407,1.0
600000,-0.1805483,1.4008255,1630.111111111111,-2.6199717261867286,-2.6199717261867286,0.021057712,0.024962856,0.00024011881,1.0
610000,-0.18726726,1.401071,None,None,None,0.014236337,0.027635034,0.00023904363,1.0
620000,-0.23201631,1.4027386,353.4,1.823550284304656,1.823550284304656,None,None,None,1.0
630000,-0.2079838,1.4044762,1443.8,-2.0270495824050156,-2.0270495824050156,0.011944729,0.020876657,0.00023789362,1.0
640000,-0.23322383,1.4041432,1606.3846153846155,-2.263172584370925,-2.263172584370925,0.02566791,0.026155982,0.00023683846,1.0
650000,-0.21179445,1.4026041,1696.5384615384614,-2.7145189851379166,-2.7145189851379166,0.020791043,0.027441142,0.00023572161,1.0
660000,-0.19932657,1.4030592,1999.0,None,None,0.022945374,0.022278812,0.00023466682,1.0
670000,-0.1786713,1.403245,1999.0,-3.8626868668943644,-3.8626868668943644,0.015713008,0.02001443,0.0002335852,1.0
680000,-0.16973487,1.4022691,641.4,0.6032504432369024,0.6032504432369024,0.02691803,0.020879503,0.00023248968,1.0
690000,-0.16490352,1.4014609,1184.3333333333333,-1.435291369646115,-1.435291369646115,0.03527872,0.021678884,0.00023144008,1.0
700000,-0.17530327,1.4014976,1999.0,None,None,0.0138722025,0.020103056,0.00023038167,1.0
710000,-0.18461104,1.4020065,714.2,-1.3395271967682574,-1.3395271967682574,0.018875284,0.022662843,0.00022925608,1.0
720000,-0.13997956,1.4012057,1589.5882352941176,-2.1661726500695715,-2.1661726500695715,0.02046373,0.022553574,0.00022819042,1.0
730000,-0.115345046,1.4011468,1005.8,-1.567392402661166,-1.567392402661166,0.03430729,0.028077591,0.0002271004,1.0
740000,-0.15746264,1.4009848,619.8,0.8702501111198216,0.8702501111198216,0.025812242,0.026056586,0.00022604768,1.0
750000,-0.20069568,1.4004548,672.6,1.6092921596427914,1.6092921596427914,0.016561639,0.027489029,0.00022500852,1.0
760000,-0.18770432,1.398464,1999.0,-2.25671835092362,-2.25671835092362,None,None,None,1.0
770000,-0.18538226,1.3976843,1072.2,-0.7013247650931589,-0.7013247650931589,0.021020738,0.030311408,0.00022395967,1.0
780000,-0.20821743,1.3969681,None,None,None,0.012576451,0.028163161,0.00022288645,1.0
790000,-0.16851358,1.398221,1188.4285714285713,-2.524549714825116,-2.524549714825116,0.013969273,0.030468196,0.00022179124,1.0
800000,-0.058838796,1.3988211,867.8,0.062562772242624,0.062562772242624,0.02619693,0.023034668,0.00022072617,1.0
810000,-0.12149535,1.3986129,940.2,-0.33467468796297906,-0.33467468796297906,0.044778593,0.026406782,0.00021968842,1.0
820000,-0.1405665,1.3979232,1579.888888888889,-2.2071939020728073,-2.2071939020728073,0.03529095,0.021655539,0.00021863841,1.0
830000,-0.11015001,1.3958589,None,None,None,0.024887575,0.024141112,0.00021750365,1.0
840000,-0.11686181,1.3943781,958.9333333333333,-0.7184283599656608,-0.7184283599656608,0.022411067,0.016123246,0.00021639805,1.0
850000,0.011552472,1.3944678,1178.388888888889,-0.9526706358025733,-0.9526706358025733,0.03371129,0.023948967,0.00021530446,1.0
860000,-0.0959052,1.3938849,407.0,1.622766959364526,1.622766959364526,0.02665068,0.027375262,0.00021422243,1.0
870000,-0.02199859,1.3933153,347.8,1.2054503900930285,1.2054503900930285,0.027365604,0.01762111,0.00021312888,1.0
880000,-0.04353749,1.3918091,973.6666666666666,-0.47555509936581886,-0.47555509936581886,0.02743056,0.017804464,0.00021207244,1.0
890000,-0.1326488,1.3905585,728.6,0.5711504109262023,0.5711504109262023,None,None,None,1.0
900000,-0.10429803,1.3886297,857.2857142857143,0.2952503567461723,0.2952503567461723,0.020154154,0.02103067,0.00021096521,1.0
910000,-0.12805651,1.3876458,633.5714285714286,0.8603930291137658,0.8603930291137658,0.032896757,0.029351404,0.00020991084,1.0
920000,-0.10525581,1.3877174,1452.2307692307693,-3.513374403119087,-3.513374403119087,0.023239179,0.025278347,0.0002088688,1.0
930000,-0.028983893,1.387888,817.4242424242424,-0.5366715369691519,-0.5366715369691519,0.02699743,0.02566748,0.00020774125,1.0
940000,0.10583051,1.3881984,715.1333333333333,1.0360940836253576,1.0360940836253576,0.06675697,0.022117352,0.00020662085,1.0
950000,0.08808935,1.3886422,449.0,1.528850224299822,1.528850224299822,0.06079697,0.019995201,0.0002055497,1.0
960000,0.04701802,1.3881632,651.5333333333333,0.6872169568281,0.6872169568281,0.049724463,0.02543991,0.00020447244,1.0
970000,-0.014593692,1.3870462,424.6,1.6818500174209476,1.6818500174209476,0.030241437,0.033873018,0.00020338126,1.0
980000,0.09469286,1.3861479,512.0,1.4494547807032976,1.4494547807032976,0.033507813,0.025845472,0.00020232005,1.0
990000,0.13780378,1.3849503,485.4,1.3985302970558404,1.3985302970558404,0.05335926,0.02976528,0.00020126402,1.0
1000000,0.053303707,1.3826958,303.57142857142856,2.4962146086036228,2.4962146086036228,0.042373285,0.02530071,0.00020020126,1.0
1010000,0.022154184,1.3821788,853.4,-0.7799495151266456,-0.7799495151266456,0.039575715,0.02518233,0.00019907246,1.0
1020000,0.11027808,1.3799673,741.6,0.5047003683168441,0.5047003683168441,0.044928465,0.023159364,0.00019803563,1.0
1030000,0.12482623,1.3796786,350.1666666666667,1.9242086127754494,1.9242086127754494,None,None,None,1.0
1040000,0.12265605,1.3808383,494.58620689655174,1.6646877909151954,1.6646877909151954,0.060980443,0.026221415,0.00019691126,1.0
1050000,0.21375495,1.3808664,659.5714285714286,0.8716140388066627,0.8716140388066627,0.060872197,0.033750452,0.0001958309,1.0
1060000,0.11811848,1.3802818,577.8,0.08790043910266832,0.08790043910266832,0.064284004,0.019950636,0.00019477642,1.0
1070000,0.15000193,1.3803381,423.8,1.534110191045329,1.534110191045329,0.040765617,0.022797639,0.00019364046,1.0
1080000,0.068439685,1.380952,364.77777777777777,2.0660002519850553,2.0660002519850553,0.04308749,0.020329246,0.0001925489,1.0
1090000,0.12062016,1.3814056,623.8,0.8809752637520433,0.8809752637520433,0.028028278,0.025655571,0.00019141205,1.0
1100000,0.056756496,1.3814434,403.0,1.6555253315833398,1.6555253315833398,0.039820347,0.020341597,0.0001903193,1.0
1110000,0.07154067,1.3812588,493.0,1.3743395346848826,1.3743395346848826,0.026775802,0.028213691,0.00018924163,1.0
1120000,0.0657115,1.3801376,317.27272727272725,2.0292502677300943,2.0292502677300943,0.028510418,0.025888551,0.00018815408,1.0
1130000,0.120145075,1.3783993,473.5652173913044,1.5818753277902335,1.5818753277902335,0.03798398,0.025156327,0.00018712283,1.0
1140000,0.12519397,1.3772947,626.7333333333333,0.6450336418502653,0.6450336418502653,0.048702523,0.02909966,0.00018600498,1.0
1150000,0.102774374,1.3773382,708.3333333333334,0.4429502698010765,0.4429502698010765,None,None,None,1.0
1160000,0.15149316,1.376123,642.1428571428571,0.8694212682036634,0.8694212682036634,0.029228948,0.025062865,0.00018495522,1.0
1170000,0.10246121,1.3752433,997.4444444444445,-0.3607495473115705,-0.3607495473115705,0.033676073,0.023056503,0.00018386083,1.0
