Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,1.4202973,-0.21895319,1506.0,-1.2070002295076847,-1.2070002295076847,0.0039709387,0.025664631,0.00029018123,1.0
110000,1.4192107,-0.23729329,None,None,None,0.006195945,0.023774518,0.0002890805,1.0
120000,1.418583,-0.22901954,1439.8,-1.803100158367306,-1.803100158367306,None,None,None,1.0
130000,1.4174176,-0.17230976,999.5,-2.0521073216015275,-2.0521073216015275,0.007830099,0.025936533,0.00028797603,1.0
140000,1.4168994,-0.14461228,None,None,None,0.011277697,0.019135036,0.00028690798,1.0
150000,1.4162602,-0.20390625,759.0,1.2492500096559525,1.2492500096559525,0.03324913,0.025993017,0.00028580718,1.0
160000,1.416294,-0.18014762,None,None,None,0.0159275,0.031440083,0.0002847608,1.0
170000,1.4170059,-0.18145722,None,None,None,0.0121851815,0.024278052,0.0002836344,1.0
180000,1.4179351,-0.21500768,None,None,None,0.0059742252,0.021546114,0.00028253358,1.0
190000,1.418511,-0.22334659,None,None,None,0.011677303,0.02676112,0.00028148398,1.0
200000,1.4196849,-0.22236735,875.8,0.5873998780269176,0.5873998780269176,0.012380997,0.022121275,0.0002803576,1.0
210000,1.4210222,-0.20035665,None,None,None,0.017747527,0.024836088,0.00027925364,1.0
220000,1.422695,-0.21268994,None,None,None,0.010949972,0.023176465,0.00027817846,1.0
230000,1.4226707,-0.22565766,None,None,None,0.008418386,0.025565466,0.00027707763,1.0
240000,1.4229151,-0.2316407,None,None,None,None,None,None,1.0
250000,1.4255174,-0.23946232,1999.0,-3.6952503100037575,-3.6952503100037575,0.0048586363,0.026331859,0.00027597684,1.0
260000,1.4258051,-0.18209358,1999.0,-4.335538797581998,-4.335538797581998,0.008768692,0.029135138,0.00027492084,1.0
270000,1.426092,-0.15934783,None,None,None,0.021592984,0.024607439,0.00027381358,1.0
280000,1.4247773,-0.17028677,1999.0,-4.373250441625714,-4.373250441625714,0.01593979,0.018740857,0.00027276398,1.0
290000,1.4230627,-0.1907231,None,None,None,0.04270513,0.02403595,0.00027163123,1.0
300000,1.4213312,-0.21622491,1263.0,-1.2435001669451595,-1.2435001669451595,0.010717428,0.020220509,0.00027053044,1.0
310000,1.4191724,-0.22122803,None,None,None,0.016783683,0.022574289,0.0002694888,1.0
320000,1.4173208,-0.25272012,None,None,None,0.011275425,0.027033024,0.00026836243,1.0
330000,1.4168813,-0.27224737,None,None,None,0.00832989,0.028470317,0.0002672616,1.0
340000,1.4160006,-0.31284097,None,None,None,0.013618743,0.0160212,0.000266212,1.0
350000,1.4163481,-0.3714901,None,None,None,0.0055189533,0.022391194,0.00026508563,1.0
360000,1.4170069,-0.3294725,1289.4,-1.1940002856776117,-1.1940002856776117,None,None,None,1.0
370000,1.4160283,-0.37367633,1999.0,None,None,0.012598378,0.021876344,0.00026397963,1.0
380000,1.4166051,-0.30149788,None,-3.434750225394964,-3.434750225394964,0.0377888,0.024015833,0.0002629236,1.0
390000,1.4152354,-0.19326214,1999.0,-3.5873961776184538,-3.5873961776184538,0.0068565095,0.030281188,0.0002618228,1.0
400000,1.4132181,-0.14465955,1999.0,None,None,0.050915703,0.029434241,0.0002607732,1.0
410000,1.4114695,-0.19036877,None,-3.782000109553337,-3.782000109553337,0.023258178,0.020621449,0.00025964042,1.0
420000,1.4112717,-0.21820214,None,None,None,0.009826115,0.020525549,0.00025853966,1.0
430000,1.411598,-0.23270443,1999.0,-3.578500270843506,-3.578500270843506,0.010071369,0.022701684,0.00025749006,1.0
440000,1.4115219,-0.2349989,707.8,0.8045998253393918,0.8045998253393918,0.010793174,0.026064008,0.00025635722,1.0
450000,1.4102722,-0.1948393,None,None,None,0.01914241,0.023579348,0.00025526047,1.0
460000,1.4103214,-0.22428496,None,None,None,0.0073143705,0.019811802,0.00025421087,1.0
470000,1.4109894,-0.20797183,None,None,None,0.0048898235,0.021517685,0.00025308444,1.0
480000,1.4121644,-0.21120784,None,None,None,None,None,None,1.0
490000,1.4137396,-0.22814324,1999.0,-4.520250253379345,-4.520250253379345,0.004797971,0.024788806,0.00025198364,1.0
500000,1.4131761,-0.22923476,1999.0,-3.0592502020299435,-3.0592502020299435,0.008891712,0.025462838,0.00025095322,1.0
510000,1.4118695,-0.24224304,1999.0,None,None,0.015677001,0.022235464,0.0002498204,1.0
520000,1.4114687,-0.124139674,1999.0,-3.797363909300078,-3.797363909300078,0.0061312784,0.025122942,0.00024877724,1.0
530000,1.4100933,-0.14540961,1999.0,-2.9460003301501274,-2.9460003301501274,0.033508655,0.023266176,0.00024762523,1.0
540000,1.4079877,-0.20098634,None,None,None,0.01954784,0.027320383,0.00024654358,1.0
550000,1.4080749,-0.16326182,1219.888888888889,-0.4701111792625549,-0.4701111792625549,0.021621102,0.024538945,0.00024549608,1.0
560000,1.4078766,-0.19300869,1514.2,None,None,0.018814068,0.024653347,0.0002443696,1.0
570000,1.4055018,-0.18556398,735.0,-0.49385015754378403,-0.49385015754378403,0.0159125,0.029709952,0.00024327921,1.0
580000,1.4048159,-0.21386394,None,None,None,0.017982714,0.028174836,0.00024222008,1.0
590000,1.4037598,-0.21815129,None,None,None,0.0056897025,0.02434066,0.00024109364,1.0
600000,1.4024702,-0.2333229,None,None,None,None,None,None,1.0
610000,1.4029349,-0.19207688,1155.8,-0.6289000148884952,-0.6289000148884952,0.005943093,0.020964319,0.00023999285,1.0
620000,1.4030483,-0.16695186,1178.2,-0.8000252182420808,-0.8000252182420808,0.018344132,0.023461776,0.00023895365,1.0
630000,1.4022671,-0.14065444,1667.0,-2.1276668707012303,-2.1276668707012303,0.012872886,0.030213805,0.00023790082,1.0
640000,1.4002104,-0.17424834,1999.0,-3.7465502433478832,-3.7465502433478832,0.018370349,0.022472871,0.00023683485,1.0
