Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,1.4278538,0.013806986,1399.8,3.683400131948292,3.683400131948292,1.0
130000,1.428456,0.10028389,999.5,1.5702667494285076,1.5702667494285076,1.0
140000,1.4280158,0.18997593,None,None,None,1.0
150000,1.4269814,0.09082729,None,None,None,1.0
160000,1.426444,0.0799246,None,None,None,1.0
170000,1.4260699,0.06835729,None,None,None,1.0
180000,1.4253772,0.069368765,None,None,None,1.0
190000,1.424135,0.07458348,None,None,None,1.0
200000,1.4224811,0.067348324,None,None,None,1.0
210000,1.421738,0.06712963,None,None,None,1.0
220000,1.4211425,0.07166166,None,None,None,1.0
230000,1.4221342,0.06546478,None,None,None,1.0
240000,1.4217752,0.06243871,1999.0,1.1880000470555387,1.1880000470555387,1.0
250000,1.4226767,0.100132994,None,None,None,1.0
260000,1.4232023,0.13731432,1999.0,2.551966751680205,2.551966751680205,1.0
270000,1.42325,0.1918966,None,None,None,1.0
280000,1.4232647,0.121523894,None,None,None,1.0
290000,1.4223992,0.122054465,None,None,None,1.0
300000,1.4219519,0.08253704,None,None,None,1.0
310000,1.4215351,0.08397227,None,None,None,1.0
320000,1.4207134,0.09802902,None,None,None,1.0
330000,1.421156,0.103382625,None,None,None,1.0
340000,1.4224758,0.09062963,None,None,None,1.0
350000,1.422021,0.085686125,None,None,None,1.0
360000,1.4226462,0.0944287,None,None,None,1.0
370000,1.4202119,0.097094774,1542.7142857142858,2.7217858032838973,2.7217858032838973,1.0
380000,1.4200295,0.10955965,None,None,None,1.0
390000,1.4186356,0.17232999,1999.0,2.7275000583658064,2.7275000583658064,1.0
400000,1.4189101,0.1722839,None,None,None,1.0
410000,1.4183688,0.13083653,None,None,None,1.0
420000,1.4174393,0.11165588,None,None,None,1.0
430000,1.4168414,0.084993996,None,None,None,1.0
440000,1.4166882,0.098440535,None,None,None,1.0
450000,1.4175872,0.09225736,None,None,None,1.0
460000,1.4178725,0.077640116,None,None,None,1.0
470000,1.4159389,0.06176874,None,None,None,1.0
480000,1.4146963,0.07216324,None,None,None,1.0
490000,1.4156729,0.04954032,1351.0,None,None,1.0
500000,1.4165051,0.13099305,1732.8181818181818,3.291740893968381,3.291740893968381,1.0
510000,1.4179558,0.16192566,1821.0740740740741,3.1708000958897173,3.1708000958897173,1.0
520000,1.4178451,0.20919922,1999.0,3.3102500936256547,3.3102500936256547,1.0
530000,1.4165322,0.17082171,None,None,None,1.0
540000,1.415567,0.13060375,None,None,None,1.0
550000,1.4154003,0.12339453,383.0,3.399200065585319,3.399200065585319,1.0
560000,1.4155375,0.1012485,599.0,3.27030016501667,3.27030016501667,1.0
570000,1.4147921,0.12887985,655.0,2.9099001432303337,2.9099001432303337,1.0
580000,1.413618,0.14905633,993.4,3.343050077109365,3.343050077109365,1.0
590000,1.4133555,0.13522659,None,None,None,1.0
600000,1.4122965,0.15432878,935.0,None,None,1.0
610000,1.4113287,0.15658043,960.3333333333334,3.8769445417241917,3.8769445417241917,1.0
620000,1.4101924,0.1536518,1835.1904761904761,3.078660091070924,3.078660091070924,1.0
630000,1.4099338,0.19774204,1999.0,None,None,1.0
640000,1.4093814,0.19050716,1999.0,2.99510011379607,2.99510011379607,1.0
650000,1.4101826,0.21718104,None,None,None,1.0
660000,1.4089845,0.21575685,547.0,3.43325025899685,3.43325025899685,1.0
670000,1.4061882,0.21439947,None,2.7351251639338443,2.7351251639338443,1.0
680000,1.405439,0.18625386,743.0,3.2461999483639374,3.2461999483639374,1.0
690000,1.4065441,0.19694567,1504.3333333333333,3.770500153535977,3.770500153535977,1.0
700000,1.4069909,0.28207675,1160.3333333333333,3.529035885760095,3.529035885760095,1.0
710000,1.4060287,0.29664406,1999.0,3.763000175895286,3.763000175895286,1.0
720000,1.4056352,0.23481071,None,None,None,1.0
730000,1.4052156,0.2600132,919.0,3.15556677452599,3.15556677452599,1.0
740000,1.4037584,0.27048108,785.4,3.28135019633919,3.28135019633919,1.0
750000,1.4040965,0.25757605,1028.7777777777778,3.3997224308744385,3.3997224308744385,1.0
760000,1.403853,0.2704588,916.1428571428571,4.289000098244287,4.289000098244287,1.0
770000,1.4041398,0.29091462,1403.3636363636363,3.3454376912359294,3.3454376912359294,1.0
780000,1.4038193,0.33047488,199.0,2.9232001503929497,2.9232001503929497,1.0
790000,1.4048412,0.26944965,461.4,3.1586002119234764,3.1586002119234764,1.0
800000,1.4054186,0.2377162,593.4,3.2302001922158525,3.2302001922158525,1.0
810000,1.405818,0.26297754,603.0,3.1342001303157305,3.1342001303157305,1.0
820000,1.4046012,0.17902234,1518.076923076923,3.6462501358182635,3.6462501358182635,1.0
830000,1.402672,0.23824139,1187.4,3.366500062699844,3.366500062699844,1.0
840000,1.4013331,0.27581352,1037.888888888889,3.3962001799256543,3.3962001799256543,1.0
850000,1.4015158,0.16826801,None,None,None,1.0
860000,1.402737,0.20634007,1031.4444444444443,3.675611293926421,3.675611293926421,1.0
870000,1.4025742,0.21742111,970.1578947368421,3.55532141029419,3.55532141029419,1.0
880000,1.4016798,0.2114113,1073.0,3.2365501973137727,3.2365501973137727,1.0
890000,1.4009314,0.31027454,810.027027027027,3.4052426856254567,3.4052426856254567,1.0
900000,1.4005892,0.38945085,601.5714285714286,3.283763362520595,3.283763362520595,1.0
910000,1.3990598,0.31132653,493.8,None,None,1.0
920000,1.3986835,0.3817128,876.0526315789474,3.0993795019959838,3.0993795019959838,1.0
930000,1.3989981,0.31101722,467.0,3.3740001294179818,3.3740001294179818,1.0
