Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,0.007660271,1.4118747,1766.0,2.203875098086428,2.203875098086428,1.0
130000,0.063687354,1.4105455,1033.9655172413793,1.2480000405409775,1.2480000405409775,1.0
140000,0.14733332,1.4098114,None,None,None,1.0
150000,0.10557115,1.4083848,None,None,None,1.0
160000,0.08131342,1.4066377,None,None,None,1.0
170000,0.06390873,1.4054635,None,None,None,1.0
180000,0.063793525,1.4053853,None,None,None,1.0
190000,0.054802675,1.4052676,None,None,None,1.0
200000,0.03483222,1.4050698,None,None,None,1.0
210000,0.037196234,1.4041634,None,None,None,1.0
220000,0.04007743,1.4041235,None,None,None,1.0
230000,0.055736896,1.4045153,None,None,None,1.0
240000,0.074646756,1.4036063,1653.6666666666667,2.956000209385012,2.956000209385012,1.0
250000,0.09335433,1.4037437,None,None,None,1.0
260000,0.163672,1.4038086,1865.7333333333333,2.875066796616496,2.875066796616496,1.0
270000,0.26180878,1.4034268,None,None,None,1.0
280000,0.1802427,1.4033797,None,None,None,1.0
290000,0.16225211,1.4039071,None,None,None,1.0
300000,0.15053976,1.4035264,None,None,None,1.0
310000,0.14199722,1.4030185,None,None,None,1.0
320000,0.101701654,1.4032644,None,None,None,1.0
330000,0.09339962,1.4029566,None,None,None,1.0
340000,0.069418855,1.4034405,None,None,None,1.0
350000,0.06650852,1.4046924,None,None,None,1.0
360000,0.07213578,1.4029083,None,None,None,1.0
370000,0.05174816,1.4023393,1999.0,3.490750098862918,3.490750098862918,1.0
380000,0.08995264,1.4025284,1515.8,3.2721002241130916,3.2721002241130916,1.0
390000,0.17785694,1.4024591,1999.0,3.4028463062512366,3.4028463062512366,1.0
400000,0.15942255,1.4014311,None,None,None,1.0
410000,0.10506546,1.3993778,None,None,None,1.0
420000,0.096006244,1.3981754,None,None,None,1.0
430000,0.11023513,1.3976312,759.0,4.055500110378489,4.055500110378489,1.0
440000,0.11842276,1.3966824,None,None,None,1.0
450000,0.15871152,1.3957871,939.8888888888889,3.607611210370022,3.607611210370022,1.0
460000,0.08975649,1.3948021,None,None,None,1.0
470000,0.082514726,1.3936175,1111.0,None,None,1.0
480000,0.02112155,1.3927995,None,2.9006001565721817,2.9006001565721817,1.0
490000,0.019868987,1.3931352,1281.4,3.163900151150301,3.163900151150301,1.0
500000,-0.025634978,1.3930349,1680.3333333333333,2.956222405553692,2.956222405553692,1.0
510000,-0.25142732,1.3951072,None,None,None,1.0
520000,0.13995823,1.3961805,1999.0,3.0057779004887886,3.0057779004887886,1.0
530000,0.18746816,1.3959128,552.3333333333334,3.4635834771906957,3.4635834771906957,1.0
540000,0.21315493,1.3960534,1052.0,2.5740001945523545,2.5740001945523545,1.0
550000,0.21574908,1.396558,963.0,3.1115000450692607,3.1115000450692607,1.0
560000,0.1841885,1.3966944,None,None,None,1.0
570000,0.18119697,1.39591,902.5555555555555,3.3020001600250706,3.3020001600250706,1.0
580000,0.18110383,1.3946737,1999.0,3.0144999801414087,3.0144999801414087,1.0
590000,0.15819046,1.3948128,None,None,None,1.0
600000,0.16302252,1.3951267,1166.3333333333333,3.14427791631897,3.14427791631897,1.0
610000,0.20329559,1.3955829,722.2,3.2020001929369757,3.2020001929369757,1.0
620000,0.16389318,1.3954622,1689.0,3.62450034628273,3.62450034628273,1.0
630000,0.11580677,1.397602,None,None,None,1.0
640000,0.06741727,1.3964697,1459.4,2.877683554539302,2.877683554539302,1.0
650000,0.24508658,1.3951703,936.2,2.8673001841816586,2.8673001841816586,1.0
660000,0.17093952,1.3940585,909.8,2.772100151272025,2.772100151272025,1.0
670000,0.10877532,1.394458,None,None,None,1.0
680000,0.050592747,1.395203,None,None,None,1.0
690000,0.05369842,1.3954592,1999.0,3.6665000690263696,3.6665000690263696,1.0
700000,0.030242851,1.3955306,1567.5,4.349928747546593,4.349928747546593,1.0
710000,0.08182593,1.3949493,1742.0,0.02449993311893195,0.02449993311893195,1.0
720000,0.09661482,1.393573,1027.0,3.6437693268078593,3.6437693268078593,1.0
730000,-0.017899914,1.3926188,1999.0,3.6325000603683293,3.6325000603683293,1.0
740000,0.013482189,1.3924241,1022.5555555555555,3.407389191289743,3.407389191289743,1.0
750000,0.12208148,1.3924558,1107.8,3.0923998455516992,3.0923998455516992,1.0
760000,0.10689409,1.3929172,1315.25,2.8813000830472446,2.8813000830472446,1.0
770000,0.040097952,1.3937854,1691.7619047619048,2.8361668114944005,2.8361668114944005,1.0
780000,0.1949145,1.3937457,1999.0,3.482500437356066,3.482500437356066,1.0
790000,0.1736119,1.3939803,1560.3333333333333,3.6816428271122277,3.6816428271122277,1.0
