Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,0.16366237,0.02063153,0.023851454,0.00028799367,1.4224912,1022.552,1.7814120780010707,1.7814120780010707,1.0
140000,0.21373673,0.033660237,0.017811906,0.000286924,1.4247752,None,None,None,1.0
150000,0.13359578,0.034951404,0.032039624,0.00028582322,1.4264362,None,None,None,1.0
160000,0.10800265,0.027016114,0.023763806,0.00028474804,1.4276351,None,None,None,1.0
170000,0.0921801,0.0351029,0.023571003,0.00028364724,1.4287109,None,None,None,1.0
180000,0.07671583,0.01439304,0.020445812,0.00028254645,1.4287945,None,None,None,1.0
190000,0.0580588,0.008425567,0.029457651,0.0002814712,1.4285665,None,None,None,1.0
200000,0.049819604,0.0098014,0.027687479,0.00028037038,1.4282981,None,None,None,1.0
210000,0.061722234,0.008087036,0.022300404,0.0002792696,1.4270389,None,None,None,1.0
220000,0.049949653,0.008884736,0.023662167,0.00027819426,1.4274702,1127.0,3.3755002171965316,3.3755002171965316,1.0
230000,0.052078526,0.007245325,0.029703094,0.00027709277,1.4292133,None,None,None,1.0
240000,0.068029664,None,None,None,1.4311333,None,None,None,1.0
250000,0.09023299,0.01116982,0.020933608,0.00027599197,1.4309019,1497.4,3.2482501396967565,3.2482501396967565,1.0
260000,0.14999995,0.011757732,0.025450567,0.0002749288,1.4312041,1999.0,3.223269312089542,3.223269312089542,1.0
270000,0.20279057,0.043741614,0.020842744,0.00027379603,1.4313073,None,None,None,1.0
280000,0.12001881,0.027545592,0.024638021,0.00027274637,1.4316345,None,None,None,1.0
290000,0.09941716,0.009858893,0.02641016,0.00027162003,1.4306219,None,None,None,1.0
300000,0.11266604,0.014376929,0.01947373,0.00027051926,1.4291652,None,None,None,1.0
310000,0.09697463,0.01338749,0.021723624,0.00026948244,1.4288429,639.0,3.1051001442712733,3.1051001442712733,1.0
320000,0.10672789,0.0107738925,0.019954393,0.00026833042,1.4283066,None,None,None,1.0
330000,0.1186285,0.010645169,0.019877447,0.0002672296,1.4282,None,None,None,1.0
340000,0.11947022,0.01278511,0.025154985,0.00026618,1.4289074,None,None,None,1.0
350000,0.12928906,0.009887552,0.025003646,0.0002650729,1.4290181,1999.0,4.032000035978854,4.032000035978854,1.0
360000,0.106291376,None,None,None,1.427307,None,None,None,1.0
370000,0.10033118,0.012451958,0.02836198,0.0002639208,1.427211,None,None,None,1.0
380000,0.1008635,0.0125691295,0.02300275,0.00026289042,1.4278839,1858.5294117647059,3.2395589621052805,3.2395589621052805,1.0
