Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.11923364,1.4182143,0.011648006,0.029161949,0.00029237117,1103.0,0.03711096683724059,0.03711096683724059,1.0
90000,-0.12866849,1.4181393,0.010754098,0.020277692,0.00029124966,None,None,None,1.0
100000,-0.13057108,1.4186734,0.00849304,0.020015795,0.00029020003,None,None,None,1.0
110000,-0.15345182,1.4209172,0.009061667,0.026415233,0.00028907362,None,None,None,1.0
120000,-0.14838955,1.4217669,None,None,None,1524.6,-1.8471002606675029,-1.8471002606675029,1.0
130000,-0.08361167,1.4215515,0.007834632,0.020876458,0.00028795243,999.5,-1.7719136379153217,-1.7719136379153217,1.0
140000,-0.075995244,1.4201237,0.023084145,0.022846173,0.00028689118,None,None,None,1.0
150000,-0.14590114,1.4176021,0.03460364,0.019941287,0.0002857904,None,None,None,1.0
160000,-0.15968427,1.4161097,0.017356066,0.0232025,0.0002847408,None,None,None,1.0
170000,-0.17375945,1.4148197,0.01788715,0.025743749,0.0002836144,None,None,None,1.0
180000,-0.1973871,1.4131768,0.008778592,0.026075864,0.00028251362,None,None,None,1.0
190000,-0.20797855,1.4120389,0.0056562168,0.026663568,0.00028146402,None,None,None,1.0
200000,-0.2321074,1.4112465,0.017297307,0.027432028,0.0002803376,None,None,None,1.0
210000,-0.26346824,1.4088056,0.009193533,0.029953929,0.00027924962,1999.0,-4.16862528398633,-4.16862528398633,1.0
220000,-0.2582609,1.4063416,0.020447101,0.023791382,0.00027820002,1143.0,-0.6376001698779874,-0.6376001698779874,1.0
230000,-0.23919421,1.4049414,0.015699875,0.025688408,0.00027705642,1345.2222222222222,-0.9832224547345605,-0.9832224547345605,1.0
240000,-0.2725453,1.4038028,None,None,None,None,None,None,1.0
250000,-0.31410182,1.4025139,0.028492093,0.024454137,0.0002759556,1970.5,-3.8155004531145096,-3.8155004531145096,1.0
260000,-0.16727245,1.4027328,0.0152731305,0.024821447,0.00027489042,1999.0,-3.660800399631262,-3.660800399631262,1.0
270000,-0.10098643,1.4017961,0.033042092,0.021392193,0.0002737832,None,None,None,1.0
280000,-0.14347763,1.4007529,0.02846638,0.024565795,0.00027273365,None,None,None,1.0
290000,-0.19045699,1.3999902,0.015193065,0.025007067,0.00027160722,None,None,None,1.0
300000,-0.18786032,1.4000664,0.01574083,0.026679981,0.00027050643,None,None,None,1.0
310000,-0.23313758,1.4003543,0.012588986,0.01921732,0.00026945682,None,None,None,1.0
320000,-0.25529578,1.4000748,0.014014549,0.030722138,0.00026833042,1103.0,-0.6665501175681129,-0.6665501175681129,1.0
330000,-0.27404496,1.3994465,0.014788844,0.028157692,0.0002672008,951.0,2.1949998438358307,2.1949998438358307,1.0
340000,-0.28922522,1.3997768,0.010366585,0.02757406,0.00026615523,1999.0,-2.1950002192461397,-2.1950002192461397,1.0
350000,-0.2667148,1.3994148,0.016320156,0.024362002,0.00026502242,1999.0,-4.221875358372927,-4.221875358372927,1.0
360000,-0.2572455,1.3993474,None,None,None,1999.0,-3.026750262826681,-3.026750262826681,1.0
370000,-0.21485367,1.3993403,0.019327259,0.025284892,0.00026393443,None,None,None,1.0
380000,-0.2481395,1.4000566,0.013300025,0.023060966,0.00026285922,1999.0,-3.976625319570303,-3.976625319570303,1.0
390000,-0.12851286,1.4028827,0.015141686,0.020206038,0.00026174556,1999.0,-3.688928922904389,-3.688928922904389,1.0
400000,-0.12604287,1.4036846,0.040039204,0.026089204,0.0002607024,None,None,None,1.0
410000,-0.1598603,1.4035827,0.01675818,0.020265274,0.00025960483,1079.0,0.0006247609853744507,0.0006247609853744507,1.0
420000,-0.17344818,1.402256,0.02357474,0.021852285,0.00025847842,None,None,None,1.0
430000,-0.18930602,1.4003227,0.009475299,0.026728997,0.0002574288,None,None,None,1.0
440000,-0.19582923,1.399022,0.011918495,0.023264892,0.000256328,None,None,None,1.0
450000,-0.17537822,1.3991158,0.011702192,0.021289585,0.00025519123,1700.5384615384614,-2.2139617721012863,-2.2139617721012863,1.0
460000,-0.1883958,1.3997861,0.019690694,0.0228135,0.00025416078,1999.0,-3.954000413417816,-3.954000413417816,1.0
470000,-0.17998989,1.398425,0.012357954,0.018010791,0.00025305242,1320.5,-0.4041252974420786,-0.4041252974420786,1.0
480000,-0.17958644,1.3964819,0.017468657,0.024028225,0.0002520097,1555.888888888889,-1.943666991040421,-1.943666991040421,1.0
490000,-0.17506115,1.3947848,None,None,None,1999.0,-2.7792502846568823,-2.7792502846568823,1.0
500000,-0.17434251,1.3932856,0.015531853,0.026900066,0.00025097924,1130.5555555555557,-0.21761125217502317,-0.21761125217502317,1.0
510000,-0.18221176,1.3927122,0.016061949,0.026606398,0.00024985842,1999.0,-3.0662503745406866,-3.0662503745406866,1.0
520000,-0.16091712,1.3939577,0.0151038375,0.02558722,0.00024882803,1309.6666666666667,-3.033525346033275,-3.033525346033275,1.0
530000,-0.19108316,1.3953724,0.022456331,0.019850187,0.00024772482,1999.0,-3.9272503778338432,-3.9272503778338432,1.0
540000,-0.17600322,1.3958409,0.0118888505,0.02431617,0.0002466688,714.2,0.7776998983812519,0.7776998983812519,1.0
550000,-0.18196304,1.3954493,0.01783307,0.026972948,0.00024556884,None,None,None,1.0
560000,-0.20466031,1.3947927,0.015060877,0.025456516,0.00024441682,None,None,None,1.0
570000,-0.2083574,1.3944027,0.009801734,0.020927327,0.00024329044,None,None,None,1.0
580000,-0.16929005,1.3946933,0.014322649,0.02888129,0.00024225687,1759.0,-2.856269504982405,-2.856269504982405,1.0
590000,-0.14713837,1.3941294,0.029771332,0.020668834,0.00024113605,1507.4444444444443,-0.5224002064671367,-0.5224002064671367,1.0
600000,-0.17539509,1.3935301,0.012039574,0.02480344,0.00024007207,1133.4,-1.2051788258166718,-1.2051788258166718,1.0
