Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,0.17380475,4.4886703,1.5488534,0.025172554,0.0002967232,1483.0,39.65649379789829,39.65649379789829,1.0
80000,0.12993921,None,1.3791358,0.023336822,0.00029611922,None,None,None,1.0
90000,0.048260134,4.4603705,None,None,None,None,None,None,1.0
100000,0.1261903,4.480543,0.0739733,0.025551628,0.00029509523,None,None,None,1.0
110000,0.011927969,4.480361,3.3312223,0.015690576,0.0002945288,1999.0,27.75115509579579,27.75115509579579,1.0
120000,-0.021480817,4.49813,None,None,None,1799.1,31.941434150650387,31.941434150650387,1.0
130000,0.49457577,4.48094,0.64957374,0.023983143,0.00029360078,0.0,5.599447479469325,5.599447479469325,1.0
140000,0.47540265,4.4802856,None,None,None,None,None,None,1.0
150000,0.71623236,None,5.826064,0.027655998,0.00029298346,None,None,None,1.0
160000,0.7113104,4.467263,None,None,None,None,None,None,1.0
170000,0.15104371,4.4583626,6.8013673,0.027442139,0.00029195947,None,None,None,1.0
180000,0.25912327,None,4.04075,0.031480603,0.00029134497,None,None,None,1.0
190000,0.26307735,4.4582,None,None,None,None,None,None,1.0
200000,0.05658675,4.440406,2.7655935,0.02188732,0.000290321,1999.0,29.96471879631281,29.96471879631281,1.0
210000,0.09428998,None,0.17648768,0.026764074,0.0002897162,None,None,None,1.0
220000,0.09102165,4.4489217,None,None,None,None,None,None,1.0
230000,0.24192421,4.446924,0.41581976,0.027295997,0.00028869216,1986.68,31.51915472187102,31.51915472187102,1.0
240000,-0.010995968,None,0.9730451,0.025263218,0.00028804844,1999.0,24.232903190634467,24.232903190634467,1.0
250000,-0.0074858153,4.4896026,None,None,None,1999.0,29.14375565272002,29.14375565272002,1.0
260000,0.24916437,4.4519033,0.09638388,0.029975682,0.00028721322,None,27.807583146370373,27.807583146370373,1.0
270000,0.9800289,None,None,None,None,None,None,None,1.0
280000,0.7190405,4.456219,7.0369263,0.022881482,0.00028649642,None,None,None,1.0
290000,0.70535403,4.458667,5.6832824,0.028432054,0.00028557485,819.0,41.7591851875186,41.7591851875186,1.0
300000,0.25388947,4.462237,None,None,None,None,None,None,1.0
310000,0.24631962,None,1.0196157,0.026775435,0.0002847964,None,None,None,1.0
320000,0.20862281,4.46109,None,None,None,None,None,None,1.0
330000,0.25907934,4.4506965,0.65631276,0.022124827,0.00028397722,1525.3333333333333,29.35732080725332,29.35732080725332,1.0
340000,0.121846855,None,4.417832,0.027995136,0.0002830614,None,None,None,1.0
350000,0.15879548,4.448904,None,None,None,None,None,None,1.0
360000,0.5755704,4.4644465,5.29471,0.025227927,0.000282447,1999.0,21.726640097796917,21.726640097796917,1.0
370000,0.2507803,4.468531,None,None,None,1999.0,23.407927191571186,23.407927191571186,1.0
380000,0.08800031,4.4654636,4.9621763,0.025465706,0.00028148066,1999.0,31.025523126834916,31.025523126834916,1.0
390000,0.30169573,4.4527106,0.16346663,0.036900744,0.00028092382,None,31.32180772162974,31.32180772162974,1.0
400000,0.69819033,4.4611044,None,None,None,None,None,None,1.0
410000,1.0165266,4.454748,7.1977887,0.03201201,0.0002798998,None,None,None,1.0
420000,0.36548227,4.4353995,11.540858,0.02060213,0.00027928536,1729.0,32.72542575746775,32.72542575746775,1.0
430000,0.17478184,4.432719,None,None,None,None,None,None,1.0
440000,0.23553948,4.427423,0.52811635,0.023005597,0.0002782862,None,None,None,1.0
450000,0.16470444,4.4207473,0.89805156,0.02451555,0.00027766937,1323.4,41.35887477174401,41.35887477174401,1.0
460000,0.52498585,4.421945,3.9023807,0.027348071,0.00027707382,1999.0,48.210153291622795,48.210153291622795,1.0
470000,0.14612474,4.4264975,None,None,None,None,None,None,1.0
480000,0.8181854,4.397609,0.54259616,0.030188592,0.00027635702,None,None,None,1.0
490000,0.55132395,4.4086437,9.294792,0.020003961,0.00027579104,1902.0,30.357101302593946,30.357101302593946,1.0
500000,0.3958973,4.426656,None,None,None,1839.0,29.887718072708914,29.887718072708914,1.0
510000,0.14321792,4.4165163,1.3771869,0.022072189,0.00027485346,None,28.83094648271799,28.83094648271799,1.0
520000,0.74398863,4.4205575,3.339537,0.020147769,0.00027424862,None,None,None,1.0
530000,0.9709238,4.4203496,None,None,None,None,None,None,1.0
540000,0.9959033,4.4096932,5.638882,0.024765521,0.0002732246,None,None,None,1.0
550000,0.20211054,4.4110093,2.7252474,0.022687307,0.0002726926,1841.0,41.03168235346675,41.03168235346675,1.0
560000,0.11198765,4.414343,1.0731546,0.021478822,0.00027208784,1999.0,36.84092526137829,36.84092526137829,1.0
570000,0.2239793,4.4101357,None,None,None,None,None,None,1.0
580000,0.26911858,4.4134426,1.3943579,0.02474487,0.0002714734,1573.3333333333333,33.4484835434705,33.4484835434705,1.0
590000,0.36151898,4.420005,2.6103015,0.022018926,0.00027091536,1999.0,30.030682537704706,30.030682537704706,1.0
600000,0.24113688,4.4223294,1.2571622,0.025474992,0.0002701058,None,None,None,1.0
610000,0.6146404,4.4308953,8.687501,0.020704512,0.00026958986,1289.0,33.44854162633419,33.44854162633419,1.0
620000,0.47115144,4.4283657,8.841749,0.023922186,0.000269026,1459.75,32.64603799352279,32.64603799352279,1.0
630000,0.2709745,4.3992114,None,None,None,1999.0,33.46603566408157,33.46603566408157,1.0
640000,0.7205437,4.413119,3.0818884,0.028573893,0.00026845,None,None,None,1.0
650000,0.5683732,4.4205084,2.8891394,0.024759306,0.0002678356,742.0,40.66300127655268,40.66300127655268,1.0
660000,1.1727049,4.421392,6.261405,0.02495901,0.00026727744,None,None,None,1.0
670000,0.63636106,4.419541,4.7056384,0.022776742,0.0002666742,1479.0,37.41339636594057,37.41339636594057,1.0
680000,0.14099023,4.3970366,0.15937597,0.024712658,0.00026612205,1667.6666666666667,32.831736014121105,32.831736014121105,1.0
690000,0.41269398,4.3962746,1.6973207,0.02611146,0.00026557068,None,51.963325967391334,51.963325967391334,1.0
700000,0.42811868,4.400902,2.8849638,0.020229049,0.00026500362,1505.5,36.43351207052668,36.43351207052668,1.0
710000,0.43704724,4.390146,None,None,None,1601.3333333333333,37.55342880450189,37.55342880450189,1.0
720000,0.6347699,4.3857675,6.0025883,0.020272031,0.00026442803,1445.0,37.908070117235184,37.908070117235184,1.0
730000,1.0292276,4.3852296,1.7793657,0.02821526,0.0002638316,1112.0,43.10573973506689,43.10573973506689,1.0
740000,0.7705587,4.3753886,10.0676985,0.0227911,0.00026331478,668.0,45.61828532147532,45.61828532147532,1.0
750000,0.540649,4.3828993,8.213156,0.027498204,0.00026273483,1880.5,32.11849035024643,32.11849035024643,1.0
760000,1.1702993,4.382443,6.1030383,0.025888404,0.00026213002,None,40.063302298386894,40.063302298386894,1.0
770000,0.70393866,4.382129,6.37113,0.027307332,0.00026151558,1002.0,None,None,1.0
780000,0.46103403,4.3791637,None,None,None,1354.0,38.55079095313946,38.55079095313946,1.0
790000,0.5436399,4.367604,4.938325,0.024424333,0.00026097786,1502.5,35.65498208999634,35.65498208999634,1.0
800000,0.28360897,4.3590155,3.4523132,0.01996867,0.00026037643,1989.0,46.79059036076069,46.79059036076069,1.0
810000,0.42836955,4.3412867,2.5600905,0.023646807,0.0002597692,1375.25,42.1695117802592,42.1695117802592,1.0
820000,1.6089619,4.3365126,4.5000076,0.02274739,0.00025920063,1428.0,40.5091557453076,40.5091557453076,1.0
830000,1.0549878,4.3627515,2.5168464,0.021894824,0.00025864405,1002.6666666666666,47.144753436247505,47.144753436247505,1.0
840000,1.2394289,4.350152,9.178125,0.028327122,0.0002580322,None,None,None,1.0
850000,1.3561527,4.3705807,None,None,None,145.0,57.94136792421341,57.94136792421341,1.0
860000,1.1762668,4.3692513,9.821051,0.023371428,0.00025749105,1999.0,32.48700603842735,32.48700603842735,1.0
870000,0.5154534,4.3431053,8.285105,0.025289552,0.0002569066,867.6666666666666,43.04727744373182,43.04727744373182,1.0
880000,1.08247,4.348314,1.1366187,0.020948986,0.0002563746,1217.5,48.95382096977638,48.95382096977638,1.0
890000,0.8502513,4.3567576,1.7236047,0.02204976,0.00025584263,1396.0,37.31634773976273,37.31634773976273,1.0
900000,1.161758,4.355058,7.027819,0.0271344,0.00025525442,1731.6666666666667,38.386935248970985,38.386935248970985,1.0
910000,1.1822325,4.3661776,5.535193,0.02915862,0.00025469845,756.0,52.609378933906555,52.609378933906555,1.0
920000,1.694731,4.3594623,7.877815,0.019218858,0.00025413744,916.0,44.65797515710195,44.65797515710195,1.0
930000,0.87476665,4.3564425,5.915567,0.028524738,0.0002535236,1239.0,49.21813942119479,49.21813942119479,1.0
940000,0.6648088,4.3237348,None,None,None,1284.0,38.63154956512153,38.63154956512153,1.0
950000,0.86335695,4.3016596,1.6244818,0.023670815,0.00025296345,1113.3333333333333,44.09856157643454,44.09856157643454,1.0
960000,1.9515536,4.328684,12.327972,0.023516562,0.00025240702,575.3333333333334,52.67996543645859,52.67996543645859,1.0
970000,1.4494096,4.32363,9.1381645,0.026303776,0.00025184656,616.6666666666666,45.57472534500994,45.57472534500994,1.0
980000,2.3446777,4.3182254,7.911062,0.025724072,0.00025127843,1499.0,42.91243061423302,42.91243061423302,1.0
990000,1.332213,4.333048,8.837707,0.025754828,0.00025067362,1201.3333333333333,41.13439770787954,41.13439770787954,1.0
1000000,0.8240312,4.3618164,3.277639,0.02128969,0.0002501282,1382.25,41.43898359603352,41.43898359603352,1.0
1010000,2.3452308,4.3213196,10.6521845,0.025299557,0.0002495486,532.0,44.02706868449847,44.02706868449847,1.0
1020000,1.2043505,4.3437185,4.309476,0.022313388,0.00024902206,1096.0,51.746244709938765,51.746244709938765,1.0
1030000,1.1859812,4.323444,None,None,None,793.2,47.95205530244857,47.95205530244857,1.0
1040000,2.2231224,4.3186784,5.641899,0.027122647,0.00024843263,563.0,54.071924114599824,54.071924114599824,1.0
1050000,1.1283594,4.341794,5.91133,0.028270015,0.0002479102,858.4,51.61741480460534,51.61741480460534,1.0
1060000,1.1298535,4.3212376,5.7685866,0.023892397,0.00024730543,827.25,42.4957651049879,42.4957651049879,1.0
1070000,1.8251278,4.303786,11.444136,0.030974478,0.00024669545,None,55.2533438205719,55.2533438205719,1.0
1080000,1.8216993,4.3036723,12.315236,0.022424545,0.00024617882,822.2857142857143,50.06232507846185,50.06232507846185,1.0
1090000,1.2459699,4.3110285,9.185684,0.026165534,0.00024559023,786.0,50.18896955251694,50.18896955251694,1.0
1100000,1.3215168,4.33591,8.259529,0.02331212,0.00024506403,684.4,49.26335065215826,49.26335065215826,1.0
1110000,1.4035648,4.2968664,9.829837,0.026631825,0.0002445132,822.3333333333334,49.99685096740723,49.99685096740723,1.0
1120000,1.2076902,4.309244,None,None,None,1297.5,43.16759552061558,43.16759552061558,1.0
1130000,0.862719,4.3179264,6.905814,0.024676694,0.00024399387,735.8333333333334,47.611116474396304,47.611116474396304,1.0
1140000,2.0615423,4.297967,9.344722,0.022843493,0.00024341684,483.0,57.53441352248192,57.53441352248192,1.0
1150000,1.768961,4.337611,11.780582,0.026916137,0.00024287026,970.0,50.38252739980817,50.38252739980817,1.0
1160000,0.96352816,4.269475,8.309925,0.024943614,0.00024234044,695.6666666666666,49.0497676932386,49.0497676932386,1.0
1170000,2.055354,4.2779627,8.704124,0.022473596,0.00024168962,708.5,51.28198233991861,51.28198233991861,1.0
1180000,2.3815844,4.319532,11.271014,0.025888467,0.00024115022,630.3333333333334,47.19724159712593,47.19724159712593,1.0
1190000,2.1112435,4.321407,9.451354,0.023304613,0.00024054544,496.0,137.896240234375,137.896240234375,1.0
1200000,2.655196,4.2922006,15.374065,0.027906936,0.00024001146,421.2,49.21932843954939,49.21932843954939,1.0
1210000,1.3862765,4.3046584,None,None,None,1115.0,51.93235617689788,51.93235617689788,1.0
1220000,1.1072997,4.3401623,9.835131,0.023805417,0.00023949343,780.5,50.87357823178172,50.87357823178172,1.0
1230000,1.8884039,4.309404,2.8683271,0.02817335,0.00023897602,530.5,52.52717988751829,52.52717988751829,1.0
1240000,1.7588818,4.302468,7.86249,0.026201565,0.00023845625,642.0,43.40716717578471,43.40716717578471,1.0
1250000,1.7659838,4.255484,16.336668,0.02003461,0.00023793706,923.4,52.0631370327125,52.0631370327125,1.0
1260000,1.2874793,4.2583632,5.1973143,0.025555117,0.00023736045,1882.3333333333333,44.39338259274761,44.39338259274761,1.0
1270000,2.4155443,4.2777157,3.2275925,0.02387442,0.00023680562,640.5,56.508758425712585,56.508758425712585,1.0
1280000,2.3345203,4.256602,12.957758,0.02771126,0.00023621965,532.0,53.08575317511956,53.08575317511956,1.0
1290000,2.3995829,4.2622004,9.236994,0.024547173,0.00023569123,905.0,49.028969899751246,49.028969899751246,1.0
1300000,1.5380979,4.2830176,7.2993264,0.025767853,0.00023512005,797.5,47.96159253595397,47.96159253595397,1.0
1310000,2.9664865,4.25368,6.804557,0.022808507,0.00023452185,557.5,49.92277434468269,49.92277434468269,1.0
1320000,2.8531978,4.269275,9.680515,0.0237637,0.00023400545,900.75,52.80140364449471,52.80140364449471,1.0
1330000,2.8735948,4.263006,None,None,None,464.0,52.885409650703274,52.885409650703274,1.0
1340000,1.8226262,4.2787156,12.002551,0.025049426,0.00023342844,682.0,49.88648111373186,49.88648111373186,1.0
1350000,1.2643123,4.2687573,5.073211,0.02680022,0.00023284245,909.0,48.7515413997074,48.7515413997074,1.0
1360000,3.2802718,4.2777367,7.5548606,0.018498478,0.00023231507,554.75,56.50869768857956,56.50869768857956,1.0
1370000,2.024251,4.2918057,9.371999,0.029777398,0.00023176442,950.75,45.12559593640841,45.12559593640841,1.0
1380000,2.4666,4.264525,8.825302,0.025056243,0.00023120065,602.3333333333334,52.43152358755469,52.43152358755469,1.0
1390000,2.2094152,4.236988,10.108828,0.022997264,0.00023065644,738.25,49.9855726743117,49.9855726743117,1.0
1400000,2.8094392,4.2496586,8.579218,0.020878289,0.00023013742,515.75,48.83349517919123,48.83349517919123,1.0
1410000,3.0297377,4.31087,10.426205,0.024941083,0.00022958768,1902.0,41.091274946928024,41.091274946928024,1.0
1420000,2.743116,4.293803,7.6849275,0.023208177,0.00022904485,844.0,46.85849762707949,46.85849762707949,1.0
1430000,2.0208774,4.244452,3.9269216,0.019355662,0.00022852687,767.1428571428571,50.5663197814272,50.5663197814272,1.0
