Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,4.4907713,0.19747168,8.54397,0.023721794,0.00029836159,650.0,43.919002898037434,43.919002898037434,1.0
50000,None,0.10677822,3.6076136,0.023026073,0.0002978218,None,None,None,1.0
60000,4.4886484,0.1616533,None,None,None,None,None,None,1.0
70000,4.48602,0.11100335,1.1512148,0.025327286,0.00029679778,1345.3333333333333,41.86407852669557,41.86407852669557,1.0
80000,None,0.1565593,None,None,None,None,None,None,1.0
90000,4.4889464,0.090394996,2.125427,0.025984248,0.00029599003,None,None,None,1.0
100000,4.4790897,0.12749378,0.31977975,0.02487492,0.0002952732,None,None,None,1.0
110000,4.4773307,0.14087805,None,None,None,1999.0,20.485062910430134,20.485062910430134,1.0
120000,4.4938507,0.039702006,4.211904,0.019056585,0.00029439962,1142.2857142857142,24.939207709648393,24.939207709648393,1.0
130000,4.4639583,0.47700042,0.07629973,0.025533557,0.0002937494,0.0,5.359068476880103,5.359068476880103,1.0
140000,4.464531,0.36874655,None,None,None,None,None,None,1.0
150000,4.4721794,0.44575906,2.9061706,0.024529243,0.00029282604,None,None,None,1.0
160000,4.460765,0.3137923,14.313139,0.024464644,0.0002921092,1999.0,28.4695430919528,28.4695430919528,1.0
170000,4.460879,0.060489,None,None,None,975.0,47.83269643783569,47.83269643783569,1.0
180000,None,0.29613557,0.7384483,0.02816464,0.00029110446,None,None,None,1.0
190000,4.472503,0.19505335,None,None,None,None,None,None,1.0
200000,4.475323,0.21400397,0.14548144,0.031001171,0.00029049,1999.0,26.878528106957674,26.878528106957674,1.0
210000,None,0.16701323,None,None,None,None,None,None,1.0
220000,4.458683,0.12900676,2.0562255,0.024390217,0.0002894948,None,None,None,1.0
230000,4.470894,0.35578796,2.7144506,0.023478879,0.00028888043,None,None,None,1.0
240000,4.472959,0.19216943,3.8832147,0.026300026,0.00028800682,1999.0,19.302965001016855,19.302965001016855,1.0
250000,4.4753165,0.0033665963,None,None,None,1999.0,29.80683494359255,29.80683494359255,1.0
260000,4.4581685,0.0892561,0.3270487,0.024047002,0.0002873476,None,39.08583799997965,39.08583799997965,1.0
270000,4.46148,0.47110826,None,None,None,None,None,None,1.0
280000,4.471003,0.58914,5.725163,0.023910908,0.00028642608,None,None,None,1.0
290000,4.455741,0.3186698,5.038904,0.029563086,0.00028570922,1780.5,32.90071646636352,32.90071646636352,1.0
300000,4.456612,0.13188034,None,None,None,1999.0,25.245890386402607,25.245890386402607,1.0
310000,4.4649644,0.045308277,0.13860358,0.025099158,0.00028469902,None,None,None,1.0
320000,4.4582844,0.1869928,3.8273077,0.027161594,0.00028408467,None,None,None,1.0
330000,4.452897,0.26188627,None,None,None,1999.0,23.137551803141832,23.137551803141832,1.0
340000,None,0.07447837,4.3026247,0.026394594,0.0002830798,None,None,None,1.0
350000,4.4587483,0.124999985,None,None,None,1542.0,None,None,1.0
360000,4.440863,0.10691744,0.15365821,0.028098712,0.00028246397,1999.0,52.80257319519296,52.80257319519296,1.0
370000,None,0.045520652,2.7781186,0.025140774,0.0002815904,1999.0,23.949563593381928,23.949563593381928,1.0
380000,4.4401336,0.06712623,0.44253758,0.024842752,0.00028102403,None,21.90648231874494,21.90648231874494,1.0
390000,4.441618,0.12200481,None,None,None,1485.0,37.23798009753227,37.23798009753227,1.0
400000,None,0.6070889,4.6622634,0.023081949,0.00028001002,None,None,None,1.0
410000,4.4297132,0.29397368,None,None,None,None,None,None,1.0
420000,4.432873,0.10911718,9.406101,0.021400727,0.00027939564,1936.0,24.153354063630104,24.153354063630104,1.0
430000,4.4409413,-0.033102,1.0794536,0.021777876,0.000278813,1499.0,43.172144796699286,43.172144796699286,1.0
440000,4.418216,0.042345535,4.591073,0.024881424,0.00027820343,1489.0,None,None,1.0
450000,4.424702,0.12363569,0.8027622,0.026429167,0.0002775982,None,45.30330969393253,45.30330969393253,1.0
460000,4.448116,0.21807966,None,None,None,1999.0,34.02773820981383,34.02773820981383,1.0
470000,4.438249,0.00054854783,3.6769636,0.020304367,0.00027659346,None,None,None,1.0
480000,4.441893,0.10502589,None,None,None,None,None,None,1.0
490000,4.4252644,0.3044414,1.9194396,0.023660673,0.000275979,1999.0,29.410102231161936,29.410102231161936,1.0
500000,4.4299445,-0.014100969,2.6490674,0.025048984,0.0002752078,1999.0,29.89647518260227,29.89647518260227,1.0
510000,4.423364,0.045674473,0.98842865,0.027035234,0.0002746318,1999.0,26.649892894758118,26.649892894758118,1.0
520000,4.440527,0.11657816,None,None,None,None,23.239379634459812,23.239379634459812,1.0
530000,4.4435763,0.6950108,6.090254,0.021708732,0.00027361742,None,None,None,1.0
540000,4.442599,0.9737585,5.5919447,0.028414637,0.00027300304,562.0,44.05355181545019,44.05355181545019,1.0
550000,4.4331737,0.055935834,None,None,None,1488.0,40.721250692009924,40.721250692009924,1.0
560000,4.44609,-0.043194216,4.006949,0.023337696,0.0002724066,1999.0,35.06425169855356,35.06425169855356,1.0
570000,4.4404383,0.27019048,0.088627666,0.023767468,0.00027170897,936.0,None,None,1.0
580000,4.438941,0.5789513,5.1681113,0.029766232,0.00027111202,1999.0,43.44213110208511,43.44213110208511,1.0
590000,4.4496813,0.4199658,None,None,None,1999.0,26.847282599657774,26.847282599657774,1.0
600000,4.454617,0.093323015,2.961709,0.019402906,0.000270312,None,None,None,1.0
610000,4.4365864,0.47909606,1.3806351,0.022724062,0.00026969766,None,None,None,1.0
620000,4.4412684,0.44281855,6.588415,0.024110366,0.00026918048,1880.25,39.41430162265897,39.41430162265897,1.0
630000,4.4499464,0.047063652,None,None,None,None,27.17089996735255,27.17089996735255,1.0
640000,4.435903,0.21753068,0.035363317,0.025912166,0.0002684284,None,None,None,1.0
650000,4.4443555,0.30584726,2.280442,0.024886902,0.000267814,1695.0,44.12114558368921,44.12114558368921,1.0
660000,4.4470506,0.65274,8.838137,0.028621392,0.00026706522,None,None,None,1.0
670000,4.440291,0.8772265,None,None,None,1999.0,26.87146444618702,26.87146444618702,1.0
680000,4.442365,0.1465737,4.576282,0.024840826,0.00026646044,1839.0,32.121432546526194,32.121432546526194,1.0
690000,4.4433055,0.3238886,1.2994243,0.028102962,0.00026592927,1999.0,28.345253974199295,28.345253974199295,1.0
700000,4.437349,0.26948845,0.26080045,0.023720598,0.00026532443,1999.0,32.46632553637028,32.46632553637028,1.0
