Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
110000,-0.14358398,1.4206455,1372.6,-0.5923798944801092,-0.5923798944801092,0.009584384,0.02471,0.0002890732,1.0
120000,-0.1406091,1.4208642,None,None,None,None,None,None,1.0
130000,-0.11659726,1.4203664,999.5,-1.4294384611479471,-1.4294384611479471,0.01010443,0.021909643,0.00028797242,1.0
140000,-0.09653757,1.4198052,None,None,None,0.012076993,0.024663182,0.00028692317,1.0
150000,-0.15972003,1.4176904,None,None,None,0.024866134,0.022361059,0.00028582237,1.0
160000,-0.16568235,1.4159336,None,None,None,0.01898895,0.025761338,0.00028474722,1.0
170000,-0.17609774,1.4144198,None,None,None,0.014580087,0.02513857,0.0002836464,1.0
180000,-0.19545124,1.413955,None,None,None,0.010154849,0.023704406,0.0002825456,1.0
190000,-0.23186496,1.4147834,None,None,None,0.005247174,0.025932541,0.00028147045,1.0
200000,-0.21078311,1.415869,None,None,None,0.016345596,0.025932182,0.00028036963,1.0
210000,-0.21171086,1.415761,None,None,None,0.011323127,0.021674465,0.0002792688,1.0
220000,-0.23017679,1.4157321,None,None,None,0.007431626,0.025253845,0.0002781936,1.0
230000,-0.2242224,1.4146266,None,None,None,0.0139796855,0.021504639,0.00027709277,1.0
240000,-0.24271473,1.4121538,1892.0,-2.5536252427846193,-2.5536252427846193,None,None,None,1.0
250000,-0.23443142,1.4103667,None,None,None,0.0070442744,0.028464837,0.00027596243,1.0
260000,-0.18663904,1.4092045,1999.0,-2.86313237376245,-2.86313237376245,0.0071793366,0.020079391,0.00027491283,1.0
270000,-0.12698536,1.4091368,None,None,None,0.027085718,0.024534049,0.0002738248,1.0
280000,-0.18315443,1.4083766,None,None,None,0.023447193,0.02776866,0.00027277519,1.0
290000,-0.18648803,1.4060278,None,None,None,0.011670234,0.0187668,0.0002716488,1.0
300000,-0.19022316,1.4042653,None,None,None,0.009303654,0.028946063,0.000270548,1.0
310000,-0.1889298,1.4045079,None,None,None,0.011710633,0.018964691,0.00026949839,1.0
