Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
130000,-0.13964821,1.420786,999.5,-1.6408751838316675,-1.6408751838316675,0.0058301324,0.029406704,0.00028706563,1.0
140000,-0.12011749,1.4202784,None,None,None,None,None,None,1.0
150000,-0.14307122,1.4211133,None,None,None,0.016076375,0.026566524,0.00028599045,1.0
160000,-0.17399567,1.4223403,None,None,None,0.012398099,0.028741116,0.00028488965,1.0
170000,-0.15840039,1.4219353,None,None,None,0.008856295,0.025106339,0.00028378883,1.0
180000,-0.142112,1.4213283,None,None,None,0.007387859,0.033738676,0.0002827136,1.0
190000,-0.16237228,1.4206234,None,None,None,0.008965509,0.024572542,0.0002816128,1.0
200000,-0.18546364,1.4204854,None,None,None,0.0056777457,0.02280164,0.00028051206,1.0
210000,-0.1856915,1.4204763,None,None,None,0.0030590305,0.029023198,0.00027943682,1.0
220000,-0.182447,1.4203019,None,None,None,0.0044505866,0.022291554,0.00027833603,1.0
230000,-0.18503948,1.420317,None,None,None,0.0031625987,0.02610101,0.00027723523,1.0
240000,-0.185393,1.4206672,1337.4,-1.3448002237593755,-1.3448002237593755,0.0023733035,0.025453681,0.00027615638,1.0
250000,-0.17993265,1.4209256,1605.2857142857142,-1.871714590150597,-1.871714590150597,0.0046875095,0.02437422,0.0002750084,1.0
260000,-0.115747,1.4204751,1999.0,-3.0813336862872043,-3.0813336862872043,None,None,None,1.0
270000,-0.11583382,1.420392,None,None,None,0.013719883,0.017609537,0.0002739588,1.0
280000,-0.1733708,1.4218528,None,None,None,0.014410632,0.02403474,0.00027285801,1.0
290000,-0.1917478,1.4246491,None,None,None,0.009267296,0.023117961,0.0002717572,1.0
300000,-0.20059891,1.4258269,None,None,None,0.0050743376,0.021443218,0.0002707076,1.0
310000,-0.20484169,1.4256078,725.0,0.6858748598024249,0.6858748598024249,0.006515909,0.026253197,0.00026957243,1.0
320000,-0.22133854,1.423896,None,None,None,0.0030960732,0.021734094,0.00026847157,1.0
330000,-0.1923391,1.4225427,956.2,-0.39190019672969356,-0.39190019672969356,0.003790602,0.021284252,0.00026744133,1.0
340000,-0.20804562,1.4204148,None,None,None,0.008030376,0.022888208,0.0002664136,1.0
350000,-0.14325261,1.4193643,1135.0,-0.8380002224701457,-0.8380002224701457,0.008123287,0.022465644,0.00026536558,1.0
360000,-0.18382543,1.4202584,1732.0,-1.8320002977270633,-1.8320002977270633,0.008108676,0.025344852,0.0002642564,1.0
370000,-0.16721514,1.4214946,1737.1538461538462,-2.65219259632823,-2.65219259632823,0.016179772,0.02691644,0.00026312322,1.0
380000,-0.1592564,1.4216352,None,None,None,0.00986568,0.02324075,0.00026207365,1.0
390000,-0.08588601,1.4224509,1819.2162162162163,-2.6567300686587556,-2.6567300686587556,None,None,None,1.0
400000,-0.08128937,1.4217957,728.6,0.17699984160717577,0.17699984160717577,0.021226378,0.023846352,0.0002609452,1.0
410000,-0.10805307,1.4210155,None,None,None,0.020517088,0.020821346,0.0002599084,1.0
420000,-0.11311376,1.420122,379.8,1.2483998480252922,1.2483998480252922,0.0062856986,0.020098392,0.000258782,1.0
430000,-0.14406914,1.4203626,None,None,None,0.00935025,0.028232012,0.00025767,1.0
440000,-0.15666966,1.4207757,1375.0,-1.4388002451276407,-1.4388002451276407,0.005764305,0.016243342,0.0002566204,1.0
450000,-0.15900661,1.4213126,None,None,None,0.0055512926,0.026634034,0.00025552284,1.0
460000,-0.14339809,1.4225631,995.0,-0.3887001912109554,-0.3887001912109554,0.007126561,0.027683694,0.0002543732,1.0
470000,-0.18763843,1.423303,1083.8,-0.9115002490114421,-0.9115002490114421,0.0044294423,0.023505867,0.00025332358,1.0
480000,-0.17876996,1.4225098,1645.2222222222222,-2.0026669479233936,-2.0026669479233936,0.0065668323,0.024875814,0.00025221158,1.0
490000,-0.18882078,1.421954,1999.0,-2.748500384390354,-2.748500384390354,0.009787866,0.028810458,0.00025112042,1.0
500000,-0.19960539,1.4205588,1218.2,-1.0460002524661831,-1.0460002524661831,0.007979649,0.028268756,0.0002500949,1.0
510000,-0.20921353,1.4199483,1439.0,0.9216999249649234,0.9216999249649234,None,None,None,1.0
520000,-0.1648775,1.4193172,1999.0,-2.783786089824779,-2.783786089824779,0.010596063,0.021664659,0.00024895722,1.0
530000,-0.17308973,1.4191902,272.0,1.8181249257177114,1.8181249257177114,0.019150028,0.026698027,0.000247914,1.0
540000,-0.16751266,1.4184244,1112.4285714285713,0.10484982052003033,0.10484982052003033,0.012190114,0.019745339,0.00024688325,1.0
550000,-0.1539382,1.4172331,457.4,-0.7468336012938784,-0.7468336012938784,0.015621082,0.028730897,0.00024583645,1.0
560000,-0.14514987,1.4167597,None,None,None,0.009875715,0.025347335,0.0002447624,1.0
570000,-0.15940478,1.4153891,276.6,1.3073999140644446,1.3073999140644446,0.006364737,0.023617325,0.00024370203,1.0
580000,-0.14135621,1.4144434,1367.0,-1.188077202057824,-1.188077202057824,0.00868223,0.024918668,0.00024262682,1.0
590000,-0.15356368,1.4132516,1694.111111111111,-2.2360558823307253,-2.2360558823307253,0.010223636,0.029667906,0.00024150767,1.0
600000,-0.1448411,1.4118869,1459.8,-1.6516002974938602,-1.6516002974938602,0.009156692,0.024106402,0.00024035883,1.0
610000,-0.16852501,1.4106709,910.6,-0.2780501267872751,-0.2780501267872751,0.009665938,0.026872057,0.00023932886,1.0
620000,-0.23443043,1.4104815,1999.0,-2.7480003759264946,-2.7480003759264946,0.0056474064,0.030261617,0.00023829524,1.0
630000,-0.23527507,1.4103072,428.6,0.9272998527623713,0.9272998527623713,0.014495347,0.027955057,0.00023726482,1.0
640000,-0.26727396,1.4095958,1579.952380952381,-1.9028574586180704,-1.9028574586180704,0.011958447,0.026019024,0.00023622443,1.0
650000,-0.106988035,1.4085699,639.0,0.9007499106228352,0.9007499106228352,0.015490993,0.027274914,0.00023513802,1.0
660000,-0.12805483,1.4081516,1999.0,-2.7495004162192345,-2.7495004162192345,0.008374344,0.022835454,0.00023410762,1.0
670000,-0.11811406,1.4070052,435.0,1.4106248505413532,1.4106248505413532,None,None,None,1.0
680000,-0.09924263,1.4077147,1034.5555555555557,-0.4766668701906585,-0.4766668701906585,0.0076931207,0.028238283,0.00023298609,1.0
690000,-0.0733341,1.4071215,999.0,-0.598850196134299,-0.598850196134299,0.0073221154,0.019726345,0.00023195162,1.0
700000,-0.090985626,1.4051857,None,None,None,0.012166832,0.02089798,0.00023084924,1.0
710000,-0.11892764,1.4034935,1735.3809523809523,-2.2445955888390365,-2.2445955888390365,0.0075324196,0.024377335,0.00022979964,1.0
720000,0.00060634554,1.4036238,755.0,-0.013143021139382784,-0.013143021139382784,0.008774763,0.02472424,0.00022876445,1.0
730000,-0.08507241,1.4035385,None,0.6605998926330358,0.6605998926330358,0.020116856,0.019360475,0.00022768645,1.0
740000,-0.12429103,1.4025401,1594.5555555555557,-1.8761669542743928,-1.8761669542743928,0.007929557,0.024371194,0.00022663042,1.0
750000,-0.135941,1.4020436,None,None,None,0.0056479317,0.022675948,0.00022548245,1.0
760000,-0.13306178,1.4020665,1317.0,-1.1690002735704184,-1.1690002735704184,0.008083215,0.017375104,0.00022438321,1.0
770000,-0.09322444,1.4015319,1495.6153846153845,-1.6626925718110914,-1.6626925718110914,0.008731457,0.023378575,0.00022327607,1.0
780000,-0.076596335,1.4019487,None,None,None,0.009369437,0.022310507,0.00022212404,1.0
790000,-0.108974665,1.4001119,720.4,1.1322691240258371,1.1322691240258371,None,None,None,1.0
800000,-0.072616905,1.3996843,545.4,-0.7879502029740252,-0.7879502029740252,0.0068904655,0.03005247,0.00022100005,1.0
810000,-0.098390244,1.3980173,1999.0,-1.9509169419761747,-1.9509169419761747,0.01450662,0.026382543,0.00021997283,1.0
820000,-0.12955907,1.3971863,None,None,None,0.011730066,0.023833057,0.00021894243,1.0
830000,-0.1277678,1.3967805,463.0,0.8405998210422695,0.8405998210422695,0.0023349072,0.026270712,0.00021784163,1.0
840000,-0.114775375,1.3970075,1999.0,-3.123750412836671,-3.123750412836671,0.0039797407,0.026939346,0.00021673924,1.0
850000,-0.078646004,1.398039,1514.090909090909,-1.7408185127291786,-1.7408185127291786,0.0048727216,0.014168599,0.0002156257,1.0
860000,-0.083786085,1.3987029,819.0,0.45049985125660896,0.45049985125660896,0.016391972,0.02477674,0.00021456282,1.0
870000,-0.11347934,1.3985319,644.4736842105264,0.387657759518142,0.387657759518142,0.008045187,0.02297836,0.00021346765,1.0
880000,-0.03807459,1.3981762,271.0,1.1206998596899211,1.1206998596899211,0.0135377,0.02830215,0.00021240681,1.0
