Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
120000,1.4262574,-0.10726816,1463.8,-0.5511000618338585,-0.5511000618338585,1.0
130000,1.4264678,-0.01932703,999.5,-1.34913343237907,-1.34913343237907,1.0
140000,1.4286507,0.022082046,None,None,None,1.0
150000,1.4290488,-0.043696098,None,None,None,1.0
160000,1.4283258,-0.11832335,None,None,None,1.0
170000,1.4281347,-0.15003824,None,None,None,1.0
180000,1.4295511,-0.15383185,None,None,None,1.0
190000,1.4298356,-0.16319028,None,None,None,1.0
200000,1.4278221,-0.15843743,1047.0,0.2544202135992236,0.2544202135992236,1.0
210000,1.4266659,-0.16662847,None,None,None,1.0
220000,1.4260062,-0.14787519,None,None,None,1.0
230000,1.4264275,-0.15672742,None,None,None,1.0
240000,1.424537,-0.16462322,1415.0,-0.7123800365137868,-0.7123800365137868,1.0
250000,1.4232191,-0.18004939,None,None,None,1.0
260000,1.4231775,-0.14652975,1999.0,-2.449778817061867,-2.449778817061867,1.0
270000,1.4236017,-0.07332996,None,None,None,1.0
280000,1.4231347,-0.11655744,None,None,None,1.0
290000,1.4211932,-0.14305596,None,None,None,1.0
300000,1.4200826,-0.15529275,None,None,None,1.0
310000,1.419905,-0.17181958,None,None,None,1.0
320000,1.4189508,-0.15380786,None,None,None,1.0
330000,1.4179868,-0.16455697,1999.0,-1.8871499560773373,-1.8871499560773373,1.0
340000,1.4182739,-0.14679344,1003.8,0.06570003409869969,0.06570003409869969,1.0
350000,1.4178146,-0.18082596,1475.0,-0.1509996980894357,-0.1509996980894357,1.0
360000,1.4176643,-0.17623383,None,None,None,1.0
370000,1.4179357,-0.1873614,1999.0,-3.379150364547968,-3.379150364547968,1.0
380000,1.4188832,-0.16674186,None,None,None,1.0
390000,1.4197686,-0.096604064,1999.0,-2.6053335261531174,-2.6053335261531174,1.0
400000,1.4196072,-0.10039322,None,None,None,1.0
410000,1.4191098,-0.15899579,None,None,None,1.0
420000,1.4190774,-0.15513301,None,None,None,1.0
430000,1.4192319,-0.19309351,None,None,None,1.0
440000,1.4189839,-0.20103805,None,None,None,1.0
450000,1.4172145,-0.19862422,1450.2,-0.4900999218225479,-0.4900999218225479,1.0
460000,1.4164442,-0.172651,1606.5555555555557,-1.1967887932227717,-1.1967887932227717,1.0
470000,1.4165074,-0.16329293,None,None,None,1.0
480000,1.4155847,-0.17451446,1195.8,-0.12953997696749867,-0.12953997696749867,1.0
490000,1.4140047,-0.18749619,1267.8,-0.3330800075083971,-0.3330800075083971,1.0
500000,1.4140822,-0.14386065,1999.0,-1.9238002821803093,-1.9238002821803093,1.0
510000,1.4125372,-0.16672099,1847.25,-0.980699786148034,-0.980699786148034,1.0
520000,1.4128778,-0.062587574,1999.0,-2.5194557702375784,-2.5194557702375784,1.0
530000,1.4120929,-0.13723366,None,None,None,1.0
540000,1.4123725,-0.14846687,700.6,1.1662802029633894,1.1662802029633894,1.0
550000,1.4132723,-0.16062804,1231.0,-0.21847978548612446,-0.21847978548612446,1.0
560000,1.4141887,-0.1573785,None,None,None,1.0
570000,1.4149212,-0.18561119,None,None,None,1.0
580000,1.4146206,-0.18561938,1999.0,-1.8485999256372452,-1.8485999256372452,1.0
590000,1.4140327,-0.16940925,1999.0,-1.8534000758081675,-1.8534000758081675,1.0
600000,1.4130281,-0.17362258,1279.0,-0.018899930123653676,-0.018899930123653676,1.0
610000,1.4119737,-0.14696111,1999.0,None,None,1.0
620000,1.4102007,-0.13843407,1327.0,-1.2456222060653899,-1.2456222060653899,1.0
630000,1.4097856,-0.061461568,1167.2857142857142,-0.26518561012510744,-0.26518561012510744,1.0
640000,1.4081804,-0.077676356,1771.121212121212,-1.6508939557454803,-1.6508939557454803,1.0
650000,1.4065914,0.070506826,319.0,2.4600803310167976,2.4600803310167976,1.0
660000,1.4066944,-0.0613344,None,None,None,1.0
670000,1.4072729,-0.12945881,None,None,None,1.0
680000,1.4074286,-0.1261808,899.8571428571429,0.7317144339987343,0.7317144339987343,1.0
690000,1.4065416,-0.06710702,612.2,1.5058199921739288,1.5058199921739288,1.0
700000,1.4045844,-0.09170251,729.4,1.1825502209598198,1.1825502209598198,1.0
710000,1.4024193,-0.10707405,1299.857142857143,0.3202301169396378,0.3202301169396378,1.0
720000,1.401411,-0.051876955,None,-1.8517002537846565,-1.8517002537846565,1.0
730000,1.401721,-0.11773896,1136.7777777777778,0.028666672710743215,0.028666672710743215,1.0
740000,1.4018307,-0.033561833,729.4,0.9331600614008494,0.9331600614008494,1.0
750000,1.3999394,-0.074718796,1034.5555555555557,2.311600244068541,2.311600244068541,1.0
760000,1.3996123,-0.10060316,1999.0,-1.8573334117730458,-1.8573334117730458,1.0
770000,1.3992863,-0.07535599,1747.0,-1.5927222399041057,-1.5927222399041057,1.0
780000,1.3984612,-0.04051363,618.578947368421,1.53212130948362,1.53212130948362,1.0
790000,1.3977972,-0.067699686,202.2,2.468860454671085,2.468860454671085,1.0
800000,1.3965124,-0.023572918,819.6,0.9177472822176402,0.9177472822176402,1.0
810000,1.3960999,0.014559152,1085.4761904761904,0.8035632819978913,0.8035632819978913,1.0
820000,1.396413,0.033388555,1181.2222222222222,0.036750112327614,0.036750112327614,1.0
830000,1.3958794,-0.008502317,1999.0,-1.8684499524533749,-1.8684499524533749,1.0
840000,1.3942139,-0.025351971,856.1428571428571,0.9715146121036794,0.9715146121036794,1.0
850000,1.3938334,-0.024230983,550.1428571428571,1.7664717041355158,1.7664717041355158,1.0
860000,1.3935647,0.092314355,938.7894736842105,0.5461159655334134,0.5461159655334134,1.0
870000,1.3932449,-0.013644196,761.8,1.0001001641212497,1.0001001641212497,1.0
880000,1.3920238,-0.041664913,None,None,None,1.0
890000,1.3906838,-0.094377734,512.2,1.6591601451858877,1.6591601451858877,1.0
900000,1.3899894,-0.0922693,None,None,None,1.0
910000,1.3895931,-0.14647949,None,None,None,1.0
920000,1.3908695,-0.13854706,1439.0,0.7129801779985427,0.7129801779985427,1.0
930000,1.3916394,-0.08407578,1745.6666666666667,-1.5523461828348586,-1.5523461828348586,1.0
940000,1.391275,-0.120175004,None,None,None,1.0
950000,1.390162,-0.020905016,1019.4848484848485,0.42260625641651905,0.42260625641651905,1.0
960000,1.3889705,0.04990758,662.5555555555555,1.597144690872584,1.597144690872584,1.0
970000,1.388015,0.005425887,1028.3333333333333,0.45783345776403117,0.45783345776403117,1.0
980000,1.3872628,-0.014451877,1093.0,0.2262224024355722,0.2262224024355722,1.0
990000,1.3863958,0.04792707,773.5,0.8786949820381491,0.8786949820381491,1.0
1000000,1.3847042,0.053006846,292.6,2.207880366034806,2.207880366034806,1.0
1010000,1.3837976,-0.0019235326,1999.0,0.2447556962013348,0.2447556962013348,1.0
1020000,1.3823967,0.03710244,1120.3333333333333,-0.11204429312298696,-0.11204429312298696,1.0
1030000,1.3820873,0.037769306,761.4,1.011830252641812,1.011830252641812,1.0
1040000,1.3823221,-0.0032976763,689.5714285714286,2.637311527156271,2.637311527156271,1.0
1050000,1.3829161,0.06391401,549.8,0.7616334699909203,0.7616334699909203,1.0
1060000,1.3837827,0.02926712,652.6,1.271640223741997,1.271640223741997,1.0
1070000,1.3837504,0.027078135,738.4666666666667,0.8561135046339283,0.8561135046339283,1.0
1080000,1.3834585,0.07438566,1145.1666666666667,0.18635808921566135,0.18635808921566135,1.0
1090000,1.383249,0.08680433,382.2,1.3946852228255011,1.3946852228255011,1.0
1100000,1.3833742,0.095557995,864.6,0.7313701153791043,0.7313701153791043,1.0
1110000,1.383184,0.12384633,764.3333333333334,1.1670557838321354,1.1670557838321354,1.0
1120000,1.382257,0.14594346,504.3333333333333,2.175177857176297,2.175177857176297,1.0
1130000,1.3821437,0.13300782,543.0,1.6211899193826709,1.6211899193826709,1.0
1140000,1.3810989,0.19219598,1008.2,0.3557501444593072,0.3557501444593072,1.0
1150000,1.3810526,0.12774305,1050.5555555555557,0.7278112096634383,0.7278112096634383,1.0
1160000,1.381675,0.15046847,421.24,1.801235315023223,1.801235315023223,1.0
1170000,1.3807023,0.10218027,1304.0,0.9620925263286784,0.9620925263286784,1.0
1180000,1.3808231,0.12159218,616.6,1.3849801337346435,1.3849801337346435,1.0
1190000,1.3806344,0.039544832,1016.7777777777778,2.397260421141982,2.397260421141982,1.0
1200000,1.3809375,0.0313921,651.0,0.40007166199003613,0.40007166199003613,1.0
1210000,1.3809677,0.08159838,1280.857142857143,-0.43069999348372223,-0.43069999348372223,1.0
1220000,1.3801658,0.06757989,634.6153846153846,1.0463468954743196,1.0463468954743196,1.0
1230000,1.3799136,0.03687261,439.85714285714283,2.062243176491133,2.062243176491133,1.0
1240000,1.3801988,0.06847613,604.2,1.4209302311181091,1.4209302311181091,1.0
1250000,1.3798332,0.01195702,1075.0,0.3321101451292634,0.3321101451292634,1.0
1260000,1.3786131,-0.031789307,1498.111111111111,-1.8762001562863588,-1.8762001562863588,1.0
1270000,1.3763931,0.048989594,857.3157894736842,0.740925189832827,0.740925189832827,1.0
1280000,1.3753247,0.053597283,315.8,2.1711602683567133,2.1711602683567133,1.0
1290000,1.3758408,0.06316824,1843.3076923076924,-1.5966461474219193,-1.5966461474219193,1.0
1300000,1.3744546,-0.04468523,452.2,1.816090294352034,1.816090294352034,1.0
1310000,1.3725212,-0.043302417,1386.2,-0.6531599359470419,-0.6531599359470419,1.0
1320000,1.3714277,0.019681564,269.8,2.292140371177811,2.292140371177811,1.0
1330000,1.3714778,0.059815735,842.0689655172414,0.9036635342170485,0.9036635342170485,1.0
1340000,1.3721051,0.05887479,756.8461538461538,1.1396233383655692,1.1396233383655692,1.0
1350000,1.3715695,0.014814179,537.4,1.7350701584480703,1.7350701584480703,1.0
1360000,1.3699278,0.02423716,308.8,2.263910281175049,2.263910281175049,1.0
1370000,1.3681111,0.05760331,916.2,0.6036801090522204,0.6036801090522204,1.0
