Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,-0.044507205,0.0028901324,0.019913057,0.00028799367,1.4114171,999.5,-1.4690002842980903,-1.4690002842980903,1.0
140000,-0.003036833,0.013654664,0.021195965,0.00028693763,1.4127824,None,None,None,1.0
150000,-0.077077985,0.028279928,0.022426676,0.0002858368,1.4130393,None,None,None,1.0
160000,-0.11338236,0.020096341,0.024749637,0.0002847616,1.413018,None,None,None,1.0
170000,-0.145081,0.013852305,0.019641759,0.0002836608,1.4122449,None,None,None,1.0
180000,-0.15005763,0.0051609366,0.022979826,0.00028255998,1.4105257,None,None,None,1.0
190000,-0.18524009,0.0076864106,0.022921424,0.00028148483,1.4087645,None,None,None,1.0
200000,-0.20276554,0.0059919227,0.023183404,0.00028038403,1.4075668,None,None,None,1.0
210000,-0.20184384,0.006521489,0.023580851,0.0002792832,1.406558,None,None,None,1.0
220000,-0.23010232,0.009632541,0.024850434,0.00027820803,1.4060762,None,None,None,1.0
230000,-0.24294308,0.014073385,0.026191734,0.00027710723,1.4057697,None,None,None,1.0
240000,-0.24390152,0.0041320217,0.026508223,0.00027600644,1.4067192,None,None,None,1.0
250000,-0.27065668,None,None,None,1.4059465,None,None,None,1.0
260000,-0.14139691,0.010393737,0.024529103,0.0002749312,1.4051188,1999.0,-2.5605006013065577,-2.5605006013065577,1.0
270000,-0.04167263,0.041979253,0.022596937,0.000273856,1.4029374,None,None,None,1.0
280000,-0.11652229,0.033070985,0.020174349,0.0002727808,1.401353,None,None,None,1.0
290000,-0.115370736,0.034333516,0.022370847,0.00027175047,1.400191,None,None,None,1.0
300000,-0.11927205,0.012223961,0.021132065,0.0002707072,1.4017373,526.6,1.7751997211016715,1.7751997211016715,1.0
310000,-0.079207994,0.017240072,0.023111777,0.00026961643,1.4038665,623.0,1.3652496850350873,1.3652496850350873,1.0
320000,-0.14219533,0.024206555,0.023779748,0.00026851086,1.4034909,None,None,None,1.0
330000,-0.15905778,0.0046689054,0.019389695,0.00026746126,1.4027585,None,None,None,1.0
340000,-0.19513378,0.0045052054,0.0236942,0.00026633483,1.4026929,None,None,None,1.0
350000,-0.1957875,0.014224238,0.02981155,0.00026523403,1.4020311,None,None,None,1.0
360000,-0.20504354,0.0030788379,0.019655112,0.00026418443,1.4008176,None,None,None,1.0
370000,-0.22321376,0.003271043,0.024507606,0.00026305803,1.4003533,None,None,None,1.0
380000,-0.22264892,None,None,None,1.3997892,None,None,None,1.0
390000,-0.13367088,0.0018588743,0.02343612,0.00026195723,1.3999405,1999.0,-2.4018466982703943,-2.4018466982703943,1.0
400000,-0.11670093,0.049436834,0.019401368,0.00026087562,1.4000001,None,None,None,1.0
410000,-0.16198067,0.030592978,0.024027506,0.0002597748,1.4002205,None,None,None,1.0
420000,-0.19856255,0.020897223,0.028614867,0.0002587252,1.4002279,None,None,None,1.0
430000,-0.1804669,0.010176548,0.025320284,0.00025759242,1.4003521,1999.0,-1.9990006908774376,-1.9990006908774376,1.0
440000,-0.15690392,0.016292332,0.028832113,0.00025653004,1.4007727,1999.0,-3.1230004467070103,-3.1230004467070103,1.0
450000,-0.17954768,0.016023459,0.02094505,0.00025548044,1.4005423,None,None,None,1.0
