Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,0.034585837,4.4906497,7.4089975,0.024541236,0.00029836159,683.0,43.124352749437094,43.124352749437094,1.0
50000,-0.058890164,None,1.2513363,0.025031723,0.00029781525,None,None,None,1.0
60000,0.04812754,4.487201,None,None,None,None,None,None,1.0
70000,0.005944082,4.485057,2.5544107,0.029100925,0.00029679126,None,None,None,1.0
80000,-0.09840488,None,3.0949452,0.023255622,0.00029617676,None,None,None,1.0
90000,-0.0101562785,4.4832253,None,None,None,None,None,None,1.0
100000,0.020264473,4.4806623,0.40175098,0.025131648,0.00029515286,1843.0,28.572051296631496,28.572051296631496,1.0
110000,-0.12190774,4.479164,0.3413242,0.026635597,0.00029452486,1999.0,26.49090328270739,26.49090328270739,1.0
120000,-0.013425748,4.4952736,None,None,None,1399.3,26.75834429583379,26.75834429583379,1.0
130000,0.36690602,4.474677,0.2182519,0.02193745,0.00029368943,0.0,3.7633569136810756,3.7633569136810756,1.0
140000,0.3808373,4.4744296,None,None,None,None,None,None,1.0
150000,0.24977145,4.4637465,7.0633736,0.025803283,0.00029297,None,None,None,1.0
160000,0.3306435,4.465836,14.285874,0.031604074,0.00029204844,1999.0,8.028372406959534,8.028372406959534,1.0
170000,0.08976783,4.464232,None,None,None,884.0,44.248697525262834,44.248697525262834,1.0
180000,0.07171532,None,3.1378212,0.021709377,0.000291192,None,None,None,1.0
190000,0.12702516,4.461174,None,None,None,None,None,None,1.0
200000,0.57187194,4.45706,0.64003056,0.02834565,0.0002904752,1282.0,41.19777087122202,41.19777087122202,1.0
210000,-0.08908476,None,4.3047223,0.02738607,0.00028950183,None,None,None,1.0
220000,-0.049184825,4.4614515,None,None,None,None,None,None,1.0
230000,0.040262073,4.470571,0.63687795,0.017815068,0.00028888736,1752.0,36.61830731232961,36.61830731232961,1.0
