Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
130000,-0.03848122,0.005167818,0.025934828,0.00028799367,1.4232252,999.5,-1.7625519161888406,-1.7625519161888406,1.0
140000,-0.0467583,0.005322101,0.018500775,0.00028689922,1.4227412,None,None,None,1.0
150000,-0.086028755,0.012241378,0.02315554,0.0002858368,1.4212401,None,None,None,1.0
160000,-0.10298937,0.008114622,0.02632259,0.0002847616,1.4202164,None,None,None,1.0
170000,-0.1029923,0.0052126613,0.020761771,0.0002836608,1.4215498,None,None,None,1.0
180000,-0.13831125,0.0051982165,0.02632109,0.00028255998,1.4233183,None,None,None,1.0
190000,-0.13901632,0.0016429812,0.02517898,0.00028148483,1.4238906,None,None,None,1.0
200000,-0.15615991,0.009611636,0.021541055,0.00028038403,1.4234793,None,None,None,1.0
210000,-0.1729951,0.006033318,0.020728022,0.0002792832,1.4240285,None,None,None,1.0
220000,-0.18454987,0.010142694,0.024469908,0.00027820803,1.424286,None,None,None,1.0
230000,-0.20219235,0.005292793,0.021362923,0.00027710723,1.4253968,None,None,None,1.0
240000,-0.21191722,0.0014486233,0.023843259,0.00027600644,1.4274939,None,None,None,1.0
250000,-0.22976379,None,None,None,1.4288069,None,None,None,1.0
260000,-0.16829483,0.0019758374,0.02132807,0.0002749312,1.4287217,1999.0,-3.8510944221634418,-3.8510944221634418,1.0
270000,-0.10786345,0.01732984,0.025373315,0.000273856,1.4289267,None,None,None,1.0
280000,-0.13971284,0.0160459,0.024052687,0.0002727808,1.4289465,None,None,None,1.0
290000,-0.17384428,0.008527847,0.029477501,0.00027167998,1.4280788,None,None,None,1.0
300000,-0.17321865,0.0072612036,0.022863084,0.00027057916,1.4273561,None,None,None,1.0
310000,-0.19399251,0.0048727444,0.022504997,0.0002695041,1.4266511,None,None,None,1.0
320000,-0.19657515,0.0058016847,0.028015776,0.0002684033,1.4264622,None,None,None,1.0
330000,-0.19696835,0.0049944646,0.02333701,0.00026730247,1.4263989,None,None,None,1.0
340000,-0.18641491,0.0034127661,0.027320737,0.00026622726,1.4259937,None,None,None,1.0
350000,-0.19819085,0.002934402,0.017386848,0.00026512647,1.4255694,None,None,None,1.0
360000,-0.19056003,0.0045339298,0.023873221,0.00026402564,1.4261734,None,None,None,1.0
370000,-0.20025554,None,None,None,1.4244277,1395.8,-1.4767804276198149,-1.4767804276198149,1.0
380000,-0.20713222,0.002861919,0.022448663,0.0002629432,1.4236661,None,None,None,1.0
390000,-0.14142352,0.003784905,0.025560685,0.0002618424,1.4220214,1999.0,-3.525360723212361,-3.525360723212361,1.0
400000,-0.12878141,0.016974855,0.022234887,0.00026079922,1.4219347,None,None,None,1.0
410000,-0.1538701,0.012964402,0.017258424,0.00025969843,1.4226937,None,None,None,1.0
420000,-0.19103728,0.0088988785,0.023677113,0.0002585976,1.4226593,None,None,None,1.0
430000,-0.19475208,0.0067099114,0.023532748,0.0002575224,1.4223566,None,None,None,1.0
440000,-0.18605141,0.004043166,0.025406983,0.0002564216,1.4219397,None,None,None,1.0
450000,-0.18478055,0.004607229,0.027135557,0.0002553208,1.4212887,None,None,None,1.0
460000,-0.19911893,0.002162621,0.020977043,0.0002542456,1.4207227,None,None,None,1.0
470000,-0.21202073,0.0027633072,0.028396321,0.0002531448,1.4198356,None,None,None,1.0
480000,-0.20838429,0.0038578126,0.022953281,0.00025204397,1.4192911,None,None,None,1.0
490000,-0.2039847,None,None,None,1.4197099,None,None,None,1.0
500000,-0.19019797,0.0038888445,0.018179202,0.00025096876,1.4209591,1862.0,-2.6747131794691086,-2.6747131794691086,1.0
510000,-0.19060908,0.00815018,0.02435341,0.00024983683,1.4219522,None,None,None,1.0
520000,-0.12280493,0.0031847411,0.022317372,0.00024880003,1.422076,1999.0,-3.516922151802906,-3.516922151802906,1.0
530000,-0.15577608,0.019002449,0.033584185,0.0002476992,1.4214898,None,None,None,1.0
540000,-0.17540197,0.012530484,0.023249585,0.0002465984,1.4212538,None,None,None,1.0
550000,-0.16701306,0.005592332,0.026133351,0.00024552323,1.421648,None,None,None,1.0
560000,-0.16347839,0.0043830248,0.02227858,0.0002444224,1.4220903,None,None,None,1.0
570000,-0.14460897,0.008809148,0.028910762,0.00024332161,1.4227177,None,None,None,1.0
580000,-0.1324857,0.015761806,0.020976728,0.0002422464,1.4226458,None,None,None,1.0
590000,-0.13096747,0.008112416,0.02899866,0.00024114562,1.4247894,1496.0,-1.4346506707370281,-1.4346506707370281,1.0
600000,-0.12059983,0.013586626,0.022719365,0.00024004884,1.425743,1097.4,-1.0986004122532904,-1.0986004122532904,1.0
610000,-0.1178592,None,None,None,1.4269758,1177.4,-1.1230003996752203,-1.1230003996752203,1.0
620000,-0.12359877,0.008108786,0.024552891,0.00023897323,1.4270118,None,None,None,1.0
630000,-0.15663426,0.0053321053,0.0261426,0.00023787242,1.4279282,1999.0,-3.345150819979608,-3.345150819979608,1.0
640000,-0.17159013,0.007230922,0.023176512,0.00023676529,1.4295542,1999.0,-3.4319506643805653,-3.4319506643805653,1.0
650000,-0.0497058,0.0101569705,0.025130028,0.00023569,1.4306612,None,None,None,1.0
660000,-0.117889404,0.0138262445,0.031395294,0.00023458929,1.4309651,None,None,None,1.0
