Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,-0.15409791,1.4176488,0.0062538045,0.026148988,0.000293472,903.8,-0.37992045748978853,-0.37992045748978853,1.0
80000,-0.15247215,1.4160199,0.005974114,0.026164526,0.0002923541,None,None,None,1.0
90000,-0.151974,1.415581,0.008025583,0.02589625,0.0002912533,None,None,None,1.0
100000,-0.16510788,1.4180293,0.0055949236,0.02527173,0.00029017802,None,None,None,1.0
110000,-0.15825142,1.4184709,0.0049084844,0.024871306,0.00028907723,None,None,None,1.0
120000,-0.16595043,1.4201559,None,None,None,None,None,None,1.0
130000,-0.12279072,1.4187896,0.008432978,0.026685815,0.00028797644,999.5,-1.8033070132155748,-1.8033070132155748,1.0
140000,-0.110684395,1.4189249,0.009371304,0.021427281,0.00028692727,None,None,None,1.0
150000,-0.15618785,1.4194841,0.008738497,0.030922834,0.00028582648,None,None,None,1.0
160000,-0.17579997,1.4209912,0.004258271,0.022734582,0.00028475124,None,None,None,1.0
170000,-0.15781784,1.4216803,0.005215926,0.028338583,0.0002836504,None,None,None,1.0
180000,-0.15804435,1.4193839,0.0025147898,0.02530579,0.00028254962,None,None,None,1.0
190000,-0.17741907,1.4170386,0.004201866,0.019498015,0.00028147444,None,None,None,1.0
200000,-0.18932088,1.4167446,0.002857223,0.023856819,0.00028037364,1999.0,-4.024950757622719,-4.024950757622719,1.0
210000,-0.197908,1.417221,0.005551654,0.02515128,0.00027926642,None,None,None,1.0
220000,-0.20407514,1.416755,0.002077698,0.03317155,0.00027819123,None,None,None,1.0
230000,-0.2018944,1.4168011,0.0029762436,0.027383098,0.0002770904,None,None,None,1.0
240000,-0.19821905,1.4157106,None,None,None,None,None,None,1.0
250000,-0.20395832,1.4159529,0.006155,0.028449839,0.00027598962,None,None,None,1.0
260000,-0.160332,1.4164622,0.003699365,0.024411958,0.0002749144,1999.0,-3.9739640658721327,-3.9739640658721327,1.0
270000,-0.13687214,1.417173,0.014123167,0.021596707,0.00027384565,None,None,None,1.0
280000,-0.16293018,1.4170506,0.0066110147,0.021803938,0.0002727704,None,None,None,1.0
290000,-0.19060883,1.4165868,0.0057912897,0.021280723,0.00027166962,None,None,None,1.0
300000,-0.20211218,1.4162023,0.0054354533,0.028162736,0.00027056882,None,None,None,1.0
310000,-0.21531293,1.4164464,0.0133471675,0.022020679,0.0002694936,None,None,None,1.0
320000,-0.22819366,1.4175599,0.0034081265,0.0200894,0.0002683928,None,None,None,1.0
330000,-0.21724907,1.4179803,0.0023841513,0.02182749,0.00026728568,1999.0,-3.5346508268266916,-3.5346508268266916,1.0
340000,-0.20171063,1.4174938,0.0062212744,0.022041937,0.0002662105,None,None,None,1.0
