Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,-0.27135053,1.422479,999.5,-4.135916987763873,-4.135916987763873,0.0051928544,0.020704469,0.00029520635,1.0
110000,-0.30016807,1.4232986,None,None,None,0.019110328,0.027157998,0.00029467288,1.0
120000,-0.30922583,1.4242489,None,None,None,0.010901065,0.022003109,0.00029414802,1.0
130000,-0.340789,1.4242283,None,None,None,0.0076749045,0.026431594,0.0002935976,1.0
140000,-0.36489525,1.423512,None,None,None,0.0040566064,0.027563024,0.00029307287,1.0
150000,-0.37297356,1.4249548,None,None,None,0.004568636,0.024189662,0.00029252245,1.0
160000,-0.42359716,1.4264266,None,None,None,None,None,None,1.0
170000,-0.47644395,1.4261259,None,None,None,0.0065424093,0.022460004,0.0002919976,1.0
180000,-0.539507,1.4261458,None,None,None,0.0055563957,0.023340665,0.0002914472,1.0
190000,-0.5965724,1.4247351,None,None,None,0.007651479,0.022212774,0.00029092244,1.0
200000,-0.46834925,1.4240412,1999.0,-8.391833972806731,-8.391833972806731,0.009321549,0.021036755,0.0002903976,1.0
210000,-0.38006967,1.4238427,None,None,None,0.012068553,0.024003511,0.00028987284,1.0
220000,-0.38801903,1.4229017,None,None,None,0.013472298,0.01884811,0.000289348,1.0
230000,-0.40611112,1.421689,None,None,None,0.011442137,0.022041172,0.0002887976,1.0
240000,-0.41438547,1.4215399,None,None,None,0.0072288197,0.025397656,0.00028827283,1.0
250000,-0.4224564,1.4219548,None,None,None,0.004440195,0.02051668,0.00028772242,1.0
260000,-0.4035023,1.4226075,1223.888888888889,-4.010444817547169,-4.010444817547169,0.006570509,0.0328222,0.00028718906,1.0
270000,-0.38405347,1.4234471,1605.0,-5.528250492177904,-5.528250492177904,0.0071834554,0.022704406,0.00028663359,1.0
280000,-0.38185456,1.4238285,None,None,None,0.0065339585,0.027716499,0.0002861076,1.0
290000,-0.39525282,1.42492,1999.0,-8.38488953643375,-8.38488953643375,0.00529826,0.020476466,0.00028559245,1.0
300000,-0.35046342,1.4271865,None,None,None,0.010394209,0.021314196,0.00028505485,1.0
310000,-0.38597956,1.430104,None,None,None,0.0066053015,0.03202445,0.00028453008,1.0
320000,-0.400838,1.4305497,None,None,None,None,None,None,1.0
330000,-0.41638902,1.4298043,None,None,None,0.005144521,0.02314427,0.00028397967,1.0
340000,-0.4329455,1.4297438,743.0,-1.7168001856422053,-1.7168001856422053,0.0042025615,0.03152915,0.00028344206,1.0
350000,-0.44518605,1.4296199,1999.0,-8.497000679373741,-8.497000679373741,0.010886709,0.030899795,0.0002828976,1.0
360000,-0.4954959,1.4293514,1999.0,-8.247000634670258,-8.247000634670258,0.004345767,0.019467957,0.00028238245,1.0
370000,-0.514603,1.4289784,1999.0,-8.499000661075115,-8.499000661075115,0.006583693,0.020296738,0.00028181603,1.0
380000,-0.53179264,1.4280325,None,None,None,0.009401647,0.023599718,0.000281288,1.0
390000,-0.43960986,1.4272394,1999.0,-8.371000653132796,-8.371000653132796,0.016069945,0.021063918,0.00028071203,1.0
400000,-0.3658664,1.427242,None,None,None,0.014111444,0.023189725,0.00028017443,1.0
410000,-0.38557708,1.4275498,383.0,0.08379992973059416,0.08379992973059416,0.007818837,0.021824649,0.00027963045,1.0
420000,-0.40741673,1.4276665,1036.6,-3.184600314684212,-3.184600314684212,0.0076909503,0.02474507,0.00027910218,1.0
430000,-0.4297652,1.4266763,1299.4444444444443,-4.722222620931764,-4.722222620931764,0.005509942,0.021716923,0.00027854263,1.0
440000,-0.43567586,1.4256076,1247.0,-4.239200350083411,-4.239200350083411,0.014397371,0.026119867,0.0002780002,1.0
450000,-0.49335474,1.4244887,1999.0,-8.497000604867935,-8.497000604867935,None,None,None,1.0
460000,-0.5288585,1.4237067,None,None,None,0.0061222157,0.019240266,0.00027745948,1.0
470000,-0.5014872,1.4216263,719.0,-1.9968001699075102,-1.9968001699075102,0.010126993,0.021971472,0.000276921,1.0
480000,-0.59549487,1.4204792,1999.0,-8.287667309244474,-8.287667309244474,0.01050589,0.02593698,0.0002763962,1.0
490000,-0.34707943,1.4182255,None,None,None,0.016460277,0.02544251,0.00027583944,1.0
500000,-0.36508673,1.415203,1216.6,-4.0844003385747785,-4.0844003385747785,0.009893622,0.020702478,0.00027529462,1.0
510000,-0.38994735,1.4133271,None,None,None,0.012176465,0.021683484,0.00027476985,1.0
520000,-0.38643754,1.4129694,1085.4,-5.398600397910923,-5.398600397910923,0.007997137,0.024654813,0.00027421943,1.0
