Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,-0.14672154,1.4303669,1040.8260869565217,-4.239652508976059,-4.239652508976059,0.008492438,0.022576392,0.00029520915,1.0
110000,-0.19614571,1.4317808,None,None,None,0.020031657,0.026295649,0.00029467008,1.0
120000,-0.22657254,1.4327133,None,None,None,0.012873727,0.020485,0.00029414523,1.0
130000,-0.26207066,1.4332979,None,None,None,0.007965143,0.026545035,0.0002935948,1.0
140000,-0.27684876,1.4322228,None,None,None,0.0082695205,0.02046408,0.00029307007,1.0
150000,-0.3191153,1.4311975,None,None,None,0.017646383,0.022397304,0.00029251966,1.0
160000,-0.33818123,1.4317763,None,None,None,None,None,None,1.0
170000,-0.34960943,1.430109,None,None,None,0.0025397136,0.027064348,0.00029199483,1.0
180000,-0.37176734,1.430081,None,None,None,0.00399961,0.022049885,0.00029144442,1.0
190000,-0.38521942,1.4296232,1999.0,-8.246000654995441,-8.246000654995441,0.0033378792,0.028970642,0.00029091965,1.0
200000,-0.30328402,1.4291862,1999.0,-8.382364304228263,-8.382364304228263,0.003972866,0.019676626,0.00029039482,1.0
210000,-0.3294699,1.4303551,None,None,None,0.020599928,0.024413573,0.00028987005,1.0
220000,-0.3712959,1.4292408,None,None,None,0.0046899305,0.025384774,0.00028934522,1.0
230000,-0.37774214,1.4283731,None,None,None,0.008523743,0.026709862,0.0002887948,1.0
240000,-0.39151743,1.428601,None,None,None,0.005624177,0.02265289,0.00028827004,1.0
250000,-0.4151734,1.4288933,None,None,None,0.008117063,0.023150453,0.00028771962,1.0
260000,-0.4257167,1.4295267,None,None,None,0.0039017552,0.023919197,0.0002871948,1.0
270000,-0.41890684,1.4289643,1183.0,-3.916400293447077,-3.916400293447077,0.0061669825,0.02210218,0.0002866428,1.0
280000,-0.4242738,1.4280552,1638.5555555555557,-5.97366718803015,-5.97366718803015,0.0034103792,0.020555275,0.00028611804,1.0
290000,-0.39967787,1.4274623,1999.0,-8.412667306760946,-8.412667306760946,0.008333714,0.024533687,0.00028559467,1.0
300000,-0.35817146,1.4266105,None,None,None,0.02222302,0.024794023,0.00028504425,1.0
