Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,0.06238089,4.492603,6.45468,0.027740598,0.00029836159,920.0,38.732579223811626,38.732579223811626,1.0
50000,0.11841762,None,1.9163567,0.024452096,0.0002977678,None,None,None,1.0
60000,0.17464943,4.4874735,None,None,None,None,None,None,1.0
70000,0.13866033,4.4898834,1.4645,0.025243998,0.0002967438,1486.0,32.60962428152561,32.60962428152561,1.0
80000,0.044481557,None,2.6824014,0.021526333,0.0002960368,None,None,None,1.0
90000,0.113297336,4.494125,None,None,None,None,None,None,1.0
100000,0.13680454,4.482591,1.927521,0.026669089,0.00029511523,1626.0,22.41752777248621,22.41752777248621,1.0
110000,0.09110479,4.4799213,None,None,None,1999.0,26.930933125317097,26.930933125317097,1.0
120000,-0.05373253,4.496347,1.6124045,0.022412146,0.00029442823,1427.857142857143,29.737025700170886,29.737025700170886,1.0
130000,0.4859633,4.4878273,0.11554926,0.022772241,0.00029368539,90.77551020408163,8.221111968557151,8.221111968557151,1.0
140000,0.6117161,None,None,None,None,None,None,None,1.0
150000,0.6224939,4.4793034,4.6110764,0.027155308,0.00029294862,None,None,None,1.0
160000,0.6161187,4.4868407,6.0438595,0.027696433,0.00029212938,None,None,None,1.0
170000,0.07901661,4.4884486,None,None,None,947.0,40.54808055981994,40.54808055981994,1.0
180000,0.32049626,4.478484,1.7484077,0.029486114,0.0002911358,None,None,None,1.0
190000,0.21667294,4.480071,0.83736765,0.019028088,0.00029052142,None,None,None,1.0
200000,0.305268,4.4826937,None,None,None,1834.0,31.414347218349576,31.414347218349576,1.0
210000,0.026981195,4.4834995,3.7955282,0.028815262,0.00028999228,None,None,None,1.0
220000,0.030143881,4.476361,None,None,None,None,None,None,1.0
230000,0.092515856,4.4790273,1.2906516,0.029541535,0.00028896827,1780.5,28.980848763138056,28.980848763138056,1.0
240000,0.14037609,4.475348,2.0567207,0.029020524,0.00028836963,1997.857142857143,27.54031288921833,27.54031288921833,1.0
250000,-0.02609601,4.476815,1.460199,0.022874266,0.0002875248,1999.0,19.204097794538196,19.204097794538196,1.0
260000,0.47668353,4.4635615,None,None,None,913.0,28.803539752960205,28.803539752960205,1.0
270000,0.21065667,4.4739556,4.63494,0.02931063,0.00028694203,1406.0,42.05295564234257,42.05295564234257,1.0
280000,0.8880118,4.4700904,12.73513,0.026239183,0.00028614866,None,None,None,1.0
290000,0.8708962,4.4654703,5.663425,0.021853307,0.00028553422,None,None,None,1.0
300000,0.04466922,4.4623647,None,None,None,1203.75,42.25892334779103,42.25892334779103,1.0
310000,0.39417505,4.4590864,4.420438,0.02428698,0.00028498002,None,27.998759031295776,27.998759031295776,1.0
320000,0.34882325,4.46548,1.5606163,0.024799282,0.0002842632,759.0,43.02216763794422,43.02216763794422,1.0
330000,0.5248233,4.468966,1.4972702,0.02759623,0.00028370164,1429.0,43.892961129546165,43.892961129546165,1.0
340000,0.5766866,4.4601254,4.2776465,0.028404178,0.000283177,1875.5,28.13386181741953,28.13386181741953,1.0
350000,0.24113372,4.461507,1.6824322,0.02503368,0.0002825626,None,None,None,1.0
360000,0.27572057,4.4654884,2.492661,0.022405587,0.00028202205,1862.5,29.905443768948317,29.905443768948317,1.0
370000,0.7521266,4.470718,None,None,None,1999.0,21.726332179374165,21.726332179374165,1.0
380000,0.50501466,4.4633284,2.2701902,0.025549613,0.00028125086,1296.0,28.692548292023794,28.692548292023794,1.0
390000,0.7480923,4.463084,4.2211967,0.024094062,0.0002806938,1690.5,36.660429901546905,36.660429901546905,1.0
400000,0.6653674,4.461883,1.5655848,0.02455353,0.00028011482,999.0,36.98470276594162,36.98470276594162,1.0
410000,1.0202937,4.461881,8.186334,0.030307392,0.00027950038,None,None,None,1.0
420000,0.814115,4.4633327,None,None,None,None,None,None,1.0
430000,0.68674535,4.4604836,3.0303028,0.022682393,0.0002788956,1702.3333333333333,28.211429003626108,28.211429003626108,1.0
440000,0.53179115,4.452623,None,None,None,None,None,None,1.0
450000,0.41681606,4.452654,3.802066,0.02826765,0.00027796644,1554.3333333333333,43.24494091669718,43.24494091669718,1.0
