Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,0.031520914,4.485168,1.3727871,0.032164853,0.00029674885,1316.0,38.25720162689686,38.25720162689686,1.0
80000,-0.046480037,None,0.71469635,0.023981294,0.0002961526,None,None,None,1.0
90000,-0.041828923,4.483261,None,None,None,None,None,None,1.0
100000,-0.087602474,4.481766,0.70645374,0.02627293,0.00029512864,1674.3333333333333,34.938621946920954,34.938621946920954,1.0
110000,0.0008936887,4.482628,None,None,None,1999.0,29.996808768102998,29.996808768102998,1.0
120000,-0.046956647,4.4951286,1.0826418,0.020584457,0.0002944786,799.6,29.32094504435857,29.32094504435857,1.0
130000,0.5434187,4.485754,0.42415223,0.023202851,0.00029382843,0.0,3.9275182749375483,3.9275182749375483,1.0
140000,0.2422431,4.48771,None,None,None,None,None,None,1.0
150000,0.50570995,4.4809713,10.153909,0.02996756,0.000292905,None,None,None,1.0
160000,0.32283297,4.484641,8.361623,0.02389412,0.00029218823,None,None,None,1.0
170000,0.072873764,4.483153,1.2081625,0.023710145,0.0002916486,1092.0,37.619471058249474,37.619471058249474,1.0
180000,0.1735282,4.4744053,None,None,None,None,None,None,1.0
190000,0.12672469,4.481115,1.0708948,0.029660912,0.00029062462,None,None,None,1.0
200000,0.1459753,4.4797997,2.4953516,0.021687515,0.00029009645,1575.5,30.18439259380102,30.18439259380102,1.0
210000,0.21671112,4.4774003,None,None,None,None,None,None,1.0
220000,-0.10082191,4.4794655,2.1792963,0.025740536,0.000289482,None,None,None,1.0
230000,0.15771763,4.4790163,0.122379184,0.023209486,0.00028887723,1950.0,27.481321682532627,27.481321682532627,1.0
240000,-0.012483844,4.483013,4.9037724,0.023330659,0.00028831142,1999.0,30.399547592951702,30.399547592951702,1.0
250000,-0.08516002,4.485619,None,None,None,1999.0,26.490158508043912,26.490158508043912,1.0
260000,0.23458984,4.4808216,0.04568358,0.027100837,0.0002874762,None,44.883893102407455,44.883893102407455,1.0
270000,0.54481494,4.482244,7.984377,0.017638065,0.00028686188,None,None,None,1.0
280000,1.0675808,4.474574,4.1987348,0.021344576,0.00028624744,None,None,None,1.0
290000,0.048741993,4.470969,6.8284636,0.021176621,0.00028563302,1576.0,37.483305199071765,37.483305199071765,1.0
300000,-0.103677124,4.4678845,1.2083161,0.025452176,0.00028507487,1769.0,34.235371962189674,34.235371962189674,1.0
310000,0.3998406,4.4672184,None,None,None,None,None,None,1.0
320000,0.24200419,4.471536,2.5357838,0.028625581,0.0002841532,1372.0,48.1314996778965,48.1314996778965,1.0
330000,0.20744666,4.4731407,6.4496746,0.023447601,0.00028360623,1704.0,28.77343981154263,28.77343981154263,1.0
340000,0.42807615,4.467048,None,None,None,None,None,None,1.0
350000,0.0011164417,4.476865,1.6269945,0.023283074,0.0002828894,1585.0,33.875261606648564,33.875261606648564,1.0
360000,0.19827954,4.471387,1.8089116,0.023434032,0.0002823674,1506.0,56.01547268033028,56.01547268033028,1.0
370000,0.3597595,4.4746675,5.0403423,0.023388779,0.0002817646,1999.0,21.387013093783306,21.387013093783306,1.0
380000,0.0075321933,4.4775333,0.30020916,0.027386496,0.000281115,None,32.869903802871704,32.869903802871704,1.0
390000,0.16013785,4.4753942,4.6058393,0.020070516,0.0002805006,None,None,None,1.0
400000,0.59247416,4.473369,None,None,None,None,None,None,1.0
410000,1.3345845,4.471089,8.716485,0.02537156,0.00027968144,None,None,None,1.0
420000,-0.030273028,4.460064,1.0682178,0.017929347,0.000279129,1757.0,38.82943283518156,38.82943283518156,1.0
430000,0.031413723,4.4612274,1.7988662,0.02753178,0.00027858824,1412.3333333333333,37.639377368347986,37.639377368347986,1.0
440000,0.34728274,4.4691143,None,None,None,None,17.041401982307434,17.041401982307434,1.0
450000,0.4421949,4.4561415,2.8025122,0.022352055,0.0002779834,1653.3333333333333,36.526739329099655,36.526739329099655,1.0
460000,0.6601099,4.4585257,4.023972,0.029777242,0.00027740042,479.0,48.81280626356602,48.81280626356602,1.0
470000,0.25690746,4.457292,None,None,None,None,None,None,1.0
480000,0.78075993,4.450101,4.294567,0.023640823,0.00027638278,1875.0,32.782667458057404,32.782667458057404,1.0
490000,0.39875892,4.448673,5.763954,0.021557115,0.0002758028,1413.3333333333333,38.9432566507409,38.9432566507409,1.0
500000,0.16505685,4.449901,3.2169447,0.024674669,0.000275213,1749.8,37.135107443882866,37.135107443882866,1.0
510000,0.23656446,4.4449863,1.3993491,0.025434216,0.0002746572,922.0,36.04643080451272,36.04643080451272,1.0
520000,0.93979573,4.453508,8.012849,0.018740911,0.0002740428,None,None,None,1.0
530000,0.9224639,4.451705,None,None,None,None,None,None,1.0
540000,0.99745387,4.4477677,6.5301375,0.02496097,0.00027322362,1999.0,35.724186450242996,35.724186450242996,1.0
550000,0.15606928,4.4403358,2.1270127,0.025089808,0.00027262841,1629.0,29.601366652382744,29.601366652382744,1.0
560000,0.10841763,4.4366684,0.08694785,0.02314922,0.0002720268,1915.6666666666667,34.873863708972934,34.873863708972934,1.0
570000,0.2847051,4.447639,None,None,None,None,None,None,1.0
580000,0.22571343,4.4395895,3.5815518,0.025898853,0.00027141243,1474.0,34.4311141166836,34.4311141166836,1.0
590000,1.0301352,4.4246135,8.001506,0.024615392,0.0002708224,None,None,None,1.0
600000,0.5227977,4.4337344,6.127701,0.023894243,0.00027000322,None,None,None,1.0
610000,0.038182255,4.4512672,None,None,None,1433.0,36.85411385127476,36.85411385127476,1.0
620000,0.24106291,4.4409833,1.3772815,0.026130853,0.00026947042,1674.3333333333333,39.73241790490491,39.73241790490491,1.0
630000,0.28703636,4.4423265,6.984384,0.027755149,0.00026887484,1670.0,37.32910144870932,37.32910144870932,1.0
640000,0.8530004,4.4253497,2.2783196,0.023686605,0.00026829142,1555.3333333333333,38.62923200726509,38.62923200726509,1.0
650000,0.9098294,4.432897,9.596994,0.02338001,0.00026771362,634.6666666666666,48.473227011305944,48.473227011305944,1.0
660000,0.567223,4.432599,5.0972295,0.024049576,0.0002671714,884.0,49.07862467401557,49.07862467401557,1.0
670000,0.75790673,4.4336963,9.407855,0.0242741,0.0002666242,482.0,49.64061956712976,49.64061956712976,1.0
680000,1.0088911,4.4343467,5.642047,0.021568026,0.00026609644,1102.0,45.91395349428058,45.91395349428058,1.0
690000,1.2766237,4.4335794,6.5942483,0.025581807,0.00026551043,1464.0,41.81228090822697,41.81228090822697,1.0
700000,0.7161309,4.426045,None,None,None,941.5,40.031392459757626,40.031392459757626,1.0
710000,0.4567615,4.4322224,6.0953016,0.025782982,0.0002649612,919.0,36.94374281167984,36.94374281167984,1.0
720000,1.205911,4.430573,3.419671,0.02683712,0.00026436764,1136.0,40.120436027646065,40.120436027646065,1.0
730000,0.82096547,4.4282355,8.425863,0.030754477,0.00026383303,1060.0,41.39204656481743,41.39204656481743,1.0
740000,0.93976575,4.4177423,6.3120236,0.025575042,0.00026328122,1560.5,42.86808021201028,42.86808021201028,1.0
750000,0.67089796,4.44475,5.51375,0.023236698,0.0002627648,1546.0,44.123232597485185,44.123232597485185,1.0
760000,0.79734373,4.4439826,3.5538666,0.023784002,0.00026219664,625.6666666666666,49.384927375242114,49.384927375242114,1.0
770000,0.6007406,4.434455,13.957432,0.019642973,0.00026158322,1221.0,49.41545171722431,49.41545171722431,1.0
780000,0.7262596,4.4205394,None,None,None,None,33.81861221790314,33.81861221790314,1.0
790000,0.9034378,4.4288816,3.820062,0.022719232,0.0002609784,386.0,46.6941819190979,46.6941819190979,1.0
800000,0.5670973,4.424087,5.5834646,0.026825314,0.0002604594,1623.0,38.907688803970814,38.907688803970814,1.0
810000,0.40708858,4.4072366,4.804239,0.023269203,0.0002599266,1024.0,47.485051698982716,47.485051698982716,1.0
820000,0.874576,4.412708,3.4228442,0.025248956,0.00025941426,1222.6666666666667,49.58876555164655,49.58876555164655,1.0
830000,0.68913984,4.4227567,3.7573848,0.024898281,0.00025888483,529.0,50.23451161850244,50.23451161850244,1.0
840000,0.6726292,4.410797,4.668313,0.024333147,0.00025836925,1999.0,41.61138300597668,41.61138300597668,1.0
850000,0.6307328,4.4019995,2.53899,0.018903505,0.0002578498,799.0,43.02953997118907,43.02953997118907,1.0
860000,0.44088396,4.3957024,6.3040257,0.019402182,0.00025725464,1366.8,43.96476973664193,43.96476973664193,1.0
870000,0.5810132,4.4052773,6.484743,0.029520113,0.0002567358,1999.0,40.953484296798706,40.953484296798706,1.0
880000,1.2210077,4.406721,3.1449072,0.022301355,0.00025613102,339.0,54.015193819999695,54.015193819999695,1.0
890000,0.97041637,4.4003105,14.933214,0.017966066,0.00025553684,1168.75,46.84470799798146,46.84470799798146,1.0
900000,0.62570715,4.3905025,None,None,None,1506.0,40.894314397126436,40.894314397126436,1.0
