Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,18.729708,1206.0,-6.1855718323162625,-6.1855718323162625,1.0
20000,1.4187379,35.91724,614.0,-2.9892858543566296,-2.9892858543566296,1.0
30000,1.4192342,11.824107,1136.6666666666667,-5.462778058316973,-5.462778058316973,1.0
40000,1.4209394,10.908866,791.0,-3.239643026675497,-3.239643026675497,1.0
50000,1.424307,11.785291,578.5,-3.4414376817876473,-3.4414376817876473,1.0
60000,1.4279152,8.357952,495.6,-2.0135556724336414,-2.0135556724336414,1.0
70000,1.4297695,12.332193,1999.0,-9.997000694274902,-9.997000694274902,1.0
80000,1.4307348,9.225579,1069.0,-5.868428975343704,-5.868428975343704,1.0
90000,1.4321867,9.434608,635.1666666666666,-2.9002223511536918,-2.9002223511536918,1.0
100000,1.4343134,8.620615,532.2,-2.3294667462507883,-2.3294667462507883,1.0
110000,1.4365131,48.11676,1171.5,-6.184000498056411,-6.184000498056411,1.0
120000,1.4353782,8.602156,909.0,-3.9732502587139606,-3.9732502587139606,1.0
130000,1.4354714,4.897004,1004.4,-5.699083777765433,-5.699083777765433,1.0
140000,1.4382659,3.7303576,893.3333333333334,-3.517000171045462,-3.517000171045462,1.0
150000,1.4404254,5.211152,1999.0,-9.999000787734985,-9.999000787734985,1.0
160000,1.4412087,4.032234,1009.0,-5.766091227531433,-5.766091227531433,1.0
170000,1.4411998,3.4362442,1452.5,-7.09883376955986,-7.09883376955986,1.0
180000,1.4421742,4.9250293,1599.0,-7.830333858728409,-7.830333858728409,1.0
190000,1.4439447,4.3985205,1809.0,-8.88033394018809,-8.88033394018809,1.0
200000,1.4440125,2.6861436,1999.0,-9.997000694274902,-9.997000694274902,1.0
210000,1.4448513,3.8805823,1999.0,-9.997000694274902,-9.997000694274902,1.0
220000,1.4459103,2.8370523,1105.75,-4.943000278689644,-4.943000278689644,1.0
230000,1.4477894,2.7995281,841.5,-4.898272999308326,-4.898272999308326,1.0
240000,1.450636,2.5159285,330.3,-1.4452667190693318,-1.4452667190693318,1.0
250000,1.4517276,2.6637094,597.3333333333334,-2.617176594103084,-2.617176594103084,1.0
260000,1.4530143,1.9543222,723.25,-3.0403334816296894,-3.0403334816296894,1.0
270000,1.45416,1.6332805,1052.0,-5.095833589633306,-5.095833589633306,1.0
280000,1.4545603,1.5084153,1417.0,-6.975889341698752,-6.975889341698752,1.0
290000,1.4539347,1.9331897,927.25,-4.341454822908748,-4.341454822908748,1.0
300000,1.454066,1.565978,438.625,-1.2865652869576993,-1.2865652869576993,1.0
310000,1.4548106,2.281967,1612.0,-8.635600531101227,-8.635600531101227,1.0
320000,1.4550034,1.20472,1390.0,-6.729778147406048,-6.729778147406048,1.0
330000,1.4558094,1.1450462,988.25,-4.610666905840238,-4.610666905840238,1.0
340000,1.4561625,1.7711719,926.6666666666666,-4.413111362192366,-4.413111362192366,1.0
350000,1.4559606,13.753087,1999.0,-9.999000787734985,-9.999000787734985,1.0
360000,1.456498,0.8137099,840.0,-4.507916989425818,-4.507916989425818,1.0
370000,1.4563328,14.379406,490.85714285714283,-2.145950145763345,-2.145950145763345,1.0
380000,1.4545368,0.674013,651.3333333333334,-2.847727445038882,-2.847727445038882,1.0
390000,1.4533242,54.236916,1999.0,-9.996000528335571,-9.996000528335571,1.0
400000,1.4518079,0.89652133,607.6,-2.7731334840257964,-2.7731334840257964,1.0
410000,1.4508547,0.44045478,1994.0,-9.805333932240805,-9.805333932240805,1.0
420000,1.4502779,0.20434347,1877.5,-8.83475050330162,-8.83475050330162,1.0
430000,1.4498261,0.3484089,511.0,-3.1961765990537754,-3.1961765990537754,1.0
440000,1.4491179,0.20506062,565.6,-2.5633334279060365,-2.5633334279060365,1.0
450000,1.4476762,0.075898126,1999.0,-9.997000694274902,-9.997000694274902,1.0
460000,1.4465902,0.10715176,623.0,-2.8509335140387217,-2.8509335140387217,1.0
470000,1.4461203,-0.080881104,1999.0,-9.997000694274902,-9.997000694274902,1.0
480000,1.4458839,0.060585134,322.3,-1.6215667327245076,-1.6215667327245076,1.0
490000,1.4463372,0.11137901,745.6666666666666,-3.1349002361297607,-3.1349002361297607,1.0
500000,1.4467515,-0.05926106,1999.0,-9.999000787734985,-9.999000787734985,1.0
510000,1.4465704,0.008082096,1030.75,-3.32044470972485,-3.32044470972485,1.0
520000,1.4461956,-0.09626394,1072.5,-6.7972226937611895,-6.7972226937611895,1.0
530000,1.4457561,1.9434246,1999.0,-9.996000528335571,-9.996000528335571,1.0
540000,1.4439639,-0.1651842,1009.0,-4.879333595434825,-4.879333595434825,1.0
550000,1.4435025,-0.19887292,526.0,-2.382625118518869,-2.382625118518869,1.0
560000,1.4420189,-0.5599865,1999.0,-9.999000787734985,-9.999000787734985,1.0
570000,1.4411889,-0.24488278,1291.0,-6.8192861420767645,-6.8192861420767645,1.0
580000,1.440265,0.62370455,766.2,-3.500466815630595,-3.500466815630595,1.0
590000,1.439385,-0.37708423,1999.0,-9.999000787734985,-9.999000787734985,1.0
600000,1.4393353,-0.24652268,983.0,-4.340786055794784,-4.340786055794784,1.0
610000,1.43924,-0.40614724,1144.6666666666667,-5.746875435113907,-5.746875435113907,1.0
620000,1.4386576,0.3613169,1549.0,-7.380750469863415,-7.380750469863415,1.0
630000,1.4389707,-0.25508347,1999.0,-9.997000694274902,-9.997000694274902,1.0
