Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.4197396,-0.047551233,0.041382685,0.019955155,0.00029844482,1999.0,-4.327000575761001,-4.327000575761001,1.0
30000,1.4196901,-0.040769838,0.040680997,0.022553414,0.0002968752,1999.0,-4.657833896577358,-4.657833896577358,1.0
40000,1.4191797,-0.072346754,0.039036933,0.034039035,0.00029530562,1999.0,-4.659500516951084,-4.659500516951084,1.0
50000,1.4179133,-0.097299516,0.047381893,0.020821951,0.00029373606,1999.0,-5.661667309701443,-5.661667309701443,1.0
60000,1.4153414,-0.16850984,0.011143515,0.021681603,0.0002921664,1999.0,-9.199000678956509,-9.199000678956509,1.0
70000,1.4153312,-0.14886326,0.017351191,0.022465343,0.00029059683,None,-5.998000614345074,-5.998000614345074,1.0
80000,1.415147,-0.19186963,0.0051809098,0.026362365,0.00028902723,1999.0,-8.33150072147449,-8.33150072147449,1.0
90000,1.4141926,-0.22000292,0.0069429595,0.023766812,0.00028747198,1999.0,-8.998000668982664,-8.998000668982664,1.0
100000,1.4124545,-0.24278152,0.009049812,0.021898763,0.0002859024,1999.0,-8.666000676651796,-8.666000676651796,1.0
110000,1.4129034,-0.30756146,0.011566896,0.02446018,0.0002843328,1999.0,-8.664500646293163,-8.664500646293163,1.0
120000,1.4147134,-0.31125888,0.012577429,0.025596013,0.0002827632,1999.0,-6.396000657975674,-6.396000657975674,1.0
130000,1.4156297,-0.28887668,0.02435304,0.02752974,0.0002811936,None,-7.991000615060329,-7.991000615060329,1.0
140000,1.4153779,-0.28435335,0.016333682,0.0168671,0.00027962402,1999.0,-7.998000698784987,-7.998000698784987,1.0
150000,1.414736,-0.29212853,0.013969204,0.027267938,0.00027805442,1999.0,-8.330334005256494,-8.330334005256494,1.0
160000,1.4146432,-0.3437002,0.0049884445,0.020836407,0.00027648485,1999.0,-7.997834009428819,-7.997834009428819,1.0
170000,1.4141222,-0.35923693,0.007269571,0.024925482,0.00027492963,1999.0,-8.331167357663313,-8.331167357663313,1.0
180000,1.4126232,-0.37273377,0.03334112,0.023857994,0.00027336,1999.0,-5.995400772988797,-5.995400772988797,1.0
190000,1.4119854,-0.30754125,0.017196735,0.023052849,0.00027180376,690.5,-2.9656670466065407,-2.9656670466065407,1.0
200000,1.4117095,-0.24237236,0.038822547,0.021389538,0.00027026611,1694.2857142857142,-6.186000531273229,-6.186000531273229,1.0
