Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,0.029710522,1.4161996,0.0052778744,0.023405178,0.00029688966,1999.0,1.7222222222222223,1.7222222222222223,1.0
50000,-0.0067250705,1.416123,0.0077681295,0.026452683,0.00029582405,None,None,None,1.0
60000,-0.020869395,1.416751,0.002181149,0.03060427,0.0002947872,None,None,None,1.0
70000,-0.018406752,1.4177094,0.00015494807,0.020716172,0.00029375037,None,None,None,1.0
80000,0.05237745,1.419338,0.0024145995,0.018905912,0.00029268482,1999.0,0.6666666666666666,0.6666666666666666,1.0
90000,0.02438319,1.4191525,0.008567066,0.025634706,0.00029164803,None,None,None,1.0
100000,0.021742359,1.4179568,0.00024785433,0.020630486,0.00029061118,None,None,None,1.0
110000,0.04604943,1.4170505,0.0010220258,0.026772266,0.00028957438,1999.0,0.9444444444444444,0.9444444444444444,1.0
120000,0.080199204,1.4177808,0.0113752475,0.024743026,0.00028850883,None,None,None,1.0
130000,0.06760739,1.4193197,0.0056764055,0.016648924,0.00028747198,None,None,None,1.0
140000,0.07866762,1.4195343,0.0048997165,0.02677545,0.00028643518,None,None,None,1.0
150000,0.09204915,1.4196017,0.0069314255,0.01807327,0.00028536964,1999.0,1.8333333333333333,1.8333333333333333,1.0
160000,0.051440354,1.4199893,0.0072828243,0.021413004,0.0002843328,None,None,None,1.0
170000,0.06019019,1.4197466,0.0017290642,0.027357856,0.00028329607,None,None,None,1.0
180000,0.092187524,1.4206356,0.008188645,0.02559352,0.00028225925,1999.0,1.588235294117647,1.588235294117647,1.0
190000,0.1388908,1.4220965,0.006512819,0.021967713,0.0002811936,None,2.0,2.0,1.0
200000,0.1432415,1.4221406,0.020676814,0.026525477,0.0002801568,None,None,None,1.0
210000,0.16491936,1.4225446,0.01399562,0.020949427,0.00027912005,None,None,None,1.0
