Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4360000,0.25381622,1.1610043,1999.0,4.94968808711403,4.94968808711403,1.0
4370000,0.27247894,1.1599778,None,None,None,1.0
4380000,0.25843272,1.1592996,None,None,None,1.0
4390000,0.22891805,1.1580222,None,None,None,1.0
4400000,0.2544702,1.1556436,1999.6666666666667,4.838088168555664,4.838088168555664,1.0
4410000,0.24914245,1.154208,None,None,None,1.0
4420000,0.23386386,1.1540116,None,None,None,1.0
4430000,0.2417901,1.1524924,1999.0,5.339188124467102,5.339188124467102,1.0
4440000,0.26895776,1.1501193,None,None,None,1.0
4450000,0.24546066,1.1493628,None,None,None,1.0
4460000,0.22574238,1.1490877,None,None,None,1.0
4470000,0.25770032,1.1491152,1999.0,5.116949322374745,5.116949322374745,1.0
4480000,0.26448047,1.1491774,None,None,None,1.0
4490000,0.26278937,1.1479913,None,None,None,1.0
4500000,0.2554606,1.1464193,1999.0,5.6732491825758995,5.6732491825758995,1.0
4510000,0.2791637,1.1460094,None,None,None,1.0
4520000,0.27731004,1.145772,None,None,None,1.0
4530000,0.26034024,1.1448945,None,None,None,1.0
4540000,0.2591595,1.1443866,1999.0,5.227715940369914,5.227715940369914,1.0
4550000,0.2688008,1.1438711,None,None,None,1.0
4560000,0.26854354,1.141865,None,None,None,1.0
4570000,0.24103874,1.1400129,None,None,None,1.0
4580000,0.24825956,1.1395776,1999.0,4.671610368907245,4.671610368907245,1.0
4590000,0.24542682,1.1386594,None,None,None,1.0
4600000,0.2223441,1.137725,None,None,None,1.0
4610000,0.21850689,1.1368495,1999.0,4.449343784194854,4.449343784194854,1.0
4620000,0.2437269,1.136696,None,None,None,1.0
4630000,0.23240754,1.1345526,None,None,None,1.0
4640000,0.21149561,1.1335431,None,None,None,1.0
4650000,0.25102144,1.1312883,1999.0,4.894377005079554,4.894377005079554,1.0
4660000,0.25431687,1.1294951,None,None,None,1.0
4670000,0.25007433,1.1286939,None,None,None,1.0
4680000,0.22709769,1.1275376,1999.2222222222222,5.4503825005764766,5.4503825005764766,1.0
4690000,0.27417973,1.1268547,None,None,None,1.0
4700000,0.23189873,1.127224,None,None,None,1.0
4710000,0.21681057,1.1268001,None,None,None,1.0
4720000,0.22401056,1.1250813,1999.0,4.893638245657915,4.893638245657915,1.0
4730000,0.22899406,1.1234413,None,None,None,1.0
4740000,0.23830147,1.1212121,None,None,None,1.0
4750000,0.21286069,1.1182078,None,None,None,1.0
4760000,0.2550561,1.1166373,1999.0,5.28370483385192,5.28370483385192,1.0
4770000,0.2523679,1.1160768,None,None,None,1.0
4780000,0.2161705,1.115563,None,None,None,1.0
4790000,0.22405069,1.1147283,1999.0,5.505721506429836,5.505721506429836,1.0
4800000,0.23598064,1.1137744,None,None,None,1.0
4810000,0.22861972,1.1120163,None,None,None,1.0
4820000,0.21716774,1.1130112,None,None,None,1.0
4830000,0.24421048,1.1138456,1999.0,4.782304860884324,4.782304860884324,1.0
4840000,0.25054145,1.1132759,None,None,None,1.0
4850000,0.23340167,1.1134388,None,None,None,1.0
4860000,0.21817982,1.1135064,1999.0,4.44881046245185,4.44881046245185,1.0
4870000,0.2648206,1.1129814,None,None,None,1.0
4880000,0.24670967,1.1126806,None,None,None,1.0
4890000,0.24033776,1.112018,None,None,None,1.0
4900000,0.26544732,1.1109605,1999.0,5.449843707804878,5.449843707804878,1.0
4910000,0.27780443,1.1099739,None,None,None,1.0
4920000,0.255881,1.1093283,None,None,None,1.0
4930000,0.24662086,1.1092037,None,None,None,1.0
4940000,0.29743922,1.1090125,1999.0,5.338865947185291,5.338865947185291,1.0
4950000,0.27756086,1.108854,None,None,None,1.0
4960000,0.2733927,1.108344,None,None,None,1.0
4970000,0.27289242,1.1065427,1999.0,5.6724547807437675,5.6724547807437675,1.0
4980000,0.31013292,1.1051648,None,None,None,1.0
4990000,0.3069629,1.1059555,None,None,None,1.0
