Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,-0.036341865,1.4130983,0.006931137,0.030268831,0.00028444797,1999.6666666666667,1.8888888888888888,1.8888888888888888,1.0
50000,-0.035057865,1.4114436,0.010214915,0.022823358,0.00027911403,None,None,None,1.0
60000,-0.036743034,1.4116663,0.0011606038,0.025953777,0.00027393,None,None,None,1.0
70000,-0.029899534,1.4115925,0.000119772434,0.027433675,0.00026874605,None,None,None,1.0
80000,0.011155698,1.4112635,0.0021971057,0.02489216,0.000263418,1999.0,0.9444444444444444,0.9444444444444444,1.0
90000,-0.006625521,1.4115019,0.0044554356,0.026923873,0.000258234,None,None,None,1.0
100000,-0.002503801,1.4120934,0.0001222802,0.02257086,0.00025305006,None,None,None,1.0
110000,0.024346098,1.4123653,0.0008177047,0.02964288,0.000247866,1999.0,0.5,0.5,1.0
120000,0.01463661,1.413566,0.005221196,0.018756991,0.000242538,None,None,None,1.0
130000,0.0037539292,1.414738,0.0014559041,0.021818869,0.00023735405,None,None,None,1.0
140000,0.0070868316,1.4153022,0.000459093,0.026853178,0.00023217003,None,None,None,1.0
150000,0.07744263,1.4158121,0.0055687865,0.024860494,0.00022684208,1999.0,0.6111111111111112,0.6111111111111112,1.0
160000,0.021236505,1.4161189,0.0053435043,0.017950056,0.00022165805,None,None,None,1.0
170000,0.0039016146,1.417347,0.00071722077,0.025410732,0.00021647401,None,None,None,1.0
180000,0.005842279,1.418197,0.00012629702,0.029471489,0.00021129005,1999.0,0.9411764705882353,0.9411764705882353,1.0
190000,0.08090482,1.4196514,0.0054630726,0.028731495,0.00020596205,None,2.0,2.0,1.0
200000,0.022485806,1.4200886,0.00017332371,0.024362164,0.00020077809,None,None,None,1.0
210000,0.03751713,1.4209677,0.002312258,0.025449712,0.00019559407,None,None,None,1.0
220000,0.09038242,1.4213675,0.008423519,0.021035025,0.00019026603,1999.0,0.8333333333333334,0.8333333333333334,1.0
230000,0.050704014,1.4213372,0.0065522026,0.023220392,0.0001850821,None,None,None,1.0
240000,0.099736735,1.4217745,None,None,None,None,None,None,1.0
250000,0.1269393,1.4231803,0.008685148,0.025437696,0.00017989805,None,None,None,1.0
260000,0.17206858,1.4239622,0.012993366,0.021125091,0.00017471409,1999.0,2.3333333333333335,2.3333333333333335,1.0
270000,0.22986919,1.4236645,0.014087942,0.020694833,0.0001693861,None,None,None,1.0
280000,0.225384,1.423587,0.02031464,0.02428255,0.00016420205,None,None,None,1.0
290000,0.21726829,1.4247915,0.016451377,0.025365008,0.00015901808,1999.0,3.7777777777777777,3.7777777777777777,1.0
300000,0.23541646,1.4251368,0.015278078,0.025064625,0.00015369008,None,None,None,1.0
310000,0.23801559,1.4248105,0.029202294,0.024101287,0.00014850605,None,None,None,1.0
320000,0.23060031,1.4241757,0.010822616,0.023563022,0.00014332209,None,None,None,1.0
330000,0.24512397,1.4240869,0.010543975,0.026087483,0.00013813804,1910.6842105263158,3.9473684210526314,3.9473684210526314,1.0
340000,0.24202767,1.424109,0.022207385,0.027673189,0.00013299457,614.5,3.5,3.5,1.0
350000,0.24119495,1.4239539,0.021141928,0.027698241,0.00012784156,None,None,None,1.0
360000,0.24045563,1.4236636,0.02123502,0.021721207,0.00012246559,1999.0,4.466666666666667,4.466666666666667,1.0
