Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-0.043109346,1.4208975,0.0087919645,0.019106809,0.00029984454,1999.0,-9.000000668068727,-9.000000668068727,1.0
30000,-0.08615611,1.4211191,0.008286136,0.023247162,0.00029968753,1999.0,-8.000000638266405,-8.000000638266405,1.0
40000,-0.10565886,1.4211358,0.008583351,0.025699269,0.00029953054,1999.0,-8.000000598529974,-8.000000598529974,1.0
50000,-0.17003074,1.4231322,0.0036404287,0.023926329,0.0002993736,1999.0,-9.333333991467953,-9.333333991467953,1.0
60000,-0.16865957,1.42375,0.0077945506,0.025138209,0.00029921663,1999.0,-8.400000654160976,-8.400000654160976,1.0
70000,-0.19995756,1.4252315,0.0053257784,0.023843788,0.00029905973,None,-9.00000061839819,-9.00000061839819,1.0
80000,-0.23432708,1.4253821,0.0019563374,0.02522933,0.0002989027,1999.0,-9.166667359570662,-9.166667359570662,1.0
90000,-0.2705276,1.4249442,0.0062041846,0.017831666,0.00029874718,1999.0,-8.833333996435007,-8.833333996435007,1.0
100000,-0.2737279,1.4254171,0.003189138,0.021083873,0.00029859028,1999.0,-9.333334011336168,-9.333334011336168,1.0
110000,-0.28293148,1.426497,0.0034538289,0.023774901,0.0002984333,1999.0,-9.333333991467953,-9.333333991467953,1.0
120000,-0.326434,1.4275391,0.0033648296,0.026226407,0.0002982764,1999.0,-9.600000695884228,-9.600000695884228,1.0
130000,-0.33584157,1.4278907,0.0033430767,0.025263267,0.00029811932,None,-9.000000678002834,-9.000000678002834,1.0
140000,-0.35961485,1.4285796,0.0041457326,0.018923856,0.00029796243,1999.0,-9.16666732976834,-9.16666732976834,1.0
150000,-0.3400957,1.4304378,0.0033967285,0.022144279,0.0002978054,1999.0,-8.833334006369114,-8.833334006369114,1.0
160000,-0.2992533,1.4311825,0.015309693,0.019377775,0.0002976485,1999.0,-6.66666725029548,-6.66666725029548,1.0
170000,-0.31342772,1.4299356,0.017457359,0.022699378,0.000297493,1999.0,-7.166667225460212,-7.166667225460212,1.0
180000,-0.33389527,1.4288378,0.004238634,0.025713095,0.00029733597,1999.0,-9.20000067204237,-9.20000067204237,1.0
190000,-0.3238917,1.4279175,0.010284842,0.024436269,0.00029717907,None,-9.000000678002834,-9.000000678002834,1.0
200000,-0.32234764,1.4270518,0.010650471,0.024543975,0.0002970221,1999.0,-7.5000005687276525,-7.5000005687276525,1.0
210000,-0.33456174,1.42581,0.016367765,0.02588483,0.0002968651,1999.0,-5.333333820104599,-5.333333820104599,1.0
220000,-0.35226876,1.4269304,0.012042092,0.028532594,0.00029670817,1999.0,-6.500000563760598,-6.500000563760598,1.0
230000,-0.33346656,1.4269803,0.011050921,0.020157287,0.00029655118,1999.0,-7.333333951731523,-7.333333951731523,1.0
240000,-0.34391767,1.4274389,None,None,None,1999.0,-8.40000066012144,-8.40000066012144,1.0
250000,-0.29633525,1.4274637,0.005921974,0.024370344,0.00029639428,None,-7.0000004991889,-7.0000004991889,1.0
260000,-0.2982748,1.4283098,0.010869965,0.028903572,0.00029623875,1999.0,-7.500000663101673,-7.500000663101673,1.0
270000,-0.3072284,1.4295689,0.011363209,0.018960752,0.00029608174,1999.0,-6.666667245328426,-6.666667245328426,1.0
280000,-0.36314481,1.4305502,0.012173076,0.028251471,0.00029592484,1999.0,-7.8333339765667915,-7.8333339765667915,1.0
290000,-0.32110968,1.431576,0.008906196,0.027441306,0.00029576785,1999.0,-7.500000614672899,-7.500000614672899,1.0
300000,-0.348543,1.432049,0.007979004,0.023079958,0.00029561095,1999.0,-8.200000612437725,-8.200000612437725,1.0
310000,-0.27192444,1.4323149,0.011017154,0.032781094,0.00029545388,None,-7.000000558793545,-7.000000558793545,1.0
320000,-0.25326583,1.4328341,0.012805905,0.025802888,0.00029529698,1999.0,-6.500000514090061,-6.500000514090061,1.0
330000,-0.23807907,1.4338555,0.017173728,0.022814691,0.00029514145,1999.0,-5.333333847423394,-5.333333847423394,1.0
340000,-0.27635455,1.4348457,0.026669463,0.027022254,0.00029498446,1999.0,-5.000000563760598,-5.000000563760598,1.0
350000,-0.30771574,1.433418,0.007462832,0.025123537,0.00029482757,1999.0,-8.166667299966017,-8.166667299966017,1.0
360000,-0.33767402,1.4312917,0.017961288,0.017481286,0.00029467055,1999.0,-4.400000523030758,-4.400000523030758,1.0
370000,-0.3088076,1.4307997,0.013341435,0.024904745,0.00029451365,None,-9.000000678002834,-9.000000678002834,1.0
380000,-0.28738698,1.4315051,0.008795585,0.023130244,0.00029435664,1999.0,-7.16666725029548,-7.16666725029548,1.0
390000,-0.30237436,1.4325962,0.010434132,0.019471038,0.00029419977,1999.0,-6.833333872258663,-6.833333872258663,1.0
400000,-0.29021204,1.4334326,0.017699206,0.02348683,0.00029404275,1999.0,-5.833333872258663,-5.833333872258663,1.0
410000,-0.30478892,1.4345727,0.013388044,0.019426277,0.00029388722,1999.0,-6.166667235394319,-6.166667235394319,1.0
420000,-0.2883655,1.4346141,0.016986813,0.026148979,0.0002937302,1999.0,-4.600000494718552,-4.600000494718552,1.0
430000,-0.27956268,1.4359733,0.0155593455,0.024842419,0.0002935733,None,-7.0000006183981895,-7.0000006183981895,1.0
440000,-0.2781994,1.4357425,0.013834543,0.018839018,0.00029341632,1999.0,-6.333333872258663,-6.333333872258663,1.0
450000,-0.25670385,1.4351693,0.017365498,0.027435007,0.0002932594,1999.0,-5.500000515331824,-5.500000515331824,1.0
460000,-0.2661338,1.4349542,0.014966194,0.019272275,0.0002931024,1999.0,-6.166667200624943,-6.166667200624943,1.0
470000,-0.23403357,1.4381812,None,None,None,1999.0,-5.166667205591996,-5.166667205591996,1.0
480000,-0.24386561,1.438556,0.01215655,0.017330442,0.0002929455,1999.0,-6.20000055283308,-6.20000055283308,1.0
490000,-0.24508458,1.4372591,0.012025693,0.038355008,0.00029278843,None,-9.000000678002834,-9.000000678002834,1.0
500000,-0.2759002,1.4364039,0.020039555,0.023119908,0.0002926329,1999.0,-5.8333337878187494,-5.8333337878187494,1.0
510000,-0.26794612,1.4372867,0.013864171,0.028173657,0.000292476,1999.0,-6.666667240361373,-6.666667240361373,1.0
520000,-0.28493205,1.4358604,0.017365662,0.02990549,0.00029231902,1999.0,-6.333333887159824,-6.333333887159824,1.0
530000,-0.28253093,1.4337473,0.012085057,0.022752497,0.00029216212,1999.0,-5.833333941797416,-5.833333941797416,1.0
540000,-0.26484767,1.4330418,0.017142775,0.030561911,0.0002920051,1999.0,-6.000000552833081,-6.000000552833081,1.0
550000,-0.2571275,1.4324038,0.010390555,0.026758406,0.0002918482,None,-10.000000707805157,-10.000000707805157,1.0
560000,-0.2709995,1.4312414,0.0151188485,0.024543364,0.00029169122,1999.0,-6.166667200624943,-6.166667200624943,1.0
570000,-0.26424834,1.4306905,0.019335795,0.02182168,0.00029153432,1999.0,-3.666667141020298,-3.666667141020298,1.0
580000,-0.2892195,1.4302351,0.020812262,0.02630206,0.0002913788,1999.0,-4.333333842456341,-4.333333842456341,1.0
590000,-0.27308753,1.4296192,0.01268479,0.0192346,0.00029122178,1999.0,-6.833333892126878,-6.833333892126878,1.0
600000,-0.23975262,1.4288116,0.021569062,0.015696712,0.00029106476,1999.0,-3.600000487267971,-3.600000487267971,1.0
610000,-0.17285384,1.4276994,0.017093848,0.028766967,0.00029090786,None,-4.00000037997961,-4.00000037997961,1.0
620000,-0.19378398,1.4261825,0.01768931,0.022806887,0.00029075088,1999.0,-5.33333386729161,-5.33333386729161,1.0
630000,-0.18579742,1.4241738,0.018019458,0.026349377,0.00029059398,1999.0,-6.5000005687276525,-6.5000005687276525,1.0
640000,-0.2229611,1.4231187,0.016167734,0.023038398,0.00029043696,1999.0,-4.500000484287739,-4.500000484287739,1.0
650000,-0.23069188,1.4209124,0.021812575,0.019315137,0.00029028143,1999.0,-4.000000474353631,-4.000000474353631,1.0
660000,-0.18421033,1.4201107,0.028952949,0.022432368,0.00029012453,1999.0,-3.000000421702862,-3.000000421702862,1.0
670000,-0.22031388,1.4203389,0.014388878,0.028008841,0.00028996755,None,-6.000000558793545,-6.000000558793545,1.0
680000,-0.18864709,1.4200225,0.018603241,0.021547709,0.00028981056,1999.0,-6.333333907028039,-6.333333907028039,1.0
690000,-0.1888309,1.4169651,0.01947578,0.022596216,0.00028965357,1999.0,-5.166667155921459,-5.166667155921459,1.0
700000,-0.14586818,1.415283,None,None,None,1999.0,-4.833333802719911,-4.833333802719911,1.0
710000,-0.16480272,1.4131294,0.021209413,0.031680726,0.00028949667,1999.0,-3.0000003750125566,-3.0000003750125566,1.0
720000,-0.17151122,1.4120455,0.022903668,0.031224439,0.00028933966,1999.0,-5.400000517070294,-5.400000517070294,1.0
730000,-0.15723349,1.4121308,0.016877204,0.019981688,0.00028918273,None,-8.000000588595867,-8.000000588595867,1.0
740000,-0.16573144,1.4128644,0.021315116,0.033829205,0.00028902723,1999.0,-3.833333782851696,-3.833333782851696,1.0
750000,-0.1765823,1.4116106,0.020139217,0.022959894,0.00028887024,1999.0,-3.833333837489287,-3.833333837489287,1.0
760000,-0.17695332,1.4083445,0.023790097,0.021395396,0.00028871332,1999.0,-2.3333337480823197,-2.3333337480823197,1.0
770000,-0.1814724,1.4064587,0.029569184,0.024135642,0.00028855633,1999.0,-3.6666671658555665,-3.6666671658555665,1.0
780000,-0.18048935,1.4067696,0.020529566,0.022413546,0.00028839934,1999.0,-3.200000487267971,-3.200000487267971,1.0
790000,-0.20256223,1.4067428,0.020010913,0.024966631,0.00028824242,None,-4.00000037997961,-4.00000037997961,1.0
800000,-0.17309338,1.4065053,0.019651797,0.022110505,0.00028808546,1999.0,-5.33333386729161,-5.33333386729161,1.0
810000,-0.1636957,1.4064224,0.011797619,0.021086877,0.00028792853,1999.0,-6.833333872258663,-6.833333872258663,1.0
820000,-0.17984419,1.4061402,0.01763856,0.02168462,0.000287773,1999.0,-5.000000464419524,-5.000000464419524,1.0
830000,-0.1913369,1.4049904,0.03407588,0.022809932,0.000287616,1999.0,-2.8333337580164275,-2.8333337580164275,1.0
840000,-0.22794566,1.4027389,0.01699095,0.02207204,0.0002874591,1999.0,-5.200000534951687,-5.200000534951687,1.0
850000,-0.21518396,1.4008356,0.019902445,0.027558692,0.00028730213,None,-6.000000558793545,-6.000000558793545,1.0
860000,-0.19835018,1.4003949,0.01818806,0.024336556,0.0002871452,1999.0,-4.500000465661287,-4.500000465661287,1.0
870000,-0.18892042,1.3994509,0.019710967,0.029336952,0.00028698813,1999.0,-4.500000484287739,-4.500000484287739,1.0
880000,-0.20468806,1.3969915,0.022819428,0.024549425,0.0002868312,1999.0,-4.16666713108619,-4.16666713108619,1.0
890000,-0.23041944,1.3944314,0.014066642,0.020062784,0.00028667424,1999.0,-5.833333872258663,-5.833333872258663,1.0
900000,-0.1885416,1.3937101,0.022322292,0.01923249,0.0002865187,1999.0,-4.200000475347042,-4.200000475347042,1.0
910000,-0.2100708,1.3943663,0.015749259,0.025959011,0.00028636178,None,-5.000000439584255,-5.000000439584255,1.0
920000,-0.19888997,1.3949229,0.02136776,0.026593914,0.0002862048,1999.0,-6.333333878467481,-6.333333878467481,1.0
930000,-0.16595736,1.3926677,None,None,None,1999.0,-3.5000005091230073,-3.5000005091230073,1.0
