Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.23145449,1.4236737,1999.0,-8.384615985246805,-8.384615985246805,1.0
90000,-0.24351993,1.4235096,1332.6666666666667,-8.681818798184395,-8.681818798184395,1.0
100000,-0.19203332,1.4212269,0.0,-1.8204591424799845,-1.8204591424799845,1.0
110000,-0.2673201,None,None,None,None,1.0
120000,-0.26583922,1.4222786,None,None,None,1.0
130000,-0.30393443,1.4238178,None,None,None,1.0
140000,-0.30042264,1.4238442,None,None,None,1.0
150000,-0.33104062,1.4216114,None,None,None,1.0
160000,-0.32894945,None,None,None,None,1.0
170000,-0.3716865,1.4187621,1999.0,None,None,1.0
180000,-0.36116716,None,1999.0,-9.314182292331349,-9.314182292331349,1.0
190000,-0.3791554,1.4179093,1999.0,-9.71028623126802,-9.71028623126802,1.0
200000,-0.4075877,1.4159279,None,-8.996000409126282,-8.996000409126282,1.0
210000,-0.40057817,1.4143329,None,None,None,1.0
220000,-0.3987874,1.4152232,None,None,None,1.0
230000,-0.43169245,None,None,None,None,1.0
240000,-0.41914758,1.415766,None,None,None,1.0
250000,-0.43128186,1.4166267,None,None,None,1.0
260000,-0.46127862,1.4172821,None,None,None,1.0
270000,-0.42814645,1.4188057,1999.0,-9.551556044154697,-9.551556044154697,1.0
280000,-0.45444143,None,1999.0,-9.329333799225944,-9.329333799225944,1.0
290000,-0.443691,1.4207128,None,-9.662667165199915,-9.662667165199915,1.0
300000,-0.44736996,None,None,None,None,1.0
310000,-0.4455359,1.4177725,None,None,None,1.0
320000,-0.4725615,1.4165734,None,None,None,1.0
330000,-0.4542392,1.416555,None,None,None,1.0
340000,-0.47249898,1.4155762,None,None,None,1.0
350000,-0.46571335,None,None,None,None,1.0
360000,-0.46800837,1.414072,None,None,None,1.0
370000,-0.48378813,1.4122566,1999.0,-9.290118129814372,-9.290118129814372,1.0
380000,-0.46332836,1.4122096,1999.0,-8.950545907020569,-8.950545907020569,1.0
390000,-0.4580565,1.4110068,None,-9.440444939666325,-9.440444939666325,1.0
400000,-0.44890887,1.4106876,None,None,None,1.0
410000,-0.444216,1.4090661,None,None,None,1.0
420000,-0.45794335,None,None,None,None,1.0
430000,-0.47043845,1.4078954,None,None,None,1.0
440000,-0.4677128,1.4071864,None,None,None,1.0
450000,-0.4674268,1.4056454,None,None,None,1.0
460000,-0.47098985,1.4028546,1999.0,-8.996000424027443,-8.996000424027443,1.0
470000,-0.47829294,None,1999.0,-9.223273201422257,-9.223273201422257,1.0
480000,-0.47290435,1.402945,1999.0,-9.138857580366588,-9.138857580366588,1.0
490000,-0.45755148,1.4038284,None,-8.996000409126282,-8.996000409126282,1.0
500000,-0.4456327,1.4073792,None,None,None,1.0
510000,-0.45429653,1.4036663,None,None,None,1.0
520000,-0.47395554,1.4035206,None,None,None,1.0
530000,-0.47108686,1.4015099,None,None,None,1.0
540000,-0.468427,None,None,None,None,1.0
550000,-0.48198348,1.4008532,None,None,None,1.0
560000,-0.47653374,1.399318,1999.0,-9.22676970408513,-9.22676970408513,1.0
570000,-0.4823355,1.3992606,1999.0,-8.9007623507863,-8.9007623507863,1.0
580000,-0.4710096,1.3987923,None,-9.067429027387075,-9.067429027387075,1.0
590000,-0.43875226,None,None,None,None,1.0
600000,-0.4304046,1.3970734,None,None,None,1.0
610000,-0.44996244,1.3967258,None,None,None,1.0
620000,-0.44884375,1.3967179,None,None,None,1.0
630000,-0.4600412,1.3953043,None,None,None,1.0
640000,-0.46106112,None,None,None,None,1.0
650000,-0.46365994,1.3916587,1999.0,None,None,1.0
660000,-0.46804187,None,1999.0,-8.859636801210316,-8.859636801210316,1.0
670000,-0.4652984,1.3908231,1999.0,-8.567428993327278,-8.567428993327278,1.0
680000,-0.45345265,1.3899977,None,-9.396000504493713,-9.396000504493713,1.0
690000,-0.42608967,1.3902271,None,None,None,1.0
700000,-0.4047325,1.3889596,None,None,None,1.0
710000,-0.45279115,None,None,None,None,1.0
720000,-0.42565045,1.3884771,None,None,None,1.0
730000,-0.44767863,1.3878702,None,None,None,1.0
740000,-0.44283032,1.3873854,None,None,None,1.0
750000,-0.44317323,1.3866054,1999.0,-8.884889344374338,-8.884889344374338,1.0
760000,-0.46164995,None,1999.0,-8.567429017452966,-8.567429017452966,1.0
770000,-0.45646375,1.3884091,None,-8.718222679363357,-8.718222679363357,1.0
780000,-0.4387617,None,None,None,None,1.0
790000,-0.42429256,1.388133,None,None,None,1.0
800000,-0.45931497,1.3864167,None,None,None,1.0
810000,-0.45913997,1.3863715,None,None,None,1.0
820000,-0.44948775,1.3837491,None,None,None,1.0
830000,-0.48045102,None,None,None,None,1.0
840000,-0.44724137,1.3828775,None,None,None,1.0
850000,-0.4745466,1.3825494,1999.0,-8.584235745317796,-8.584235745317796,1.0
860000,-0.46908247,1.3825378,1999.0,-8.859636826948686,-8.859636826948686,1.0
870000,-0.4528714,1.3798515,None,-7.996000356144375,-7.996000356144375,1.0
880000,-0.41032133,1.3789037,None,None,None,1.0
890000,-0.43169698,1.377828,None,None,None,1.0
900000,-0.4383716,None,None,None,None,1.0
910000,-0.4418398,1.376849,None,None,None,1.0
920000,-0.4544692,1.3741829,None,None,None,1.0
930000,-0.45146185,1.3714752,None,None,None,1.0
940000,-0.4658273,1.3693995,1999.0,-8.496000453829765,-8.496000453829765,1.0
950000,-0.46572456,None,1999.0,-8.76872771571983,-8.76872771571983,1.0
960000,-0.4670255,1.3695928,1999.0,-8.376952788659505,-8.376952788659505,1.0
970000,-0.39956558,1.3703612,111.0,-0.1296667378822652,-0.1296667378822652,1.0
980000,-0.39728957,1.3678969,None,None,None,1.0
990000,-0.4115584,1.3673216,None,None,None,1.0
1000000,-0.44930995,1.3667431,None,None,None,1.0
1010000,-0.4430289,1.3654029,855.0,-2.276800138410181,-2.276800138410181,1.0
1020000,-0.45850337,None,None,None,None,1.0
1030000,-0.45395392,1.3641287,None,None,None,1.0
1040000,-0.46511036,1.3620999,1999.0,-8.177818593653766,-8.177818593653766,1.0
1050000,-0.46896526,1.3617692,1999.0,-8.223273117433894,-8.223273117433894,1.0
1060000,-0.43823865,1.3613974,1079.0,-5.8460002403880935,-5.8460002403880935,1.0
1070000,-0.3807731,1.36088,None,None,None,1.0
1080000,-0.4101916,1.3594244,521.4,0.7430000603199005,0.7430000603199005,1.0
1090000,-0.33803806,1.3601125,None,-0.94700001826277,-0.94700001826277,1.0
1100000,-0.45378715,1.3594805,None,None,None,1.0
1110000,-0.36082646,1.3574771,1326.4285714285713,-4.562857411460884,-4.562857411460884,1.0
1120000,-0.4548436,1.3569297,None,None,None,1.0
1130000,-0.38626957,1.3570347,1327.0,-4.636000255402178,-4.636000255402178,1.0
1140000,-0.38531104,1.35779,1999.0,-7.884889284769694,-7.884889284769694,1.0
1150000,-0.43269843,1.3565351,1999.0,-7.7960003594557445,-7.7960003594557445,1.0
1160000,-0.28873092,1.3557436,979.8571428571429,-2.0517501204740256,-2.0517501204740256,1.0
1170000,-0.27013692,1.3543767,None,-8.49600037932396,-8.49600037932396,1.0
1180000,-0.37096363,1.353448,1999.0,-8.247000560164452,-8.247000560164452,1.0
1190000,-0.31530333,1.3530408,457.4,-0.289400004548952,-0.289400004548952,1.0
1200000,-0.37010747,1.3525494,1781.6,-6.709800320863724,-6.709800320863724,1.0
1210000,-0.30471605,1.352109,1294.2777777777778,-4.4732780539003825,-4.4732780539003825,1.0
1220000,-0.33962175,1.351887,None,None,None,1.0
1230000,-0.268649,1.3520309,924.0666666666667,-2.623600150831044,-2.623600150831044,1.0
1240000,-0.36292833,1.3526891,1999.0,-8.496000453829765,-8.496000453829765,1.0
1250000,-0.335582,1.3519192,None,None,None,1.0
1260000,-0.38071984,1.3513232,1999.0,-7.746000289916992,-7.746000289916992,1.0
1270000,-0.36477014,1.3509272,1999.0,-8.247000589966774,-8.247000589966774,1.0
1280000,-0.40595242,1.350185,None,None,None,1.0
1290000,-0.3727833,1.3480679,1999.0,-8.497000589966774,-8.497000589966774,1.0
1300000,-0.33030868,1.3471915,1828.8461538461538,-7.20635747956112,-7.20635747956112,1.0
1310000,-0.34427202,1.3455833,1046.111111111111,-4.257333474621798,-4.257333474621798,1.0
1320000,-0.3631006,1.3445517,311.0,-0.46024992963066325,-0.46024992963066325,1.0
1330000,-0.26958606,1.3444378,1356.8461538461538,-4.0841431384240945,-4.0841431384240945,1.0
1340000,-0.40711626,1.3445152,1999.0,-7.7460003942251205,-7.7460003942251205,1.0
1350000,-0.27124745,1.344223,None,None,None,1.0
1360000,-0.31383657,1.3425643,1092.3333333333333,-3.3520000669070416,-3.3520000669070416,1.0
1370000,-0.32337096,1.3425963,1166.7777777777778,-4.21875027664646,-4.21875027664646,1.0
1380000,-0.3293393,1.3423847,1548.6,-4.039714390079358,-4.039714390079358,1.0
1390000,-0.29492572,1.3427197,428.3333333333333,0.07788896273511152,0.07788896273511152,1.0
1400000,-0.356018,1.3435562,None,None,None,1.0
1410000,-0.2759798,1.3440703,807.8571428571429,-1.970357304098018,-1.970357304098018,1.0
1420000,-0.33269817,1.3446746,1811.3076923076924,-6.777100371918641,-6.777100371918641,1.0
1430000,-0.33039713,1.3447615,1241.2857142857142,-5.250875318830367,-5.250875318830367,1.0
1440000,-0.25098285,1.343429,186.5,1.2910000449046493,1.2910000449046493,1.0
1450000,-0.3120869,1.3427638,None,None,None,1.0
1460000,-0.30887777,1.3417112,None,None,None,1.0
1470000,-0.345686,1.3411031,1774.6666666666667,-6.792333814005057,-6.792333814005057,1.0
1480000,-0.375273,1.3413105,1999.0,-7.885667118761274,-7.885667118761274,1.0
1490000,-0.32898772,1.3424263,337.4,-2.6816250678384677,-2.6816250678384677,1.0
1500000,-0.32835227,1.3442833,1412.0,-4.561750113964081,-4.561750113964081,1.0
1510000,-0.26914164,1.3415904,1108.7777777777778,-3.4346668152914694,-3.4346668152914694,1.0
1520000,-0.40775448,1.3397123,1580.3333333333333,-5.570000417530537,-5.570000417530537,1.0
1530000,-0.34002832,1.3371465,906.3333333333334,-2.478555704260038,-2.478555704260038,1.0
1540000,-0.22141872,1.3367299,785.7692307692307,-1.6996923978082263,-1.6996923978082263,1.0
1550000,-0.25814685,1.3372754,None,None,None,1.0
1560000,-0.3187107,1.3382185,1999.0,-7.332333902517955,-7.332333902517955,1.0
1570000,-0.3274212,1.3365114,1999.0,-8.196600413322448,-8.196600413322448,1.0
1580000,-0.37676147,1.338009,1339.888888888889,-4.59011141602726,-4.59011141602726,1.0
1590000,-0.28842664,1.3383391,857.4,-2.2892001731321217,-2.2892001731321217,1.0
1600000,-0.25863698,1.3381382,455.0,-0.2768000698648393,-0.2768000698648393,1.0
1610000,-0.38709673,1.3373433,1999.0,-7.696800535917282,-7.696800535917282,1.0
1620000,-0.24800254,1.3381536,876.1428571428571,-3.6710002640417465,-3.6710002640417465,1.0
1630000,-0.2779599,1.3376192,1170.7777777777778,-3.351091056019703,-3.351091056019703,1.0
1640000,-0.23147036,1.3370793,763.0,-1.586923174918271,-1.586923174918271,1.0
1650000,-0.22698419,1.3371971,608.6,-1.0452667258058985,-1.0452667258058985,1.0
1660000,-0.13937159,1.3367033,665.9,-1.2876552344452397,-1.2876552344452397,1.0
1670000,-0.31192544,1.3357189,None,-2.11175000667572,-2.11175000667572,1.0
1680000,-0.17995177,1.3350224,877.8,-2.3915002142544837,-2.3915002142544837,1.0
1690000,-0.17761925,1.3334494,453.8,-1.1845001797191799,-1.1845001797191799,1.0
1700000,-0.25983036,1.3335315,None,0.3380000399192795,0.3380000399192795,1.0
1710000,-0.29550856,1.3319814,None,None,None,1.0
1720000,-0.3301446,1.3307496,1185.7692307692307,-3.8615558412339954,-3.8615558412339954,1.0
1730000,-0.30535972,1.3319641,1211.8,-3.3846000732854007,-3.3846000732854007,1.0
1740000,-0.26271778,1.3321992,1313.0,-4.3761669214711425,-4.3761669214711425,1.0
1750000,-0.27924007,1.3323215,1546.6923076923076,-5.4851879051857395,-5.4851879051857395,1.0
1760000,-0.1644236,1.3326124,687.5714285714286,-1.9442000877888252,-1.9442000877888252,1.0
1770000,-0.25746515,1.3313932,1085.857142857143,-2.2767274067208003,-2.2767274067208003,1.0
1780000,-0.13672128,1.3304303,349.2857142857143,-1.4866875809966587,-1.4866875809966587,1.0
1790000,-0.20318894,1.3295189,316.3333333333333,0.47143755182332825,0.47143755182332825,1.0
1800000,-0.25770336,1.3287431,None,None,None,1.0
1810000,-0.21403138,1.3277256,491.0,-0.45780002754181626,-0.45780002754181626,1.0
1820000,-0.14575917,1.3258909,743.6315789473684,-2.1865626069775317,-2.1865626069775317,1.0
