Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,-0.27032253,1.4203906,1780.3125,-5.20515422265117,-5.20515422265117,0.0030160034,0.023833547,0.00029508385,1.0
110000,-0.3147186,None,1999.0,-8.238095817111788,-8.238095817111788,None,None,None,1.0
120000,-0.3236107,1.4202975,1047.095238095238,-8.77272788232023,-8.77272788232023,0.0024816757,0.020603342,0.00029414424,1.0
130000,-0.18868104,1.4160628,0.0,-1.3190303960899739,-1.3190303960899739,0.008128077,0.02107028,0.00029356542,1.0
140000,-0.33620864,None,None,None,None,None,None,None,1.0
150000,-0.3203658,1.4156704,None,None,None,0.010888542,0.026149333,0.00029254143,1.0
160000,-0.34906802,1.4154282,None,None,None,None,None,None,1.0
170000,-0.37430674,1.4127499,None,None,None,0.008596682,0.026826898,0.000291927,1.0
180000,-0.36214232,None,None,None,None,None,None,None,1.0
190000,-0.38374764,1.4134698,None,None,None,0.008803485,0.02262051,0.00029090297,1.0
200000,-0.3960219,1.4130912,None,None,None,0.0028684575,0.02314889,0.00029028862,1.0
210000,-0.40000796,None,None,None,None,None,None,None,1.0
220000,-0.39768866,1.4132165,1999.0,None,None,0.0038672872,0.025013868,0.00028926466,1.0
230000,-0.40745494,1.4121106,1932.6969696969697,-7.312937866649008,-7.312937866649008,0.003944057,0.027635185,0.00028866943,1.0
240000,-0.42594823,None,1999.0,-8.223273168910634,-8.223273168910634,0.0072675277,0.024675718,0.000288122,1.0
250000,-0.41431785,1.4120485,1999.0,-8.662667115529379,-8.662667115529379,None,None,None,1.0
260000,-0.36544368,1.4098439,None,-8.329333772261938,-8.329333772261938,0.0035176922,0.022033049,0.00028737963,1.0
270000,-0.3347569,None,None,None,None,0.015059191,0.022153536,0.00028656042,1.0
280000,-0.3496676,1.4091359,None,None,None,None,None,None,1.0
290000,-0.36784598,1.4070297,None,None,None,0.013368857,0.025126278,0.0002857412,1.0
300000,-0.40860304,1.4069251,None,None,None,None,None,None,1.0
310000,-0.41173443,1.4054953,None,None,None,0.0031582697,0.02118166,0.00028492205,1.0
320000,-0.39926386,1.4039687,None,None,None,0.0054430575,0.02774918,0.00028410277,1.0
330000,-0.45489016,1.4033889,None,None,None,None,None,None,1.0
340000,-0.44083357,None,None,None,None,0.004736191,0.025068505,0.00028328362,1.0
350000,-0.43885046,1.4029545,1999.0,None,None,None,None,None,1.0
360000,-0.43925056,1.4034767,1931.6153846153845,-7.808364086572758,-7.808364086572758,0.0034554233,0.024301803,0.00028237162,1.0
370000,-0.46245635,None,1999.0,-8.091238484496163,-8.091238484496163,0.002375577,0.02574876,0.00028166064,1.0
380000,-0.44375524,1.4023596,1999.0,-7.905091293833473,-7.905091293833473,0.0017395576,0.020991854,0.000281011,1.0
390000,-0.34364077,1.4026572,None,None,None,None,None,None,1.0
400000,-0.35724133,None,None,None,None,0.0153001025,0.028334148,0.00028008944,1.0
410000,-0.34743986,1.400942,None,None,None,None,None,None,1.0
420000,-0.3948147,1.4025253,None,None,None,0.014933873,0.0279663,0.00027937262,1.0
430000,-0.43828192,1.4026079,None,None,None,None,None,None,1.0
440000,-0.43294385,1.4037486,None,None,None,0.0052476027,0.027852314,0.00027845096,1.0
450000,-0.42502394,1.4019471,961.4,-3.5090001749340445,-3.5090001749340445,0.0046048784,0.022169784,0.00027773422,1.0
460000,-0.3805451,1.4016485,1104.4285714285713,-3.157200187103202,-3.157200187103202,0.008491081,0.026683984,0.0002771294,1.0
470000,-0.41703898,1.4010646,1999.0,None,None,None,None,None,1.0
480000,-0.37724856,1.4012455,1619.888888888889,-7.299461982821902,-7.299461982821902,0.003197606,0.026820868,0.00027621744,1.0
490000,-0.32647458,1.4005119,1901.875,-6.584091309034689,-6.584091309034689,0.01660494,0.025753902,0.00027565547,1.0
500000,-0.39938706,1.3999807,1999.0,-8.041454934261061,-8.041454934261061,0.0045779473,0.023699893,0.00027509866,1.0
510000,-0.2628941,1.4003516,None,-8.496000409126282,-8.496000409126282,0.013119708,0.021254243,0.00027450343,1.0
520000,-0.3890494,1.4009277,None,None,None,None,None,None,1.0
530000,-0.21110095,1.4020331,455.0,-0.27700008074752985,-0.27700008074752985,0.02608947,0.02344809,0.00027398855,1.0
540000,-0.30185717,1.4035444,1116.6,-3.5848001586273313,-3.5848001586273313,0.01676886,0.021158146,0.00027346786,1.0
550000,-0.32766947,1.403052,1032.0666666666666,-3.1624002147155506,-3.1624002147155506,0.009182234,0.02193116,0.0002728812,1.0
560000,-0.6150367,1.4032439,None,None,None,0.05927648,0.04144908,0.0002723112,1.0
570000,-0.34418625,1.4010208,1092.0,-2.962000146508217,-2.962000146508217,0.004037784,0.021188177,0.00027159438,1.0
580000,-0.32746097,1.4000676,1999.0,-5.497000306844711,-5.497000306844711,0.015012115,0.024065059,0.0002710686,1.0
590000,-0.77285147,1.4019319,783.8571428571429,-2.867875113413902,-2.867875113413902,None,None,None,1.0
600000,-0.38870147,1.4018096,1999.0,None,None,0.045457307,0.041282352,0.00027011917,1.0
610000,-0.35784557,1.4011058,1335.0,-5.7757695884300535,-5.7757695884300535,0.003910824,0.021781389,0.00026952763,1.0
620000,-0.27918097,1.4001045,377.8,0.08983335783705115,0.08983335783705115,None,None,None,1.0
630000,-0.41677272,1.3990223,1999.0,-6.517136662902141,-6.517136662902141,0.021862755,0.02621828,0.0002689465,1.0
640000,-0.32929528,1.3975375,None,-7.9960003942251205,-7.9960003942251205,0.0015542761,0.025427772,0.00026837183,1.0
650000,-0.35818616,1.3970969,1999.0,-7.747000575065613,-7.747000575065613,0.007141037,0.02655028,0.0002677574,1.0
660000,-0.21015875,1.3964062,1488.5,-4.821125350892544,-4.821125350892544,None,None,None,1.0
670000,-0.22946356,1.3945332,687.0,-1.437199974246323,-1.437199974246323,0.017454598,0.02298973,0.00026676164,1.0
680000,-0.32139772,1.393486,843.5454545454545,-2.084272766824473,-2.084272766824473,0.013191042,0.023582127,0.00026624798,1.0
690000,-0.29597056,1.391369,383.0,0.0807999974116683,0.0807999974116683,0.014978277,0.023808323,0.00026566704,1.0
700000,-0.2651973,1.3897384,973.8,-2.870300135144498,-2.870300135144498,0.011725718,0.02384624,0.00026507722,1.0
710000,-0.21937759,1.388384,947.5333333333333,-2.804454649152996,-2.804454649152996,0.01945251,0.024136575,0.00026451997,1.0
