Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,-1.0037771,1.415878,0.01433579,0.026980588,0.0002950848,1999.0,-48.3333371480306,-48.3333371480306,1.0
110000,-0.9699449,None,None,None,None,1999.0,-48.68182195316661,-48.68182195316661,1.0
120000,-1.1054503,None,0.014665977,0.025448289,0.00029415678,1999.0,-48.714289483569914,-48.714289483569914,1.0
130000,-1.0646832,1.4102999,0.0093386285,0.023641003,0.00029359927,0.0,-10.760000837285345,-10.760000837285345,1.0
140000,-1.4929202,None,0.028110098,0.027827257,0.0002930848,None,None,None,1.0
150000,-1.4305699,None,None,None,None,None,None,None,1.0
160000,-1.5495787,1.40903,0.017340684,0.023796355,0.0002920608,None,None,None,1.0
170000,-1.6830717,1.4068506,None,None,None,None,None,None,1.0
180000,-1.5107877,None,0.011322323,0.027878728,0.0002914464,None,None,None,1.0
190000,-1.7283167,1.4065677,None,None,None,None,None,None,1.0
200000,-1.7757576,1.4056315,0.01149007,0.029516002,0.00029042238,None,None,None,1.0
210000,-1.7921734,None,0.00935519,0.027336951,0.00028980803,None,None,None,1.0
220000,-1.8394793,1.4028853,None,None,None,None,None,None,1.0
230000,-1.964929,1.4003869,0.007936293,0.02978241,0.00028878404,1999.0,-49.26571750640869,-49.26571750640869,1.0
240000,-1.9794904,None,0.0059324764,0.02726913,0.00028821762,1999.0,-49.02545781569047,-49.02545781569047,1.0
250000,-2.0291243,1.399037,None,None,None,1999.0,-49.36095569247291,-49.36095569247291,1.0
260000,-2.1452885,1.3970867,0.004994535,0.02317542,0.00028728961,None,-49.26571764264788,-49.26571764264788,1.0
270000,-2.2477863,None,0.010970692,0.02419934,0.0002866848,None,None,None,1.0
280000,-2.2250285,1.3971168,None,None,None,None,None,None,1.0
290000,-2.26672,1.3960036,0.0053351265,0.028789248,0.00028566082,None,None,None,1.0
300000,-2.3138022,None,0.0015703938,0.024135869,0.00028504638,None,None,None,1.0
310000,-2.2907794,None,None,None,None,None,None,None,1.0
320000,-2.309064,1.394225,0.0022306591,0.02086281,0.00028402236,None,None,None,1.0
330000,-2.3533325,1.3920537,None,None,None,None,None,None,1.0
340000,-2.3363779,None,0.0006747251,0.027118484,0.000283408,None,None,None,1.0
350000,-2.3448553,1.3918182,None,None,None,None,None,None,1.0
360000,-2.3889039,1.3911903,0.0016121939,0.02119029,0.00028238405,1999.0,-49.56333669026693,-49.56333669026693,1.0
370000,-2.3801234,None,0.0006011692,0.023594826,0.0002818176,1999.0,-49.36095569247291,-49.36095569247291,1.0
380000,-2.3861125,1.3909461,None,None,None,1999.0,-49.70727604085749,-49.70727604085749,1.0
390000,-2.4189312,1.3891772,0.0013374863,0.026379539,0.00028088965,None,-49.75778113471137,-49.75778113471137,1.0
400000,-2.4086463,None,0.0064830333,0.029657742,0.00028028482,None,None,None,1.0
410000,-2.4087377,1.3879837,None,None,None,None,None,None,1.0
420000,-2.4046588,1.3880925,0.007579679,0.025799002,0.00027926083,None,None,None,1.0
430000,-2.4494803,None,0.0011994459,0.02386752,0.0002786464,None,None,None,1.0
440000,-2.4471197,1.3887902,None,None,None,None,None,None,1.0
450000,-2.4271514,1.3860277,0.0010970755,0.025686404,0.00027762234,None,None,None,1.0
460000,-2.460977,None,0.00041320163,0.021344448,0.00027700802,None,None,None,1.0
470000,-2.463,None,None,None,None,None,None,None,1.0
480000,-2.4469223,1.386181,None,None,None,None,None,None,1.0
490000,-2.4641173,1.3867084,0.0010599166,0.026507247,0.00027598406,1999.0,-49.542503356933594,-49.542503356933594,1.0
500000,-2.4702618,None,0.00037120612,0.022908648,0.0002754176,1999.0,-49.360955647059846,-49.360955647059846,1.0
510000,-2.4538612,1.3856097,None,None,None,1999.0,-49.25273062966087,-49.25273062966087,1.0
520000,-2.438584,1.3812532,0.00072108966,0.022407781,0.00027448963,None,-49.580003356933595,-49.580003356933595,1.0
530000,-2.430136,None,0.008215316,0.027023565,0.00027388483,None,None,None,1.0
540000,-2.445223,1.3785812,None,None,None,None,None,None,1.0
550000,-2.4429326,1.3763933,0.008876142,0.021847874,0.00027286078,None,None,None,1.0
560000,-2.4493532,None,0.00426466,0.02854194,0.0002722464,None,None,None,1.0
570000,-2.4755359,1.3759478,None,None,None,None,None,None,1.0
580000,-2.4815695,1.3736266,0.0008714789,0.031221686,0.0002712224,None,None,None,1.0
590000,-2.4452803,None,0.0016522313,0.023053803,0.000270608,None,None,None,1.0
600000,-2.4886053,None,None,None,None,None,None,None,1.0
610000,-2.4932857,1.3719051,0.0004008767,0.026611669,0.000269584,None,None,None,1.0
620000,-2.4544408,1.3712742,0.0016462586,0.02249852,0.00026901762,1999.0,-49.13000330924988,-49.13000330924988,1.0
