Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,1.4266104,-0.10265217,0.013637219,0.02890105,0.0002950848,1902.2307692307693,-1.7403003239072858,-1.7403003239072858,1.0
110000,None,-0.118537165,0.004425461,0.02584045,0.00029455387,1999.0,-3.545454905791716,-3.545454905791716,1.0
120000,None,-0.19232564,None,None,None,1999.0,-3.238095690806707,-3.238095690806707,1.0
130000,1.4244208,-0.05764673,0.0033482236,0.02531496,0.00029362575,0.0,-0.7016884065323884,-0.7016884065323884,1.0
140000,None,-0.17650266,0.013407744,0.02431592,0.00029300837,None,None,None,1.0
150000,None,-0.12245852,None,None,None,None,None,None,1.0
160000,1.4238418,-0.10906339,None,None,None,None,None,None,1.0
170000,1.4268808,-0.21074523,0.009785914,0.021678872,0.0002919844,None,None,None,1.0
180000,None,-0.17254901,0.005149379,0.025316335,0.00029136997,None,None,None,1.0
190000,1.4271338,-0.13079976,None,None,None,None,None,None,1.0
200000,1.427099,-0.17997482,0.0066461703,0.021688938,0.00029034595,None,None,None,1.0
210000,None,-0.18166304,0.0032359692,0.017008875,0.0002897316,None,None,None,1.0
220000,1.4271927,-0.15524292,None,None,None,None,None,None,1.0
230000,1.4247756,-0.17947192,0.00420998,0.022305194,0.00028870767,1999.0,-2.8730003274977207,-2.8730003274977207,1.0
240000,None,-0.20912276,0.0025452191,0.018216204,0.00028815083,1999.0,-3.316182118925181,-3.316182118925181,1.0
250000,1.4241382,-0.17527682,None,None,None,1999.0,-3.588909411972219,-3.588909411972219,1.0
260000,1.4218502,-0.18665478,0.0026243234,0.025008725,0.0002872228,None,-3.248000311354796,-3.248000311354796,1.0
270000,None,-0.1550333,0.021414913,0.02408069,0.00028660835,None,None,None,1.0
280000,1.4220904,-0.14756924,None,None,None,None,None,None,1.0
290000,1.4205494,-0.14376456,0.017212814,0.02618133,0.00028558445,588.2,0.5869998013561902,0.5869998013561902,1.0
300000,1.4202482,-0.18073569,None,None,None,None,-0.9980001747608185,-0.9980001747608185,1.0
310000,1.4232653,-0.16149332,0.0072074365,0.024198981,0.00028495697,None,None,None,1.0
320000,1.4222572,-0.18010914,0.009411084,0.025623625,0.000284061,867.8,-0.17130020777694882,-0.17130020777694882,1.0
330000,1.4218687,-0.1388009,None,None,None,833.4,-0.1849501089658588,-0.1849501089658588,1.0
340000,None,-0.19694087,0.009169906,0.022303175,0.00028311939,None,None,None,1.0
350000,1.4180975,-0.16485582,0.0028940104,0.028664453,0.00028250497,1585.0,1.0354997515678406,1.0354997515678406,1.0
360000,1.417413,-0.16462563,None,None,None,1210.4285714285713,-1.3689708035535124,-1.3689708035535124,1.0
370000,1.4182252,-0.14899494,0.01780829,0.024142675,0.0002819542,1999.0,-3.4190529490772046,-3.4190529490772046,1.0
380000,1.4164947,-0.12997873,0.003551544,0.026389346,0.00028111902,None,-3.3509414599222294,-3.3509414599222294,1.0
390000,1.415756,-0.13283396,0.012741324,0.02681113,0.00028050467,None,None,None,1.0
400000,1.4142945,-0.058837317,None,None,None,367.0,1.0819999503088185,1.0819999503088185,1.0
410000,1.4129522,-0.021942455,0.017808003,0.030159654,0.00027979823,None,None,None,1.0
420000,1.4099522,-0.0815581,0.013231366,0.026065711,0.00027927005,1154.142857142857,-0.8295386959709083,-0.8295386959709083,1.0
430000,1.4093698,-0.10763194,0.0114682345,0.023341333,0.00027868242,None,-2.6235001385211945,-2.6235001385211945,1.0
440000,1.4094659,-0.11580964,None,None,None,None,None,None,1.0
450000,1.4098114,-0.107710846,0.0050604073,0.020504411,0.0002779656,1017.8571428571429,-0.7548001980292611,-0.7548001980292611,1.0
460000,1.4087806,-0.098309234,0.008319609,0.022536835,0.00027735482,1252.0666666666666,-0.6837779937130917,-0.6837779937130917,1.0
470000,1.40845,-0.13713881,None,None,None,1129.0,-1.0113002357073129,-1.0113002357073129,1.0
480000,1.4046477,-0.11265742,0.0061085206,0.031199703,0.00027639387,1832.3333333333333,-2.873500522226095,-2.873500522226095,1.0
490000,1.403855,-0.052255932,0.011405272,0.029418956,0.0002758004,1012.7777777777778,-0.5051001269835979,-0.5051001269835979,1.0
500000,1.4037,-0.10133449,None,None,None,1999.0,-3.074923416742912,-3.074923416742912,1.0
510000,1.4044696,-0.06903629,0.010739606,0.02708718,0.00027494621,None,-2.9980003337065377,-2.9980003337065377,1.0
520000,1.4041367,-0.038025096,0.014803492,0.025186738,0.00027433186,283.8,1.288499874668196,1.288499874668196,1.0
530000,1.4037158,-0.10307559,0.010941858,0.020822423,0.00027374862,None,None,None,1.0
540000,1.4044485,-0.08650542,0.010763344,0.019749094,0.000273216,771.3333333333334,0.2377499322562168,0.2377499322562168,1.0
550000,1.4044105,-0.044991933,0.003789509,0.01914717,0.00027267064,1715.6666666666667,-1.5892815188199165,-1.5892815188199165,1.0
560000,1.4040962,-0.088272154,0.0072546275,0.026214957,0.00027214302,None,None,None,1.0
570000,1.4035553,-0.095884725,0.0039905524,0.022481682,0.0002716268,1579.888888888889,-1.839444771299087,-1.839444771299087,1.0
580000,1.4024148,-0.06293382,0.011039158,0.028047118,0.00027106082,1657.4615384615386,-2.080863981126723,-2.080863981126723,1.0
590000,1.4005756,-0.06055188,None,None,None,1736.7777777777778,-2.809250339725986,-2.809250339725986,1.0
600000,1.3992157,-0.08695632,0.008155474,0.03085389,0.0002704932,None,0.001499265432357788,0.001499265432357788,1.0
610000,1.3997303,-0.05363541,0.008863975,0.028148256,0.00026987877,852.0,0.36912480741739273,0.36912480741739273,1.0
620000,1.3986473,-0.07180728,0.011621924,0.026623674,0.0002691962,None,None,None,1.0
630000,1.3951734,-0.0763966,0.011823446,0.026643576,0.00026862003,1481.2222222222222,-1.5371113832031067,-1.5371113832031067,1.0
640000,1.3934425,-0.092997424,0.008266108,0.02711911,0.0002680671,None,None,None,1.0
650000,1.3912117,-0.16465156,None,None,None,1484.0,-1.4620003923773766,-1.4620003923773766,1.0
660000,1.3899516,-0.05156784,0.006334325,0.025192305,0.00026747302,None,None,None,1.0
670000,1.3903136,-0.12430968,0.013211358,0.022946278,0.00026686824,1459.888888888889,-1.6504447242736608,-1.6504447242736608,1.0
680000,1.3914901,-0.12692106,0.0025153486,0.02883646,0.0002663132,1712.6470588235295,-2.1652651761439357,-2.1652651761439357,1.0
690000,1.3918568,-0.11532279,0.00885506,0.031233888,0.00026576864,1999.0,-3.4980002492666245,-3.4980002492666245,1.0
700000,1.3929446,-0.097586505,0.006452921,0.022962682,0.0002651734,1512.3333333333333,-1.6150836342324812,-1.6150836342324812,1.0
710000,1.3933299,-0.054251153,0.017475361,0.029323785,0.0002646502,1063.0,-1.327000223333016,-1.327000223333016,1.0
720000,1.393938,-0.12542985,0.009416378,0.024885394,0.000264036,991.0,-0.6789002098375931,-0.6789002098375931,1.0
730000,1.391761,-0.016309258,None,None,None,711.0,0.7789998650550842,0.7789998650550842,1.0
740000,1.389606,-0.021143792,0.012254328,0.029643813,0.00026347494,321.4,0.7999544994302348,0.7999544994302348,1.0
750000,1.387308,-0.11715343,0.013108032,0.019516166,0.00026294976,1551.923076923077,-0.8440386958805343,-0.8440386958805343,1.0
760000,1.3861942,-0.047466837,0.0019910117,0.023479322,0.00026235962,1336.7777777777778,-2.2031002888223155,-2.2031002888223155,1.0
770000,1.3863511,-0.09723477,0.014683126,0.026576482,0.00026182685,1196.6,-0.7152144918135102,-0.7152144918135102,1.0
780000,1.387246,-0.06826028,0.0059160753,0.031081572,0.00026125342,1656.2307692307693,-2.1425772652101633,-2.1425772652101633,1.0
790000,1.388264,-0.08042216,0.01457032,0.018648526,0.00026073024,1431.0,-1.5794003190472723,-1.5794003190472723,1.0
800000,1.3883932,-0.025802093,0.012368808,0.02510393,0.0002601158,865.0,-0.14530020924285053,-0.14530020924285053,1.0
810000,1.3879786,-0.045009185,0.011497404,0.021233756,0.0002595939,875.0,-0.05121451752659466,-0.05121451752659466,1.0
820000,1.3881388,0.022035817,0.015611618,0.023804732,0.00025904475,890.1578947368421,0.5123664262122475,0.5123664262122475,1.0
830000,1.3870066,-0.10580033,0.003985603,0.026536858,0.00025850162,1455.0,-2.134615714625957,-2.134615714625957,1.0
840000,1.3880341,-0.02674456,None,None,None,None,None,None,1.0
850000,1.3877053,-0.008379273,0.017795373,0.026072042,0.0002578872,593.4,0.5145998897962272,0.5145998897962272,1.0
860000,1.3861809,-0.06861331,0.009828367,0.022753287,0.00025732903,None,None,None,1.0
870000,1.3868496,-0.10150542,0.014672226,0.025192363,0.0002568095,1685.0,-1.714250311255455,-1.714250311255455,1.0
880000,1.3873365,-0.08906518,0.0033895788,0.025048645,0.00025627497,None,None,None,1.0
890000,1.3873627,-0.10898335,0.0054207263,0.023615966,0.0002557445,1054.111111111111,-0.46575021918397397,-0.46575021918397397,1.0
900000,1.3852042,-0.14159006,0.0064277914,0.0204402,0.00025519542,1411.0,-1.4752003204543143,-1.4752003204543143,1.0
910000,1.3846554,-0.08916795,0.0023645377,0.02689252,0.00025467802,1242.5384615384614,-1.2744094400497323,-1.2744094400497323,1.0
920000,1.3840466,-0.08186605,0.011438246,0.025187284,0.00025410744,1394.4285714285713,-0.9219169403400479,-0.9219169403400479,1.0
930000,1.3846278,-0.006689104,0.011818136,0.027419563,0.00025359346,851.2857142857143,0.08464264897962234,0.08464264897962234,1.0
940000,1.3859246,-0.06127615,0.023688545,0.025489677,0.00025300842,1698.0,-2.99800044298172,-2.99800044298172,1.0
950000,1.3866453,-0.018773453,None,None,None,901.5384615384615,-0.2541788100830412,-0.2541788100830412,1.0
960000,1.3881695,-0.010179472,0.017045533,0.02337993,0.00025239703,1149.0,-0.4995003305375576,-0.4995003305375576,1.0
970000,1.3893101,-0.07481263,0.014246291,0.025495471,0.00025183466,1999.0,-3.9995003640651703,-3.9995003640651703,1.0
980000,1.3893837,-0.025746169,0.010763002,0.025408193,0.00025122982,None,-2.6661671698093414,-2.6661671698093414,1.0
990000,1.3884526,-0.099736646,0.00847517,0.02434916,0.00025061538,587.8,0.16499993205070496,0.16499993205070496,1.0
1000000,1.3877215,-0.057490073,0.011558882,0.027618436,0.0002501026,900.3809523809524,-0.05714603863452794,-0.05714603863452794,1.0
1010000,1.3877283,0.0032437842,0.008863465,0.024698796,0.000249536,1079.8461538461538,-0.6108930652013181,-0.6108930652013181,1.0
1020000,1.38703,0.0634331,0.01446789,0.021522122,0.00024901645,845.6086956521739,0.14069023824274718,0.14069023824274718,1.0
1030000,1.3879453,0.054711476,None,None,None,1403.4444444444443,-0.2742503469926305,-0.2742503469926305,1.0
1040000,1.3876407,0.027574548,0.020005418,0.02289384,0.00024844243,1196.142857142857,-1.1443078445109467,-1.1443078445109467,1.0
1050000,1.3879613,0.15913154,0.009710213,0.021489352,0.0002479116,471.0,-0.987389166929966,-0.987389166929966,1.0
1060000,1.3875598,-0.011717904,0.023657255,0.020080406,0.000247384,468.6,0.8278999364934861,0.8278999364934861,1.0
1070000,1.3870082,-0.007917983,0.011610993,0.02398176,0.00024685697,797.8,0.003999780223239213,0.003999780223239213,1.0
1080000,1.3848006,-0.058257937,0.011935457,0.027931167,0.000246331,388.6,1.0276999515015632,1.0276999515015632,1.0
