Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,-0.0534364,1.4266763,0.006378593,0.022614503,0.0002967232,1426.0,-1.0670001730322838,-1.0670001730322838,1.0
80000,-0.08465326,None,0.0072749937,0.023748063,0.0002961306,None,None,None,1.0
90000,-0.06944929,1.4303149,None,None,None,None,None,None,1.0
100000,-0.07784956,1.4295406,0.00880563,0.030800495,0.00029510658,1940.0,None,None,1.0
110000,-0.11369577,1.4294645,None,None,None,1999.0,-2.9273641041734,-2.9273641041734,1.0
120000,-0.113065265,None,0.0061689424,0.025882125,0.0002944592,1999.0,-3.3809527470951988,-3.3809527470951988,1.0
130000,0.102163106,1.4266864,0.00283048,0.027384534,0.0002936238,0.0,-0.781205578267013,-0.781205578267013,1.0
140000,-0.041673884,1.4266797,None,None,None,None,None,None,1.0
150000,-0.060076118,None,0.01268393,0.025600243,0.00029290444,None,None,None,1.0
160000,-0.05538227,1.4266719,None,None,None,None,None,None,1.0
170000,-0.1301657,1.4258523,0.0145136295,0.023337912,0.0002919828,None,None,None,1.0
180000,-0.1411109,None,0.005168393,0.026728328,0.00029126598,None,None,None,1.0
190000,-0.13451713,1.4229435,None,None,None,None,None,None,1.0
200000,-0.12839487,1.421464,0.006230825,0.021573039,0.00029034444,1637.0,-1.8445002809166908,-1.8445002809166908,1.0
210000,-0.14992902,None,0.0058331573,0.021489346,0.00028958678,None,None,None,1.0
220000,-0.15151645,1.421732,None,None,None,None,None,None,1.0
230000,-0.12706621,1.4200776,0.005549434,0.022595087,0.00028876762,1827.6666666666667,-1.9220003919167952,-1.9220003919167952,1.0
240000,-0.14393426,1.4193268,0.013548585,0.02228252,0.00028821905,1989.842105263158,-2.9331114838520684,-2.9331114838520684,1.0
250000,-0.146193,1.4184616,None,None,None,1999.0,-2.998000353574753,-2.998000353574753,1.0
260000,-0.11747919,1.4188035,0.0036854986,0.020355476,0.00028738382,None,-2.331333657105764,-2.331333657105764,1.0
270000,-0.08815299,1.4187963,0.015760355,0.027123002,0.00028676938,None,None,None,1.0
280000,-0.037803296,1.4172891,0.01770811,0.029541936,0.00028615506,None,None,None,1.0
290000,-0.12625246,1.4146955,0.010091109,0.024174355,0.00028554062,None,None,None,1.0
300000,-0.13423689,1.414348,0.0077115274,0.026073176,0.00028502103,1573.0,-1.4330003038048744,-1.4330003038048744,1.0
310000,-0.17830555,1.4137439,None,None,None,None,None,None,1.0
320000,-0.14974387,1.4104165,0.005766996,0.021016622,0.0002840994,1403.3333333333333,-0.8115003861486911,-0.8115003861486911,1.0
330000,-0.18900654,1.409814,0.005244827,0.021436878,0.0002835408,1337.0,-1.2749003052711487,-1.2749003052711487,1.0
340000,-0.15619542,1.4078864,None,None,None,None,None,None,1.0
350000,-0.12191341,1.4097041,0.004606021,0.023786576,0.00028272162,1782.0,-4.45600026845932,-4.45600026845932,1.0
360000,-0.1673575,1.4098732,0.012466123,0.020200316,0.00028216984,1999.0,-2.5964289882353375,-2.5964289882353375,1.0
370000,-0.16562521,1.4098194,None,None,None,1997.8333333333333,-2.876588558449465,-2.876588558449465,1.0
380000,-0.14441764,1.4082147,0.0047482643,0.023210442,0.00028132644,873.0,-1.8930002426107724,-1.8930002426107724,1.0
390000,-0.09241383,1.4079307,0.0100978315,0.024628192,0.0002807156,1155.0,-0.3895002752542496,-0.3895002752542496,1.0
400000,-0.053741705,1.4077548,None,None,None,None,None,None,1.0
410000,-0.09316244,1.4062649,0.0162624,0.025280155,0.0002796916,1339.0,-0.849500298500061,-0.849500298500061,1.0
420000,-0.116911925,1.4062494,0.0106116645,0.021906767,0.00027911642,1456.6666666666667,-1.5683002561330794,-1.5683002561330794,1.0
430000,-0.13182722,1.4080166,0.006347121,0.023560036,0.00027858265,855.0,0.5684997240702311,0.5684997240702311,1.0
440000,-0.15900598,1.4071813,0.003809489,0.022680286,0.0002780168,1292.0,-0.7320002764463425,-0.7320002764463425,1.0
450000,-0.04758685,1.406468,None,None,None,669.0,0.7004998326301575,0.7004998326301575,1.0
460000,-0.0984025,1.4057525,0.01911565,0.02333001,0.00027744164,1531.0,-1.5790002594391506,-1.5790002594391506,1.0
470000,-0.12468635,1.4045061,0.006077675,0.024299355,0.00027689786,682.0,0.792999878525734,0.792999878525734,1.0
480000,-0.083196,1.4042528,0.005962486,0.026344366,0.00027628342,1307.0,-0.7685001976788044,-0.7685001976788044,1.0
490000,-0.07317788,1.4039397,0.01466314,0.026255844,0.00027576025,1999.0,-3.165000334382057,-3.165000334382057,1.0
500000,-0.10531054,1.4031962,0.014037213,0.022343008,0.00027519662,1647.5,-1.8067502994090319,-1.8067502994090319,1.0
510000,-0.096585475,1.4027174,0.010221198,0.02367192,0.00027466548,None,-2.4980002492666245,-2.4980002492666245,1.0
520000,-0.15392175,1.4002084,0.009307246,0.02583461,0.00027406184,969.0,0.07699967920780182,0.07699967920780182,1.0
530000,-0.08251212,1.3986356,0.008010167,0.019641753,0.00027350563,732.0,0.6679998934268951,0.6679998934268951,1.0
540000,-0.08893629,1.3968824,None,None,None,1345.5,-0.9907503388822079,-0.9907503388822079,1.0
550000,-0.4682268,1.3975875,0.008180465,0.028304057,0.00027296698,1171.0,-0.9388574319226402,-0.9388574319226402,1.0
560000,-0.056845598,1.3976158,0.049429335,0.033467848,0.00027239582,None,2.1419999599456787,2.1419999599456787,1.0
570000,-0.10957257,1.3963546,0.005447388,0.025342604,0.000271791,1684.25,-1.9681432380207948,-1.9681432380207948,1.0
580000,-0.4430665,1.3951936,0.008284445,0.027276693,0.00027120803,1577.0,-1.216200366616249,-1.216200366616249,1.0
590000,-0.06079625,1.3947884,0.034564164,0.06567413,0.00027061283,252.0,-0.44025035202503204,-0.44025035202503204,1.0
600000,-0.09492647,1.3954977,0.015515904,0.025768679,0.00027002822,822.0,0.4439998045563698,0.4439998045563698,1.0
610000,-0.042663187,1.3951988,0.012075906,0.020931803,0.00026951096,1076.6666666666667,-0.7186113463507758,-0.7186113463507758,1.0
620000,-0.04847531,1.3910073,None,None,None,1517.0,-1.4241669461131097,-1.4241669461131097,1.0
630000,-0.07172064,1.3900785,0.01102406,0.024305398,0.00026898278,1999.0,-2.8730003237724304,-2.8730003237724304,1.0
640000,0.035875786,1.389821,0.010085372,0.02648439,0.0002683876,437.0,1.2809998691082,1.2809998691082,1.0
650000,0.043194693,1.3888925,0.02017693,0.021766145,0.00026780282,None,None,None,1.0
660000,-0.015250531,1.3891337,0.009967047,0.024430133,0.00026718838,None,None,None,1.0
670000,-0.033640947,1.3892351,0.012507326,0.023288399,0.00026660663,1095.6666666666667,-0.40716689825057983,-0.40716689825057983,1.0
680000,-0.098102234,1.388731,0.0026649653,0.020900657,0.00026603442,1679.0,-2.1986671444028616,-2.1986671444028616,1.0
690000,-0.086529456,1.3885347,0.0037946189,0.030617807,0.00026550383,1373.3333333333333,-0.8152502527809702,-0.8152502527809702,1.0
700000,-0.054590393,1.3880342,None,None,None,1098.25,-0.5320002496242523,-0.5320002496242523,1.0
710000,0.00061013724,1.3889482,0.015957287,0.02844854,0.00026494486,836.5,0.5680331468582154,0.5680331468582154,1.0
720000,-0.014679831,1.3893869,0.015131829,0.026941018,0.00026437722,462.0,0.0754997193813324,0.0754997193813324,1.0
