Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,-0.078792594,1.4137208,0.0040444382,0.027252652,0.0002950848,1999.0,-3.6666669845581055,-3.6666669845581055,1.0
110000,-0.083514206,None,None,None,None,1999.0,-3.363636751066555,-3.363636751066555,1.0
120000,-0.098300755,None,0.004428371,0.026172254,0.00029415678,1999.0,-3.000000398783457,-3.000000398783457,1.0
130000,0.03566516,1.4124471,0.0016859899,0.023954738,0.00029359927,0.0,-0.7930732594303241,-0.7930732594303241,1.0
140000,-0.04557724,None,0.010119574,0.025913391,0.0002930848,None,None,None,1.0
150000,-0.07432732,None,None,None,None,None,None,None,1.0
160000,-0.07548831,1.4132216,0.010078554,0.025838954,0.0002920608,None,None,None,1.0
170000,-0.1072461,1.4115201,None,None,None,None,None,None,1.0
180000,-0.14394596,None,0.0057406495,0.028752128,0.0002914464,None,None,None,1.0
190000,-0.14348371,1.412389,None,None,None,None,None,None,1.0
200000,-0.15825704,1.409105,0.007635158,0.022415813,0.00029042238,None,None,None,1.0
210000,-0.19527428,None,0.0051260614,0.026202451,0.0002898336,None,None,None,1.0
220000,-0.19342989,1.4104029,None,None,None,None,None,None,1.0
230000,-0.17662121,1.4077674,0.0030985703,0.02211798,0.00028880956,1987.9655172413793,-3.2730003520846367,-3.2730003520846367,1.0
240000,-0.198164,None,0.0043827817,0.026541857,0.00028814084,1999.0,-3.2252730564637617,-3.2252730564637617,1.0
250000,-0.18841894,1.409403,None,None,None,1999.0,-3.1884765227635703,-3.1884765227635703,1.0
260000,-0.14726402,1.4056326,0.002360719,0.025368674,0.00028721275,None,-3.844154117199091,-3.844154117199091,1.0
270000,-0.1241305,None,0.008996588,0.022890067,0.00028659846,None,None,None,1.0
280000,-0.10899089,1.4045187,None,None,None,None,None,None,1.0
290000,-0.095784225,1.4020264,0.017024126,0.026107688,0.0002855745,None,None,None,1.0
300000,-0.16923149,1.4017811,None,None,None,None,None,None,1.0
310000,-0.15899913,None,0.005630843,0.024002133,0.0002849601,None,None,None,1.0
320000,-0.1462296,1.4007303,None,None,None,None,None,None,1.0
330000,-0.19148092,1.3975979,0.00615552,0.021980623,0.000283936,1305.5,-0.8895004317164421,-0.8895004317164421,1.0
340000,-0.15390213,None,0.008740989,0.021867258,0.00028320862,None,None,None,1.0
350000,-0.15683572,1.3980291,None,None,None,None,None,None,1.0
360000,-0.15876076,1.3966616,0.0045896117,0.024147324,0.00028238943,1786.25,-1.9666253756731749,-1.9666253756731749,1.0
370000,-0.1620769,1.3964468,0.015939483,0.03193963,0.0002818068,1994.6,-3.024952667100089,-3.024952667100089,1.0
380000,-0.17886725,1.3935442,0.0021422326,0.02584276,0.00028106445,None,-2.89273716430915,-2.89273716430915,1.0
390000,-0.065576956,1.3932095,None,None,None,335.0,1.6604999899864197,1.6604999899864197,1.0
400000,-0.08474668,1.3920224,0.017804082,0.02362769,0.00028048523,None,None,None,1.0
410000,-0.05813567,1.3909827,0.013493015,0.024159357,0.00027976843,None,None,None,1.0
420000,-0.117346615,1.3901395,0.01729223,0.023250034,0.0002792048,769.0,0.5769998505711555,0.5769998505711555,1.0
430000,-0.13299875,1.3929901,0.0057292865,0.03033049,0.000278689,1042.0,-0.10700016841292381,-0.10700016841292381,1.0
440000,-0.13070269,1.3931032,0.00927355,0.025109911,0.00027807459,1049.0,None,None,1.0
450000,-0.12462693,1.3918473,0.006643869,0.01938153,0.00027752065,1627.0,-1.1701669711619616,-1.1701669711619616,1.0
460000,-0.11966082,1.3884157,0.007625559,0.019891424,0.0002770076,1495.6666666666667,-1.4697503224015236,-1.4697503224015236,1.0
470000,-0.1410365,1.3860742,None,None,None,1693.0,-1.3820002414286137,-1.3820002414286137,1.0
480000,-0.094121724,1.3871406,0.004870793,0.024431398,0.00027638616,1777.0,-2.0687504182569683,-2.0687504182569683,1.0
490000,-0.124941185,1.3871175,0.017374976,0.019151287,0.00027577742,1999.0,-3.2480002269148827,-3.2480002269148827,1.0
500000,-0.09204449,1.3864243,0.012850283,0.026718793,0.00027518222,1999.0,-2.9985458579930393,-2.9985458579930393,1.0
510000,-0.08064641,1.3826019,0.008678047,0.023466164,0.00027463344,675.0,-0.7312309936835215,-0.7312309936835215,1.0
520000,-0.14910176,1.3826283,0.0072791595,0.028107524,0.00027401905,None,None,None,1.0
530000,-0.1201164,1.3819522,None,None,None,None,None,None,1.0
540000,-0.06279839,1.381288,0.010533415,0.022734238,0.00027330223,655.0,0.8604998663067818,0.8604998663067818,1.0
550000,-0.13437034,1.3806561,0.011447054,0.027013505,0.00027271322,1675.0,-1.8591252746991813,-1.8591252746991813,1.0
560000,-0.19356136,1.3798928,0.0046610776,0.023041982,0.00027210944,None,-1.2570002675056458,-1.2570002675056458,1.0
570000,-0.12114209,1.3794149,None,None,None,None,None,None,1.0
580000,-0.12817948,1.3775371,0.0076650134,0.028840091,0.00027149508,1504.0,-1.4560717386858804,-1.4560717386858804,1.0
590000,-0.11325345,1.3760206,0.01037657,0.024328059,0.00027093122,1903.6666666666667,-1.7292276377027684,-1.7292276377027684,1.0
600000,-0.13099101,1.3760971,0.0125314025,0.027204186,0.0002703646,None,-4.4980002492666245,-4.4980002492666245,1.0
