Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.22865216,1.4123408,0.004279904,0.0332794,0.00029631364,1999.0,-8.30769286935146,-8.30769286935146,1.0
90000,-0.2722446,1.4123508,None,None,None,1332.6666666666667,-8.318182414228266,-8.318182414228266,1.0
100000,-0.19060251,1.4119209,0.0044093467,0.021443317,0.0002953856,0.0,-1.7712788143992944,-1.7712788143992944,1.0
110000,-0.24590032,None,0.008198752,0.02498846,0.00029468557,None,None,None,1.0
120000,-0.24168517,1.4110249,None,None,None,None,None,None,1.0
130000,-0.32524547,1.4137182,0.011384038,0.024325192,0.00029396886,None,None,None,1.0
140000,-0.26529878,1.4138107,None,None,None,None,None,None,1.0
150000,-0.37092167,1.4169172,0.007488587,0.024460977,0.00029294487,None,None,None,1.0
160000,-0.32237467,None,0.004600253,0.02571675,0.000292228,None,None,None,1.0
170000,-0.32879236,1.4148577,0.0060000448,0.027056484,0.0002915112,1999.0,None,None,1.0
180000,-0.3764617,None,None,None,None,1999.0,-8.45054585554383,-8.45054585554383,1.0
190000,-0.356591,1.4131929,0.0030005586,0.023088908,0.0002905832,1999.0,-8.04361946384112,-8.04361946384112,1.0
200000,-0.33098197,1.4114951,None,None,None,None,-9.196000504493714,-9.196000504493714,1.0
210000,-0.28466278,1.4111485,0.008416629,0.026003547,0.00028988556,None,None,None,1.0
220000,-0.30765423,1.4111482,0.01448999,0.01893252,0.00028916882,None,None,None,1.0
230000,-0.35587493,None,None,None,None,None,None,None,1.0
240000,-0.34410533,1.4105171,0.00548023,0.027361654,0.00028814486,None,None,None,1.0
250000,-0.37653437,1.4098159,None,None,None,None,None,None,1.0
260000,-0.38703382,1.411095,0.0045204307,0.024892367,0.00028742806,None,None,None,1.0
270000,-0.39641795,1.4077867,0.0020415138,0.030047433,0.0002867112,1999.0,-8.551556011041006,-8.551556011041006,1.0
280000,-0.39640155,None,None,None,None,1999.0,-8.28171469342141,-8.28171469342141,1.0
290000,-0.40492553,1.4073263,0.0034648615,0.028031843,0.00028578317,None,-8.10711151195897,-8.10711151195897,1.0
