Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.10844292,1.4317682,1999.0,-9.076923691309416,-9.076923691309416,1.0
90000,-0.23704165,1.4338454,1332.6666666666667,-8.409091499718754,-8.409091499718754,1.0
100000,-0.18309864,1.437678,0.0,-1.787672255279832,-1.787672255279832,1.0
110000,-0.2159543,None,None,None,None,1.0
120000,-0.24584103,1.4407808,None,None,None,1.0
130000,-0.25597265,1.4424274,None,None,None,1.0
140000,-0.28032178,1.4424821,None,None,None,1.0
150000,-0.29507965,1.442968,None,None,None,1.0
160000,-0.31649733,None,None,None,None,1.0
170000,-0.34831682,1.4424198,1999.0,None,None,1.0
180000,-0.33325532,None,1999.0,-8.541454964063384,-8.541454964063384,1.0
190000,-0.35352418,1.4431846,1999.0,-8.329333759489513,-8.329333759489513,1.0
200000,-0.31887227,1.4437433,None,-8.39600043296814,-8.39600043296814,1.0
210000,-0.31180084,1.4436759,None,None,None,1.0
220000,-0.335946,1.4416827,None,None,None,1.0
230000,-0.37089938,None,None,None,None,1.0
240000,-0.4114586,1.4407287,None,None,None,1.0
250000,-0.401764,1.439298,None,None,None,1.0
260000,-0.6007778,1.4384704,None,None,None,1.0
270000,-0.41491637,1.4338022,1999.0,-8.44044484363662,-8.44044484363662,1.0
280000,-0.67283344,1.4334764,1999.0,-8.329333721172242,-8.329333721172242,1.0
290000,-0.4135078,1.4313533,None,-7.940444860193464,-7.940444860193464,1.0
300000,-0.3610919,None,None,None,None,1.0
310000,-0.29564473,1.4311963,None,None,None,1.0
320000,-0.4158345,1.4277916,None,None,None,1.0
330000,-0.39422807,1.4276228,None,None,None,1.0
340000,-0.40331092,1.4290957,None,None,None,1.0
350000,-0.43943003,None,None,None,None,1.0
360000,-0.41646188,1.428113,None,None,None,1.0
370000,-0.43484887,1.426528,1918.3333333333333,-7.332381307890284,-7.332381307890284,1.0
380000,-0.427625,1.4264504,1999.0,-7.905091314153238,-7.905091314153238,1.0
390000,-0.36691937,1.4256985,412.0,-4.622400173544884,-4.622400173544884,1.0
400000,-0.34114674,1.4250014,None,None,None,1.0
410000,-0.34712765,1.4210763,758.6,-1.1959999203681946,-1.1959999203681946,1.0
420000,-0.37596262,1.4189451,629.5,-1.1567999995313585,-1.1567999995313585,1.0
430000,-0.38860947,1.4208124,None,None,None,1.0
440000,-0.3541754,1.4220961,1509.0,-5.046000324189663,-5.046000324189663,1.0
450000,-0.3868267,1.4227608,None,None,None,1.0
460000,-0.33795714,1.4215176,1639.0,-6.085444886754784,-6.085444886754784,1.0
470000,-0.38170674,1.4205177,1999.0,-8.196000391244889,-8.196000391244889,1.0
480000,-0.36812937,1.4192382,None,-7.662667085727056,-7.662667085727056,1.0
490000,-0.35750055,1.4185084,1999.0,-7.747000560164452,-7.747000560164452,1.0
500000,-0.33473983,1.4182847,None,None,None,1.0
510000,-0.39025792,1.419564,1508.5384615384614,-5.390846375626727,-5.390846375626727,1.0
520000,-0.34172264,1.4211328,None,None,None,1.0
530000,-0.3895643,1.4216623,None,None,None,1.0
540000,-0.31592917,1.422088,1705.6666666666667,-6.418222574504195,-6.418222574504195,1.0
550000,-0.3786185,1.4226817,1999.0,-6.9970003962516785,-6.9970003962516785,1.0
560000,-0.37586787,1.422594,1722.84,-4.767454764467072,-4.767454764467072,1.0
570000,-0.38028255,1.4231206,None,-7.93717685341835,-7.93717685341835,1.0
580000,-0.3264054,1.424121,None,None,None,1.0
590000,-0.30844086,1.4246931,1667.0,-6.337111549348467,-6.337111549348467,1.0
600000,-0.31377763,1.4245343,606.6,-1.0363000232027844,-1.0363000232027844,1.0
610000,-0.30939582,1.425377,926.0769230769231,-2.478692403349739,-2.478692403349739,1.0
620000,-0.35869747,1.4266717,None,None,None,1.0
630000,-0.30230916,1.4269546,501.5,-0.2108000073581934,-0.2108000073581934,1.0
640000,-0.34871927,1.4265748,1533.4166666666667,-5.386769515811466,-5.386769515811466,1.0
650000,-0.37123197,1.4267149,1999.0,-7.99700054526329,-7.99700054526329,1.0
660000,-0.31775966,1.427594,1491.4705882352941,-2.9793750825047027,-2.9793750825047027,1.0
670000,-0.33862305,1.4268347,844.3333333333334,-4.888444666621378,-4.888444666621378,1.0
680000,-0.33755204,1.426763,1256.7777777777778,-3.2254287278379445,-3.2254287278379445,1.0
690000,-0.28963476,1.4268818,1084.6,-4.731428831250274,-4.731428831250274,1.0
