Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,4.478067,-0.07804935,1476.0,38.49029779504053,38.49029779504053,0.79945594,0.016409533,0.00029509666,1.0
110000,4.476873,-0.07176179,1603.0,40.040635463781655,40.040635463781655,4.371252,0.024756111,0.00029453263,1.0
120000,4.487501,-0.057413798,None,None,None,None,None,None,1.0
130000,4.471953,0.15276347,999.5,14.882485755102705,14.882485755102705,1.3189471,0.023908237,0.00029399508,1.0
140000,4.473357,0.8674635,None,None,None,6.3397083,0.025418716,0.00029344825,1.0
150000,4.466758,0.5688437,None,None,None,9.037381,0.027367724,0.00029289784,1.0
160000,4.4645386,0.45651603,None,None,None,4.80582,0.025916643,0.00029237298,1.0
170000,4.4631457,0.29509825,None,None,None,1.5526462,0.032888655,0.00029180982,1.0
180000,4.470103,0.2956765,None,None,None,0.40088388,0.022825,0.00029125938,1.0
190000,4.4613705,0.19073981,969.0,40.756605481612496,40.756605481612496,1.6788567,0.026229972,0.00029073464,1.0
200000,4.462637,0.19062005,None,None,None,2.2407422,0.024860308,0.0002901694,1.0
210000,4.4613204,0.12143028,1189.0,43.54826002588379,43.54826002588379,3.0289543,0.029455315,0.00028961143,1.0
220000,4.459136,0.114973985,1772.0,37.21991331875324,37.21991331875324,1.3673435,0.023430523,0.00028907758,1.0
230000,4.4472156,0.15354136,1999.0,32.59998405701481,32.59998405701481,1.3840923,0.027034573,0.0002885368,1.0
240000,4.447088,0.1229899,None,None,None,None,None,None,1.0
250000,4.443452,0.021506397,1892.0,46.773337517588516,46.773337517588516,0.8304154,0.027780673,0.00028798642,1.0
260000,4.3850546,0.42254123,1999.0,27.375074290415135,27.375074290415135,3.4825597,0.025444712,0.0002874596,1.0
270000,4.33303,0.72997487,None,None,None,8.164724,0.020359065,0.00028689002,1.0
280000,4.3347025,0.5615664,None,None,None,2.5996802,0.024785092,0.00028636522,1.0
290000,4.3105545,0.34771308,None,None,None,1.6052696,0.018926604,0.000285802,1.0
300000,4.2823076,0.3027874,None,None,None,1.9640176,0.02460865,0.00028525162,1.0
310000,4.2715497,0.27722144,None,None,None,0.39944893,0.022522591,0.0002847268,1.0
320000,4.2916627,0.24951115,1999.0,33.973543843021616,33.973543843021616,0.50112706,0.03369159,0.0002841636,1.0
330000,4.356825,0.33611774,1483.3333333333333,35.61506128478019,35.61506128478019,2.777012,0.018695274,0.0002836232,1.0
340000,4.3802004,0.5434599,None,None,None,1.0418755,0.029309524,0.00028310344,1.0
350000,4.3638163,0.4223612,1999.0,31.193144873323035,31.193144873323035,3.1865716,0.027981568,0.00028253702,1.0
360000,4.354536,0.47392157,None,None,None,None,None,None,1.0
370000,4.3674603,0.32860526,None,None,None,2.36539,0.029295688,0.00028198343,1.0
380000,4.394016,0.25701395,1999.0,23.99534567084629,23.99534567084629,0.5520104,0.025093157,0.0002814458,1.0
390000,4.3687377,0.7665162,1999.0,24.37351805323447,24.37351805323447,2.5705926,0.02310366,0.00028089219,1.0
400000,4.3648925,1.0063883,773.0,39.01365938712843,39.01365938712843,7.46005,0.021416226,0.00028036305,1.0
410000,4.3716035,0.6807644,1129.0,33.350677431968506,33.350677431968506,5.3247375,0.030906547,0.00027980426,1.0
420000,4.3853416,0.42315596,None,None,None,4.8222246,0.024674375,0.00027926656,1.0
430000,4.3645096,0.2231246,1149.0,36.07533903992589,36.07533903992589,2.6419764,0.02904021,0.00027874188,1.0
