Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,283.26666666666665,-0.040951654,0.11419999150093645,0.11419999150093645,1.0
20000,None,None,-0.07584383,None,None,1.0
30000,None,None,-0.10930369,None,None,1.0
40000,1.4276649,None,0.006180174,None,None,1.0
50000,1.4300989,559.8,-0.016778458,-1.8774001287296413,-1.8774001287296413,1.0
60000,1.4303008,797.5714285714286,-0.15320392,-3.5462858874483834,-3.5462858874483834,1.0
70000,None,None,-0.36139828,None,None,1.0
80000,None,None,-0.39845467,None,None,1.0
90000,1.4305038,1028.0,-0.2521825,None,None,1.0
100000,1.4293,1034.9411764705883,-0.2484442,-4.321812771057012,-4.321812771057012,1.0
110000,1.429819,1001.5,-0.29890564,-4.922500427579507,-4.922500427579507,1.0
120000,None,None,-0.5732979,None,None,1.0
130000,1.4269074,579.25,-0.60606176,None,None,1.0
140000,1.4242793,None,-0.44398344,-2.921250156359747,-2.921250156359747,1.0
150000,1.4245411,1354.0,-0.3973742,None,None,1.0
160000,1.4256121,1569.659090909091,-0.47328618,-8.379917389485248,-8.379917389485248,1.0
170000,None,1999.0,-0.66890913,-17.80981993675232,-17.80981993675232,1.0
180000,1.4257468,1999.0,-0.72195196,-18.73047805967785,-18.73047805967785,1.0
190000,1.4243056,651.96,-0.37307462,-3.8650003144843503,-3.8650003144843503,1.0
200000,1.4252263,578.448275862069,-0.2939754,-2.1269668134239814,-2.1269668134239814,1.0
210000,1.4255322,320.4,-0.32150733,-0.5707000954891555,-0.5707000954891555,1.0
220000,None,None,-0.61850435,None,None,1.0
230000,1.4239414,None,-0.6305133,None,None,1.0
240000,1.4202741,352.2,-0.27610925,-0.2917000125045888,-0.2917000125045888,1.0
250000,1.4203839,519.64,-0.34512034,-3.0894093812041152,-3.0894093812041152,1.0
260000,1.4205085,631.0,-0.47618484,-2.4316251773416298,-2.4316251773416298,1.0
270000,1.4212046,None,-0.69135904,None,None,1.0
280000,1.4197756,719.0,-0.59054923,-4.399000411387533,-4.399000411387533,1.0
290000,1.4192312,591.0,-0.36813822,-3.075777921204766,-3.075777921204766,1.0
300000,1.4163481,467.0,-0.41064176,-1.2385000587208197,-1.2385000587208197,1.0
310000,1.4148886,None,-0.6494028,None,None,1.0
320000,1.4146689,None,-0.6551448,None,None,1.0
330000,1.4151841,314.2,-0.48576418,0.43580010663717983,0.43580010663717983,1.0
340000,1.4147263,896.8666666666667,-0.44049647,-4.92753371320044,-4.92753371320044,1.0
350000,1.4150769,1635.0,-0.4673401,-5.917250432617341,-5.917250432617341,1.0
360000,None,1999.0,-0.6463183,-15.328668038050333,-15.328668038050333,1.0
370000,1.4140768,1204.3333333333333,-0.6348687,-14.712001323699951,-14.712001323699951,1.0
380000,1.4123117,530.04,-0.23493958,-2.786062634004338,-2.786062634004338,1.0
390000,1.411089,284.6,0.08104637,0.37112067604702415,0.37112067604702415,1.0
400000,1.4100776,161.66666666666666,0.006510381,1.0496379927238288,1.0496379927238288,1.0
410000,None,None,-0.3958156,None,None,1.0
420000,1.4066467,249.0,-0.40764138,None,None,1.0
430000,1.4057857,235.76,-0.14339307,0.5481600733846426,0.5481600733846426,1.0
440000,1.405254,306.125,-0.105434574,-0.13755998026113958,-0.13755998026113958,1.0
450000,1.404442,None,-0.31213698,None,None,1.0
460000,1.4034394,None,-0.38383797,None,None,1.0
470000,1.403694,225.0,-0.35890275,1.2432500645518303,1.2432500645518303,1.0
480000,1.4040945,505.8,-0.17769338,-1.669900042458903,-1.669900042458903,1.0
