Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-0.45974863,1.4164549,1999.0,-16.614155585949238,-16.614155585949238,1.0
90000,-0.5389702,1.4146519,1332.6666666666667,-17.819092639467932,-17.819092639467932,1.0
100000,-0.27001742,1.4146103,0.0,-3.473508512784467,-3.473508512784467,1.0
110000,-0.45031565,None,None,None,None,1.0
120000,-0.45310262,1.4138471,None,None,None,1.0
130000,-0.5588873,1.4123095,431.0,-1.067600020370446,-1.067600020370446,1.0
140000,-0.5441432,1.412981,None,None,None,1.0
150000,-0.6371428,1.4124874,None,None,None,1.0
160000,-0.6039295,1.4110104,None,None,None,1.0
170000,-0.64488435,1.4110112,1999.0,None,None,1.0
180000,-0.6374994,None,1999.0,-14.457334441798073,-14.457334441798073,1.0
190000,-0.62474334,1.4099437,1999.0,-14.439182980494065,-14.439182980494065,1.0
200000,-0.5997516,1.4087479,None,-23.668002128601074,-23.668002128601074,1.0
210000,-0.55045325,1.4064978,None,None,None,1.0
220000,-0.62674767,1.4046258,1292.3333333333333,-8.222000514829737,-8.222000514829737,1.0
230000,-0.5682039,1.403359,None,None,None,1.0
240000,-0.6447272,1.4016018,None,None,None,1.0
250000,-0.5435231,1.401533,1083.8,-7.335000561084598,-7.335000561084598,1.0
260000,-0.5713492,1.4021988,None,None,None,1.0
270000,-0.5556975,1.4021382,1882.5384615384614,-8.358000546880067,-8.358000546880067,1.0
280000,-0.5910362,1.4009027,1999.0,-9.59909148649736,-9.59909148649736,1.0
290000,-0.552119,1.3992898,305.0,-7.857786302055631,-7.857786302055631,1.0
300000,-0.5047955,1.3982886,None,None,None,1.0
310000,-0.48573995,1.3968626,1999.0,-8.468000362316767,-8.468000362316767,1.0
320000,-0.5279894,1.3943055,1999.0,-9.178000545501709,-9.178000545501709,1.0
330000,-0.5437824,1.3937154,None,None,None,1.0
340000,-0.5350184,1.3939208,1999.0,-10.02766752243042,-10.02766752243042,1.0
350000,-0.51586145,1.3926598,None,-6.9990004897117615,-6.9990004897117615,1.0
360000,-0.4822279,1.3901504,1406.111111111111,-4.263500217270727,-4.263500217270727,1.0
