Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,-0.13096781,1.4207566,0.006541556,0.020800445,0.00029861758,1999.0,-7.444444984197617,-7.444444984197617,1.0
60000,-0.10369433,1.421218,0.007494422,0.025594996,0.00029820006,316.0,-5.56266703704993,-5.56266703704993,1.0
70000,-0.12616126,1.4230772,0.020310702,0.023363896,0.00029782698,739.5,-2.1238000273704527,-2.1238000273704527,1.0
80000,-0.16128922,1.4236035,0.017315008,0.02395296,0.00029735855,1003.0,-3.2408573584897176,-3.2408573584897176,1.0
90000,-0.1621365,1.4258763,None,None,None,None,None,None,1.0
100000,-0.22313632,1.4229406,0.01042471,0.016591148,0.00029689787,1832.75,-6.000444836086697,-6.000444836086697,1.0
110000,-0.16389875,1.4209958,0.010969667,0.029294293,0.00029652062,753.0,-2.5451112538576126,-2.5451112538576126,1.0
120000,-0.281004,1.4203067,0.015189931,0.021154981,0.0002961429,1999.0,-7.83133390545845,-7.83133390545845,1.0
130000,-0.18830746,1.4179846,0.019052047,0.0253064,0.00029579634,1103.5,-3.0203335268629923,-3.0203335268629923,1.0
140000,-0.24140283,1.4162495,0.012411838,0.021418367,0.00029543386,322.0,0.7193334301312765,0.7193334301312765,1.0
150000,-0.19852713,1.4164993,0.023742657,0.025277995,0.00029508982,1363.3333333333333,-4.041222525967492,-4.041222525967492,1.0
160000,-0.17142607,1.4162501,0.012997125,0.017826341,0.00029470213,878.0,-2.14200018097957,-2.14200018097957,1.0
170000,-0.15019587,1.4151745,None,None,None,1112.0,-3.0625001887480416,-3.0625001887480416,1.0
180000,-0.27383095,1.4150661,0.022222893,0.024670161,0.0002943156,1999.0,-6.999000529448192,-6.999000529448192,1.0
190000,-0.2165724,1.4167211,0.015818246,0.02317647,0.00029396202,1281.8,-3.015000205487013,-3.015000205487013,1.0
200000,-0.23069172,1.4145136,0.010697824,0.023796039,0.0002935766,1052.5,-3.370286009141377,-3.370286009141377,1.0
210000,-0.07350921,1.4119812,0.016378118,0.031129135,0.0002932123,961.0,-2.6532942779800472,-2.6532942779800472,1.0
220000,-0.1818578,1.4122217,0.012557641,0.027731901,0.00029283852,1099.0,-2.997000142931938,-2.997000142931938,1.0
230000,-0.1607358,1.412338,0.02768694,0.024273751,0.00029245752,1036.0,-2.84916689991951,-2.84916689991951,1.0
240000,-0.22462645,1.4114327,0.008934119,0.026604945,0.0002920991,1046.0,-6.3323338230450945,-6.3323338230450945,1.0
