Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,0.91487944,30.887054,34.47456,0.12438699,0.0002950848,1999.0,-5.666666944821675,-5.666666944821675,1.0
110000,None,33.11239,None,None,None,1999.0,-5.136364021084526,-5.136364021084526,1.0
120000,4.4964457,30.934221,39.39107,0.07365895,0.00029415678,1799.1,-5.261905164945693,-5.261905164945693,1.0
130000,2.728941,6.3555,27.734106,0.043629184,0.00029359927,0.0,-1.4018789057506982,-1.4018789057506982,1.0
140000,None,2.9217393,None,None,None,None,None,None,1.0
150000,None,2.1113482,0.5701445,0.024805857,0.00029267598,None,None,None,1.0
160000,1.6243006,1.8136456,None,None,None,None,None,None,1.0
170000,1.2449602,4.332431,0.07220386,0.027746731,0.0002919592,None,None,None,1.0
180000,None,3.7416835,0.2778447,0.03333698,0.00029103758,None,None,None,1.0
190000,1.005912,3.0095413,None,None,None,None,None,None,1.0
200000,0.9440645,4.809875,0.16188896,0.030595422,0.00029032084,None,None,None,1.0
210000,None,4.738084,None,None,None,None,None,None,1.0
220000,0.863283,3.8830519,0.46446112,0.024983473,0.0002893992,None,None,None,1.0
230000,0.8773594,4.7654815,0.26906335,0.022997031,0.00028868238,1999.0,-5.285714626312256,-5.285714626312256,1.0
240000,None,5.442978,None,None,None,1999.0,-4.99881848692894,-4.99881848692894,1.0
250000,None,4.0557647,0.6434696,0.023001285,0.00028784722,1399.3,-5.236095507939656,-5.236095507939656,1.0
260000,2.7297487,1.6762072,0.27133378,0.021469316,0.00028719695,0.0,-2.3326668008851508,-2.3326668008851508,1.0
270000,None,1.0699537,0.038532566,0.028946726,0.00028668478,None,None,None,1.0
280000,1.5580461,0.63365036,None,None,None,None,None,None,1.0
290000,1.2898579,0.8079721,0.05376402,0.026133733,0.00028566082,None,None,None,1.0
300000,None,1.7692454,0.041669264,0.026599491,0.00028504638,None,None,None,1.0
310000,None,1.376262,None,None,None,None,None,None,1.0
320000,1.1680309,-1.9561639,0.9813834,0.022617247,0.00028402236,None,None,None,1.0
330000,1.116954,1.8129063,None,None,None,None,None,None,1.0
340000,None,1.8395054,0.060873833,0.021783635,0.000283408,None,None,None,1.0
350000,0.8716867,0.9006575,None,None,None,None,None,None,1.0
360000,1.0299289,-5.7859225,18.566664,0.020498333,0.00028238405,1999.0,-5.123000244299571,-5.123000244299571,1.0
370000,None,0.8097733,0.013056015,0.05775975,0.0002818176,1999.0,-5.093238404818943,-5.093238404818943,1.0
