Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,4.4964876,413.0,0.41506758,1.725639820098877,1.725639820098877,1.0
20000,None,None,0.15694985,None,None,1.0
30000,4.488281,None,0.15768507,None,None,1.0
40000,4.4919305,None,0.15872774,None,None,1.0
50000,None,None,0.18550853,None,None,1.0
60000,4.486945,None,0.06421555,None,None,1.0
70000,4.482976,None,0.067144506,None,None,1.0
80000,None,None,0.039530687,None,None,1.0
90000,4.4785795,None,0.015868828,None,None,1.0
100000,4.469549,1999.0,0.0108296815,None,None,1.0
110000,None,1999.0,-0.029243512,-3.602542227222806,-3.602542227222806,1.0
120000,4.4977436,1713.4285714285713,-0.04814582,-3.6933476355942814,-3.6933476355942814,1.0
130000,4.463318,133.26666666666668,0.082799755,-1.0158659725286137,-1.0158659725286137,1.0
140000,None,None,-0.011851008,None,None,1.0
150000,None,None,-0.016303994,None,None,1.0
160000,4.4601765,None,-0.005086739,None,None,1.0
170000,4.4584675,None,-0.07994928,None,None,1.0
180000,None,None,-0.11917366,None,None,1.0
190000,4.4567876,None,-0.117227376,None,None,1.0
200000,4.4621634,None,-0.14418904,None,None,1.0
210000,None,None,-0.20050679,None,None,1.0
220000,4.4522805,None,-0.20066789,None,None,1.0
230000,4.456875,1999.0,-0.19351543,-3.543615385890007,-3.543615385890007,1.0
240000,None,1999.0,-0.23404022,-4.014422049125035,-4.014422049125035,1.0
250000,4.4910927,1999.0,-0.22696324,-3.421365710822019,-3.421365710822019,1.0
260000,4.4525194,1999.0,-0.1913708,-3.644354388994329,-3.644354388994329,1.0
270000,None,None,-0.112647116,None,None,1.0
280000,4.4485035,None,-0.10444093,None,None,1.0
290000,4.448439,None,-0.11363794,None,None,1.0
300000,4.450782,None,-0.1570425,None,None,1.0
310000,None,None,-0.1864463,None,None,1.0
320000,4.43676,None,-0.15916297,None,None,1.0
330000,4.4378796,None,-0.22909586,None,None,1.0
340000,None,None,-0.23327762,None,None,1.0
350000,4.425353,None,-0.23240581,None,None,1.0
360000,4.431357,1999.0,-0.23267412,-3.791907723993063,-3.791907723993063,1.0
370000,None,1999.0,-0.23886046,-3.555931054733016,-3.555931054733016,1.0
380000,4.480597,1999.0,-0.24299748,-3.901182086694808,-3.901182086694808,1.0
390000,4.4232593,1999.0,-0.21352516,-3.6899355420699487,-3.6899355420699487,1.0
400000,None,None,-0.10824601,None,None,1.0
410000,4.4069366,None,-0.12469413,None,None,1.0
420000,4.4149733,None,-0.12814598,None,None,1.0
430000,None,None,-0.1827281,None,None,1.0
440000,4.409251,None,-0.21748719,None,None,1.0
450000,4.414178,None,-0.18396686,None,None,1.0
460000,4.4151344,None,-0.24523887,None,None,1.0
470000,None,None,-0.24984019,None,None,1.0
480000,4.4206066,None,-0.23962769,None,None,1.0
490000,4.412137,1999.0,-0.27957284,-3.397786892950535,-3.397786892950535,1.0
500000,None,1999.0,-0.28183043,-3.549098426645452,-3.549098426645452,1.0
510000,4.4721365,1999.0,-0.2660129,-4.0386248997279575,-4.0386248997279575,1.0
520000,4.40718,1999.0,-0.19648984,-3.974731273121304,-3.974731273121304,1.0
530000,None,None,-0.14326172,None,None,1.0
540000,4.400419,None,-0.1314754,None,None,1.0
550000,4.4012504,699.0,-0.14952274,1.3726146221160889,1.3726146221160889,1.0
560000,None,None,-0.2024252,None,None,1.0
570000,4.409049,None,-0.2026205,None,None,1.0
580000,4.3957634,None,-0.15771285,None,None,1.0
590000,4.3929634,None,-0.23822299,None,None,1.0
600000,4.3986354,None,-0.25137112,None,None,1.0
610000,4.3814526,None,-0.218062,None,None,1.0
620000,4.3894696,1999.0,-0.2464443,-4.26073608994484,-4.26073608994484,1.0
630000,None,1999.0,-0.26969004,-3.535391116684133,-3.535391116684133,1.0
640000,4.39007,None,-0.24736768,-3.36012548835654,-3.36012548835654,1.0
650000,4.3866134,1999.0,-0.099071324,-3.953090101480484,-3.953090101480484,1.0
660000,None,None,-0.09696102,None,None,1.0
670000,4.357653,None,-0.099906996,None,None,1.0
680000,4.392232,1999.0,-0.16934745,-3.528700217604637,-3.528700217604637,1.0
690000,None,None,-0.21710712,None,None,1.0
700000,4.3866143,None,-0.22615048,None,None,1.0
710000,4.3869057,None,-0.16089949,None,None,1.0
720000,None,None,-0.2370061,None,None,1.0
730000,4.3842,None,-0.26177,None,None,1.0
