Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,0.0067761415,4.483706,1934.857142857143,0.012890323,0.02387169,0.0002950848,-5.741829181356089,-5.741829181356089,1.0
110000,-0.1305237,None,1999.0,None,None,None,-7.329226841980761,-7.329226841980761,1.0
120000,-0.11559577,4.49907,1399.3,0.011383675,0.024952324,0.00029415378,-7.335809230804443,-7.335809230804443,1.0
130000,0.047237486,4.4815784,0.0,0.0114772245,0.02530562,0.00029358442,-1.2481536249963667,-1.2481536249963667,1.0
140000,0.00030114208,None,None,None,None,None,None,None,1.0
150000,-0.030715901,4.4787726,None,0.016416427,0.029125653,0.0002925604,None,None,1.0
160000,-0.031019088,4.4755507,None,None,None,None,None,None,1.0
170000,-0.18996231,4.4803987,None,0.015305206,0.025539525,0.00029194605,None,None,1.0
180000,-0.21207877,None,None,None,None,None,None,None,1.0
190000,-0.2388134,4.475049,None,0.007665538,0.025022674,0.00029092206,None,None,1.0
200000,-0.30488086,4.4775987,None,0.018851362,0.019808736,0.00029030757,None,None,1.0
210000,-0.3327801,None,None,None,None,None,None,None,1.0
220000,-0.40787977,4.4744544,1999.0,0.0056591476,0.023312258,0.00028928366,None,None,1.0
230000,-0.39958882,4.4719734,1999.0,0.005223748,0.023274736,0.00028867883,-7.790005943991921,-7.790005943991921,1.0
240000,-0.41510928,None,1999.0,None,None,None,-7.89006784287366,-7.89006784287366,1.0
250000,-0.451996,4.4809303,1999.0,0.0023602364,0.025617143,0.00028775082,-7.764635006586711,-7.764635006586711,1.0
260000,-0.31923747,4.465952,None,0.0030376217,0.022423908,0.00028718443,-7.005246475338936,-7.005246475338936,1.0
270000,-0.18294847,None,None,None,None,None,None,None,1.0
280000,-0.20017877,4.4603863,None,0.013654011,0.029449426,0.0002861604,None,None,1.0
290000,-0.23109777,4.458494,None,0.015908115,0.027564649,0.00028559723,None,None,1.0
300000,-0.37294057,None,None,0.0029397747,0.024338167,0.00028503404,None,None,1.0
310000,-0.36212754,None,None,None,None,None,None,None,1.0
320000,-0.35597223,4.457301,None,0.0075006867,0.027824378,0.00028401008,None,None,1.0
