Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,-1.638233,4.4679284,0.12231478,0.025777085,0.0002950848,1990.0,-87.1695925394694,-87.1695925394694,1.0
110000,-1.9682819,4.4684644,0.14921807,0.02094472,0.0002945298,1999.0,-87.31800183382902,-87.31800183382902,1.0
120000,-2.1814606,4.498561,None,None,None,1799.1,-86.48376460302444,-86.48376460302444,1.0
130000,-0.7896187,4.465592,0.086397916,0.022835366,0.00029360186,0.0,-19.658991052804943,-19.658991052804943,1.0
140000,-2.1773458,4.4622574,None,None,None,None,None,None,1.0
150000,-2.3263292,None,0.49174663,0.021357222,0.00029298445,None,None,None,1.0
160000,-2.3781261,4.4537044,None,None,None,None,None,None,1.0
170000,-2.9378152,4.4556007,0.054570112,0.022405053,0.00029196043,None,None,None,1.0
180000,-2.9318128,None,3.857631,0.029262353,0.0002913972,None,None,None,1.0
190000,-2.978704,4.4608197,None,None,None,None,None,None,1.0
200000,-3.7141564,4.443744,0.033040036,0.022566471,0.00029037322,None,None,None,1.0
210000,-3.4302475,None,9.214217,0.015315964,0.0002897076,None,None,None,1.0
220000,-3.5043213,4.4354796,None,None,None,None,None,None,1.0
230000,-3.6472569,4.4278755,0.022265075,0.027134227,0.00028868366,1999.0,-90.24338122776577,-90.24338122776577,1.0
240000,-4.7199874,None,18.361055,0.018831229,0.00028812684,1999.0,-183.33442068099976,-183.33442068099976,1.0
250000,-3.9128418,4.493886,None,None,None,1999.0,-82.7827141935175,-82.7827141935175,1.0
260000,-3.811648,4.4290996,0.023541644,0.025131268,0.00028719878,None,-86.31837346003606,-86.31837346003606,1.0
270000,-3.593493,None,0.06520715,0.026153093,0.00028658443,None,None,None,1.0
280000,-3.6753247,4.4125843,None,None,None,None,None,None,1.0
290000,-3.7104554,4.426389,0.04717841,0.021617655,0.00028556038,None,None,None,1.0
300000,-4.1465554,4.42876,None,None,None,None,None,None,1.0
310000,-4.164066,None,0.021684373,0.023841677,0.00028494594,None,None,None,1.0
320000,-4.1889024,4.4184694,None,None,None,None,None,None,1.0
330000,-4.410887,4.419632,0.02302036,0.024349827,0.00028392198,None,None,None,1.0
340000,-4.510513,None,0.01604981,0.026801117,0.00028330757,None,None,None,1.0
350000,-4.5100617,4.406538,None,None,None,None,None,None,1.0
360000,-4.6654277,4.401999,0.0133270295,0.02826094,0.0002822836,1962.4285714285713,-87.98605987003872,-87.98605987003872,1.0
370000,-4.631579,None,0.08129072,0.02139818,0.000281698,1999.0,-87.86002722653475,-87.86002722653475,1.0
380000,-4.7090144,4.464249,None,None,None,1999.0,-89.389685977589,-89.389685977589,1.0
390000,-4.1208253,4.393775,0.012106116,0.02688619,0.00028086282,None,-89.60988903045654,-89.60988903045654,1.0
400000,-3.7394047,None,0.04812294,0.02770904,0.000280146,None,None,None,1.0
410000,-3.7968605,4.364049,None,None,None,None,None,None,1.0
420000,-4.02144,4.374496,0.034605462,0.02083299,0.00027922445,None,None,None,1.0
430000,-4.1213255,None,0.020238137,0.027439114,0.0002785076,None,None,None,1.0
440000,-4.1751876,4.362848,None,None,None,None,None,None,1.0
450000,-4.1778097,4.370866,0.016283657,0.027367445,0.00027758605,None,None,None,1.0
460000,-4.3869176,4.368189,None,None,None,None,None,None,1.0
470000,-4.427468,None,0.017583147,0.02471169,0.00027686922,None,None,None,1.0
480000,-4.4048815,4.3421946,None,None,None,None,None,None,1.0
490000,-4.5824285,4.3421774,0.0097257625,0.024251513,0.00027594756,1999.0,-85.83387199201081,-85.83387199201081,1.0
500000,-4.5826464,None,0.0142890345,0.023399256,0.00027529802,1999.0,-82.55773389907111,-82.55773389907111,1.0
510000,-4.5001187,4.4306607,None,None,None,1999.0,-82.50483283129606,-82.50483283129606,1.0
520000,-3.9298606,4.341888,0.012816151,0.024533145,0.00027446283,None,-82.29337787628174,-82.29337787628174,1.0
530000,-3.8641846,None,0.10556911,0.026012424,0.00027374603,None,None,None,1.0
540000,-3.9344516,4.3172717,None,None,None,None,None,None,1.0
550000,-4.3245683,4.3346667,0.10986842,0.030012963,0.00027282443,None,None,None,1.0
560000,-4.242937,None,0.8268014,0.025443364,0.00027210763,None,None,None,1.0
570000,-4.5938964,4.3150773,None,None,None,None,None,None,1.0
580000,-4.9095416,4.332152,0.70838773,0.02832444,0.00027118603,1189.0,-46.540037393569946,-46.540037393569946,1.0
590000,-4.4593763,4.338932,None,None,None,None,None,None,1.0
600000,-5.016118,4.3437376,2.2018292,0.018494619,0.000270436,None,None,None,1.0
610000,-4.5717754,4.3253884,2.2844667,0.028039545,0.0002696168,1999.0,-88.96091604232788,-88.96091604232788,1.0
620000,-5.2928205,4.3271995,None,None,None,1999.0,-133.9949049949646,-133.9949049949646,1.0
630000,-4.5381126,4.4642377,3.331174,0.027212001,0.0002688648,1999.0,-83.91480491274879,-83.91480491274879,1.0
640000,-5.446987,4.363128,3.9873796,0.019964155,0.0002681224,None,-143.46087814779844,-143.46087814779844,1.0
650000,-4.035992,4.347531,None,None,None,None,None,None,1.0
660000,-3.7654002,None,0.041235466,0.02638801,0.00026730323,None,None,None,1.0
670000,-3.7718778,4.326369,None,None,None,None,None,None,1.0
680000,-4.3310957,4.3120203,0.037580386,0.024380079,0.000266484,None,None,None,1.0
690000,-4.2242527,None,0.023309395,0.025660187,0.00026566486,None,None,None,1.0
700000,-4.2607384,4.3030353,None,None,None,None,None,None,1.0
710000,-4.315543,4.299729,0.016638266,0.025861723,0.00026484564,1999.0,-83.55984401702881,-83.55984401702881,1.0
720000,-4.454687,None,0.012980912,0.021719087,0.00026403595,None,None,None,1.0
730000,-4.4455905,4.31804,None,None,None,None,None,None,1.0
740000,-4.2753797,4.296472,0.016150415,0.026763106,0.00026321682,1999.0,-87.65419507026672,-87.65419507026672,1.0
750000,-4.6632633,4.308089,None,None,None,1999.0,-85.13985447450118,-85.13985447450118,1.0
760000,-4.649525,4.4481134,0.02065405,0.029079014,0.0002624648,1999.0,-83.82889877666126,-83.82889877666126,1.0
770000,-4.4221916,4.329194,0.018820962,0.023026073,0.0002617224,None,-87.49023811022441,-87.49023811022441,1.0
