Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
70000,-1.2183951,4.4766364,0.2820763,0.027362596,0.0002967232,1223.0,-60.012526512145996,-60.012526512145996,1.0
80000,-1.4409568,None,0.28429112,0.026329344,0.00029617117,None,None,None,1.0
90000,-1.6674083,4.4522476,None,None,None,None,None,None,1.0
100000,-1.7341453,4.4548817,0.22814924,0.0263497,0.0002951472,1999.0,-102.54973030090332,-102.54973030090332,1.0
110000,-2.0455306,None,0.18774408,0.027023284,0.00029458082,1999.0,-91.94084548950195,-91.94084548950195,1.0
120000,-2.3777008,4.4974556,None,None,None,1523.047619047619,-90.14167529886419,-90.14167529886419,1.0
130000,-0.82802266,4.456852,0.13545205,0.024011947,0.00029365276,0.0,-18.305349754334895,-18.305349754334895,1.0
140000,-2.2135975,None,0.12394317,0.021645227,0.00029303538,None,None,None,1.0
150000,-2.381765,None,None,None,None,None,None,None,1.0
160000,-2.3804126,4.448252,0.09167305,0.025071036,0.00029201136,None,None,None,1.0
170000,-2.9796345,4.4521527,None,None,None,None,None,None,1.0
180000,-3.0948298,None,0.062847234,0.024351642,0.00029139698,None,None,None,1.0
190000,-3.1066551,4.4310174,None,None,None,None,None,None,1.0
200000,-3.3668804,4.4316244,0.05941862,0.027240317,0.00029037302,1999.0,-88.65230536460876,-88.65230536460876,1.0
210000,-3.5456357,None,0.047488526,0.029071756,0.0002897682,None,None,None,1.0
220000,-3.6868687,4.4105115,None,None,None,None,None,None,1.0
230000,-3.674975,4.396994,0.09027828,0.024881653,0.00028874417,1996.9259259259259,-95.98232992490132,-95.98232992490132,1.0
240000,-4.041918,None,0.16314188,0.021953525,0.00028808782,1999.0,-94.80386797587077,-94.80386797587077,1.0
250000,-4.156205,4.4853334,None,None,None,1999.0,-90.84612586281516,-90.84612586281516,1.0
260000,-3.8095226,4.4074736,0.030566568,0.026976561,0.00028725262,None,-91.2471175627275,-91.2471175627275,1.0
270000,-3.259234,None,0.0897255,0.023830218,0.00028653585,None,None,None,1.0
280000,-3.279979,4.3637314,None,None,None,None,None,None,1.0
290000,-3.5244896,4.3518214,0.10056163,0.029828409,0.00028561425,None,None,None,1.0
300000,-4.0848765,4.3487716,None,None,None,None,None,None,1.0
310000,-3.8753839,None,0.04850407,0.02348757,0.0002848974,None,None,None,1.0
320000,-3.9182801,4.310129,None,None,None,None,None,None,1.0
330000,-4.593651,4.313975,0.018224034,0.02723426,0.00028397585,1999.0,-74.02993714809418,-74.02993714809418,1.0
340000,-4.3674817,None,0.016412545,0.02338146,0.00028326854,None,None,None,1.0
350000,-4.2799573,4.2895503,None,None,None,None,None,None,1.0
360000,-4.470573,4.2692533,0.15198204,0.02231476,0.00028234703,1999.0,-88.96675939559937,-88.96675939559937,1.0
370000,-4.6344028,None,0.020522017,0.026955893,0.00028168783,1999.0,-82.12296598607844,-82.12296598607844,1.0
380000,-4.6057253,4.4586864,None,None,None,1999.0,-82.75360656919933,-82.75360656919933,1.0
390000,-4.1941295,4.360389,0.046058457,0.020437641,0.00028085263,None,-81.2423734324319,-81.2423734324319,1.0
400000,-3.3352096,None,0.060584676,0.02314982,0.00028013584,None,None,None,1.0
410000,-3.5318515,4.3120093,None,None,None,None,None,None,1.0
420000,-3.656372,4.3376875,0.07036694,0.029810509,0.00027921423,None,None,None,1.0
430000,-4.058436,None,None,None,None,None,None,None,1.0
440000,-4.156467,4.307248,0.017709995,0.027129885,0.00027849743,None,None,None,1.0
450000,-3.965369,4.284119,0.018869562,0.028750528,0.00027757583,1999.0,-60.85887749989828,-60.85887749989828,1.0
460000,-4.669005,4.284427,None,None,None,None,-67.16882991790771,-67.16882991790771,1.0
470000,-4.3481402,None,0.091154054,0.024467595,0.00027697103,None,None,None,1.0
480000,-4.516346,4.2421994,None,None,None,None,None,None,1.0
490000,-4.6925797,4.246369,0.05489296,0.025687698,0.00027594704,1999.0,-89.43509176799229,-89.43509176799229,1.0
500000,-4.602715,None,0.02099276,0.02622124,0.00027528784,1999.0,-81.40042781829834,-81.40042781829834,1.0
510000,-4.7659216,4.4381146,None,None,None,1999.0,-79.48179998851958,-79.48179998851958,1.0
520000,-3.8642058,4.2981224,0.046413034,0.023565525,0.0002744526,None,-80.15629196166992,-80.15629196166992,1.0
530000,-3.5377088,None,0.16959463,0.026407048,0.00027373584,None,None,None,1.0
540000,-3.4899032,4.23545,None,None,None,None,None,None,1.0
550000,-4.760974,4.2378073,0.16604824,0.024758186,0.0002728142,802.0,-31.21839338541031,-31.21839338541031,1.0
560000,-4.424605,4.225183,None,None,None,None,None,None,1.0
570000,-4.464684,4.2082014,0.32085124,0.025210401,0.00027198103,None,None,None,1.0
580000,-4.053378,4.1930795,0.046671323,0.026714964,0.00027126423,1999.0,-55.31272482872009,-55.31272482872009,1.0
590000,-5.1307707,4.180079,None,None,None,None,None,None,1.0
600000,-4.9524345,4.1007767,0.061533246,0.02526119,0.0002703522,None,None,None,1.0
