Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3160000,2.089984,276.8,-8.642763,-16.796879768371582,-16.796879768371582,1.0
3170000,2.0892963,413.0,-9.376744,-33.294242512096055,-33.294242512096055,1.0
3180000,2.1084473,None,-8.875482,None,None,1.0
3190000,2.0761275,622.0,-9.01503,-52.96966080367565,-52.96966080367565,1.0
3200000,2.0026553,641.6666666666666,-9.410174,-54.10991324981054,-54.10991324981054,1.0
3210000,2.0712016,None,-9.268415,None,None,1.0
3220000,2.0492225,761.0,-8.974412,-17.942420721054077,-17.942420721054077,1.0
3230000,2.0749884,990.5,-9.458894,-102.1987096786499,-102.1987096786499,1.0
3240000,2.1068184,1286.0,-8.947798,-93.69835480054219,-93.69835480054219,1.0
3250000,2.0973175,None,-8.70891,None,None,1.0
3260000,2.0394244,850.5,-9.029499,-70.74231132864952,-70.74231132864952,1.0
3270000,2.0399864,1230.1538461538462,-9.124454,-194.78372116088866,-194.78372116088866,1.0
3280000,2.0869331,322.4,-8.624589,-83.05225216185734,-83.05225216185734,1.0
3290000,2.0451238,None,-9.962425,None,None,1.0
3300000,2.014309,1480.5,-9.221104,-172.42982041835785,-172.42982041835785,1.0
3310000,2.0352714,1999.0,-9.231266,-218.71891339619955,-218.71891339619955,1.0
3320000,2.05499,1487.8333333333333,-9.457125,-144.60569624467328,-144.60569624467328,1.0
3330000,2.050135,1409.0,-8.963143,-171.79313416914508,-171.79313416914508,1.0
3340000,2.0613916,None,-9.733152,None,None,1.0
3350000,2.0471046,1182.0,-9.585027,-137.3244744539261,-137.3244744539261,1.0
3360000,2.0325065,977.0,-9.292217,-32.19110454618931,-32.19110454618931,1.0
3370000,2.0363772,914.0,-8.990524,-95.14075561761857,-95.14075561761857,1.0
3380000,2.0773437,789.0,-9.694461,-59.19874680042267,-59.19874680042267,1.0
3390000,2.0416596,1999.0,-9.399412,-221.66933631896973,-221.66933631896973,1.0
3400000,1.990135,1999.0,-9.210317,-215.28809142112732,-215.28809142112732,1.0
3410000,2.0358903,1396.0,-9.673539,-152.87694025039673,-152.87694025039673,1.0
3420000,2.0482328,885.0,-9.559973,-70.94812870025635,-70.94812870025635,1.0
3430000,2.0176635,1232.6666666666667,-9.915542,-88.4781027899848,-88.4781027899848,1.0
3440000,2.0026398,1906.0,-9.369332,-237.1980288369315,-237.1980288369315,1.0
3450000,2.0672274,1262.4285714285713,-9.574909,-111.66460410753886,-111.66460410753886,1.0
3460000,2.0507524,367.0,-9.561112,-85.37087519963582,-85.37087519963582,1.0
3470000,1.988356,962.5,-9.959099,-82.76385521888733,-82.76385521888733,1.0
3480000,2.0110097,1217.5,-9.70659,-168.04153415134974,-168.04153415134974,1.0
3490000,2.0098732,815.5,-10.119554,-75.1512468126085,-75.1512468126085,1.0
3500000,2.0214806,1999.0,-9.547274,-194.43224430084229,-194.43224430084229,1.0
3510000,2.0689282,None,-10.259234,None,None,1.0
3520000,2.017185,1999.0,-9.637888,-207.3351936340332,-207.3351936340332,1.0
3530000,2.0216005,1999.0,-9.817591,-199.74994885921478,-199.74994885921478,1.0
3540000,2.0606396,804.0,-9.875333,-102.83900937167081,-102.83900937167081,1.0
3550000,2.0234532,1010.5,-9.698995,-96.7419066131115,-96.7419066131115,1.0
3560000,2.000377,None,-9.565779,None,None,1.0
3570000,1.9921548,1999.0,-9.385677,-175.6301383972168,-175.6301383972168,1.0
