Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,-16.912134,4.4631495,40.898937,0.024223525,0.0002950848,1977.24,-1079.9117431640625,-1079.9117431640625,1.0
110000,-19.00042,None,37.154408,0.023970334,0.00029455515,1999.0,-1075.153008894487,-1075.153008894487,1.0
120000,-20.700697,4.497575,None,None,None,1699.15,-1031.3612867082868,-1031.3612867082868,1.0
130000,-7.5313163,4.4645543,27.02527,0.025591977,0.0002936272,0.0,-244.18991804454936,-244.18991804454936,1.0
140000,-19.34109,None,27.522972,0.025215603,0.00029300983,None,None,None,1.0
150000,-22.0781,None,None,None,None,None,None,None,1.0
160000,-22.031305,4.443531,None,None,None,None,None,None,1.0
170000,-24.90217,4.4415746,32.01592,0.02498686,0.00029198584,None,None,None,1.0
180000,-25.313156,None,18.816612,0.024778903,0.00029137146,None,None,None,1.0
190000,-25.725769,4.429892,None,None,None,None,None,None,1.0
200000,-26.80004,4.414532,20.590918,0.023994122,0.00029034744,None,None,None,1.0
210000,-28.189667,None,12.121758,0.023120828,0.00028973297,None,None,None,1.0
220000,-27.76687,4.385861,None,None,None,None,None,None,1.0
230000,-28.783945,4.374987,14.450603,0.02349561,0.00028870898,1956.5757575757575,-955.849016825358,-955.849016825358,1.0
240000,-28.841564,None,13.20303,0.024494294,0.0002881294,1999.0,-975.3497910272507,-975.3497910272507,1.0
250000,-29.035309,4.4729857,None,None,None,1999.0,-1004.3973922729492,-1004.3973922729492,1.0
260000,-28.216135,4.384539,9.543443,0.032423947,0.00028729418,None,-1002.1653154161241,-1002.1653154161241,1.0
270000,-28.187765,None,13.575292,0.025715003,0.00028657741,None,None,None,1.0
280000,-28.109869,4.3322144,None,None,None,None,None,None,1.0
290000,-28.818151,4.3464184,13.530495,0.024962433,0.00028565587,None,None,None,1.0
300000,-30.628136,4.3364997,None,None,None,None,None,None,1.0
310000,-30.45779,4.293457,5.449197,0.028560255,0.00028493901,None,None,None,1.0
320000,-29.95067,4.305955,5.8616962,0.031528533,0.00028401738,None,None,None,1.0
330000,-32.3117,4.3025026,None,None,None,None,None,None,1.0
340000,-31.786402,None,4.592245,0.03104917,0.00028330064,None,None,None,1.0
350000,-31.003796,4.2695084,None,None,None,None,None,None,1.0
360000,-33.243805,4.2704697,3.3522716,0.024877895,0.00028237898,1999.0,-857.4189224243164,-857.4189224243164,1.0
370000,-32.96601,None,5.3614206,0.025249546,0.00028172944,1999.0,-878.4081290108817,-878.4081290108817,1.0
