Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,23.542927,1999.0,-10.000000715255737,-10.000000715255737,1.0
20000,1.4205272,19.420681,1999.0,-10.000000715255737,-10.000000715255737,1.0
30000,1.422097,13.204564,1999.0,-10.000000715255737,-10.000000715255737,1.0
40000,1.4251028,14.443176,1999.0,-10.000000715255737,-10.000000715255737,1.0
50000,1.426861,11.095161,1999.0,-10.000000715255737,-10.000000715255737,1.0
60000,1.4286889,153.8879,1999.0,-10.000000715255737,-10.000000715255737,1.0
70000,1.4301885,7.6825085,1547.5,-7.776571908167431,-7.776571908167431,1.0
80000,1.4324973,7.886523,1999.0,-9.996000528335571,-9.996000528335571,1.0
90000,1.4344019,8.127215,1999.0,-9.996000528335571,-9.996000528335571,1.0
100000,1.4350618,7.9707956,1999.0,-9.996000528335571,-9.996000528335571,1.0
110000,1.4358644,6.660264,1710.0,-8.385833864410719,-8.385833864410719,1.0
120000,1.436913,67.06712,1666.3333333333333,-8.167500565449396,-8.167500565449396,1.0
130000,1.4382919,3.4197285,1999.0,-9.996000528335571,-9.996000528335571,1.0
140000,1.4392253,2.2765963,1482.2857142857142,-7.127286161695208,-7.127286161695208,1.0
150000,1.4386775,2.9898677,1679.0,-9.997000694274902,-9.997000694274902,1.0
160000,1.4380503,2.530515,1999.0,-7.877000558376312,-7.877000558376312,1.0
170000,1.4362262,2.051719,1999.0,-9.997000694274902,-9.997000694274902,1.0
180000,1.4328167,1.7496306,1706.8333333333333,-8.3693339129289,-8.3693339129289,1.0
190000,1.4325615,1.5703627,1999.0,-9.996000528335571,-9.996000528335571,1.0
200000,1.4330932,1.4421896,1671.6666666666667,-8.193667153517405,-8.193667153517405,1.0
210000,1.4338826,1.2328572,1999.0,-9.999000787734985,-9.999000787734985,1.0
220000,1.4342638,0.7912883,1734.4,-8.729500676194826,-8.729500676194826,1.0
230000,1.435199,0.5576761,1999.0,-9.997000694274902,-9.997000694274902,1.0
240000,1.4360844,0.9550784,1674.5,-8.209500640630722,-8.209500640630722,1.0
250000,1.435657,0.5566411,1999.0,-9.999000787734985,-9.999000787734985,1.0
260000,1.4351635,0.35861707,1672.3333333333333,-8.199000656604767,-8.199000656604767,1.0
270000,1.4354701,0.2734643,1577.3333333333333,-7.557000557581584,-7.557000557581584,1.0
280000,1.4340094,0.19251812,1677.3333333333333,-8.224000662565231,-8.224000662565231,1.0
290000,1.4323537,0.04101153,1999.0,-9.999000787734985,-9.999000787734985,1.0
300000,1.4307472,0.19877443,1999.0,-9.999000787734985,-9.999000787734985,1.0
310000,1.4307275,0.09557968,1999.0,-9.999000787734985,-9.999000787734985,1.0
320000,1.4309968,0.18095487,1441.0,-6.921000438077109,-6.921000438077109,1.0
330000,1.4309416,0.008544903,1458.4285714285713,-7.00957190990448,-7.00957190990448,1.0
340000,1.4307483,-0.04253479,1445.2857142857142,-6.9438576485429495,-6.9438576485429495,1.0
350000,1.4299024,0.21917655,1676.6666666666667,-8.22016727924347,-8.22016727924347,1.0
360000,1.4283087,-0.051801663,1999.0,-9.999000787734985,-9.999000787734985,1.0
370000,1.4265515,-0.2294298,1682.3333333333333,-8.249000638723373,-8.249000638723373,1.0
380000,1.4257976,-0.04922229,1999.0,-9.999000787734985,-9.999000787734985,1.0
390000,1.4266584,0.4721476,1999.0,-9.999000787734985,-9.999000787734985,1.0
400000,1.4272107,-0.31642145,1676.3333333333333,-8.218500663836798,-8.218500663836798,1.0
410000,1.4281602,-0.056208517,1449.857142857143,-6.965857590947833,-6.965857590947833,1.0
420000,1.4289265,-0.008660301,1999.0,-9.999000787734985,-9.999000787734985,1.0
430000,1.4306152,-0.07595487,1999.0,-9.999000787734985,-9.999000787734985,1.0
440000,1.4305278,-0.47065958,1999.0,-9.999000787734985,-9.999000787734985,1.0
450000,1.429703,0.035821665,1675.6666666666667,-8.215667327245077,-8.215667327245077,1.0
460000,1.4290695,-0.3539473,1999.0,-9.999000787734985,-9.999000787734985,1.0
470000,1.4287978,-0.453672,1999.0,-9.999000787734985,-9.999000787734985,1.0
480000,1.4291111,-0.19365658,1999.0,-9.999000787734985,-9.999000787734985,1.0
490000,1.4292144,-0.52194196,1999.0,-9.999000787734985,-9.999000787734985,1.0
500000,1.4289182,-0.37304062,1999.0,-9.999000787734985,-9.999000787734985,1.0
510000,1.4287221,-0.40759814,1676.3333333333333,-8.216500490903854,-8.216500490903854,1.0
520000,1.4284459,42.487507,1676.1666666666667,-8.215333769718805,-8.215333769718805,1.0
530000,1.4280183,0.16717449,1999.0,-9.997000694274902,-9.997000694274902,1.0
540000,1.4279078,0.7711519,1999.0,-9.997000694274902,-9.997000694274902,1.0
550000,1.42782,0.63908535,1999.0,-9.997000694274902,-9.997000694274902,1.0
560000,1.4273455,1.0783504,1999.0,-9.997000694274902,-9.997000694274902,1.0
570000,1.4272844,0.5008767,1999.0,-9.997000694274902,-9.997000694274902,1.0
580000,1.427492,0.26823467,1999.0,-9.997000694274902,-9.997000694274902,1.0
590000,1.4277954,0.26275247,1672.8333333333333,-8.20050060749054,-8.20050060749054,1.0
600000,1.4283144,0.03675227,1999.0,-9.999000787734985,-9.999000787734985,1.0
610000,1.4284064,-0.022195283,1999.0,-9.999000787734985,-9.999000787734985,1.0
620000,1.4283373,0.114150465,1999.0,-9.999000787734985,-9.999000787734985,1.0
630000,1.427256,0.15675327,1999.0,-9.999000787734985,-9.999000787734985,1.0
640000,1.426045,0.07723485,1999.0,-9.999000787734985,-9.999000787734985,1.0
650000,1.4257836,0.30560938,1999.0,-9.999000787734985,-9.999000787734985,1.0
660000,1.4262714,-0.2669943,1999.0,-9.999000787734985,-9.999000787734985,1.0
670000,1.4270238,0.16978702,1999.0,-9.999000787734985,-9.999000787734985,1.0
680000,1.4269223,-0.090312354,1462.4285714285713,-7.028429001569748,-7.028429001569748,1.0
690000,1.4267423,-0.35591182,1999.0,-9.996000528335571,-9.996000528335571,1.0
700000,1.4262121,-0.13350146,1670.6666666666667,-8.187667091687521,-8.187667091687521,1.0
710000,1.425907,-0.3332649,1668.3333333333333,-8.178500612576803,-8.178500612576803,1.0
720000,1.4255612,56.041992,1999.0,-9.999000787734985,-9.999000787734985,1.0
730000,1.4249805,70.98623,1676.3333333333333,-7.861200535297394,-7.861200535297394,1.0
740000,1.4241722,-2.3422303,1666.1666666666667,-8.165667156378428,-8.165667156378428,1.0
750000,1.4234375,-2.4301114,1672.3333333333333,-8.197000563144684,-8.197000563144684,1.0
760000,1.4230157,-2.8950982,1999.0,-9.997000694274902,-9.997000694274902,1.0
770000,1.4224858,-2.673091,1296.875,-6.112125437706709,-6.112125437706709,1.0
780000,1.4219235,49.428352,1339.6666666666667,-6.8858576246670316,-6.8858576246670316,1.0
790000,1.4211224,44.08084,1999.0,-9.996000528335571,-9.996000528335571,1.0
