Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-5.009798,1.426995,550.0,302.73438,0.06318487,0.00029907838,-1.0843333999315898,-1.0843333999315898,1.0
30000,-1.7640107,1.4271579,None,0.28424993,0.017676584,0.00029856057,None,None,1.0
40000,-2.8761628,1.4258341,None,None,None,None,None,None,1.0
50000,-1.6615356,1.4251784,None,6.85236,0.026368655,0.00029763894,None,None,1.0
60000,-2.0058076,1.4251726,1999.0,None,None,None,-9.11111174689399,-9.11111174689399,1.0
70000,-1.7221863,1.4201784,999.5,0.1071883,0.023329398,0.00029676533,-9.22727336937731,-9.22727336937731,1.0
80000,-9.125408,1.4148884,423.0,None,None,None,-2.9192501429497497,-2.9192501429497497,1.0
90000,-1.9918385,1.4145907,1999.0,14.507475,0.028578864,0.0002958112,-9.996000528335571,-9.996000528335571,1.0
100000,-2.0277462,1.4157326,770.0,None,None,None,-4.637250281870365,-4.637250281870365,1.0
110000,-1.2091012,1.4175154,1094.5,5.732728,0.03079056,0.00029485798,-4.808833633859952,-4.808833633859952,1.0
120000,-1.1171558,1.4176596,None,None,None,None,None,None,1.0
130000,-1.2311434,1.4160067,1999.0,1.288092,0.02805465,0.00029396615,None,None,1.0
140000,-1.9193517,1.4157208,27.666666666666668,2.0316849,0.027845098,0.00029308774,-6.67483380168754,-6.67483380168754,1.0
150000,-0.83146757,1.4155809,885.0,1.8084008,0.034794383,0.0002925297,-3.7606668737199573,-3.7606668737199573,1.0
160000,-1.0703585,1.4189104,1999.0,None,None,None,-9.996000528335571,-9.996000528335571,1.0
170000,-0.8716254,1.4195315,1999.0,1.0547374,0.035276517,0.00029199934,-8.996000428994497,-8.996000428994497,1.0
180000,-0.84557444,1.4174155,1181.5,0.022386905,0.024968686,0.00029139212,-6.286200416088104,-6.286200416088104,1.0
190000,-0.7269235,1.416461,1420.0,0.024770938,0.024370635,0.0002908362,-3.873400163650513,-3.873400163650513,1.0
200000,-0.6719038,1.4171238,None,1.4268367,0.021255692,0.00029031586,None,None,1.0
210000,-0.6415807,1.4176551,1970.5,1.2919933,0.01896305,0.00028980253,-8.584778239329657,-8.584778239329657,1.0
220000,-0.58225495,1.4184431,1534.0,0.0077054123,0.028543562,0.00028921696,-7.781000561184353,-7.781000561184353,1.0
230000,-0.62130487,1.4188406,1501.3333333333333,0.91114295,0.021589987,0.00028867964,-6.952111475997501,-6.952111475997501,1.0
240000,-0.66412544,1.4201669,720.0,0.033898987,0.016986072,0.00028814372,-3.0457779433992176,-3.0457779433992176,1.0
250000,-0.53680795,1.4203551,1354.6666666666667,0.01714277,0.021264302,0.00028760236,-4.49883371591568,-4.49883371591568,1.0
260000,-0.58832043,1.4193237,1010.5,0.35255513,0.030786283,0.00028706566,-5.813444796535704,-5.813444796535704,1.0
270000,-0.5232359,1.4203563,None,0.054917354,0.03683593,0.00028652803,None,None,1.0
280000,-0.54180443,1.4198349,1999.0,0.22448176,0.03585328,0.00028601204,-9.663667254977756,-9.663667254977756,1.0
290000,-0.54144955,1.4208413,1999.0,None,None,None,-9.331333994865417,-9.331333994865417,1.0
300000,-0.56549263,1.4200133,1999.0,0.009379448,0.021155868,0.00028548887,-9.496000498533249,-9.496000498533249,1.0
310000,-0.5227597,1.4178457,1218.0,0.020495137,0.025916794,0.0002849657,-5.508250298599402,-5.508250298599402,1.0
320000,-0.5178296,1.4169168,1636.0,0.01632828,0.02687929,0.00028438788,-8.997000646591186,-8.997000646591186,1.0
330000,-0.49505213,1.4175845,1349.0,0.016874848,0.023195773,0.00028381965,-4.7595559226142035,-4.7595559226142035,1.0
340000,-0.46919164,1.4185188,1435.0,0.1360304,0.031195944,0.00028330428,-8.087500423192978,-8.087500423192978,1.0
350000,-0.6670001,1.4197729,None,0.044908345,0.021517273,0.00028276668,None,None,1.0
360000,-1.0617987,1.4205223,1999.0,113.51222,0.13528366,0.0002822363,-9.66466740767161,-9.66466740767161,1.0
370000,-3.8742893,1.4214935,1462.0,0.44861594,0.02656117,0.00028172054,-6.37580029964447,-6.37580029964447,1.0
380000,-0.7319334,1.4207898,1110.75,2.0030503,0.36316678,0.00028120715,-4.9715835476915045,-4.9715835476915045,1.0
390000,-3.003037,1.426856,1999.0,1.6520232,0.22152562,0.00028069117,-9.568429231643677,-9.568429231643677,1.0
400000,-0.62578577,1.4330753,1534.0,0.029791705,0.028788237,0.00028017518,-6.922750460604827,-6.922750460604827,1.0
410000,-2.5474908,1.4338033,1242.0,0.52052695,0.111072965,0.00027962372,-7.606500595808029,-7.606500595808029,1.0
420000,-0.5741032,1.4370185,None,0.2838957,0.030241508,0.00027909002,-2.42900013923645,-2.42900013923645,1.0
430000,-0.5529228,1.4385142,1542.5,0.01231068,0.025467884,0.00027855017,-7.047833621501923,-7.047833621501923,1.0
440000,-0.47427383,1.4353625,1999.0,0.21534137,0.023799032,0.00027801975,-9.332334041595459,-9.332334041595459,1.0
450000,-0.49559453,1.4342974,1225.6,None,None,None,-5.662533615032832,-5.662533615032832,1.0
460000,-0.48737922,1.4368922,1307.25,0.022084957,0.022654857,0.00027748384,-5.5385003586610155,-5.5385003586610155,1.0
470000,-0.4565629,1.4351078,1999.0,0.022787396,0.030274425,0.0002769293,-9.997000694274902,-9.997000694274902,1.0
480000,-0.4652593,1.4344964,941.8,0.057346508,0.018417029,0.00027640612,-4.045333643754323,-4.045333643754323,1.0
490000,-0.4500271,1.4355996,1349.0,0.034235697,0.021673528,0.00027585257,-6.081333736578624,-6.081333736578624,1.0
500000,-0.49813905,1.4359505,1999.0,0.017026857,0.024951657,0.00027528676,-9.330333987871805,-9.330333987871805,1.0
510000,-0.47148198,1.4363781,1244.0,0.07541942,0.032509323,0.00027475966,-5.390667090813319,-5.390667090813319,1.0
520000,-0.45231488,1.4365195,714.6666666666666,0.0293875,0.02423672,0.00027421274,-2.9090001781781516,-2.9090001781781516,1.0
530000,-0.43212008,1.4360197,1999.0,0.053061478,0.025218014,0.00027369842,-9.441778408156502,-9.441778408156502,1.0
540000,-0.43670493,1.4358313,1999.0,0.024148533,0.022494817,0.00027316803,-8.662667135397593,-8.662667135397593,1.0
550000,-0.45644113,1.4355878,1350.4,0.018014817,0.020415254,0.00027260804,-6.0871337175369264,-6.0871337175369264,1.0
560000,-0.4220525,1.4329779,1079.0,0.011080273,0.02604108,0.00027206924,-4.396000365416209,-4.396000365416209,1.0
570000,-0.4343874,1.4347364,1469.0,0.18969265,0.03613199,0.00027155416,-6.266500383615494,-6.266500383615494,1.0
580000,-0.44640455,1.438373,806.0,0.01343462,0.023360431,0.0002710064,-5.3488575007234305,-5.3488575007234305,1.0
