Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,346.0,-7.5511284,-0.06733329097429912,-0.06733329097429912,1.0
20000,1.4157118,None,-7.186869,None,None,1.0
30000,1.4137298,None,-5.21131,None,None,1.0
40000,1.4098866,1410.0,-5.8650074,-5.384333521127701,-5.384333521127701,1.0
50000,1.4077598,None,-5.818041,None,None,1.0
60000,1.4039268,1963.75,-7.8467937,-7.721857692514147,-7.721857692514147,1.0
70000,1.4015404,813.4,-4.9148455,-9.409091578288512,-9.409091578288512,1.0
80000,1.3976098,508.2,-5.7878423,-1.9211580321977013,-1.9211580321977013,1.0
90000,1.3939756,590.0,-5.444427,-1.9510000546773274,-1.9510000546773274,1.0
100000,1.3934491,None,-3.6681468,None,None,1.0
110000,1.3914483,1392.5,-5.6092334,-5.631667027870814,-5.631667027870814,1.0
120000,1.3910712,None,-2.7113998,None,None,1.0
130000,1.3907335,1927.0,-5.8648033,-9.566750526428223,-9.566750526428223,1.0
140000,1.3905085,1667.5,-2.161423,-7.483222723007202,-7.483222723007202,1.0
150000,1.3885006,1999.0,13.978711,-9.247500650584698,-9.247500650584698,1.0
160000,1.3871568,1999.0,17.601269,-9.329333782196045,-9.329333782196045,1.0
170000,1.3861693,305.5,-0.9729035,-0.6966666877269745,-0.6966666877269745,1.0
180000,1.3834516,1654.0,-0.8764333,-7.974555989106496,-7.974555989106496,1.0
190000,1.381799,1530.0,-2.1151853,-5.742500339945157,-5.742500339945157,1.0
200000,1.3838893,None,-1.7121073,None,None,1.0
210000,1.3858627,1310.1666666666667,-4.479784,-6.198529809713364,-6.198529809713364,1.0
220000,1.3911126,792.0,-1.0165834,-3.02490014731884,-3.02490014731884,1.0
230000,1.3940924,None,-5.0911746,None,None,1.0
240000,1.3968675,1787.2,-0.5825289,-7.507083850602309,-7.507083850602309,1.0
250000,1.3984758,1999.0,-4.303989,-9.662667155265808,-9.662667155265808,1.0
260000,1.400515,767.0,-0.85620314,-1.7090000212192535,-1.7090000212192535,1.0
270000,1.401373,1999.0,-2.033156,-7.237200331687927,-7.237200331687927,1.0
280000,1.4035202,1169.0,-0.51239365,-5.346000234285991,-5.346000234285991,1.0
290000,1.4024442,1481.4,-2.510793,-6.477267148097356,-6.477267148097356,1.0
300000,1.405291,None,-0.6169,None,None,1.0
310000,1.404503,1999.0,2.8186817,-9.496000488599142,-9.496000488599142,1.0
320000,1.4001727,1093.6666666666667,-0.5581202,-7.499000549316406,-7.499000549316406,1.0
330000,1.398166,1999.0,-0.68889,-5.290833632151286,-5.290833632151286,1.0
340000,1.3975844,1999.0,-0.60610616,-8.999000668525696,-8.999000668525696,1.0
350000,1.3960001,1999.0,-0.6318018,-8.996000468730927,-8.996000468730927,1.0
360000,1.3950806,1627.0,-0.53163475,-7.604667206605275,-7.604667206605275,1.0
370000,1.3928952,None,-0.49924588,None,None,1.0
380000,1.3931963,1999.0,-0.46028328,-8.996000428994497,-8.996000428994497,1.0
390000,1.3954908,1186.5,-0.46396244,-6.280733728408814,-6.280733728408814,1.0
400000,1.3948617,1992.3333333333333,-0.42409402,-9.186889350414276,-9.186889350414276,1.0
410000,1.3940156,None,-0.6496756,None,None,1.0
420000,1.3937724,None,-0.41989267,None,None,1.0
430000,1.3912926,1525.75,-1.0589277,-6.881500442822774,-6.881500442822774,1.0
440000,1.3924054,1999.0,-0.48274297,-9.665667414665222,-9.665667414665222,1.0
450000,1.3930382,None,-0.4777201,None,None,1.0
460000,1.3937584,1999.0,-0.44381613,-9.354429168360573,-9.354429168360573,1.0
470000,1.394651,1999.0,-0.28751916,-9.854857802391052,-9.854857802391052,1.0
480000,1.3967268,907.25,-0.30020484,-4.039500258862972,-4.039500258862972,1.0
490000,1.3999568,None,-0.1789471,None,None,1.0
500000,1.3997875,1205.0,-0.12567972,-4.618333634920418,-4.618333634920418,1.0
510000,1.4007022,1517.0,0.4103691,-7.613889452483919,-7.613889452483919,1.0
520000,1.4011545,1487.0,-0.26934552,-6.548111451996697,-6.548111451996697,1.0
530000,1.3997632,1673.0,-0.3217412,-7.032667239507039,-7.032667239507039,1.0
540000,1.3991144,1010.5,-0.31874305,-4.56025031208992,-4.56025031208992,1.0
550000,1.3988627,1999.0,-0.34507662,-8.461818738417191,-8.461818738417191,1.0
560000,1.3983124,None,-0.3639367,None,None,1.0
570000,1.3996493,1222.5,-0.36897326,-3.67375011742115,-3.67375011742115,1.0
580000,1.4010367,1335.6666666666667,-0.3836933,-6.556454988365823,-6.556454988365823,1.0
590000,1.4017531,1515.5,-0.38192433,-6.913333751261234,-6.913333751261234,1.0
600000,1.403312,1691.6666666666667,-0.3808981,-7.348222663005193,-7.348222663005193,1.0
610000,1.4038858,None,-0.3871462,None,None,1.0
620000,1.4033737,1154.0,-0.40662703,-6.219000434875488,-6.219000434875488,1.0
630000,1.4033613,1040.5,-0.39773938,-3.681857313428606,-3.681857313428606,1.0
640000,1.4035828,1591.3333333333333,-0.39234257,-7.180555949608485,-7.180555949608485,1.0
650000,1.4045664,1503.25,-0.41464296,-7.019000492990017,-7.019000492990017,1.0
660000,1.4060929,1999.0,-0.45183522,-9.49900072813034,-9.49900072813034,1.0
670000,1.4067223,1525.0,-0.41126835,-6.592636696316979,-6.592636696316979,1.0
680000,1.4058754,313.5,-0.402755,-2.926875114440918,-2.926875114440918,1.0
690000,1.4067093,1096.0,-0.39037582,-5.148667057355245,-5.148667057355245,1.0
700000,1.4064894,1999.0,-0.4382132,-9.16466736793518,-9.16466736793518,1.0
710000,1.4067378,902.4,-0.40390745,-2.901000114587637,-2.901000114587637,1.0
720000,1.4060869,1999.0,-0.38125864,-9.269455129450018,-9.269455129450018,1.0
730000,1.4073701,119.0,-0.4149942,-0.26266664266586304,-0.26266664266586304,1.0
740000,1.4084853,1160.75,-0.35962746,-4.878272977064956,-4.878272977064956,1.0
750000,1.4087425,1180.4,-0.3929266,-4.904133615891139,-4.904133615891139,1.0
760000,1.4087849,1031.0,-0.38453197,-3.7884002923965454,-3.7884002923965454,1.0
770000,1.4086641,139.0,-0.38168648,-3.4170002222061155,-3.4170002222061155,1.0
780000,1.4085485,1560.0,-0.4383674,-6.579444848828846,-6.579444848828846,1.0
790000,1.4079454,1999.0,-0.40773883,-8.996000428994497,-8.996000428994497,1.0
800000,1.405491,1229.0,-0.4033352,-5.312666883071263,-5.312666883071263,1.0
810000,1.4036093,1999.0,-0.43697804,-9.329333821932474,-9.329333821932474,1.0
820000,1.4041963,1355.6666666666667,-0.43754247,-6.113667084111108,-6.113667084111108,1.0
830000,1.404789,1169.7142857142858,-0.41196522,-5.136857418786912,-5.136857418786912,1.0
840000,1.4059925,1999.0,-0.41837502,-8.997000654538473,-8.997000654538473,1.0
850000,1.406502,1999.0,-0.43439338,-8.997000575065613,-8.997000575065613,1.0
860000,1.4055827,562.3333333333334,-0.46594703,-1.9247778587871127,-1.9247778587871127,1.0
870000,1.4056525,1999.0,-0.4541514,-9.329333782196045,-9.329333782196045,1.0
880000,1.4056098,1999.0,-0.44624224,-9.996000528335571,-9.996000528335571,1.0
890000,1.4065917,1820.5,-0.42562544,-7.803286250148501,-7.803286250148501,1.0
900000,1.406619,1267.5714285714287,-0.43977287,-4.953055875168906,-4.953055875168906,1.0
910000,1.4062985,1022.5,-0.42413816,-6.076000438796149,-6.076000438796149,1.0
920000,1.4052606,810.5,-0.035874493,-3.387333502372106,-3.387333502372106,1.0
930000,1.4043044,1999.0,-0.39515883,-8.997000608179304,-8.997000608179304,1.0
940000,1.4038064,None,1.7803732,None,None,1.0
950000,1.4029579,None,-0.4256206,None,None,1.0
960000,1.4035441,1309.0,3.7083435,-5.547750289241473,-5.547750289241473,1.0
970000,1.4032301,1535.75,-0.44576782,-7.01383380095164,-7.01383380095164,1.0
980000,1.4032506,1506.5,13.240027,-6.408111519283718,-6.408111519283718,1.0
990000,1.4035392,1326.6666666666667,-0.8416144,-5.60788920852873,-5.60788920852873,1.0
1000000,1.4049991,716.0,-0.87291837,-5.6223336309194565,-5.6223336309194565,1.0
1010000,1.4049814,1315.0,-0.7675199,-4.912333647410075,-4.912333647410075,1.0
1020000,1.4050869,None,-0.81171054,None,None,1.0
1030000,1.4062524,1445.3333333333333,-0.59125763,-5.874600341916084,-5.874600341916084,1.0
1040000,1.4073004,1157.0,-0.7575763,-4.955667008956273,-4.955667008956273,1.0
1050000,1.4075632,1999.0,-0.58681405,-9.330333987871805,-9.330333987871805,1.0
1060000,1.4078815,1515.75,-0.6257153,-6.8307504405577975,-6.8307504405577975,1.0
1070000,1.406591,1170.5,-0.49638644,-4.854000190893809,-4.854000190893809,1.0
