Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,1.4037086,-1.0103861,0.1481944,0.022451703,0.0002972352,1965.4545454545455,-8.53775059680144,-8.53775059680144,1.0
70000,1.4033966,-0.9790293,None,None,None,1999.0,-9.000000621784817,-9.000000621784817,1.0
80000,1.3976727,-4.548353,0.16687296,0.018978462,0.0002964554,142.0,-1.140500046312809,-1.140500046312809,1.0
90000,1.3955045,-4.835081,2.6031458,0.021529898,0.00029586587,None,None,None,1.0
100000,1.3949381,-5.0473876,1.6394361,0.031044008,0.00029532827,1003.0,-4.35033365090688,-4.35033365090688,1.0
110000,1.3909104,-2.9451015,1.149184,0.023281148,0.00029479366,1050.0,-4.917667001485825,-4.917667001485825,1.0
120000,1.3904097,-3.1290584,0.26768047,0.02671502,0.00029409846,None,None,None,1.0
130000,1.3849419,-1.345333,0.19322136,0.027649414,0.00029356795,1999.0,-9.329333782196045,-9.329333782196045,1.0
140000,1.382193,-2.5932667,0.2595893,0.029326778,0.00029300325,1991.8333333333333,-9.462500618563759,-9.462500618563759,1.0
150000,1.3794538,-2.071501,None,None,None,1309.8,-6.156714590532439,-6.156714590532439,1.0
160000,1.3774298,-1.8613173,0.32357317,0.020244986,0.00029248095,None,-1.061999797821045,-1.061999797821045,1.0
170000,1.373641,-4.3762383,0.18595277,0.02029716,0.0002919434,1068.0,-4.786778052647908,-4.786778052647908,1.0
180000,1.3739895,-1.4560208,10.898412,0.15136163,0.00029138554,1014.0,-4.404333516955376,-4.404333516955376,1.0
190000,1.3768549,-7.1406507,39.04485,0.24101387,0.00029085056,1359.0,-5.797000288963318,-5.797000288963318,1.0
200000,1.3785905,-0.94359696,0.24918605,0.24816944,0.0002902626,1233.3333333333333,-5.501667007803917,-5.501667007803917,1.0
210000,1.3786566,-0.46218747,6.4889016,0.030276502,0.00028971434,1999.0,-9.498000721136728,-9.498000721136728,1.0
220000,1.3766235,8.646028,0.09306925,0.026765253,0.00028919117,1336.6666666666667,-6.35233372118738,-6.35233372118738,1.0
230000,1.3748493,-1.1648395,261.8885,0.092234336,0.00028866608,1999.0,-8.997000614802042,-8.997000614802042,1.0
240000,1.3749759,-0.3882292,0.10241766,0.14661328,0.00028813566,1999.0,-9.330833951632181,-9.330833951632181,1.0
250000,1.3745291,-0.7040677,0.020776939,0.048351627,0.00028761956,1429.0,-6.590778178638882,-6.590778178638882,1.0
260000,1.3731015,-0.65386045,0.029228488,0.022878656,0.00028703175,1045.5,-4.7295003434022265,-4.7295003434022265,1.0
270000,1.37307,-0.62713236,None,None,None,1782.5,-8.080667222539583,-8.080667222539583,1.0
280000,1.3758348,-0.63697237,0.030760018,0.03146377,0.00028649674,1999.0,-9.664667387803396,-9.664667387803396,1.0
290000,1.3753558,-0.5493342,0.014958999,0.026527734,0.00028597348,743.3333333333334,-3.052333460913764,-3.052333460913764,1.0
300000,1.3759968,-0.54766774,0.030155659,0.020309906,0.00028541536,1999.0,-9.998000741004944,-9.998000741004944,1.0
310000,1.3760924,-0.6174345,0.016782466,0.021901242,0.000284885,1135.5,-9.665667414665222,-9.665667414665222,1.0
320000,1.3761991,-0.49451503,0.0147670135,0.02373128,0.00028431363,1504.0,-5.890200375517209,-5.890200375517209,1.0
330000,1.3780495,-0.517809,0.0121859405,0.023863077,0.0002837946,None,None,None,1.0
340000,1.3788624,-0.4665099,0.017132381,0.030317746,0.00028324412,1672.5,-7.947333812713623,-7.947333812713623,1.0
350000,1.379873,-0.5215714,0.0092379395,0.020592855,0.00028272095,1999.0,-9.997000694274902,-9.997000694274902,1.0
360000,1.3797032,-0.47191325,0.015236232,0.020798417,0.00028218332,1999.0,-9.66466736793518,-9.66466736793518,1.0
370000,1.3789804,-0.46032992,0.010136665,0.022525499,0.0002816673,1999.0,-9.665667414665222,-9.665667414665222,1.0
380000,1.3789358,-0.43266052,0.0085286815,0.022294236,0.00028112967,None,None,None,1.0
390000,1.3804216,-0.4266382,0.0069983853,0.023717431,0.00028056587,1593.3333333333333,-7.303333855337566,-7.303333855337566,1.0
400000,1.3813573,-0.42319983,None,None,None,1840.75,-8.038583820064863,-8.038583820064863,1.0
410000,1.3818702,-0.34853232,0.005207834,0.03005868,0.00027999844,1999.0,-9.621250540018082,-9.621250540018082,1.0
420000,1.3801572,-0.39695778,0.012509939,0.020288797,0.00027948242,117.5,-1.361142901437623,-1.361142901437623,1.0
430000,1.3803103,0.8541937,0.016906854,0.02304915,0.00027890928,1999.0,-9.332334061463675,-9.332334061463675,1.0
440000,1.3826375,-0.39795637,0.5109091,0.047764905,0.00027837887,1999.0,-9.999000787734985,-9.999000787734985,1.0
450000,1.3866779,3.7759283,0.0070622447,0.06297457,0.0002778485,1999.0,-8.999000787734985,-8.999000787734985,1.0
460000,1.3908496,-0.4223587,4.5294414,0.05454016,0.00027731806,1999.0,-9.59900074005127,-9.59900074005127,1.0
470000,1.3921978,4.669561,0.01878168,0.032467805,0.0002768054,1147.0,-5.936167034320533,-5.936167034320533,1.0
480000,1.3944017,-0.39220908,15.682924,0.027797636,0.00027628065,1002.0,-4.5125002426405745,-4.5125002426405745,1.0
