Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,296.0,9.113535,0.18266671895980835,0.18266671895980835,1.0
20000,1.4213723,976.0,6.667501,-3.8840001821517944,-3.8840001821517944,1.0
30000,1.4214332,None,7.223635,-2.884000137448311,-2.884000137448311,1.0
40000,1.4308206,1153.0,5.258659,-4.100333621104558,-4.100333621104558,1.0
50000,1.4321651,None,7.9834695,None,None,1.0
60000,1.4330046,1999.0,8.326399,-9.285714941365379,-9.285714941365379,1.0
70000,1.4353731,0.0,5.804275,-7.6523048687250474,-7.6523048687250474,1.0
80000,1.4381838,517.0,6.6907535,-2.142222351498074,-2.142222351498074,1.0
90000,1.4416409,269.0,4.1837454,-0.6823333303133646,-0.6823333303133646,1.0
100000,1.4452299,963.75,1.5069885,-5.444778131114112,-5.444778131114112,1.0
110000,1.4498119,1019.0,2.8387842,-2.714222447739707,-2.714222447739707,1.0
120000,1.4525493,1049.5,1.4016689,-4.0833336015542345,-4.0833336015542345,1.0
130000,1.4548326,1562.0,0.501292,-6.1453337868054705,-6.1453337868054705,1.0
140000,1.4566344,1572.3333333333333,0.47895578,-6.471625335514545,-6.471625335514545,1.0
150000,1.4579192,1352.0,0.14243753,-5.9343849168373985,-5.9343849168373985,1.0
160000,1.460392,724.5,1.2772822,-2.8752501408259072,-2.8752501408259072,1.0
170000,1.4617177,1999.0,0.3521127,-8.996000409126282,-8.996000409126282,1.0
180000,1.4667436,1064.0,1.3972176,-4.321500281492869,-4.321500281492869,1.0
190000,1.4694023,1478.0,0.38646,-6.947555899620056,-6.947555899620056,1.0
200000,1.4749557,1862.0,0.5984388,-8.646333937843641,-8.646333937843641,1.0
210000,1.4777198,1999.0,0.40361738,-9.330333948135376,-9.330333948135376,1.0
220000,1.4791034,1296.5,0.5161308,-4.68250028192997,-4.68250028192997,1.0
230000,1.4804533,1374.6666666666667,0.18293983,-6.7165459448641,-6.7165459448641,1.0
240000,1.4828858,815.2,0.5786843,-3.2119334816932676,-3.2119334816932676,1.0
250000,1.4854038,1323.6666666666667,-0.00089728314,-5.288500250627597,-5.288500250627597,1.0
260000,1.4882096,1999.0,0.20965509,-7.979000426828861,-7.979000426828861,1.0
270000,1.4894032,None,0.19200817,-9.996000528335571,-9.996000528335571,1.0
280000,1.489256,1097.0,0.038353268,-3.5840001106262207,-3.5840001106262207,1.0
290000,1.4909849,1622.5,-0.15622883,-6.411000341176987,-6.411000341176987,1.0
300000,1.4937912,None,-0.16615441,-8.662667175134024,-8.662667175134024,1.0
310000,1.4944996,1999.0,-0.23577389,-9.107778350512186,-9.107778350512186,1.0
320000,1.4946681,1325.5,-0.25712788,-5.795666967829068,-5.795666967829068,1.0
330000,1.4950155,1418.4,-0.25754812,-5.701583683490753,-5.701583683490753,1.0
340000,1.4964589,None,-0.3350047,-8.996000448862711,-8.996000448862711,1.0
350000,1.4970299,1389.0,-0.34500605,-5.948000437683529,-5.948000437683529,1.0
360000,1.4963899,1336.6666666666667,-0.315233,-5.7967781374851866,-5.7967781374851866,1.0
370000,1.4963436,689.0,-0.37891203,-2.782333493232727,-2.782333493232727,1.0
380000,1.495484,1999.0,-0.38333255,-9.662667195002237,-9.662667195002237,1.0
390000,1.4951812,1935.5,-0.40967202,-8.846167226632437,-8.846167226632437,1.0
400000,1.4942919,1587.6,-0.4296733,-6.7775388314173775,-6.7775388314173775,1.0
410000,1.492949,196.0,-0.41785985,-2.8608751483261585,-2.8608751483261585,1.0
420000,1.4910208,1999.0,-0.44902855,-9.329333782196045,-9.329333782196045,1.0
430000,1.4898397,1504.0,-0.42320538,-7.190167219688495,-7.190167219688495,1.0
440000,1.4890671,492.0,-0.43708548,-1.4630000591278076,-1.4630000591278076,1.0
450000,1.4886568,1999.0,-0.43743324,-9.330833931763967,-9.330833931763967,1.0
460000,1.487756,1100.5,-0.43388948,-5.004500309626262,-5.004500309626262,1.0
470000,1.4862458,1603.8,-0.42642182,-9.087727823040701,-9.087727823040701,1.0
480000,1.4827027,716.6666666666666,-0.37717244,-2.8160770799104986,-2.8160770799104986,1.0
490000,1.481147,659.0,-0.36032313,-2.2970001101493835,-2.2970001101493835,1.0
500000,1.4832436,1999.0,-0.40327254,-8.832334031661352,-8.832334031661352,1.0
510000,1.4848464,1086.6666666666667,-0.36517692,-2.3221667582790055,-2.3221667582790055,1.0
520000,1.4844778,1999.0,-0.36837626,-9.109445108307732,-9.109445108307732,1.0
530000,1.4847014,776.6666666666666,-0.36762905,-3.1088891426722207,-3.1088891426722207,1.0
540000,1.4859083,1186.0,-0.39231256,-4.2653336226940155,-4.2653336226940155,1.0
550000,1.485935,1999.0,-0.4382834,-8.829833840330442,-8.829833840330442,1.0
560000,1.4854791,560.8,-0.3679322,-2.273466767867406,-2.273466767867406,1.0
570000,1.4829378,1999.0,-0.45707953,-9.997000694274902,-9.997000694274902,1.0
580000,1.4815034,1092.5,-0.43377218,-5.598000414669514,-5.598000414669514,1.0
590000,1.4806219,1369.0,-0.4147871,-6.069889303710726,-6.069889303710726,1.0
600000,1.4814725,1641.0,-0.4814212,-6.539833684762319,-6.539833684762319,1.0
610000,1.4816948,1430.5,-0.47367442,-6.489333802213271,-6.489333802213271,1.0
620000,1.478854,None,-0.41777375,None,None,1.0
630000,1.4786317,1999.0,-0.4397388,-9.165667404731115,-9.165667404731115,1.0
640000,1.4785138,309.0,-0.42977542,-4.939666946729024,-4.939666946729024,1.0
650000,1.4776073,1180.3333333333333,-0.4312878,-4.0192859045096805,-4.0192859045096805,1.0
660000,1.4778048,1544.0,-0.39015427,-7.33364334489618,-7.33364334489618,1.0
670000,1.4784255,1999.0,-0.3542661,-8.996500511964163,-8.996500511964163,1.0
680000,1.4792902,1397.6666666666667,-0.34107324,-6.214555992020501,-6.214555992020501,1.0
690000,1.4800868,None,-0.3154508,None,None,1.0
700000,1.4809113,1027.5,-0.29873008,-4.973833749691646,-4.973833749691646,1.0
710000,1.4822595,1348.0,-0.3433114,-4.669428757258824,-4.669428757258824,1.0
720000,1.4834938,1999.0,-0.34891373,-9.397200632095338,-9.397200632095338,1.0
730000,1.4834559,1405.1666666666667,-0.36271927,-6.250222590234545,-6.250222590234545,1.0
740000,1.4824358,569.6666666666666,-0.41434687,-3.804666797320048,-3.804666797320048,1.0
750000,1.4847816,1999.0,-0.3547204,-8.999000628789267,-8.999000628789267,1.0
