Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.2844236,1.4203101,16.485283,0.027825415,0.00029907838,930.0,-2.9843332370122275,-2.9843332370122275,1.0
30000,1.5258968,1.4211025,10.414145,0.02097692,0.00029850355,None,None,None,1.0
40000,-3.3686266,1.4225146,None,None,None,None,None,None,1.0
50000,0.4858075,1.4229932,9.87193,0.023678811,0.00029758198,None,None,None,1.0
60000,-0.87519014,1.4234288,None,None,None,1999.0,-9.142857781478337,-9.142857781478337,1.0
70000,-2.3871915,1.4223977,7.2745104,0.022070626,0.00029670837,1999.0,-9.238095890908014,-9.238095890908014,1.0
80000,-0.6806291,1.4202149,7.6304364,0.023929473,0.00029619437,179.8,-2.4254501342773436,-2.4254501342773436,1.0
90000,0.13925171,1.4183558,4.322665,0.021481795,0.00029565676,None,None,None,1.0
100000,1.64711,1.4184415,None,None,None,956.6666666666666,-3.897444632318285,-3.897444632318285,1.0
110000,-6.351106,1.4247833,16.871626,0.094905935,0.00029484183,1236.0,-5.517333547274272,-5.517333547274272,1.0
120000,0.93606275,1.4262512,707.5362,0.20061968,0.00029427226,None,None,None,1.0
130000,-16.868376,1.4321896,353.6995,0.22163327,0.00029373463,None,None,None,1.0
140000,1.2833825,1.4347105,36.155975,0.050158035,0.00029314906,1444.0,-6.534800447523594,-6.534800447523594,1.0
150000,-31.279938,1.4388804,1295.0592,0.2081832,0.00029257726,1192.2857142857142,-5.328818527134982,-5.328818527134982,1.0
160000,3.8183024,1.4415711,4.8956156,0.10544173,0.00029203962,None,None,None,1.0
170000,-0.36556667,1.4459097,1.4313971,0.10127786,0.0002915054,1357.0,-5.899111562305027,-5.899111562305027,1.0
180000,1.9467037,1.4515139,None,None,None,1999.0,-9.999000787734985,-9.999000787734985,1.0
190000,0.48539743,1.4555932,0.6304141,0.038706824,0.00029097497,None,-7.999000638723373,-7.999000638723373,1.0
200000,0.548825,1.4558057,0.46309668,0.034780033,0.00029043743,1724.0,-8.056000530719757,-8.056000530719757,1.0
