Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,-14.245801,1.4154186,1050.0,11.424701,0.020652905,0.0002981568,-3.584333668152491,-3.584333668152491,1.0
50000,-11.000465,1.4136305,None,11.799496,0.019315464,0.00029764074,None,None,1.0
60000,-5.008206,1.4107988,1993.8709677419354,None,None,None,-8.720200556516648,-8.720200556516648,1.0
70000,-6.376813,1.4068419,799.6,4.5444484,0.024538713,0.00029670555,-9.095238736697606,-9.095238736697606,1.0
80000,-13.001072,1.4014264,342.75,16.983557,0.028953334,0.00029619032,-1.97705885820666,-1.97705885820666,1.0
90000,-8.658804,1.3967656,None,9.479794,0.05533542,0.00029565272,None,None,1.0
100000,-9.1734295,1.3966726,None,None,None,None,None,None,1.0
110000,-10.810644,1.3969425,1999.0,22.357445,0.13440181,0.00029480792,-8.996000428994497,-8.996000428994497,1.0
120000,-3.3584487,1.3954641,None,2.3168,0.024173861,0.0002942775,None,None,1.0
130000,-8.26129,1.3922634,1823.0,9.997545,0.18943946,0.00029373995,-8.117000559965769,-8.117000559965769,1.0
140000,-2.481854,1.3922578,1713.4285714285713,15.565273,0.06674571,0.00029304152,-9.499563161283731,-9.499563161283731,1.0
150000,-4.679805,1.3923372,1394.8333333333333,None,None,None,-5.435409493474501,-5.435409493474501,1.0
160000,-7.204328,1.3902078,476.25,2.4869034,0.024367858,0.00029248357,-2.233300106227398,-2.233300106227398,1.0
170000,-7.045055,1.3869811,882.0,5.948192,0.032336842,0.00029196677,-2.9148333966732025,-2.9148333966732025,1.0
180000,-7.5721927,1.3838304,742.0,2.6872342,0.022987925,0.0002914503,-5.445333595077197,-5.445333595077197,1.0
190000,-3.0318394,1.3808497,None,3.4956405,0.0215949,0.00029089983,None,None,1.0
200000,-5.9832573,1.3755528,1906.0,1.6970788,0.023409946,0.00029036222,-8.3993339240551,-8.3993339240551,1.0
210000,-1.0766704,1.3724065,None,1.6114402,0.022012832,0.00028979013,-8.997000614802042,-8.997000614802042,1.0
220000,-3.5378144,1.3699076,1999.0,0.65948826,0.026753346,0.00028925965,-8.996750593185425,-8.996750593185425,1.0
230000,-2.2525089,1.3647604,1999.0,0.7919784,0.030572647,0.00028874367,-9.21135772551809,-9.21135772551809,1.0
240000,-4.15406,1.3609712,1492.3333333333333,1.1332917,0.024571043,0.00028820522,-4.583363901485097,-4.583363901485097,1.0
250000,-3.3739367,1.355958,1205.75,0.9018987,0.023457438,0.00028761724,-6.217083774507046,-6.217083774507046,1.0
260000,-4.462547,1.354201,1027.6666666666667,1.3125267,0.018769352,0.00028704872,-4.651000238955021,-4.651000238955021,1.0
270000,-2.8615737,1.3514334,1999.0,None,None,None,-5.205000281333923,-5.205000281333923,1.0
280000,-2.2792444,1.3455813,1359.0,0.59913564,0.023441987,0.0002864999,-6.846000373363495,-6.846000373363495,1.0
290000,-2.4982438,1.341589,1332.0,0.31563044,0.023774015,0.00028594225,-5.328667004903157,-5.328667004903157,1.0
300000,-2.6185708,1.335585,1464.3333333333333,0.33477497,0.021542458,0.00028540473,-5.560571823801313,-5.560571823801313,1.0
310000,-1.9743403,1.3279427,1999.0,0.4456361,0.026851954,0.00028482932,-9.122125580906868,-9.122125580906868,1.0
320000,-2.5955677,1.3236698,1999.0,0.16245435,0.02765401,0.00028429893,-9.996000528335571,-9.996000528335571,1.0
330000,-1.7608753,1.319238,1667.8,0.26994064,0.022749454,0.00028372413,-7.240461991383479,-7.240461991383479,1.0
340000,-3.0163872,1.317912,275.0,0.20309669,0.021937424,0.00028316674,-5.022333721319835,-5.022333721319835,1.0
350000,-1.615078,1.3146245,1027.0,0.6527157,0.1432878,0.0002826363,-4.304166913032532,-4.304166913032532,1.0
360000,-5.2208776,1.3120439,1052.5,0.103717595,0.02791667,0.00028209755,-4.430666943391164,-4.430666943391164,1.0
370000,-1.1324635,1.310492,1477.6666666666667,79.62183,0.2070635,0.00028156248,-5.941000357270241,-5.941000357270241,1.0
380000,-4.01438,1.3104718,1264.4,167.34106,0.10208917,0.0002810046,-5.865875344723463,-5.865875344723463,1.0
390000,-1.5988455,1.3115185,None,None,None,None,None,None,1.0
400000,-1.3718239,1.3094559,1423.3333333333333,0.41563457,0.02740776,0.000280467,-5.88400037959218,-5.88400037959218,1.0
410000,-0.79011583,1.3067845,1048.25,0.15749234,0.024114953,0.00027990286,-4.918154237362055,-4.918154237362055,1.0
420000,-1.0252306,1.3022369,1392.0,0.04165608,0.027267685,0.00027935015,-5.297333677609761,-5.297333677609761,1.0
430000,-1.0609933,1.2979684,1999.0,0.026153296,0.022672296,0.00027876438,-9.665667414665222,-9.665667414665222,1.0
440000,-0.81585515,1.2964458,1999.0,0.08052691,0.020662125,0.00027823396,-9.331333961751726,-9.331333961751726,1.0
450000,-1.0300276,1.2948459,1363.6666666666667,0.11522423,0.023233937,0.0002777038,-6.597444825702244,-6.597444825702244,1.0
460000,-0.77255505,1.2946063,1999.0,0.06286488,0.022113064,0.00027718066,-8.662667195002237,-8.662667195002237,1.0
470000,-0.88578695,1.2939161,1124.0,0.17783298,0.023603218,0.00027664303,-3.183750219643116,-3.183750219643116,1.0
480000,-0.7413722,1.2934757,1999.0,0.074191436,0.023510026,0.0002760896,-9.498500723391771,-9.498500723391771,1.0
490000,-0.4896202,1.2926149,1999.0,0.013434271,0.02075156,0.00027556633,-9.331334034601847,-9.331334034601847,1.0
500000,-0.75222814,1.2922575,1999.0,0.03574978,0.024140617,0.00027503597,-9.332334041595459,-9.332334041595459,1.0
510000,-0.5224414,1.2908304,1999.0,0.00915349,0.025123369,0.0002745128,-9.330833931763967,-9.330833931763967,1.0
520000,-0.91856855,1.2897401,1240.0,None,None,None,-5.55850029653973,-5.55850029653973,1.0
