Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,1.4288551,-0.078146935,0.0141748255,0.024576064,0.0002981568,1506.0,-5.867333670457204,-5.867333670457204,1.0
50000,1.4297745,-0.10932156,0.008840701,0.022052238,0.00029757238,None,None,None,1.0
60000,1.429745,-0.14613044,None,None,None,1935.1818181818182,-7.889643343431609,-7.889643343431609,1.0
70000,1.4305803,-0.15947427,0.009713592,0.027952569,0.00029667208,None,-9.315790129335303,-9.315790129335303,1.0
80000,1.4311752,-0.16033441,None,None,None,200.0,-0.6676666041215261,-0.6676666041215261,1.0
90000,1.4291003,-0.18993135,0.008279381,0.022734871,0.00029572996,623.0,-2.2841668079296746,-2.2841668079296746,1.0
100000,1.4287074,-0.19580594,None,None,None,None,None,None,1.0
110000,1.4288456,-0.20784673,0.007906887,0.024950257,0.0002949027,None,None,None,1.0
120000,1.4290475,-0.230841,0.013634002,0.02432607,0.0002943651,1999.0,-9.665667414665222,-9.665667414665222,1.0
130000,1.4309956,-0.23645718,0.0039849477,0.018897723,0.00029383876,1888.25,-8.634300628304482,-8.634300628304482,1.0
140000,1.4317721,-0.28581423,0.0060502887,0.021682872,0.00029319074,1999.0,-9.213857804025922,-9.213857804025922,1.0
150000,1.4328743,-0.28920668,0.007685161,0.024679352,0.00029264035,710.0,-2.8863334589534335,-2.8863334589534335,1.0
160000,1.4331492,-0.31084648,0.0058942605,0.026659202,0.00029211707,1999.0,-2.811250016093254,-2.811250016093254,1.0
170000,1.4327351,-0.33559886,0.003773993,0.02833071,0.00029153176,1145.0,-6.049182211810892,-6.049182211810892,1.0
180000,1.4348842,-0.36325163,None,None,None,None,None,None,1.0
190000,1.4342947,-0.3584486,0.0030372164,0.017361576,0.00029099418,1410.0,-6.387333710988362,-6.387333710988362,1.0
200000,1.433976,-0.37297058,0.005280295,0.019765897,0.000290436,1023.25,-4.619750375548999,-4.619750375548999,1.0
210000,1.434407,-0.3676019,0.0070907795,0.021823948,0.0002899055,1999.0,-9.66466740767161,-9.66466740767161,1.0
220000,1.4349023,-0.3920427,0.0063674175,0.02005773,0.00028937505,1999.0,-9.332334041595459,-9.332334041595459,1.0
230000,1.4356383,-0.36313632,0.007834383,0.021543687,0.00028885572,1323.6666666666667,-5.620333674881193,-5.620333674881193,1.0
240000,1.4367659,-0.38730145,0.005740356,0.025662392,0.00028833264,1540.0,-6.785833810766538,-6.785833810766538,1.0
250000,1.4371375,-0.38126415,0.0068698092,0.028425492,0.00028780304,1413.0,-6.399333576361339,-6.399333576361339,1.0
260000,1.4370877,-0.37521812,0.0054762033,0.024904052,0.00028726546,1999.0,-9.999000787734985,-9.999000787734985,1.0
270000,1.4353179,-0.3709308,0.0054285964,0.024393093,0.00028674223,1619.0,-7.572500497102737,-7.572500497102737,1.0
280000,1.4346745,-0.3588561,0.005358145,0.020877572,0.00028617872,1179.3333333333333,-4.013000224317823,-4.013000224317823,1.0
290000,1.4349668,-0.35613367,0.005752742,0.02383936,0.0002856333,99.0,-3.6970002174377443,-3.6970002174377443,1.0
300000,1.4344066,-0.36449265,0.0038069715,0.029148348,0.0002851071,1465.5,-6.350200445204973,-6.350200445204973,1.0
310000,1.4340172,-0.38046277,0.003562826,0.027414687,0.0002845278,1353.6666666666667,-6.399182257327166,-6.399182257327166,1.0
320000,1.4350606,-0.37484422,None,None,None,741.0,-2.7070001223021083,-2.7070001223021083,1.0
330000,1.433924,-0.3962877,0.006516277,0.0248743,0.0002839635,883.3333333333334,-3.5011252984404564,-3.5011252984404564,1.0
340000,1.4312764,-0.39689815,0.008335572,0.022881616,0.000283412,1999.0,-4.3795002698898315,-4.3795002698898315,1.0
350000,1.4301796,-0.41761047,0.0078090006,0.02038666,0.0002828888,1546.5,-7.414643317461014,-7.414643317461014,1.0
360000,1.4283427,-0.4054591,0.0028123558,0.021765074,0.00028233705,887.6666666666666,-3.775000227822198,-3.775000227822198,1.0
370000,1.4283872,-0.4051972,0.010277444,0.025194189,0.0002817908,1999.0,-9.330333977937698,-9.330333977937698,1.0
380000,1.4282391,-0.3458302,0.0065895035,0.023484772,0.00028126762,1276.75,-5.125667063726319,-5.125667063726319,1.0
390000,1.4278532,-0.38537422,0.010842468,0.0274033,0.0002807457,1439.0,-6.187333709663815,-6.187333709663815,1.0
400000,1.4271052,-0.37797344,0.005402612,0.02050034,0.00028021535,326.0,-1.2986666361490886,-1.2986666361490886,1.0
410000,1.4260852,-0.4638545,0.007327594,0.018899672,0.00027964351,1335.6666666666667,-6.014000344607565,-6.014000344607565,1.0
420000,1.425881,-0.33376598,0.009631214,0.020997293,0.00027907608,1066.2,-4.199866953492164,-4.199866953492164,1.0
430000,1.4263191,-0.370709,0.00849454,0.030971821,0.0002785412,1999.0,-9.24900072813034,-9.24900072813034,1.0
440000,1.4245795,-0.3892351,0.006286352,0.021077756,0.00027801082,None,-8.499000638723373,-8.499000638723373,1.0
450000,1.4234226,-0.35407797,None,None,None,1009.0,-4.38033361484607,-4.38033361484607,1.0
460000,1.4220514,-0.39660117,0.0032475204,0.02725318,0.00027747737,1183.25,-4.5469093295660885,-4.5469093295660885,1.0
470000,1.4206904,-0.37339848,0.0035197646,0.028515575,0.00027692041,894.6666666666666,-4.027200272679329,-4.027200272679329,1.0
480000,1.4178835,-0.34436408,0.007443897,0.028938416,0.00027636377,1039.0,-4.364416958143313,-4.364416958143313,1.0
490000,1.4179848,-0.35656124,0.008406123,0.02582142,0.0002758238,1342.8333333333333,-5.938889271683163,-5.938889271683163,1.0
500000,1.4175636,-0.3703256,0.0041184393,0.025092013,0.00027529834,562.0,-0.9619999885559082,-0.9619999885559082,1.0
510000,1.4176767,-0.36417904,0.010143236,0.019449351,0.0002747436,1029.0,-4.993714673178537,-4.993714673178537,1.0
520000,1.4181159,-0.4062832,0.006586546,0.02183215,0.000274206,1042.0,-3.5473336378733316,-3.5473336378733316,1.0
530000,1.4180341,-0.33884537,0.0062583853,0.024901506,0.00027367848,1005.75,-4.113333600262801,-4.113333600262801,1.0
540000,1.416857,-0.41116533,0.0034096802,0.027829,0.0002731456,1999.0,-9.330333987871805,-9.330333987871805,1.0
550000,1.4148235,-0.36906275,0.0064374115,0.021925228,0.00027261506,1343.6666666666667,-4.9272860544068475,-4.9272860544068475,1.0
560000,1.4142997,-0.3902748,0.009047544,0.022731097,0.00027204634,965.0,-4.435470875571756,-4.435470875571756,1.0
570000,1.4168082,-0.3171041,0.008729313,0.021595882,0.00027153362,875.625,-3.7289526349022273,-3.7289526349022273,1.0
580000,1.4172453,-0.38407612,0.009303425,0.02086456,0.00027100154,1999.0,-5.304500376184781,-5.304500376184781,1.0
590000,1.4170096,-0.3170155,None,None,None,1004.0,-4.190666986008485,-4.190666986008485,1.0
600000,1.4164606,-0.40608454,0.008879358,0.020594606,0.00027046967,1999.0,-9.662667155265808,-9.662667155265808,1.0
610000,1.415645,-0.39839882,0.0050903712,0.022365265,0.00026993925,None,None,None,1.0
620000,1.4158376,-0.39578927,0.0057176207,0.027162174,0.0002694017,1999.0,-8.996000488599142,-8.996000488599142,1.0
630000,1.4167036,-0.38765523,0.0050052046,0.022844542,0.00026887128,1132.2,-4.425143123737404,-4.425143123737404,1.0
640000,1.4180663,-0.29215303,0.018644264,0.025279315,0.00026834238,1042.3,-4.587333659206828,-4.587333659206828,1.0
650000,1.4189696,-0.31607974,0.0131138945,0.022204133,0.00026776202,898.0,-3.124500197172165,-3.124500197172165,1.0
660000,1.4177922,-0.3502428,0.010051249,0.026751215,0.00026720387,1999.0,-8.49900071322918,-8.49900071322918,1.0
670000,1.4158304,-0.3890406,0.00506349,0.023437768,0.00026667348,884.5,-4.077571575130735,-4.077571575130735,1.0
680000,1.4158216,-0.40790194,0.0065155616,0.023524424,0.00026610782,1616.0,-7.064000380039215,-7.064000380039215,1.0
690000,1.4135879,-0.36886844,0.011616632,0.01916443,0.00026557638,598.0,-1.7094000577926636,-1.7094000577926636,1.0
700000,1.4109194,-0.33329195,0.008535424,0.02498579,0.0002650158,730.5,-2.9726000927388667,-2.9726000927388667,1.0
710000,1.4093561,-0.3492944,None,None,None,1197.8,-3.9330668528874715,-3.9330668528874715,1.0
720000,1.4083933,-0.30886677,0.009782896,0.025767175,0.00026446875,1022.5,-4.955714650984321,-4.955714650984321,1.0
730000,1.4072917,-0.31866148,0.006313001,0.02508676,0.0002639314,701.5,-2.5092500522732735,-2.5092500522732735,1.0
740000,1.4053445,-0.37250164,0.008688168,0.022045849,0.00026335637,None,None,None,1.0
750000,1.4042802,-0.3482032,0.0074933646,0.021061977,0.0002628259,996.5,-3.7342502400279045,-3.7342502400279045,1.0
760000,1.4041897,-0.3276481,0.00873062,0.022537777,0.00026227167,1151.6,-4.759200266500314,-4.759200266500314,1.0
770000,1.4046664,-0.31642625,0.010895982,0.025574459,0.0002617195,362.25,-0.14633327970902124,-0.14633327970902124,1.0
780000,1.4056776,-0.25923777,0.008714227,0.023309374,0.00026115077,1208.4,-4.83421462561403,-4.83421462561403,1.0
790000,1.406156,-0.3396379,0.0072254366,0.027050955,0.0002606325,824.75,-3.4236924946308136,-3.4236924946308136,1.0
800000,1.4061027,-0.31341982,0.013801166,0.022023903,0.00026011834,949.3333333333334,-3.637889059777889,-3.637889059777889,1.0
810000,1.4050899,-0.26697043,0.011752046,0.026339678,0.0002595926,122.33333333333333,0.6082222420308325,0.6082222420308325,1.0
820000,1.4043156,-0.32970637,0.008071787,0.025309417,0.00025905494,None,None,None,1.0
830000,1.4039276,-0.2741827,None,None,None,946.2,-3.733600215613842,-3.733600215613842,1.0
840000,1.4044131,-0.27624285,0.0051919897,0.02305751,0.0002584982,772.25,-2.6140000950545073,-2.6140000950545073,1.0
850000,1.4061507,-0.27487126,0.006817462,0.021777352,0.0002579574,1117.8,-4.258066959182421,-4.258066959182421,1.0
860000,1.4060856,-0.22987725,0.008937654,0.02238237,0.00025742553,771.4285714285714,-2.7447779724995294,-2.7447779724995294,1.0
870000,1.4048629,-0.27285045,0.012716349,0.026042242,0.00025684488,861.3333333333334,-3.035500153899193,-3.035500153899193,1.0
880000,1.4044484,-0.24830315,0.012896312,0.029499602,0.00025629153,777.8333333333334,-2.5024445638474493,-2.5024445638474493,1.0
890000,1.4038823,-0.21961482,0.01921014,0.020339219,0.00025576274,512.2857142857143,-1.0248333364725113,-1.0248333364725113,1.0
900000,1.4038569,-0.26330066,0.010970214,0.02208819,0.00025517598,325.5,-0.054285756179264615,-0.054285756179264615,1.0
910000,1.4042796,-0.27796313,0.01606115,0.020022165,0.00025463477,684.3333333333334,-1.4199090762571855,-1.4199090762571855,1.0
920000,1.4038053,-0.20795384,0.010622784,0.02792764,0.0002541029,737.8,-2.8352501182816923,-2.8352501182816923,1.0
930000,1.4036254,-0.24195921,0.01019573,0.025548033,0.00025356057,731.6,-3.170470720704864,-3.170470720704864,1.0
940000,1.4031522,-0.21417364,0.009659781,0.024468658,0.00025302,859.0,-3.186555826001697,-3.186555826001697,1.0
950000,1.4022608,-0.27127454,None,None,None,861.3333333333334,-2.6420001321368747,-2.6420001321368747,1.0
960000,1.4015679,-0.25706795,0.011846362,0.024466872,0.00025247835,814.75,-2.826750194032987,-2.826750194032987,1.0
970000,1.4020646,-0.3390075,0.010515328,0.025990356,0.00025190163,1093.0,-3.7993336021900177,-3.7993336021900177,1.0
980000,1.4014058,-0.28648996,0.005198618,0.02684495,0.00025136402,1049.5,-3.911875233432511,-3.911875233432511,1.0
990000,1.4004565,-0.31808633,0.010962831,0.026514776,0.00025078654,834.25,-3.632363796234131,-3.632363796234131,1.0
1000000,1.3989273,-0.22884569,0.012023805,0.0218579,0.00025025374,565.0,-0.34118741378188133,-0.34118741378188133,1.0
1010000,1.3980749,-0.18556051,0.006909584,0.018835299,0.00024971348,694.2857142857143,-3.040695855151052,-3.040695855151052,1.0
1020000,1.3983134,-0.21120057,0.015480382,0.022240588,0.00024918275,456.6666666666667,-0.6743888722525703,-0.6743888722525703,1.0
1030000,1.3989533,-0.24445184,0.016125109,0.02486483,0.00024860434,685.2,-2.0950667892893153,-2.0950667892893153,1.0
1040000,1.3992677,-0.17443484,0.018082311,0.02239058,0.00024805128,531.2727272727273,-1.1426667203054284,-1.1426667203054284,1.0
1050000,1.3994154,-0.22378455,0.019124813,0.032070603,0.00024753448,618.8,-1.6440715002162116,-1.6440715002162116,1.0
1060000,1.397339,-0.21269806,None,None,None,340.5,0.00853850062076862,0.00853850062076862,1.0
1070000,1.3965528,-0.18761173,0.01720062,0.029938396,0.00024697947,416.3333333333333,-0.41716665360662675,-0.41716665360662675,1.0
1080000,1.3974842,-0.24064086,0.017025888,0.023683151,0.00024645033,1252.5,-5.09883372982343,-5.09883372982343,1.0
1090000,1.397101,-0.18076827,0.011479344,0.032766834,0.0002459012,342.3333333333333,-0.3806666566265954,-0.3806666566265954,1.0
1100000,1.3954644,-0.19386847,0.0143091325,0.026110152,0.00024536072,857.3333333333334,-3.0661112550232144,-3.0661112550232144,1.0
1110000,1.3949462,-0.20143415,0.011313965,0.022160413,0.00024481592,938.6666666666666,-2.9085626625455916,-2.9085626625455916,1.0
1120000,1.3951435,-0.20798008,0.009970039,0.025177656,0.00024426862,527.6,-2.0354706084027008,-2.0354706084027008,1.0
1130000,1.3944098,-0.20053382,0.011257186,0.025447339,0.00024371721,740.5,-2.4466364600441675,-2.4466364600441675,1.0
1140000,1.3931309,-0.16119456,0.019939443,0.02055275,0.0002431916,459.6,-0.814586217033452,-0.814586217033452,1.0
1150000,1.3925345,-0.19155358,0.017377099,0.021040251,0.00024263251,505.0,-0.6713331788778305,-0.6713331788778305,1.0
1160000,1.3912785,-0.1830053,0.013121195,0.024014868,0.00024205638,620.8571428571429,-1.439619087037586,-1.439619087037586,1.0
1170000,1.3919197,-0.13148344,0.025839595,0.019963678,0.0002415407,492.75,-0.799458314354221,-0.799458314354221,1.0
1180000,1.3939409,-0.20014031,0.016234199,0.024552282,0.00024100523,330.75,-0.12544433938132393,-0.12544433938132393,1.0
1190000,1.3952911,-0.2581619,None,None,None,735.0,-0.963333343466123,-0.963333343466123,1.0
1200000,1.3961798,-0.24619979,0.0080066165,0.022280822,0.00024046325,766.3333333333334,-2.2230556690030627,-2.2230556690030627,1.0
1210000,1.3943528,-0.24616636,0.012177827,0.030257694,0.00023992626,310.5,0.1121666431427002,0.1121666431427002,1.0
1220000,1.3920987,-0.17040734,0.011863508,0.02146545,0.00023934993,748.1,-2.476033498098453,-2.476033498098453,1.0
1230000,1.3916564,-0.25737306,0.012845321,0.02756503,0.00023878594,254.0,0.39466677109400433,0.39466677109400433,1.0
1240000,1.392861,-0.25509685,0.013849256,0.025231099,0.00023825146,1262.6666666666667,-4.293375244364142,-4.293375244364142,1.0
1250000,1.3927807,-0.18418498,0.0128675485,0.023335999,0.00023773807,315.0,-1.155647123561186,-1.155647123561186,1.0
1260000,1.3931283,-0.22168784,0.01453845,0.02486016,0.0002371877,936.4,-3.0175334811210632,-3.0175334811210632,1.0
1270000,1.393336,-0.23607787,0.013610079,0.02909195,0.00023664892,800.5,-2.339333357910315,-2.339333357910315,1.0
1280000,1.3930024,-0.14669311,0.019175047,0.023088094,0.00023610923,457.6666666666667,-0.6573846222689519,-0.6573846222689519,1.0
1290000,1.3931043,-0.13210125,0.018268373,0.025361424,0.00023554717,290.8333333333333,0.19950003756417167,0.19950003756417167,1.0
1300000,1.3929596,-0.18167877,None,None,None,924.8333333333334,-2.939631727180983,-2.939631727180983,1.0
1310000,1.392525,-0.117902756,0.016338881,0.02684732,0.00023497369,267.0,0.052222241130140096,0.052222241130140096,1.0
1320000,1.3918457,-0.18178532,0.013417494,0.022618521,0.00023442524,271.0,0.3090001079771254,0.3090001079771254,1.0
1330000,1.3916131,-0.16447148,0.01548804,0.022086943,0.00023389744,574.7142857142857,-1.209047665198644,-1.209047665198644,1.0
1340000,1.3917301,-0.21842527,0.018992122,0.030302463,0.0002333413,844.3333333333334,0.3286667863527934,0.3286667863527934,1.0
1350000,1.3920007,-0.16982433,0.011211884,0.02110002,0.00023282612,481.3333333333333,-2.1124763190746307,-2.1124763190746307,1.0
1360000,1.3914194,-0.09410875,0.01138691,0.01956435,0.00023229526,454.85714285714283,-0.8477143411125455,-0.8477143411125455,1.0
1370000,1.3914086,-0.13554032,0.022773422,0.020506395,0.00023173833,454.8888888888889,-0.6095555648207664,-0.6095555648207664,1.0
1380000,1.3925126,-0.12585422,0.017015332,0.02636273,0.00023121406,787.625,-2.690250150859356,-2.690250150859356,1.0
1390000,1.3927964,-0.18171729,0.021309294,0.02659467,0.00023068521,870.2,-2.686933445930481,-2.686933445930481,1.0
1400000,1.3909742,-0.12189113,0.01730903,0.019392138,0.00023014205,440.75,-0.6619047607694354,-0.6619047607694354,1.0
1410000,1.3906331,-0.15155774,0.01763132,0.027389659,0.00022957996,429.1666666666667,-0.3669047596908751,-0.3669047596908751,1.0
1420000,1.3897566,-0.13066745,0.016681317,0.02129917,0.00022904944,247.16666666666666,0.37211120625336963,0.37211120625336963,1.0
1430000,1.3896942,-0.13645206,None,None,None,327.7142857142857,-0.21733328368928698,-0.21733328368928698,1.0
1440000,1.3883494,-0.08732727,0.016521074,0.024096612,0.0002284793,398.7142857142857,-0.12331812896511772,-0.12331812896511772,1.0
1450000,1.3865663,-0.06030734,0.018437231,0.023629067,0.00022790779,493.14285714285717,-0.9380000543011271,-0.9380000543011271,1.0
1460000,1.3886132,-0.08107827,0.01713721,0.022993436,0.00022735105,575.8,-1.0791785980441742,-1.0791785980441742,1.0
1470000,1.3891608,-0.061214246,0.026289396,0.02695194,0.00022679364,433.4,-1.0701000422239304,-1.0701000422239304,1.0
1480000,1.3872988,-0.10339044,0.016536271,0.021450276,0.00022627073,511.6,-0.7405294302631827,-0.7405294302631827,1.0
1490000,1.3861932,-0.05489752,0.021342104,0.026209526,0.00022575488,473.625,-0.7033333418269953,-0.7033333418269953,1.0
1500000,1.3862292,-0.11365772,0.020253897,0.02075836,0.00022521481,260.5,0.36116671934723854,0.36116671934723854,1.0
1510000,1.3867366,-0.07752821,0.013433093,0.024923692,0.00022470063,598.75,-1.5379167233283322,-1.5379167233283322,1.0
1520000,1.3864309,-0.11292457,0.0088604335,0.021567052,0.00022416459,407.2857142857143,-0.5832631431127849,-0.5832631431127849,1.0
1530000,1.3851292,-0.076820984,0.018592007,0.021961303,0.0002236259,460.125,-0.5385769433700122,-0.5385769433700122,1.0
1540000,1.3846219,-0.16397533,0.013908171,0.02214885,0.00022308291,285.75,0.3197500656048457,0.3197500656048457,1.0
1550000,1.3829519,-0.119235635,0.016826598,0.024466312,0.00022250599,231.6,0.38683339953422546,0.38683339953422546,1.0
1560000,1.3821297,-0.013946284,None,None,None,534.6666666666666,-1.0351795238944201,-1.0351795238944201,1.0
1570000,1.3825454,-0.049153816,0.02407455,0.022264566,0.00022197196,426.7,-0.8007857416357312,-0.8007857416357312,1.0
1580000,1.3814769,-0.053471506,0.022423388,0.02725582,0.00022141445,444.44444444444446,-0.6458620847813015,-0.6458620847813015,1.0
1590000,1.3797667,-0.07959511,0.023269523,0.021739466,0.00022087566,379.44444444444446,-0.16220831250151,-0.16220831250151,1.0
1600000,1.3786628,-0.061756685,0.02155177,0.018647691,0.00022034004,728.5714285714286,-2.1111305122790127,-2.1111305122790127,1.0
1610000,1.3774644,0.060184978,0.023412697,0.026732562,0.00021982564,215.3846153846154,0.5107180506755145,0.5107180506755145,1.0
1620000,1.3774387,0.025788853,0.021026276,0.023545215,0.0002192471,253.73333333333332,0.43240003254678516,0.43240003254678516,1.0
1630000,1.377959,-0.046428006,0.024155071,0.026204068,0.0002186936,350.5,0.09109099886634132,0.09109099886634132,1.0
1640000,1.3778025,-0.048154797,0.019044273,0.018445011,0.00021811803,371.0,-0.4104117172605851,-0.4104117172605851,1.0
1650000,1.3767852,-0.05010125,0.016558409,0.01947658,0.00021758527,633.0,-1.8623846402535071,-1.8623846402535071,1.0
1660000,1.3770081,-0.033886693,0.023140408,0.016067661,0.00021707064,475.625,-0.6705769438009995,-0.6705769438009995,1.0
1670000,1.3753303,-0.14480518,0.011637741,0.027031204,0.00021655593,638.5,-1.4328235826071571,-1.4328235826071571,1.0
1680000,1.374016,-0.0753009,None,None,None,476.14285714285717,-1.2771429149877458,-1.2771429149877458,1.0
1690000,1.3733128,-0.04798371,0.0166648,0.025319181,0.00021599406,339.5,-0.04699990510940552,-0.04699990510940552,1.0
1700000,1.3741574,-0.059804704,0.017232398,0.017640125,0.00021543184,635.7,-1.8807000835736594,-1.8807000835736594,1.0
1710000,1.3744614,-0.061082926,0.014770044,0.028547915,0.00021484474,466.125,0.09086367216977206,0.09086367216977206,1.0
1720000,1.3743144,-0.019157404,0.024238499,0.026000746,0.00021427743,284.22222222222223,-0.6091071722247372,-0.6091071722247372,1.0
1730000,1.3738041,-0.059777036,0.016129889,0.024826618,0.00021374418,424.75,-0.4284166351426393,-0.4284166351426393,1.0
