Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,4.4995728,316.0,0.13040328,5.338284447789192,5.338284447789192,1.0
20000,None,None,0.11820669,None,None,1.0
30000,4.492436,None,0.06856606,None,None,1.0
40000,4.4896054,639.5,0.11019934,-3.268311206717044,-3.268311206717044,1.0
50000,None,None,0.111410536,None,None,1.0
60000,4.4887767,None,0.064282805,None,None,1.0
70000,4.4802737,1305.3333333333333,0.032129284,-1.2123153607050579,-1.2123153607050579,1.0
80000,4.4803677,None,-0.0016712528,-3.4155594309171042,-3.4155594309171042,1.0
90000,4.4762716,None,0.120480835,None,None,1.0
100000,4.470508,None,0.0055269143,None,None,1.0
110000,4.4717326,1984.939393939394,-0.040411074,-2.93860439153818,-2.93860439153818,1.0
120000,4.4899783,571.1428571428571,0.030684823,-1.4014092850795186,-1.4014092850795186,1.0
130000,4.467593,333.1666666666667,0.09119829,-1.1094330179370113,-1.1094330179370113,1.0
140000,4.4680495,None,0.0028556557,8.771189570426941,8.771189570426941,1.0
150000,4.4683685,1999.0,0.01786944,None,None,1.0
160000,4.4618425,1999.0,-0.0973814,-1.8609629826886314,-1.8609629826886314,1.0
170000,4.4628763,849.0,-0.11051866,-1.3352944552898407,-1.3352944552898407,1.0
180000,4.461823,None,-0.10914619,None,None,1.0
190000,4.4738207,1999.0,-0.15187596,-0.47409043709437054,-0.47409043709437054,1.0
200000,4.4623775,1999.0,-0.106243566,-6.5891189754009245,-6.5891189754009245,1.0
210000,4.4510584,1999.0,-0.161898,-4.515961620956659,-4.515961620956659,1.0
220000,4.4696026,None,-0.125288,None,None,1.0
230000,4.464847,None,-0.09769776,None,None,1.0
240000,4.4522886,1999.0,-0.08768293,-3.2518030722935993,-3.2518030722935993,1.0
250000,4.476348,None,-0.19592965,-5.014778736091795,-5.014778736091795,1.0
260000,4.4761987,1999.0,-0.18515773,-4.818092375993729,-4.818092375993729,1.0
270000,4.465359,None,-0.03226296,None,None,1.0
280000,4.4655323,1999.0,-0.028075242,None,None,1.0
290000,4.467245,1999.0,-0.08248928,-1.3173449970781803,-1.3173449970781803,1.0
300000,4.4780636,1999.0,-0.09780608,-7.994130253791809,-7.994130253791809,1.0
310000,4.475928,1739.0,-0.13226011,None,None,1.0
320000,4.469799,1999.0,-0.06802961,-6.206392884254456,-6.206392884254456,1.0
330000,4.4717636,1999.0,-0.09872454,0.44206711649894714,0.44206711649894714,1.0
340000,4.460521,None,-0.15485118,None,None,1.0
350000,4.4535065,None,-0.10793735,None,None,1.0
360000,4.453666,1884.0,-0.15973853,-2.1290501728653908,-2.1290501728653908,1.0
370000,4.459949,1990.4285714285713,-0.109264225,-2.005951009483801,-2.005951009483801,1.0
380000,4.4635415,1826.0,-0.119369924,0.35863045742735267,0.35863045742735267,1.0
390000,4.462298,None,-0.14765665,-7.110802888870239,-7.110802888870239,1.0
400000,4.450825,None,0.029090771,None,None,1.0
410000,4.4497886,1999.0,-0.015033071,-0.3086627498269081,-0.3086627498269081,1.0
420000,4.436878,1846.6666666666667,-0.18306518,-3.96115641699483,-3.96115641699483,1.0
430000,4.4322205,None,-0.23997185,-1.43906369805336,-1.43906369805336,1.0
440000,4.4441843,1999.0,-0.120214365,3.977679193019867,3.977679193019867,1.0
450000,4.4479966,1825.0,-0.1544097,-12.102377079427242,-12.102377079427242,1.0
460000,4.419037,None,-0.13595454,-0.5304607848326365,-0.5304607848326365,1.0
470000,4.4294558,None,-0.13921204,None,None,1.0
480000,4.4343657,None,-0.13793087,None,None,1.0
490000,4.432521,1999.0,-0.17710301,-1.5789350900385115,-1.5789350900385115,1.0
500000,4.442415,1999.0,-0.20091839,-3.4379949603568423,-3.4379949603568423,1.0
510000,4.4226847,1851.0,-0.20828241,0.1253318442748143,0.1253318442748143,1.0
520000,4.454256,None,-0.14956741,None,None,1.0
530000,4.4476123,None,-0.05587594,None,None,1.0
540000,4.4430814,1999.0,0.0011102981,None,None,1.0
550000,4.4487095,1999.0,-0.10766476,-3.1739727920956082,-3.1739727920956082,1.0
560000,4.4405956,None,-0.07471051,-3.12748313943545,-3.12748313943545,1.0
570000,4.4342914,1999.0,-0.10083546,-9.603240601718426,-9.603240601718426,1.0
